District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Erode,Alangeyam,Coconut,Big,FAQ,1400.0,1500.0,1450.0,2022-02-02,2
Erode,Alangeyam,Coconut,Big,FAQ,2090.0,2178.0,2115.0,2023-06-28,2
Erode,Alangeyam,Coconut,Big,FAQ,2300.0,2400.0,2350.0,2022-01-05,2
Erode,Alangeyam,Coconut,Big,FAQ,2300.0,2400.0,2350.0,2022-01-24,0
Erode,Alangeyam,Coconut,Big,FAQ,2300.0,2500.0,2400.0,2022-05-26,3
Erode,Alangeyam,Coconut,Big,FAQ,2400.0,2500.0,2450.0,2022-01-21,4
Erode,Alangeyam,Coconut,Big,FAQ,2400.0,2500.0,2450.0,2023-11-28,1
Erode,Alangeyam,Coconut,Coconut,FAQ,1200.0,1250.0,1225.0,2023-03-30,3
Erode,Alangeyam,Coconut,Coconut,FAQ,2400.0,2500.0,2450.0,2022-01-12,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-07-04,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-07-05,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-07-06,3
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-07-12,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-07-13,3
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-07-15,5
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-06-16,4
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-06-19,0
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-06-20,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-06-21,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-06-22,3
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2000.0,1900.0,2023-06-23,4
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2100.0,1900.0,2023-07-18,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2100.0,1900.0,2023-07-19,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2100.0,1900.0,2023-07-24,0
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2400.0,2200.0,2023-10-03,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,1800.0,2400.0,2200.0,2023-10-05,3
Coimbatore,Anaimalai,Coconut,Other,FAQ,1900.0,2100.0,2000.0,2023-07-14,4
Coimbatore,Anaimalai,Coconut,Other,FAQ,1900.0,2100.0,2000.0,2023-06-14,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,1900.0,2100.0,2000.0,2023-06-15,3
Coimbatore,Anaimalai,Coconut,Other,FAQ,1900.0,2170.0,2000.0,2023-07-10,0
Coimbatore,Anaimalai,Coconut,Other,FAQ,1900.0,2170.0,2000.0,2023-07-11,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,1900.0,2200.0,2000.0,2023-07-26,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,2000.0,2200.0,2100.0,2023-06-03,5
Coimbatore,Anaimalai,Coconut,Other,FAQ,2000.0,2200.0,2100.0,2023-06-06,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,2050.0,2460.0,2350.0,2023-08-24,3
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-11-01,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-10-01,5
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-11-02,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-10-02,6
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-10-03,0
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-06-04,5
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-11-04,4
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-10-04,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-04,6
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-08-06,5
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-06,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-07,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-07-09,5
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-09,4
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-07-10,6
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2023-03-10,4
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-10,5
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-10-11,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-07-12,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-07-13,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-13,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2023-03-14,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-10-14,4
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-14,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-07-15,4
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-06-15,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-16,4
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-08-17,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-12-17,5
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-07-17,6
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-12-18,6
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-06-19,6
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-19,0
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-12-20,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-07-20,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-20,1
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-08-21,6
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-12-21,2
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-07-22,4
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-07-24,6
Coimbatore,Anaimalai,Coconut,Other,FAQ,2100.0,2300.0,2200.0,2022-09-24,5
