District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-04,0
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-05,1
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-06,2
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-07,3
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-08,4
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-09,5
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3800.0,4000.0,4000.0,2024-11-03,6
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4000.0,4500.0,4500.0,2024-12-07,5
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4000.0,4500.0,4500.0,2024-11-11,0
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4000.0,4500.0,4500.0,2024-11-24,6
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4000.0,4500.0,4500.0,2024-10-28,0
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4000.0,4500.0,4500.0,2024-10-30,2
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-12-02,0
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2025-01-03,4
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-12-04,2
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-09-04,2
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-08-08,3
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-08-09,4
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-11-10,6
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-08-11,6
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-08-12,0
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2025-07-12,5
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-08-13,1
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-08-15,3
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-09-15,6
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-08-16,4
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-07-16,1
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-10-16,2
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-10-17,3
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-11-18,0
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-10-20,6
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-07-21,6
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-11-21,3
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-10-21,0
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-11-22,4
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-10-22,1
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-10-23,2
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-10-25,4
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-10-26,5
