District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3000.0,3500.0,3500.0,2025-06-08,6
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-07-03,3
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-07-05,5
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-06-07,5
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-07-12,5
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-06-13,4
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-06-14,5
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-07-18,4
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-07-19,5
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-06-19,3
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-07-21,0
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-06-21,5
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-06-22,6
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3500.0,4000.0,4000.0,2025-06-26,3
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,3800.0,4000.0,4000.0,2025-07-17,3
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-07-10,3
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-07-11,4
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-07-16,2
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-05-17,5
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-05-18,6
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-05-19,0
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-05-20,1
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-05-22,3
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-05-23,4
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-05-28,2
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4000.0,4500.0,4500.0,2025-05-29,3
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4200.0,4500.0,4500.0,2025-07-13,6
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4500.0,4800.0,4800.0,2025-05-24,5
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4500.0,5000.0,5000.0,2025-07-01,1
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4500.0,5000.0,5000.0,2025-07-04,4
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4500.0,5000.0,5000.0,2025-07-07,0
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4500.0,5000.0,5000.0,2025-07-08,1
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4500.0,5000.0,5000.0,2025-07-09,2
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4500.0,5000.0,5000.0,2025-06-09,0
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4500.0,5000.0,5000.0,2025-05-15,3
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4500.0,5000.0,5000.0,2025-06-16,0
Dharmapuri,AJattihalli(Farmers Market),Mango,Safeda,Local,4500.0,5000.0,5000.0,2025-05-16,4
