District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1149.0,1149.0,1149.0,2016-02-23,1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1149.0,1669.0,1409.0,2018-06-13,2
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1169.0,1169.0,1169.0,2017-01-03,1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1188.0,1188.0,1188.0,2015-09-08,1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1269.0,1456.0,1363.0,2015-12-08,1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1299.0,1299.0,1299.0,2016-03-07,0
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1319.0,1319.0,1319.0,2015-10-15,3
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1367.0,1367.0,1367.0,2016-02-22,0
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1367.0,1747.0,1557.0,2018-05-15,1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1369.0,1369.0,1369.0,2015-08-19,2
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1410.0,1410.0,1410.0,2016-09-27,1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1419.0,1419.0,1419.0,2015-12-28,0
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1469.0,1469.0,1469.0,2016-10-20,3
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1567.0,1642.0,1605.0,2018-05-02,2
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1587.0,1587.0,1587.0,2016-12-23,4
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1619.0,1619.0,1619.0,2015-09-23,2
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1660.0,1660.0,1660.0,2015-06-05,4
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1669.0,1669.0,1669.0,2016-05-05,3
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1720.0,1720.0,1720.0,2015-05-27,2
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1739.0,1739.0,1739.0,2016-07-27,2
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1789.0,1789.0,1789.0,2015-05-04,0
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1790.0,1800.0,1795.0,2015-05-11,0
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1800.0,1800.0,1800.0,2015-06-08,0
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1869.0,1869.0,1869.0,2015-08-21,4
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1941.0,1941.0,1941.0,2015-03-16,0
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1950.0,1950.0,1950.0,2015-03-30,0
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1969.0,1969.0,1969.0,2016-05-31,1
Thiruvannamalai,Arani,Ragi (Finger Millet),Other,FAQ,1970.0,1970.0,1970.0,2015-03-31,1
