District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4269.0,5406.0,4837.0,2018-12-17,0
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5217.0,5407.0,5217.0,2019-01-07,0
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5222.0,7069.0,6769.0,2019-02-18,0
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5429.0,6419.0,5429.0,2018-03-06,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5575.0,9619.0,9565.0,2022-03-08,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6169.0,10057.0,10050.0,2023-01-24,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6829.0,8560.0,6829.0,2023-03-07,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8075.0,9195.0,8615.0,2022-02-01,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8269.0,10229.0,10096.0,2023-01-31,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8628.0,8629.0,8629.0,2023-11-21,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9110.0,9659.0,9375.0,2022-02-08,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9250.0,9702.0,9475.0,2022-02-15,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9570.0,9766.0,9570.0,2022-03-01,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10125.0,10269.0,10195.0,2023-02-21,1
Erode,Anthiyur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10249.0,10249.0,10249.0,2023-02-28,1
Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3698.0,4009.0,3898.0,2022-09-29,3
Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4098.0,5529.0,4939.0,2022-09-30,4
Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4542.0,5379.0,4998.0,2022-09-28,2
Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5017.0,5017.0,5017.0,2022-09-23,4
Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5398.0,5398.0,5398.0,2022-09-27,1
Thiruvannamalai,Cheyyar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6529.0,7398.0,7059.0,2024-05-10,4
Thiruvannamalai,Kilpennathur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5889.0,8100.0,6620.0,2023-01-09,0
Thiruvannamalai,Kilpennathur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6389.0,6936.0,6839.0,2023-02-27,0
Thiruvannamalai,Kilpennathur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6850.0,7800.0,7320.0,2023-04-15,5
Thiruvannamalai,Kilpennathur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8329.0,8889.0,8389.0,2023-01-24,1
Villupuram,Marakkanam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3320.0,5540.0,4500.0,2017-02-20,0
Villupuram,Marakkanam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3809.0,6209.0,4369.0,2017-05-22,0
Villupuram,Marakkanam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4617.0,4832.0,4709.0,2017-02-21,1
Villupuram,Marakkanam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4909.0,5029.0,5000.0,2017-02-17,4
Villupuram,Marakkanam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5049.0,5369.0,5249.0,2017-03-17,4
Nagapattinam,Nagapattinam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000.0,8558.0,8558.0,2024-05-30,3
Villupuram,Tindivanam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5500.0,5500.0,5500.0,2024-05-29,2
Villupuram,Tindivanam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5500.0,6400.0,6000.0,2024-05-20,0
Villupuram,Tindivanam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6000.0,7100.0,6500.0,2024-05-14,1
Villupuram,Tindivanam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6732.0,6732.0,6732.0,2024-05-27,0
Villupuram,Tindivanam,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8800.0,9562.0,9499.0,2024-06-06,3
Namakkal,Tiruchengode,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6050.0,6050.0,6050.0,2022-09-21,2
Villupuram,Ulundurpettai,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2599.0,2799.0,2699.0,2023-10-26,3
Villupuram,Ulundurpettai,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3239.0,3239.0,3239.0,2023-11-20,0
Villupuram,Ulundurpettai,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3569.0,3569.0,3569.0,2023-10-18,2
Villupuram,Ulundurpettai,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3689.0,3689.0,3689.0,2023-10-30,0
Villupuram,Ulundurpettai,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5469.0,5869.0,5700.0,2023-11-23,3
