District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Dharmapuri,AJattihalli(Farmers Market),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,2024-09-30,0
Dharmapuri,AJattihalli(Farmers Market),Groundnut,Big (With Shell),Local,4800.0,5000.0,5000.0,2024-10-05,5
Dharmapuri,AJattihalli(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2024-09-27,4
Dharmapuri,AJattihalli(Farmers Market),Groundnut,Big (With Shell),Local,5200.0,5500.0,5500.0,2025-02-01,5
Dharmapuri,AJattihalli(Farmers Market),Groundnut,Big (With Shell),Local,5800.0,6000.0,6000.0,2025-03-15,5
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,2025-04-01,1
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,2025-04-02,2
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,2024-11-15,4
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,2024-10-16,2
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2025-02-03,0
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2024-12-07,5
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2025-02-07,4
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2025-03-11,1
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2025-02-18,1
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2024-09-23,0
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2025-03-24,0
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2024-12-27,4
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2024-12-29,6
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2025-05-06,1
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2025-02-13,3
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2025-04-14,0
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2024-09-17,1
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,6500.0,6500.0,2025-07-17,3
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,6500.0,6500.0,2025-06-24,1
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,6500.0,6500.0,2025-05-26,0
Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000.0,5500.0,5200.0,2018-08-19,6
Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000.0,6000.0,5500.0,2019-09-27,4
Coimbatore,Anaimalai,Groundnut,Other,FAQ,5900.0,6000.0,5950.0,2021-08-25,2
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2025-05-06,1
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2024-12-14,5
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2024-11-16,5
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2024-07-18,3
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2024-07-26,4
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2024-07-28,6
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2024-12-29,6
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,7000.0,7000.0,2024-09-09,0
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2024-12-23,0
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,6600.0,6600.0,2025-04-05,5
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,7000.0,7000.0,2025-02-06,3
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,7000.0,7000.0,2025-02-08,5
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,7000.0,7000.0,2025-06-15,6
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,7000.0,7000.0,2025-07-16,2
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,7000.0,7000.0,2025-07-18,4
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,7000.0,7000.0,2024-09-20,4
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,7000.0,7000.0,2024-08-25,6
Dharmapuri,AJattihalli(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2025-03-11,1
Dharmapuri,AJattihalli(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2024-09-18,2
Dharmapuri,AJattihalli(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2025-03-24,0
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,2024-11-07,3
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,2024-11-08,4
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,2024-10-13,6
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,4500.0,5000.0,5000.0,2024-10-15,1
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,4500.0,5500.0,5500.0,2024-12-13,4
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2025-03-03,0
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2024-12-06,4
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2025-03-13,3
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2024-09-21,5
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,5500.0,5500.0,2025-03-25,1
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2025-07-02,2
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2025-05-05,0
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2025-07-07,0
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2025-04-10,3
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2025-04-13,6
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2025-04-20,6
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2024-11-21,3
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,6500.0,6500.0,2025-06-08,6
Salem,Ammapet(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,6500.0,6500.0,2025-05-09,4
Coimbatore,Anaimalai,Groundnut,Other,FAQ,3400.0,4400.0,3900.0,2018-03-23,4
Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000.0,5000.0,4500.0,2017-09-21,3
Coimbatore,Anaimalai,Groundnut,Other,FAQ,6000.0,8000.0,7000.0,2017-11-02,3
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2024-08-12,0
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2024-12-13,4
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2024-08-16,4
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5000.0,6000.0,6000.0,2025-04-27,6
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,6000.0,6000.0,2024-12-31,1
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,5500.0,7000.0,7000.0,2024-09-17,1
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,6500.0,6500.0,2025-03-29,5
Madurai,Anaiyur(Farmers Market),Groundnut,Big (With Shell),Local,6000.0,7000.0,7000.0,2025-02-03,0
