District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,2806.0,2819.0,2819.0,2015-04-27,0
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,1800.0,2000.0,1900.0,2016-03-04,4
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,1800.0,2000.0,1900.0,2016-08-05,4
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,1800.0,2100.0,2000.0,2018-09-27,3
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,2000.0,2500.0,2250.0,2017-09-13,2
Thiruchirappalli,Manapparai,Jowar(Sorghum),Other,FAQ,3250.0,3425.0,3350.0,2016-01-25,0
Coimbatore,Pethappampatti,Jowar(Sorghum),Jowar (White),FAQ,4200.0,4500.0,4300.0,2018-10-11,3
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2000.0,2200.0,2100.0,2018-09-19,2
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2150.0,2350.0,2250.0,2018-10-27,5
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2160.0,2360.0,2260.0,2018-11-14,2
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2200.0,2350.0,2300.0,2018-11-28,2
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2300.0,2700.0,2500.0,2018-08-09,3
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2350.0,2750.0,2550.0,2018-10-10,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2100.0,2600.0,2300.0,2015-03-18,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2200.0,2400.0,2300.0,2015-08-07,4
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2200.0,2400.0,2300.0,2015-07-28,1
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2015-03-05,3
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2015-09-09,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2016-06-16,3
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2015-04-20,0
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2016-03-30,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2400.0,2600.0,2500.0,2015-04-09,3
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2400.0,2600.0,2500.0,2016-05-18,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2400.0,2800.0,2600.0,2017-02-01,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2400.0,2800.0,2600.0,2017-03-15,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2400.0,2800.0,2600.0,2017-06-21,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2500.0,2700.0,2600.0,2016-09-21,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2800.0,3000.0,2900.0,2015-02-04,2
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,1900.0,2100.0,2000.0,2018-03-23,4
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,1900.0,2200.0,2100.0,2018-06-02,5
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1120.0,1717.0,1500.0,2018-11-01,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1297.0,1827.0,1740.0,2018-06-21,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1567.0,1600.0,1600.0,2015-05-14,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1588.0,1588.0,1588.0,2016-02-04,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1700.0,1720.0,1710.0,2017-07-11,1
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1700.0,1800.0,1750.0,2018-09-19,2
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1700.0,1800.0,1750.0,2017-09-28,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1729.0,1729.0,1729.0,2016-08-12,4
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1810.0,1810.0,1810.0,2016-11-10,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2560.0,2560.0,2560.0,2017-03-24,4
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2630.0,2630.0,2630.0,2017-04-03,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3169.0,3169.0,3169.0,2015-03-27,4
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3211.0,3211.0,3211.0,2015-03-02,0
Coimbatore,Annur,Jowar(Sorghum),Other,FAQ,4800.0,5000.0,4900.0,2017-05-23,1
Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,1251.0,1413.0,1300.0,2015-10-27,1
Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,1315.0,2300.0,1325.0,2015-03-02,0
Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,2050.0,2300.0,2300.0,2015-03-09,0
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,2000.0,2300.0,2150.0,2017-08-17,3
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,2000.0,2300.0,2150.0,2017-05-18,3
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,2000.0,2500.0,2250.0,2018-05-30,2
Thiruchirappalli,Manapparai,Jowar(Sorghum),Other,FAQ,3100.0,3300.0,3200.0,2016-01-20,2
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2150.0,2350.0,2250.0,2018-10-30,1
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2210.0,2360.0,2310.0,2018-12-05,2
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2210.0,2360.0,2310.0,2018-12-07,4
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2210.0,2360.0,2310.0,2018-12-08,5
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,1900.0,2100.0,2000.0,2018-02-28,2
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2100.0,2500.0,2300.0,2018-07-13,4
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2200.0,2600.0,2450.0,2018-07-20,4
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2600.0,2900.0,2800.0,2017-07-19,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2015-09-02,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2016-02-03,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2015-08-19,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2016-02-26,4
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2017-06-29,3
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2400.0,2600.0,2500.0,2015-04-07,1
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2400.0,2600.0,2500.0,2015-03-30,0
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2500.0,2700.0,2600.0,2016-09-03,5
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2500.0,2700.0,2600.0,2016-08-10,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2500.0,2700.0,2600.0,2016-08-17,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2500.0,2700.0,2600.0,2015-02-25,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2550.0,2650.0,2600.0,2016-08-06,5
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2550.0,2750.0,2650.0,2016-09-28,2
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,1800.0,1900.0,1850.0,2018-03-22,3
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,1850.0,2800.0,2600.0,2017-09-13,2
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,1900.0,2100.0,2000.0,2018-04-04,2
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,1900.0,2100.0,2000.0,2017-12-23,5
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,1950.0,2800.0,2610.0,2017-08-10,3
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2410.0,2810.0,2610.0,2017-08-11,4
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,2500.0,2900.0,2700.0,2017-08-17,3
Madurai,Usilampatty,Jowar(Sorghum),Local,FAQ,2100.0,2300.0,2200.0,2018-11-14,2
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1300.0,1360.0,1340.0,2018-08-06,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1410.0,2440.0,1410.0,2016-08-18,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1511.0,1860.0,1860.0,2015-05-12,1
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1570.0,1570.0,1570.0,2015-11-06,4
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1625.0,2689.0,2650.0,2017-01-23,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1700.0,1720.0,1710.0,2018-03-09,4
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1700.0,1720.0,1710.0,2017-11-16,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1700.0,1720.0,1710.0,2018-03-19,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1700.0,1720.0,1710.0,2017-12-26,1
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1700.0,1850.0,1800.0,2018-02-21,2
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1700.0,2220.0,2000.0,2017-07-10,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1730.0,1750.0,1740.0,2018-12-26,2
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2415.0,2415.0,2415.0,2016-12-01,3
Coimbatore,Annur,Jowar(Sorghum),Other,FAQ,2800.0,3000.0,2900.0,2017-08-19,5
Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,1349.0,1349.0,1349.0,2015-03-12,3
Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,3509.0,3509.0,3509.0,2016-06-01,2
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,1600.0,1620.0,1610.0,2015-11-25,2
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,1800.0,2000.0,1900.0,2016-04-16,5
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,2000.0,2500.0,2250.0,2017-11-06,0
Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,2000.0,2500.0,2250.0,2017-08-19,5
Tuticorin,Kovilpatti,Jowar(Sorghum),White,FAQ,1380.0,1400.0,1400.0,2015-08-04,1
Thiruchirappalli,Manapparai,Jowar(Sorghum),Other,FAQ,2400.0,2600.0,2500.0,2015-01-05,0
Thiruchirappalli,Manapparai,Jowar(Sorghum),Other,FAQ,2400.0,2600.0,2500.0,2015-02-26,3
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2150.0,2350.0,2250.0,2018-10-20,5
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2160.0,2360.0,2260.0,2018-11-16,4
Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2210.0,2360.0,2310.0,2018-12-04,1
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2300.0,2700.0,2500.0,2018-09-18,1
Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2350.0,2750.0,2550.0,2018-09-06,3
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,1900.0,2100.0,2000.0,2018-03-07,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,1900.0,2300.0,2200.0,2018-06-06,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2000.0,2400.0,2200.0,2015-05-06,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2200.0,2400.0,2300.0,2015-06-24,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2200.0,2500.0,2400.0,2015-10-07,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2016-03-09,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2016-05-13,4
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2300.0,2500.0,2400.0,2016-03-16,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2400.0,2600.0,2500.0,2016-07-22,4
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2400.0,2600.0,2500.0,2015-03-25,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2500.0,2700.0,2600.0,2015-02-11,2
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2500.0,2700.0,2600.0,2016-09-16,4
Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2500.0,5000.0,4000.0,2016-08-05,4
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,1900.0,2100.0,1950.0,2017-12-27,2
Coimbatore,Thiruppur,Jowar(Sorghum),White,FAQ,1900.0,2100.0,2000.0,2018-03-26,0
Madurai,Usilampatty,Jowar(Sorghum),Local,FAQ,2100.0,2300.0,2200.0,2018-11-12,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1089.0,2000.0,1098.0,2018-04-11,2
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1200.0,1570.0,1570.0,2016-03-03,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1369.0,0.0,0.0,2015-10-01,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1460.0,2890.0,2890.0,2016-08-02,1
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1530.0,2900.0,1600.0,2015-06-29,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1550.0,1550.0,1550.0,2015-03-06,4
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1560.0,1560.0,1560.0,2015-05-13,2
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1625.0,2489.0,2000.0,2017-02-20,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1650.0,1650.0,1650.0,2016-06-17,4
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1700.0,1720.0,1710.0,2017-11-10,4
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1725.0,1725.0,1725.0,2015-12-02,2
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1860.0,1860.0,1860.0,2016-09-07,2
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2020.0,3360.0,3000.0,2015-02-11,2
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2110.0,2110.0,2110.0,2016-09-28,2
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2200.0,2200.0,2200.0,2015-08-17,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2489.0,3720.0,3200.0,2015-06-01,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2650.0,2650.0,2650.0,2017-03-28,1
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2700.0,2739.0,2720.0,2018-09-10,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2769.0,3402.0,3000.0,2017-03-20,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2890.0,2891.0,2890.0,2017-05-19,4
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2520.0,2520.0,2520.0,2016-08-23,1
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2689.0,2689.0,2689.0,2015-08-20,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2810.0,2810.0,2810.0,2017-06-08,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3289.0,3289.0,3289.0,2017-03-06,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3300.0,3389.0,3360.0,2018-10-25,3
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3689.0,3889.0,3800.0,2015-02-16,0
Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3867.0,3867.0,3867.0,2015-02-23,0
Virudhunagar,Virudhunagar,Jowar(Sorghum),Red,FAQ,1900.0,2000.0,1950.0,2018-11-23,4
