District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Erode,Alangeyam,Maize,Other,FAQ,1210.0,1250.0,1220.0,2015-02-14,5
Erode,Alangeyam,Maize,Other,FAQ,1501.0,1512.0,1506.0,2016-04-26,1
Erode,Alangeyam,Maize,Other,FAQ,2621.0,2626.0,2626.0,2016-06-07,1
Erode,Alangeyam,Maize,Yellow,FAQ,1640.0,1720.0,1680.0,2017-09-05,1
Coimbatore,Anaimalai,Maize,Other,FAQ,1600.0,1700.0,1650.0,2017-09-08,4
Coimbatore,Annur,Maize,Other,FAQ,1450.0,1550.0,1500.0,2016-12-26,0
Erode,Anthiyur,Maize,Other,FAQ,1139.0,1170.0,1162.0,2015-02-09,0
Erode,Anthiyur,Maize,Other,FAQ,1179.0,1206.0,1179.0,2018-03-12,0
Erode,Anthiyur,Maize,Other,FAQ,1211.0,1289.0,1269.0,2018-04-30,0
Erode,Anthiyur,Maize,Other,FAQ,1231.0,1342.0,1301.0,2015-06-15,0
Erode,Anthiyur,Maize,Other,FAQ,1242.0,1261.0,1258.0,2018-02-19,0
Erode,Anthiyur,Maize,Other,FAQ,1250.0,1331.0,1301.0,2015-05-18,0
Erode,Anthiyur,Maize,Other,FAQ,1262.0,1330.0,1301.0,2015-04-27,0
Erode,Anthiyur,Maize,Other,FAQ,1356.0,1356.0,1356.0,2018-10-01,0
Erode,Anthiyur,Maize,Other,FAQ,1429.0,1479.0,1459.0,2015-08-17,0
Erode,Anthiyur,Maize,Other,FAQ,1450.0,1516.0,1501.0,2016-12-05,0
Erode,Anthiyur,Maize,Other,FAQ,1686.0,1829.0,1752.0,2016-07-18,0
Ariyalur,Ariyalur Market,Maize,Other,FAQ,738.0,858.0,838.0,2017-10-20,4
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1060.0,1152.0,1149.0,2015-01-08,3
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1079.0,1159.0,1149.0,2015-01-12,0
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1096.0,1169.0,1127.0,2015-02-09,0
Ariyalur,Ariyalur Market,Maize,Other,FAQ,1169.0,1479.0,1369.0,2018-10-22,0
