District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-01,1
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-01,6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-02,2
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-02,0
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-03,3
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-03,1
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-04,4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-04,2
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-05,5
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-05,3
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-06,4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-07,0
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-07,5
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-08,1
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-08,6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-09,2
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-09,0
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-10,3
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-11,4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-11,2
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-12,5
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-12,3
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-13,6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-13,4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-14,5
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-15,1
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-15,6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-16,2
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-16,0
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-17,3
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-17,1
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-18,4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-18,2
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-19,5
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-20,4
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-07-21,0
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-21,5
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-22,6
Thiruvellore,Ambattur(Farmers Market),Chili Red,Bold,Local,20000.0,20000.0,20000.0,2025-06-23,0
