District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Erode,Anthiyur,Red Gram,Other,FAQ,3619.0,5229.0,4519.0,2015-03-23,0
Erode,Anthiyur,Red Gram,Other,FAQ,3789.0,4616.0,4466.0,2015-03-30,0
Erode,Anthiyur,Red Gram,Other,FAQ,4596.0,5049.0,4859.0,2015-01-26,0
Erode,Anthiyur,Red Gram,Other,FAQ,4716.0,5689.0,5369.0,2015-03-16,0
Erode,Anthiyur,Red Gram,Other,FAQ,4866.0,5369.0,5119.0,2015-02-02,0
Erode,Anthiyur,Red Gram,Other,FAQ,4909.0,5389.0,5266.0,2015-02-09,0
Erode,Anthiyur,Red Gram,Other,FAQ,5149.0,5750.0,5419.0,2015-02-16,0
Erode,Anthiyur,Red Gram,Other,FAQ,5579.0,5950.0,5819.0,2015-03-09,0
Erode,Anthiyur,Red Gram,Other,FAQ,5801.0,6210.0,6119.0,2015-03-02,0
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2069.0,2069.0,2069.0,2015-10-06,1
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2469.0,2469.0,2469.0,2015-03-02,0
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2469.0,2469.0,2469.0,2015-02-26,3
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2819.0,2819.0,2819.0,2015-03-09,0
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2819.0,2819.0,2819.0,2015-01-12,0
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2819.0,2819.0,2819.0,2015-02-25,2
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2869.0,3100.0,2985.0,2015-01-09,4
Thiruvannamalai,Arani,Red Gram,Other,FAQ,2989.0,2989.0,2989.0,2015-03-13,4
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3029.0,3029.0,3029.0,2015-01-08,3
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3029.0,3229.0,3129.0,2015-02-12,3
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3062.0,3062.0,3062.0,2015-01-13,1
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3129.0,3129.0,3129.0,2015-01-23,4
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3149.0,3149.0,3149.0,2015-01-22,3
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3370.0,3370.0,3370.0,2015-03-23,0
Thiruvannamalai,Arani,Red Gram,Other,FAQ,3988.0,3988.0,3988.0,2015-04-08,2
Thiruvannamalai,Arani,Red Gram,Other,FAQ,4010.0,4010.0,4010.0,2015-01-05,0
Villupuram,Avalurpet,Red Gram,Other,FAQ,4910.0,0.0,0.0,2015-04-10,4
Erode,Boothapadi,Red Gram,Other,FAQ,3029.0,4449.0,3739.0,2015-03-10,1
Erode,Boothapadi,Red Gram,Other,FAQ,4714.0,5319.0,5018.0,2015-03-03,1
Erode,Boothapadi,Red Gram,Other,FAQ,4769.0,5009.0,5001.0,2015-02-03,1
Erode,Boothapadi,Red Gram,Other,FAQ,5009.0,5109.0,5059.0,2015-02-10,1
Erode,Boothapadi,Red Gram,Other,FAQ,5171.0,5349.0,5260.0,2015-02-17,1
Erode,Boothapadi,Red Gram,Other,FAQ,5489.0,5919.0,5704.0,2015-02-24,1
Villupuram,Chinnasalem,Red Gram,Other,FAQ,1801.0,0.0,0.0,2015-04-01,2
Villupuram,Gingee,Red Gram,Other,FAQ,1829.0,1829.0,1829.0,2015-05-20,2
Villupuram,Kallakurichi,Red Gram,Other,FAQ,3099.0,4299.0,3699.0,2015-03-23,0
Villupuram,Kallakurichi,Red Gram,Other,FAQ,3889.0,3889.0,3889.0,2015-03-20,4
Villupuram,Kallakurichi,Red Gram,Other,FAQ,3897.0,4599.0,4248.0,2015-03-24,1
Villupuram,Kallakurichi,Red Gram,Other,FAQ,3999.0,4519.0,4259.0,2015-03-19,3
Villupuram,Kallakurichi,Red Gram,Other,FAQ,4289.0,4399.0,4344.0,2015-03-16,0
Villupuram,Kallakurichi,Red Gram,Other,FAQ,4292.0,4469.0,4381.0,2015-03-18,2
Vellore,Katpadi,Red Gram,Other,FAQ,3500.0,3700.0,3600.0,2015-02-05,3
Vellore,Katpadi,Red Gram,Other,FAQ,3650.0,3705.0,3701.0,2015-02-12,3
Villupuram,Thirukovilur,Red Gram,Other,FAQ,4204.0,0.0,0.0,2015-04-09,3
Villupuram,Thiryagadurgam,Red Gram,Other,FAQ,800.0,800.0,800.0,2015-03-16,0
Villupuram,Thiryagadurgam,Red Gram,Other,FAQ,1249.0,1249.0,1249.0,2015-02-16,0
Villupuram,Thiryagadurgam,Red Gram,Other,FAQ,1500.0,1500.0,1500.0,2015-03-11,2
Villupuram,Thiryagadurgam,Red Gram,Other,FAQ,1509.0,0.0,0.0,2015-01-29,3
Villupuram,Thiryagadurgam,Red Gram,Other,FAQ,1879.0,1879.0,1879.0,2015-02-12,3
Villupuram,Thiryagadurgam,Red Gram,Other,FAQ,2009.0,2009.0,2009.0,2015-02-06,4
Villupuram,Thiryagadurgam,Red Gram,Other,FAQ,2009.0,2009.0,2009.0,2015-01-30,4
Villupuram,Thiryagadurgam,Red Gram,Other,FAQ,2375.0,2375.0,2375.0,2015-02-13,4
Villupuram,Thiryagadurgam,Red Gram,Other,FAQ,3009.0,3009.0,3009.0,2015-10-19,0
Villupuram,Tindivanam,Red Gram,Other,FAQ,799.0,0.0,0.0,2015-11-13,4
Villupuram,Tindivanam,Red Gram,Other,FAQ,1090.0,2200.0,1645.0,2015-10-01,3
Villupuram,Tindivanam,Red Gram,Other,FAQ,1219.0,2500.0,1860.0,2015-10-07,2
Villupuram,Tindivanam,Red Gram,Other,FAQ,1350.0,0.0,0.0,2015-12-18,4
Villupuram,Tindivanam,Red Gram,Other,FAQ,1399.0,0.0,0.0,2015-10-12,0
Villupuram,Tindivanam,Red Gram,Other,FAQ,1479.0,0.0,0.0,2015-10-28,2
Villupuram,Tindivanam,Red Gram,Other,FAQ,1512.0,0.0,0.0,2015-10-26,0
Villupuram,Tindivanam,Red Gram,Other,FAQ,1619.0,3159.0,2389.0,2015-10-09,4
Villupuram,Tindivanam,Red Gram,Other,FAQ,1800.0,1980.0,1940.0,2015-11-05,3
Villupuram,Tindivanam,Red Gram,Other,FAQ,1900.0,2300.0,2100.0,2015-10-05,0
Villupuram,Tindivanam,Red Gram,Other,FAQ,1900.0,3019.0,2460.0,2015-10-08,3
Villupuram,Tindivanam,Red Gram,Other,FAQ,2299.0,0.0,0.0,2015-10-29,3
Villupuram,Tindivanam,Red Gram,Other,FAQ,2389.0,0.0,0.0,2015-09-29,1
Villupuram,Tindivanam,Red Gram,Other,FAQ,2519.0,3970.0,3280.0,2015-10-16,4
Villupuram,Tindivanam,Red Gram,Other,FAQ,4509.0,0.0,0.0,2016-01-14,3
Villupuram,Tindivanam,Red Gram,Other,FAQ,6009.0,0.0,0.0,2015-10-14,2
Villupuram,Tindivanam,Red Gram,Other,FAQ,6199.0,8509.0,7409.0,2016-01-11,0
Villupuram,Tindivanam,Red Gram,Other,FAQ,7509.0,0.0,0.0,2016-01-07,3
Villupuram,Tindivanam,Red Gram,Other,FAQ,8229.0,0.0,0.0,2016-01-08,4
Villupuram,Tindivanam,Red Gram,Other,FAQ,8509.0,0.0,0.0,2015-12-14,0
Villupuram,Ulundurpettai,Red Gram,Other,FAQ,4212.0,4212.0,4212.0,2015-10-08,3
Vellore,Vellore,Red Gram,Other,FAQ,1069.0,1889.0,1800.0,2015-05-18,0
Vellore,Vellore,Red Gram,Other,FAQ,1589.0,1589.0,1589.0,2015-12-07,0
Vellore,Vellore,Red Gram,Other,FAQ,1889.0,5890.0,4000.0,2015-11-05,3
Vellore,Vellore,Red Gram,Other,FAQ,2069.0,2069.0,2069.0,2015-09-25,4
Vellore,Vellore,Red Gram,Other,FAQ,2201.0,4379.0,4000.0,2015-03-30,0
Vellore,Vellore,Red Gram,Other,FAQ,2368.0,3550.0,3000.0,2015-05-04,0
Vellore,Vellore,Red Gram,Other,FAQ,2500.0,3001.0,2700.0,2015-08-13,3
Vellore,Vellore,Red Gram,Other,FAQ,3000.0,5278.0,4000.0,2015-09-14,0
Vellore,Vellore,Red Gram,Other,FAQ,3011.0,3011.0,3011.0,2015-09-07,0
Vellore,Vellore,Red Gram,Other,FAQ,3050.0,3050.0,3050.0,2016-01-08,4
Vellore,Vellore,Red Gram,Other,FAQ,3111.0,4101.0,4000.0,2015-04-28,1
Vellore,Vellore,Red Gram,Other,FAQ,3238.0,4388.0,4000.0,2015-03-16,0
Vellore,Vellore,Red Gram,Other,FAQ,3320.0,3420.0,3400.0,2015-01-05,0
Vellore,Vellore,Red Gram,Other,FAQ,3489.0,3489.0,3489.0,2015-01-06,1
Vellore,Vellore,Red Gram,Other,FAQ,3500.0,3500.0,3500.0,2015-05-27,2
Vellore,Vellore,Red Gram,Other,FAQ,3500.0,3790.0,3700.0,2015-01-21,2
Vellore,Vellore,Red Gram,Other,FAQ,3501.0,3850.0,3800.0,2015-01-30,4
Vellore,Vellore,Red Gram,Other,FAQ,3501.0,4311.0,4000.0,2015-02-27,4
Vellore,Vellore,Red Gram,Other,FAQ,3510.0,3750.0,3700.0,2015-01-08,3
Vellore,Vellore,Red Gram,Other,FAQ,3510.0,4160.0,4000.0,2015-02-09,0
Vellore,Vellore,Red Gram,Other,FAQ,3600.0,4250.0,4000.0,2015-02-26,3
Vellore,Vellore,Red Gram,Other,FAQ,3651.0,3711.0,3700.0,2015-01-09,4
Vellore,Vellore,Red Gram,Other,FAQ,3656.0,4317.0,4000.0,2015-04-01,2
Vellore,Vellore,Red Gram,Other,FAQ,3690.0,3690.0,3690.0,2015-06-17,2
Vellore,Vellore,Red Gram,Other,FAQ,3690.0,3720.0,3700.0,2015-01-12,0
Vellore,Vellore,Red Gram,Other,FAQ,3701.0,5610.0,4000.0,2015-09-15,1
Vellore,Vellore,Red Gram,Other,FAQ,3710.0,3830.0,3800.0,2015-01-22,3
Vellore,Vellore,Red Gram,Other,FAQ,3711.0,3719.0,3715.0,2015-02-03,1
Vellore,Vellore,Red Gram,Other,FAQ,3720.0,3720.0,3720.0,2015-01-07,2
Vellore,Vellore,Red Gram,Other,FAQ,3720.0,3720.0,3720.0,2015-01-14,2
Vellore,Vellore,Red Gram,Other,FAQ,3720.0,3910.0,3800.0,2015-02-05,3
Vellore,Vellore,Red Gram,Other,FAQ,3730.0,3730.0,3730.0,2015-01-13,1
Vellore,Vellore,Red Gram,Other,FAQ,3730.0,4160.0,4000.0,2015-02-06,4
Vellore,Vellore,Red Gram,Other,FAQ,3750.0,4062.0,4000.0,2015-02-04,2
Vellore,Vellore,Red Gram,Other,FAQ,3768.0,4570.0,4200.0,2015-04-09,3
Vellore,Vellore,Red Gram,Other,FAQ,3770.0,4330.0,4000.0,2015-02-18,2
Vellore,Vellore,Red Gram,Other,FAQ,3771.0,3771.0,3771.0,2015-01-19,0
Vellore,Vellore,Red Gram,Other,FAQ,3800.0,3910.0,3900.0,2015-01-29,3
Vellore,Vellore,Red Gram,Other,FAQ,3800.0,4450.0,4000.0,2015-06-25,3
Vellore,Vellore,Red Gram,Other,FAQ,3811.0,3910.0,3900.0,2015-02-02,0
Vellore,Vellore,Red Gram,Other,FAQ,3820.0,3890.0,3850.0,2015-01-20,1
Vellore,Vellore,Red Gram,Other,FAQ,3820.0,4311.0,4000.0,2015-03-04,2
Vellore,Vellore,Red Gram,Other,FAQ,3838.0,4567.0,4000.0,2015-03-17,1
Vellore,Vellore,Red Gram,Other,FAQ,3850.0,4080.0,4000.0,2015-01-23,4
Vellore,Vellore,Red Gram,Other,FAQ,3860.0,4378.0,4000.0,2015-03-02,0
Vellore,Vellore,Red Gram,Other,FAQ,3860.0,4460.0,4000.0,2015-03-13,4
Vellore,Vellore,Red Gram,Other,FAQ,3889.0,3889.0,3889.0,2015-02-17,1
Vellore,Vellore,Red Gram,Other,FAQ,3889.0,4311.0,4000.0,2015-05-07,3
Vellore,Vellore,Red Gram,Other,FAQ,3889.0,4371.0,4000.0,2015-03-03,1
Vellore,Vellore,Red Gram,Other,FAQ,3889.0,4520.0,4000.0,2015-03-23,0
Vellore,Vellore,Red Gram,Other,FAQ,3890.0,3890.0,3890.0,2015-07-20,0
Vellore,Vellore,Red Gram,Other,FAQ,3890.0,4030.0,4000.0,2015-01-27,1
Vellore,Vellore,Red Gram,Other,FAQ,3890.0,4280.0,4000.0,2015-02-16,0
Vellore,Vellore,Red Gram,Other,FAQ,3908.0,4389.0,4000.0,2015-03-24,1
Vellore,Vellore,Red Gram,Other,FAQ,3910.0,4469.0,4300.0,2015-04-08,2
Vellore,Vellore,Red Gram,Other,FAQ,3919.0,4327.0,4000.0,2015-04-07,1
Vellore,Vellore,Red Gram,Other,FAQ,3978.0,4589.0,4400.0,2015-03-18,2
Vellore,Vellore,Red Gram,Other,FAQ,3989.0,4569.0,4000.0,2015-03-25,2
Vellore,Vellore,Red Gram,Other,FAQ,4010.0,4489.0,4400.0,2015-03-19,3
Vellore,Vellore,Red Gram,Other,FAQ,4019.0,4319.0,4200.0,2015-03-31,1
Vellore,Vellore,Red Gram,Other,FAQ,4020.0,4170.0,4100.0,2015-02-11,2
Vellore,Vellore,Red Gram,Other,FAQ,4071.0,4071.0,4071.0,2015-05-13,2
Vellore,Vellore,Red Gram,Other,FAQ,4077.0,7125.0,6000.0,2015-10-23,4
Vellore,Vellore,Red Gram,Other,FAQ,4080.0,4120.0,4100.0,2015-02-10,1
Vellore,Vellore,Red Gram,Other,FAQ,4110.0,4320.0,4200.0,2015-02-13,4
Vellore,Vellore,Red Gram,Other,FAQ,4111.0,4111.0,4111.0,2015-04-22,2
