District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Nagercoil (Kannyiakumari),Eathamozhi,Rubber,Other,FAQ,8400.0,10600.0,9500.0,2019-08-16,4
Nagercoil (Kannyiakumari),Eathamozhi,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-06-06,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,9000.0,8000.0,2016-02-26,4
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2017-01-02,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2017-01-04,2
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-11-05,5
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-10-10,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-11-12,5
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-11-14,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2017-01-21,5
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-10-22,5
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-10-24,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-10-25,1
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,11000.0,9000.0,2016-11-29,1
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7000.0,12000.0,9000.0,2015-07-23,3
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300.0,12300.0,9800.0,2016-09-13,1
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300.0,12300.0,9800.0,2016-09-16,4
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300.0,12300.0,9800.0,2016-09-17,5
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300.0,12300.0,9800.0,2016-09-20,1
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300.0,12300.0,9800.0,2016-09-21,2
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300.0,12300.0,9800.0,2016-09-22,3
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300.0,12300.0,9800.0,2016-09-23,4
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7300.0,12300.0,9800.0,2016-09-26,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7500.0,8500.0,8000.0,2016-02-29,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,7700.0,12700.0,10200.0,2016-10-15,5
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,9000.0,8500.0,2016-04-05,1
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,9000.0,8500.0,2016-04-06,2
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,9000.0,8500.0,2016-04-07,3
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,9000.0,8500.0,2016-04-08,4
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,9000.0,8500.0,2016-04-09,5
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,9000.0,8500.0,2016-04-14,3
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,9000.0,8500.0,2016-04-15,4
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,10000.0,9000.0,2016-10-04,1
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,10000.0,9000.0,2016-10-05,2
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,10000.0,9000.0,2016-07-12,1
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,10000.0,9000.0,2016-06-16,3
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8000.0,10000.0,9000.0,2016-06-30,3
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8400.0,10600.0,9000.0,2019-11-04,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8400.0,10600.0,9300.0,2020-01-29,2
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8400.0,13400.0,10900.0,2016-09-28,2
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8400.0,13400.0,10900.0,2016-09-29,3
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8400.0,13400.0,10900.0,2016-09-30,4
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8500.0,10500.0,9000.0,2018-10-20,5
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8500.0,10500.0,9500.0,2016-12-16,4
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,8500.0,11500.0,9500.0,2016-10-07,4
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-08-01,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-05-02,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-05-04,2
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-08-05,4
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-08-08,0
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-08-10,2
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-08-11,3
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-08-16,1
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-07-23,5
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-06-23,3
Nagercoil (Kannyiakumari),Kalliakavillai,Rubber,Other,FAQ,9000.0,10000.0,9500.0,2016-05-24,1
