District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,1500.0,2000.0,2000.0,2025-06-09,0
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,1800.0,2000.0,2000.0,2025-04-26,5
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,1800.0,2000.0,2000.0,2025-04-27,6
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2200.0,2200.0,2025-06-19,3
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2200.0,2200.0,2025-06-21,5
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2200.0,2200.0,2025-06-22,6
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2200.0,2200.0,2024-11-25,0
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2400.0,2400.0,2025-02-03,0
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2400.0,2400.0,2024-12-04,2
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2400.0,2400.0,2025-06-11,2
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2500.0,2500.0,2025-04-01,1
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2500.0,2500.0,2024-12-02,0
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2500.0,2500.0,2025-06-02,0
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2500.0,2500.0,2024-12-03,1
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2500.0,2500.0,2025-06-03,1
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2500.0,2500.0,2025-03-03,0
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2500.0,2500.0,2025-02-04,1
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2500.0,2500.0,2025-03-04,1
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2500.0,2500.0,2024-12-05,3
Dharmapuri,AJattihalli(Farmers Market),Tapioca,Tapioca,Local,2000.0,2500.0,2500.0,2025-05-05,0
