District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Coimbatore,Anaimalai,Turmeric,Other,FAQ,7200.0,7800.0,7500.0,2022-06-16,3
Erode,Anthiyur,Turmeric,Finger,FAQ,7450.0,7550.0,7500.0,2016-11-23,2
Erode,Anthiyur,Turmeric,Finger,FAQ,7950.0,8050.0,8000.0,2016-11-24,3
Erode,Anthiyur,Turmeric,Finger,FAQ,8889.0,9100.0,8995.0,2016-11-17,3
Erode,Anthiyur,Turmeric,Other,FAQ,1900.0,2000.0,2000.0,2022-08-02,1
Erode,Anthiyur,Turmeric,Other,FAQ,2800.0,3000.0,2900.0,2022-08-11,3
Erode,Anthiyur,Turmeric,Other,FAQ,5100.0,6650.0,5875.0,2022-08-23,1
Erode,Anthiyur,Turmeric,Other,FAQ,5700.0,7205.0,7055.0,2018-10-15,0
Erode,Anthiyur,Turmeric,Other,FAQ,7030.0,7060.0,7055.0,2018-10-30,1
Erode,Anthiyur,Turmeric,Other,FAQ,7050.0,7205.0,7140.0,2018-10-17,2
Dharmapuri,Arur,Turmeric,Bulb,FAQ,10769.0,12299.0,10769.0,2023-08-11,4
Dharmapuri,Arur,Turmeric,Bulb,FAQ,14799.0,15679.0,15299.0,2024-06-07,4
Dharmapuri,Arur,Turmeric,Finger,FAQ,12009.0,18090.0,17590.0,2024-06-07,4
Dharmapuri,Arur,Turmeric,Finger,FAQ,12400.0,12400.0,12400.0,2024-06-05,2
Dharmapuri,Arur,Turmeric,Finger,FAQ,12809.0,13169.0,13169.0,2023-08-11,4
Salem,Attur,Turmeric,Finger,FAQ,3900.0,7100.0,5500.0,2023-03-23,3
Salem,Attur,Turmeric,Finger,FAQ,3950.0,7050.0,6000.0,2021-07-10,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,6950.0,5950.0,2021-07-19,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,6950.0,5950.0,2021-07-22,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,6950.0,5950.0,2021-07-23,4
Salem,Attur,Turmeric,Finger,FAQ,4000.0,6950.0,5950.0,2021-07-26,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7050.0,5900.0,2023-03-17,4
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7050.0,5900.0,2023-03-18,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7150.0,6150.0,2021-07-01,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7150.0,6150.0,2021-07-02,4
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7150.0,6150.0,2021-07-05,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7150.0,6150.0,2021-06-29,1
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7150.0,6150.0,2021-06-30,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7900.0,6000.0,2022-03-28,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7900.0,6500.0,2022-07-12,1
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7910.0,6400.0,2022-07-13,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7920.0,6350.0,2022-07-14,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7920.0,6450.0,2022-07-18,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7930.0,6200.0,2022-04-06,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7930.0,6200.0,2022-04-21,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7930.0,6220.0,2022-03-30,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7930.0,6250.0,2022-04-11,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7930.0,6400.0,2022-07-15,4
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7930.0,6400.0,2022-07-16,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7930.0,6520.0,2022-05-25,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6150.0,2022-04-05,1
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6200.0,2022-04-20,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6230.0,2022-04-25,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6250.0,2022-04-01,4
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6250.0,2022-04-02,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6260.0,2022-04-12,1
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6430.0,2022-07-20,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6430.0,2022-07-22,4
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6430.0,2022-07-23,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6440.0,2022-08-17,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6440.0,2022-08-18,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6530.0,2022-05-11,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6530.0,2022-05-18,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7940.0,6560.0,2022-05-16,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6250.0,2022-04-18,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6250.0,2022-04-23,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6300.0,2022-04-08,4
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6300.0,2022-04-09,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6300.0,2022-03-31,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6420.0,2022-07-21,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6420.0,2022-07-27,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6440.0,2022-07-25,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6460.0,2022-08-12,4
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6460.0,2022-08-13,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6500.0,2022-04-27,2
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6540.0,2022-05-12,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6550.0,2022-05-28,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7950.0,6560.0,2022-05-19,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6230.0,2022-04-19,1
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6260.0,2022-04-26,1
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6450.0,2022-08-16,1
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6540.0,2022-05-05,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6540.0,2022-05-07,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6540.0,2022-05-09,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6540.0,2022-05-21,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6540.0,2022-05-26,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6540.0,2022-04-28,3
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6550.0,2022-05-02,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7960.0,6550.0,2022-05-14,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7970.0,6550.0,2022-05-23,0
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7970.0,6560.0,2022-04-29,4
Salem,Attur,Turmeric,Finger,FAQ,4000.0,7970.0,6560.0,2022-04-30,5
Salem,Attur,Turmeric,Finger,FAQ,4000.0,8000.0,6000.0,2022-03-22,1
Salem,Attur,Turmeric,Finger,FAQ,4020.0,7040.0,5960.0,2023-03-20,0
Salem,Attur,Turmeric,Finger,FAQ,4030.0,7940.0,6580.0,2022-09-05,0
Salem,Attur,Turmeric,Finger,FAQ,4040.0,7970.0,6060.0,2022-10-14,4
Salem,Attur,Turmeric,Finger,FAQ,4040.0,7970.0,6060.0,2022-10-15,5
Salem,Attur,Turmeric,Finger,FAQ,4040.0,7980.0,6560.0,2022-09-21,2
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7920.0,6100.0,2022-03-26,5
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7930.0,6420.0,2022-08-11,3
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7940.0,6460.0,2022-08-03,2
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7940.0,6500.0,2022-08-25,3
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7950.0,6060.0,2022-10-07,4
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7950.0,6450.0,2022-08-04,3
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7950.0,6450.0,2022-08-08,0
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7950.0,6480.0,2022-08-24,2
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7950.0,6560.0,2022-09-07,2
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7950.0,6570.0,2022-08-30,1
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7960.0,6440.0,2022-08-05,4
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7960.0,6440.0,2022-08-06,5
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7960.0,6470.0,2022-08-23,1
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7960.0,6540.0,2022-09-12,0
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7960.0,6560.0,2022-08-27,5
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7960.0,6560.0,2022-08-29,0
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7960.0,6580.0,2022-09-01,3
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7970.0,6070.0,2022-10-06,3
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7970.0,6550.0,2022-09-09,4
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7970.0,6550.0,2022-09-10,5
Salem,Attur,Turmeric,Finger,FAQ,4050.0,7970.0,6580.0,2022-09-22,3
Salem,Attur,Turmeric,Finger,FAQ,4060.0,7930.0,6080.0,2022-10-11,1
Salem,Attur,Turmeric,Finger,FAQ,4060.0,7970.0,6550.0,2022-09-13,1
Salem,Attur,Turmeric,Finger,FAQ,4060.0,7970.0,6580.0,2022-09-15,3
Salem,Attur,Turmeric,Finger,FAQ,4060.0,7970.0,6580.0,2022-09-17,5
Salem,Attur,Turmeric,Finger,FAQ,4060.0,7980.0,6080.0,2022-10-03,0
Salem,Attur,Turmeric,Finger,FAQ,4060.0,7980.0,6590.0,2022-09-23,4
Salem,Attur,Turmeric,Finger,FAQ,4060.0,7980.0,6590.0,2022-09-24,5
Salem,Attur,Turmeric,Finger,FAQ,4070.0,7950.0,6600.0,2022-09-02,4
Salem,Attur,Turmeric,Finger,FAQ,4070.0,7960.0,6540.0,2022-09-08,3
Salem,Attur,Turmeric,Finger,FAQ,4070.0,7960.0,6560.0,2022-09-14,2
Salem,Attur,Turmeric,Finger,FAQ,4070.0,7960.0,6590.0,2022-09-03,5
Salem,Attur,Turmeric,Finger,FAQ,4070.0,7980.0,6590.0,2022-09-16,4
Salem,Attur,Turmeric,Finger,FAQ,4070.0,7980.0,6590.0,2022-09-19,0
Salem,Attur,Turmeric,Finger,FAQ,4070.0,7990.0,6080.0,2022-10-12,2
Salem,Attur,Turmeric,Finger,FAQ,4070.0,7990.0,6080.0,2022-10-13,3
Salem,Attur,Turmeric,Finger,FAQ,4090.0,7930.0,6440.0,2022-07-29,4
Salem,Attur,Turmeric,Finger,FAQ,4090.0,7930.0,6440.0,2022-07-30,5
Salem,Attur,Turmeric,Finger,FAQ,4090.0,7950.0,6450.0,2022-08-01,0
Salem,Attur,Turmeric,Finger,FAQ,4100.0,7100.0,6150.0,2021-07-16,4
Salem,Attur,Turmeric,Finger,FAQ,4100.0,7100.0,6150.0,2021-07-17,5
Salem,Attur,Turmeric,Finger,FAQ,4100.0,7120.0,5600.0,2023-03-27,0
Salem,Attur,Turmeric,Finger,FAQ,4100.0,7320.0,5640.0,2023-04-12,2
Salem,Attur,Turmeric,Finger,FAQ,4100.0,7930.0,6510.0,2022-05-30,0
Salem,Attur,Turmeric,Finger,FAQ,4110.0,7980.0,6190.0,2022-10-18,1
Salem,Attur,Turmeric,Finger,FAQ,4120.0,7140.0,5640.0,2023-03-28,1
Salem,Attur,Turmeric,Finger,FAQ,4120.0,7140.0,5640.0,2023-03-29,2
Salem,Attur,Turmeric,Finger,FAQ,4120.0,7340.0,5660.0,2023-04-15,5
Salem,Attur,Turmeric,Finger,FAQ,4120.0,7340.0,5660.0,2023-04-17,0
Salem,Attur,Turmeric,Finger,FAQ,4120.0,7960.0,6180.0,2022-10-17,0
Salem,Attur,Turmeric,Finger,FAQ,4122.0,8004.0,6230.0,2023-06-17,5
Salem,Attur,Turmeric,Finger,FAQ,4122.0,8004.0,6230.0,2023-06-19,0
Salem,Attur,Turmeric,Finger,FAQ,4130.0,7340.0,5530.0,2023-04-05,2
Salem,Attur,Turmeric,Finger,FAQ,4130.0,8050.0,6250.0,2022-11-03,3
Salem,Attur,Turmeric,Finger,FAQ,4140.0,7120.0,5620.0,2023-03-30,3
Salem,Attur,Turmeric,Finger,FAQ,4140.0,7310.0,5600.0,2023-04-13,3
Salem,Attur,Turmeric,Finger,FAQ,4140.0,7320.0,5520.0,2023-04-01,5
Salem,Attur,Turmeric,Finger,FAQ,4140.0,7320.0,5520.0,2023-04-03,0
Salem,Attur,Turmeric,Finger,FAQ,4140.0,7320.0,5520.0,2023-03-31,4
Salem,Attur,Turmeric,Finger,FAQ,4140.0,7370.0,5690.0,2023-04-18,1
Salem,Attur,Turmeric,Finger,FAQ,4150.0,7320.0,5620.0,2023-04-19,2
Salem,Attur,Turmeric,Finger,FAQ,4150.0,7330.0,5540.0,2023-04-10,0
Salem,Attur,Turmeric,Finger,FAQ,4150.0,8040.0,7050.0,2022-06-04,5
Salem,Attur,Turmeric,Finger,FAQ,4150.0,8040.0,7050.0,2022-06-06,0
Salem,Attur,Turmeric,Finger,FAQ,4150.0,8040.0,7160.0,2022-06-11,5
Salem,Attur,Turmeric,Finger,FAQ,4150.0,8050.0,7170.0,2022-06-09,3
Salem,Attur,Turmeric,Finger,FAQ,4150.0,8070.0,7160.0,2022-06-08,2
Salem,Attur,Turmeric,Finger,FAQ,4160.0,7980.0,6230.0,2022-10-26,2
Salem,Attur,Turmeric,Finger,FAQ,4160.0,7980.0,6260.0,2022-10-29,5
Salem,Attur,Turmeric,Finger,FAQ,4160.0,8050.0,7050.0,2022-06-03,4
