Crop,Area Under,Yield,Year,District
Paddy,126690,3176,2024,Thanjavur
Jowar,13,1188,2024,Thanjavur
Bajra,4,2652,2024,Thanjavur
Ragi,27,6631,2024,Thanjavur
Maize,723,5546,2024,Thanjavur
Redgram,1,1017,2024,Thanjavur
Banana,3970,43497,2024,Thanjavur
Blackgram,15955,547,2024,Thanjavur
Cashewnuts,1235,237,2024,Thanjavur
Coconut,43429,8305,2024,Thanjavur
Coriander,1,444,2024,Thanjavur
Cotton,216,2206,2024,Thanjavur
Garlic,0,5839,2024,Thanjavur
Greengram,249,419,2024,Thanjavur
Groundnut,7336,3237,2024,Thanjavur
Guava,220,7076,2024,Thanjavur
Lemon,67,6533,2024,Thanjavur
Mango,748,5855,2024,Thanjavur
Mousambi,,,2024,Thanjavur
Onion,22,9696,2024,Thanjavur
Red Chillies,129,528,2024,Thanjavur
Rubber,0,,2024,Thanjavur
Sesame,,,2024,Thanjavur
Sugarcane,2034,81,2024,Thanjavur
Sunflower,0,0,2024,Thanjavur
Tapioca,734,54781,2024,Thanjavur
Turmeric,12,5488,2024,Thanjavur
