State,District,Block,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AMMAPETTAI,THANJAVUR,AMMAPETTAI,,2025-26,0.0,0.0,100.0,5.82,19.71,74.47,37.47,48.71,13.82,9.89,36.96,53.15,0.0,0.0,100.0,100.0,0.0,40.18,59.82,63.65,36.35,49.0,51.0,97.12,2.88,33.29,66.71,27.24,72.76
BUDALUR,THANJAVUR,BUDALUR,,2025-26,0.0,0.0,100.0,8.1,12.04,79.86,32.46,64.01,3.52,0.0,19.44,80.56,0.07,0.0,99.93,100.0,0.0,35.49,64.51,86.9,13.1,40.14,59.86,97.25,2.75,26.2,73.8,32.39,67.61
KUMBAKONAM,THANJAVUR,KUMBAKONAM,,2025-26,0.0,0.0,100.0,1.24,21.99,76.76,31.37,32.7,35.93,2.66,28.63,68.71,0.0,0.0,100.0,100.0,0.0,33.2,66.8,87.39,12.61,35.1,64.9,98.67,1.33,26.39,73.61,27.8,72.2
MADUKKUR,THANJAVUR,MADUKKUR,,2025-26,0.0,0.31,99.69,3.94,20.0,76.06,1.66,48.7,49.64,15.13,51.4,33.47,0.0,0.0,100.0,100.0,0.0,59.17,40.83,71.81,28.19,31.09,68.91,98.13,1.87,23.94,76.06,24.97,75.03
ORATTANADU,THANJAVUR,ORATTANADU,,2025-26,0.04,0.0,99.96,34.07,11.55,54.38,32.74,60.75,6.5,9.25,37.17,53.58,0.0,19.91,80.09,100.0,0.0,39.47,60.53,65.97,34.03,35.4,64.6,96.55,3.45,25.27,74.73,27.08,72.92
PAPANASAM,THANJAVUR,PAPANASAM,,2025-26,0.0,2.9,97.1,0.0,32.9,67.1,78.3,21.7,0.0,16.5,42.9,40.6,0.0,0.0,100.0,100.0,0.0,36.0,64.0,80.2,19.8,57.3,42.7,99.5,0.5,28.7,71.3,41.6,58.4
PATTUKKOTTAI,THANJAVUR,PATTUKKOTTAI,,2025-26,0.0,0.0,100.0,4.25,7.39,88.36,4.63,28.13,67.24,0.52,9.48,90.0,0.0,0.0,100.0,100.0,0.0,58.58,41.42,53.58,46.42,46.98,53.02,98.81,1.19,22.54,77.46,22.31,77.69
PERAVURANI,THANJAVUR,PERAVURANI,,2025-26,0.0,0.22,99.78,0.65,15.2,84.15,13.68,62.76,23.56,6.74,35.33,57.93,0.11,0.0,99.89,95.98,4.02,53.75,46.25,26.93,73.07,13.79,86.21,58.41,41.59,22.91,77.09,13.25,86.75
SETHUBHAVACHATRAM,THANJAVUR,SETHUBHAVACHATRAM,,2025-26,0.08,0.08,99.85,10.99,31.35,57.66,16.02,42.41,41.56,13.54,37.0,49.46,0.31,0.0,99.69,100.0,0.0,52.17,47.83,18.48,81.52,22.6,77.4,98.92,1.08,23.37,76.63,34.03,65.97
THANJAVUR,THANJAVUR,THANJAVUR,,2025-26,0.0,0.0,100.0,7.14,0.74,92.12,16.64,72.75,10.6,2.14,24.69,73.18,0.0,0.0,100.0,100.0,0.0,26.14,73.86,62.89,37.11,39.62,60.38,94.55,5.45,21.94,78.06,31.81,68.19
THIRUPPANANDAL,THANJAVUR,THIRUPPANANDAL,,2025-26,0.0,0.0,100.0,0.21,4.29,95.5,27.86,39.64,32.5,0.07,30.79,69.14,0.0,0.0,100.0,98.21,1.79,34.21,65.79,75.43,24.57,46.5,53.5,97.79,2.21,24.0,76.0,34.07,65.93
THIRUVAIYARU,THANJAVUR,THIRUVAIYARU,,2025-26,0.0,0.0,100.0,3.9,13.25,82.86,16.36,83.64,0.0,1.56,15.84,82.6,0.0,0.0,100.0,100.0,0.0,24.94,75.06,66.49,33.51,40.0,60.0,97.92,2.08,24.68,75.32,25.45,74.55
THIRUVONAM,THANJAVUR,THIRUVONAM,,2025-26,0.07,0.0,99.93,3.29,39.73,56.98,10.6,46.44,42.95,5.44,26.98,67.58,0.0,0.0,100.0,100.0,0.0,49.66,50.34,93.22,6.78,27.32,72.68,98.39,1.61,27.54,72.46,38.93,61.07
TIRUVIDAIMARUDUR,THANJAVUR,TIRUVIDAIMARUDUR,,2025-26,0.0,0.14,99.86,1.36,27.29,71.36,54.57,44.71,0.71,10.93,22.14,66.93,10.07,0.0,89.93,99.79,0.21,43.07,56.93,75.93,24.07,44.0,56.0,98.14,1.86,25.07,74.93,43.86,56.14
