State,District,Block,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
KODAVASAL,THIRUVARUR,KODAVASAL,,2025-26,0.0,0.0,100.0,39.87,13.47,46.67,43.17,54.19,2.64,0.0,6.53,93.47,0.0,0.07,99.93,99.87,0.13,39.47,60.53,89.63,10.37,48.91,51.09,89.57,10.43,12.61,87.39,80.99,19.01
KORADACHERRY,THIRUVARUR,KORADACHERRY,,2025-26,0.0,0.0,100.0,43.36,12.88,43.77,48.49,49.11,2.4,0.21,4.52,95.27,0.0,0.62,99.38,97.33,2.67,38.7,61.3,73.7,26.3,62.6,37.4,99.79,0.21,35.0,65.0,99.38,0.62
KOTTUR,THIRUVARUR,KOTTUR,,2025-26,0.06,0.0,99.94,72.77,0.06,27.17,91.07,8.24,0.69,0.13,8.24,91.64,0.06,0.69,99.25,99.12,0.88,32.33,67.67,97.48,2.52,75.97,24.03,96.42,3.58,22.52,77.48,94.78,5.22
MANNARGUDI,THIRUVARUR,MANNARGUDI,,2025-26,0.0,0.11,99.89,51.63,36.39,11.98,97.64,2.25,0.11,5.23,19.12,75.65,3.21,0.0,96.79,96.51,3.49,84.59,15.41,90.49,9.51,51.57,48.43,99.55,0.45,62.82,37.18,86.16,13.84
MUTHUPETTAI,THIRUVARUR,MUTHUPETTAI,,2025-26,0.0,0.0,100.0,36.81,22.18,41.01,57.55,41.01,1.44,0.24,3.12,96.64,0.0,0.24,99.76,99.64,0.36,27.34,72.66,87.41,12.59,66.07,33.93,98.56,1.44,31.53,68.47,85.85,14.15
NANNILAM,THIRUVARUR,NANNILAM,,2025-26,0.0,0.0,100.0,83.19,16.81,0.0,93.46,6.47,0.07,0.07,1.47,98.47,0.0,0.0,100.0,100.0,0.0,87.26,12.74,100.0,0.0,22.62,77.38,100.0,0.0,74.92,25.08,99.93,0.07
NIDAMANGALAM,THIRUVARUR,NIDAMANGALAM,,2025-26,0.08,0.0,99.92,56.14,24.08,19.77,79.82,19.2,0.98,0.57,10.74,88.69,9.76,0.0,90.24,100.0,0.0,70.79,29.21,91.62,8.38,68.35,31.65,94.14,5.86,67.78,32.22,82.1,17.9
THIRUVARUR,THIRUVARUR,THIRUVARUR,,2025-26,0.0,0.0,100.0,49.56,46.67,3.77,33.51,57.54,8.95,0.09,3.6,96.32,0.0,0.0,100.0,100.0,0.0,75.96,24.04,99.65,0.35,43.95,56.05,100.0,0.0,73.25,26.75,99.74,0.26
TIRUTTURAIPPUNDI,THIRUVARUR,TIRUTTURAIPPUNDI,,2025-26,0.0,0.0,100.0,0.0,4.41,95.59,15.38,70.92,13.71,0.0,0.24,99.76,0.0,0.0,100.0,97.74,2.26,12.4,87.6,98.09,1.91,86.65,13.35,99.64,0.36,7.99,92.01,88.32,11.68
VALANGAIMAN,THIRUVARUR,VALANGAIMAN,,2025-26,0.0,0.0,100.0,83.5,16.5,0.0,100.0,0.0,0.0,0.0,40.78,59.22,1.46,0.0,98.54,99.51,0.49,99.03,0.97,100.0,0.0,92.23,7.77,100.0,0.0,96.12,3.88,100.0,0.0
