State,District,Block,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANDANALLUR,TIRUCHIRAPPALLI,ANDANALLUR,,2025-26,0,0.0,100.0,88.86,0.3,10.84,92.17,6.63,1.2,0.0,0.0,100.0,6.02,0.0,93.98,92.77,7.23,100.0,0.0,72.29,27.71,99.7,0.3,100.0,0.0,49.1,50.9,100.0,0.0
LALGUDI,TIRUCHIRAPPALLI,LALGUDI,,2025-26,0,3.94,96.06,96.98,0.26,2.76,60.71,26.28,13.01,0.0,0.66,99.34,26.68,0.0,73.32,80.29,19.71,100.0,0.0,57.56,42.44,92.77,7.23,99.87,0.13,47.83,52.17,92.64,7.36
MANACHANELLUR,TIRUCHIRAPPALLI,MANACHANELLUR,,2025-26,0,0.0,100.0,53.68,7.06,39.26,63.91,36.09,0.0,0.0,0.0,100.0,18.3,1.23,80.47,100.0,0.0,99.9,0.1,100.0,0.0,100.0,0.0,100.0,0.0,46.83,53.17,100.0,0.0
MANAPPARAI,TIRUCHIRAPPALLI,MANAPPARAI,,2025-26,0,0.0,100.0,17.36,0.0,82.64,81.26,18.74,0.0,0.0,0.0,100.0,1.78,0.0,98.22,100.0,0.0,100.0,0.0,80.28,19.72,99.8,0.2,100.0,0.0,44.18,55.82,100.0,0.0
MANIKANDAM,TIRUCHIRAPPALLI,MANIKANDAM,,2025-26,0,0.0,100.0,91.73,0.0,8.27,65.16,34.59,0.25,0.0,0.0,100.0,14.29,0.0,85.71,98.25,1.75,100.0,0.0,86.72,13.28,100.0,0.0,100.0,0.0,48.37,51.63,100.0,0.0
MARUNGAPURI,TIRUCHIRAPPALLI,MARUNGAPURI,,2025-26,0,0.0,100.0,52.82,1.74,45.44,10.45,89.55,0.0,0.0,0.0,100.0,0.0,0.0,100.0,99.83,0.17,100.0,0.0,80.43,19.57,99.67,0.33,100.0,0.0,48.26,51.74,100.0,0.0
MUSIRI,TIRUCHIRAPPALLI,MUSIRI,,2025-26,0,0.0,100.0,23.53,7.97,68.5,46.81,52.08,1.1,0.0,0.0,100.0,24.14,0.0,75.86,100.0,0.0,100.0,0.0,89.46,10.54,96.94,3.06,100.0,0.0,47.79,52.21,99.88,0.12
PULLAMBADI,TIRUCHIRAPPALLI,PULLAMBADI,,2025-26,0,0.13,99.87,25.54,8.6,65.86,95.43,4.44,0.13,0.0,0.0,100.0,2.96,0.13,96.91,100.0,0.0,100.0,0.0,99.19,0.81,100.0,0.0,99.87,0.13,44.76,55.24,99.73,0.27
TATTAYYANGARPETTAI,TIRUCHIRAPPALLI,TATTAYYANGARPETTAI,,2025-26,0,0.0,100.0,9.74,20.21,70.05,56.54,43.35,0.1,0.0,0.0,100.0,28.59,0.0,71.41,99.9,0.1,100.0,0.0,91.83,8.17,100.0,0.0,100.0,0.0,48.69,51.31,100.0,0.0
THIRUVERAMBUR,TIRUCHIRAPPALLI,THIRUVERAMBUR,,2025-26,0,0.0,100.0,90.58,0.0,9.42,57.19,42.81,0.0,0.17,0.0,99.83,1.2,0.0,98.8,100.0,0.0,100.0,0.0,99.66,0.34,100.0,0.0,100.0,0.0,50.0,50.0,100.0,0.0
THOTTIAM,TIRUCHIRAPPALLI,THOTTIAM,,2025-26,0,0.21,99.79,25.37,17.27,57.36,81.24,18.55,0.21,0.0,1.49,98.51,7.89,0.0,92.11,100.0,0.0,99.79,0.21,66.31,33.69,86.35,13.65,100.0,0.0,43.07,56.93,98.72,1.28
TURAIYUR,TIRUCHIRAPPALLI,TURAIYUR,,2025-26,0,0.0,100.0,9.04,12.89,78.07,44.22,54.7,1.08,0.0,0.0,100.0,29.04,0.36,70.6,97.71,2.29,100.0,0.0,99.88,0.12,100.0,0.0,100.0,0.0,44.7,55.3,100.0,0.0
UPPILIAPURAM,TIRUCHIRAPPALLI,UPPILIAPURAM,,2025-26,0,0.0,100.0,58.08,3.2,38.72,37.12,57.76,5.12,0.0,0.0,100.0,22.72,0.16,77.12,99.52,0.48,100.0,0.0,78.4,21.6,100.0,0.0,100.0,0.0,47.04,52.96,100.0,0.0
VAIYAMPATTI,TIRUCHIRAPPALLI,VAIYAMPATTI,,2025-26,0,0.0,100.0,25.32,41.3,33.39,95.41,4.59,0.0,0.0,0.0,100.0,0.16,0.63,99.21,96.99,3.01,100.0,0.0,93.51,6.49,99.84,0.16,100.0,0.0,48.73,51.27,100.0,0.0
