State,District,Block,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANAKKAVUR,TIRUVANNAMALAI,ANAKKAVUR,,2025-26,1,0,1854,1515,300,40,158,1667,30,0,53,1802,6,1,1848,1854,1,1224,631,429,1426,1411,444,1855,0,1551,304,205,1650
ARANI,TIRUVANNAMALAI,ARANI,,2025-26,0,0,1197,482,458,257,50,1020,127,1,134,1062,0,0,1197,1197,0,740,457,1182,15,118,1079,1197,0,531,666,0,1197
CHENGAM,TIRUVANNAMALAI,CHENGAM,,2025-26,0,0,666,577,84,5,51,545,70,0,17,649,2,1,663,666,0,595,71,242,424,435,231,666,0,504,162,119,547
CHETPUT,TIRUVANNAMALAI,CHETPUT,,2025-26,0,1,476,88,229,161,45,283,150,0,8,470,0,0,478,478,0,273,204,385,92,71,406,477,0,175,302,19,458
CHEYYAR,TIRUVANNAMALAI,CHEYYAR,,2025-26,2,0,1003,659,338,8,14,990,1,0,52,953,0,5,1000,1004,1,996,9,104,901,983,22,1005,0,986,19,243,762
JAWATHU HILLS,TIRUVANNAMALAI,JAWATHU HILLS,,2025-26,0,5,2821,1806,676,344,500,2195,131,14,773,2039,1,28,2797,2824,2,1553,1273,2815,11,706,2120,2826,0,1580,1246,26,2800
KALASAPAKKAM,TIRUVANNAMALAI,KALASAPAKKAM,,2025-26,0,3,1003,671,287,48,84,859,63,2,96,907,3,2,1000,1003,2,897,109,213,793,837,169,1006,0,835,171,124,882
KEELPENNATHUR,TIRUVANNAMALAI,KEELPENNATHUR,,2025-26,1,1,943,418,288,239,53,846,46,4,93,848,1,13,931,945,0,551,394,879,66,159,786,945,0,385,560,0,945
PERNAMALLUR,TIRUVANNAMALAI,PERNAMALLUR,,2025-26,0,0,683,566,99,18,219,440,24,0,34,649,1,0,682,682,0,524,159,296,387,396,287,683,0,470,213,77,606
POLUR,TIRUVANNAMALAI,POLUR,,2025-26,0,1,1057,560,365,133,26,890,142,6,90,962,46,2,1010,1056,1,812,245,896,162,298,760,1058,0,503,555,11,1047
PUDUPALAYAM,TIRUVANNAMALAI,PUDUPALAYAM,,2025-26,0,0,1381,663,509,209,71,1199,111,10,161,1210,1,96,1284,1379,2,1177,204,1034,347,494,887,1381,0,827,554,33,1348
THANDRAMPET,TIRUVANNAMALAI,THANDRAMPET,,2025-26,0,0,990,497,491,2,87,890,13,0,73,917,0,2,988,989,1,984,6,14,976,973,17,990,0,953,37,181,809
THELLAR,TIRUVANNAMALAI,THELLAR,,2025-26,0,1,1098,403,409,287,97,872,130,2,94,1003,5,1,1091,1098,1,618,481,871,228,275,824,1098,1,496,602,35,1064
THURINJAPURAM,TIRUVANNAMALAI,THURINJAPURAM,,2025-26,0,1,492,282,149,62,18,376,99,2,23,468,8,0,485,492,1,388,105,323,170,115,378,493,0,210,283,19,474
TIRUVANNAMALAI,TIRUVANNAMALAI,TIRUVANNAMALAI,,2025-26,0,0,689,221,323,145,54,574,61,2,47,640,0,0,689,686,0,284,405,464,225,72,617,689,0,268,421,2,687
VANDAVASI,TIRUVANNAMALAI,VANDAVASI,,2025-26,0,0,972,367,331,274,43,832,97,0,38,934,1,2,969,972,0,599,373,733,239,255,717,971,0,475,497,17,955
VEMBAKKAM,TIRUVANNAMALAI,VEMBAKKAM,,2025-26,0,0,1185,944,238,3,153,1006,26,4,61,1120,0,3,1181,1183,2,1035,149,171,1014,1047,138,1185,0,1091,94,201,984
WEST ARANI,TIRUVANNAMALAI,WEST ARANI,,2025-26,0,0,1645,788,801,56,183,1448,14,1,136,1508,0,3,1642,1644,1,1581,62,81,1564,1644,1,1645,0,1322,323,340,1305
