district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Ariyalur,Sendurai,2025-02-24,34.2,21.9,27.0,0.0,0.0,0.0,0.0,22.9,42.5,48,23.67,5.9,42709.23,39011.3,100,28,23.2,12.2,3.84,30.2958,36.8,25.3,0.243,0.243,0.243
Ariyalur,Sendurai,2025-02-25,33.2,23.0,27.3,1.0,1.0,0.0,6.0,25.1,46.8,36,21.74,5.68,42745.65,39294.35,98,38,23.1,16.4,3.09,29.8583,35.2,25.8,0.2566,0.265,0.243
Ariyalur,Sendurai,2025-02-26,34.0,23.5,27.8,0.3,0.3,0.0,3.0,27.4,50.4,37,22.85,6.32,42782.23,40300.33,92,34,22.5,16.0,3.49,30.3042,35.8,26.3,0.2692,0.275,0.265
Ariyalur,Sendurai,2025-02-27,34.2,22.9,27.7,0.0,0.0,0.0,0.0,23.1,43.9,38,22.96,6.05,42818.96,39524.59,95,34,22.9,15.4,3.53,30.4125,36.2,26.0,0.2722,0.275,0.268
Ariyalur,Sendurai,2025-02-28,32.1,23.6,27.0,5.5,5.5,0.0,11.0,24.1,44.6,48,18.61,4.48,42855.82,37384.92,92,52,23.6,20.5,2.31,29.4,33.8,26.4,0.2883,0.327,0.27
Ariyalur,Sendurai,2025-03-01,31.5,23.0,26.9,2.0,2.0,0.0,8.0,17.8,34.9,59,16.9,4.08,42892.75,32322.58,97,57,23.3,21.5,1.96,28.925,33.5,25.0,0.312,0.318,0.302
Ariyalur,Sendurai,2025-03-02,33.2,24.0,27.6,2.9,2.9,0.0,9.0,15.0,29.9,64,20.59,4.75,42929.75,38872.41,98,49,24.4,20.6,2.6,30.0292,35.0,25.8,0.313,0.321,0.302
Ariyalur,Sendurai,2025-03-03,34.7,23.8,28.3,0.1,0.1,0.0,1.0,15.1,26.6,68,20.71,5.01,42966.78,37257.57,100,36,24.9,17.5,3.51,31.1125,37.1,26.8,0.2992,0.302,0.291
Ariyalur,Sendurai,2025-03-04,35.6,23.4,28.2,0.0,0.0,0.0,0.0,16.2,30.2,93,23.4,5.44,43003.8,38786.77,100,31,24.5,15.8,4.02,31.7792,38.7,26.9,0.2898,0.3,0.28
Ariyalur,Sendurai,2025-03-05,36.3,22.8,28.3,0.0,0.0,0.0,0.0,14.3,27.7,115,23.59,5.63,43040.8,39980.55,100,27,23.5,14.1,4.44,31.6375,38.8,26.5,0.2898,0.295,0.281
Ariyalur,Sendurai,2025-03-06,36.5,21.2,28.3,0.0,0.0,0.0,0.0,14.8,27.7,137,23.68,5.54,43077.74,39720.89,100,27,23.4,14.2,4.4,31.6333,38.8,25.6,0.2896,0.294,0.281
Ariyalur,Sendurai,2025-03-07,35.8,21.6,28.0,0.0,0.0,0.0,0.0,17.8,29.5,95,25.43,5.83,43114.6,40651.03,100,25,23.2,13.0,4.38,31.8583,39.3,25.9,0.2888,0.294,0.283
Ariyalur,Sendurai,2025-03-08,35.3,22.8,28.2,0.0,0.0,0.0,0.0,15.7,26.6,116,24.74,5.64,43151.35,39595.88,100,27,23.4,13.2,4.19,32.2375,39.6,27.1,0.2849,0.29,0.278
Ariyalur,Sendurai,2025-03-09,34.6,21.1,26.9,0.0,0.0,0.0,0.0,18.2,36.0,77,25.07,6.03,43188.27,40274.91,99,30,22.1,14.2,3.83,31.1042,38.0,25.5,0.2872,0.296,0.277
Ariyalur,Sendurai,2025-03-10,34.4,21.7,27.6,0.0,0.0,0.0,0.0,23.1,42.5,44,22.66,5.97,43225.43,39981.23,90,37,22.0,17.4,3.45,30.6792,37.0,25.7,0.2867,0.296,0.278
Ariyalur,Sendurai,2025-03-11,28.2,23.8,25.5,18.3,18.3,0.0,14.0,23.9,47.5,37,9.83,2.55,43262.79,4484.33,97,72,23.5,20.7,1.07,27.8,29.6,25.5,0.3657,0.497,0.288
Ariyalur,Sendurai,2025-03-12,29.2,23.4,25.6,7.9,7.9,0.0,11.0,20.3,38.2,49,14.15,2.91,43300.36,28866.07,98,71,24.2,22.8,1.18,27.2125,30.6,25.0,0.4607,0.505,0.443
Ariyalur,Sendurai,2025-03-13,33.5,22.8,27.3,0.0,0.0,0.0,0.0,13.9,25.6,91,23.43,5.3,43338.08,38542.29,99,47,24.0,20.8,2.72,29.1583,34.8,24.6,0.4194,0.445,0.398
