district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Ariyalur,T. Palur,2025-02-24,33.0,21.6,26.5,0.0,0.0,0.0,0.0,21.0,38.2,47,23.22,5.39,42726.27,35506.34,100,37,23.3,16.1,3.14,28.5667,34.0,24.1,0.178,0.185,0.17
Ariyalur,T. Palur,2025-02-25,31.5,23.1,27.0,1.0,1.0,0.0,2.0,23.0,45.0,36,20.88,5.01,42761.97,39734.52,97,52,23.0,20.0,2.22,28.7333,32.8,25.1,0.1828,0.2,0.173
Ariyalur,T. Palur,2025-02-26,32.2,24.2,27.6,0.6,0.6,0.0,4.0,25.6,47.5,37,22.47,5.56,42797.85,40217.43,91,47,22.9,19.6,2.53,29.0542,33.4,26.0,0.1957,0.201,0.19
Ariyalur,T. Palur,2025-02-27,32.4,24.0,27.4,0.2,0.2,0.0,2.0,23.0,43.9,40,22.55,5.5,42833.87,39907.52,93,48,23.1,19.5,2.53,29.4333,34.1,26.0,0.1812,0.191,0.173
Ariyalur,T. Palur,2025-02-28,30.5,23.6,26.4,7.8,7.8,0.0,16.0,21.9,45.0,51,19.63,4.24,42870.01,36696.07,94,63,23.7,21.9,1.62,28.2958,32.2,25.2,0.2042,0.245,0.18
Ariyalur,T. Palur,2025-03-01,31.0,23.5,26.8,1.2,1.2,0.0,10.0,17.7,37.8,56,17.29,4.01,42906.23,33871.96,96,59,23.4,21.7,1.78,28.3458,31.9,25.0,0.2425,0.247,0.237
Ariyalur,T. Palur,2025-03-02,32.3,23.5,27.4,0.4,0.4,0.0,4.0,14.4,28.1,77,20.05,4.48,42942.51,39201.07,98,57,24.4,22.0,2.07,29.3042,33.8,25.8,0.2458,0.256,0.238
Ariyalur,T. Palur,2025-03-03,34.4,23.5,27.8,0.4,0.4,0.0,2.0,16.0,30.2,80,21.43,4.96,42978.82,37635.82,100,40,25.1,18.7,3.28,29.7042,35.0,25.8,0.2301,0.238,0.221
Ariyalur,T. Palur,2025-03-04,34.1,23.6,27.7,0.0,0.0,0.0,0.0,14.6,27.0,95,22.97,5.13,43015.13,39006.18,100,43,24.6,19.8,3.05,30.2167,35.8,26.5,0.2167,0.223,0.207
Ariyalur,T. Palur,2025-03-05,34.8,22.9,27.8,0.0,0.0,0.0,0.0,13.4,22.3,106,23.42,5.28,43051.41,37930.51,100,37,24.7,17.6,3.48,30.1333,36.2,25.6,0.2043,0.213,0.192
Ariyalur,T. Palur,2025-03-06,35.0,21.9,27.5,0.0,0.0,0.0,0.0,15.3,28.1,129,22.82,5.3,43087.64,34336.32,100,34,24.1,16.4,3.72,29.8833,35.8,25.0,0.1951,0.203,0.187
Ariyalur,T. Palur,2025-03-07,34.2,22.4,27.3,0.0,0.0,0.0,0.0,15.9,28.1,104,24.56,5.57,43123.79,37030.73,100,32,24.0,15.1,3.64,30.1417,36.1,25.4,0.1821,0.188,0.175
