district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Kanniyakumari,Killiyoor,2025-02-24,33.2,22.1,27.5,0.0,0.0,0.0,0.0,23.7,50.4,267,24.19,5.35,42951.75,40488.19,92,45,22.5,17.9,2.6,29.825,37.7,23.2,0.048,0.051,0.045
Kanniyakumari,Killiyoor,2025-02-25,33.2,22.2,27.5,0.0,0.0,0.0,0.0,18.3,41.0,257,24.07,5.44,42978.13,40517.03,84,39,22.1,16.3,3.02,29.7167,37.2,23.0,0.0312,0.045,0.022
Kanniyakumari,Killiyoor,2025-02-26,32.7,24.5,28.2,3.8,3.8,0.0,6.0,14.8,40.0,272,20.49,4.42,43004.64,39967.92,82,48,23.8,20.0,2.49,29.5208,35.1,24.6,0.034,0.06,0.022
Kanniyakumari,Killiyoor,2025-02-27,31.9,25.0,28.0,1.7,1.7,0.0,6.0,16.4,45.0,258,21.34,4.59,43031.26,40445.27,86,53,24.2,19.8,2.14,29.8,35.4,24.8,0.0397,0.052,0.032
Kanniyakumari,Killiyoor,2025-02-28,31.9,25.0,27.8,7.5,7.5,0.0,7.0,14.4,39.6,268,19.27,4.16,43057.97,33734.95,93,53,25.0,21.2,2.2,29.2167,35.3,25.3,0.0776,0.178,0.03
Kanniyakumari,Killiyoor,2025-03-01,30.0,24.8,26.7,3.5,3.5,0.0,11.0,16.2,36.7,278,15.63,3.22,43084.75,34144.49,96,70,25.1,23.8,1.26,27.5458,31.1,25.6,0.1827,0.195,0.173
Kanniyakumari,Killiyoor,2025-03-02,32.3,24.4,27.4,2.5,2.5,0.0,7.0,20.0,40.7,110,18.42,4.16,43111.57,38395.14,94,54,24.1,21.5,2.2,27.7375,32.2,25.0,0.1744,0.189,0.156
Kanniyakumari,Killiyoor,2025-03-03,31.8,24.1,27.7,0.0,0.0,0.0,0.0,17.1,36.7,212,18.59,4.03,43138.43,37736.07,93,54,25.5,21.4,2.15,28.125,32.0,24.5,0.1605,0.179,0.142
Kanniyakumari,Killiyoor,2025-03-04,31.2,24.0,27.5,0.0,0.0,0.0,0.0,24.7,50.8,255,22.59,4.76,43165.29,34465.86,91,56,25.0,21.0,1.95,28.675,33.3,24.5,0.1238,0.143,0.105
Kanniyakumari,Killiyoor,2025-03-05,32.2,23.2,27.6,0.4,0.4,0.0,4.0,19.1,43.6,228,23.95,5.0,43192.13,40480.68,93,50,24.9,20.4,2.38,29.2875,34.7,24.5,0.0942,0.105,0.083
Kanniyakumari,Killiyoor,2025-03-06,32.3,24.8,28.1,0.2,0.2,0.0,2.0,23.3,50.8,294,21.78,4.76,43218.94,40776.2,92,51,24.5,20.9,2.36,29.5583,34.7,25.1,0.0763,0.088,0.066
Kanniyakumari,Killiyoor,2025-03-07,32.7,23.4,27.4,5.1,5.1,0.0,7.0,18.3,43.2,245,21.88,4.62,43245.69,40804.53,95,48,24.4,20.0,2.58,28.825,35.3,24.4,0.0736,0.102,0.057
