district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Kanniyakumari,Kurunthancode,2025-02-24,36.2,22.5,28.8,0.0,0.0,0.0,0.0,21.9,49.3,53,24.57,6.36,42957.36,40494.25,91,27,22.4,14.1,4.37,29.8958,37.8,23.4,0.0659,0.074,0.06
Kanniyakumari,Kurunthancode,2025-02-25,35.1,21.0,28.3,0.4,0.4,0.0,2.0,9.2,25.9,13,23.84,5.33,42983.5,40522.86,80,34,20.8,16.3,3.72,29.9375,38.5,22.5,0.0574,0.06,0.055
Kanniyakumari,Kurunthancode,2025-02-26,34.8,24.3,29.0,0.5,0.5,0.0,3.0,19.2,49.0,50,20.9,5.34,43009.78,40291.43,80,43,21.2,19.0,3.17,30.3458,36.5,25.2,0.0574,0.06,0.055
Kanniyakumari,Kurunthancode,2025-02-27,34.7,25.1,29.3,1.7,1.7,0.0,5.0,17.3,49.0,37,20.93,5.13,43036.17,40054.84,77,41,21.5,19.5,3.23,31.1625,38.3,26.1,0.0527,0.063,0.047
Kanniyakumari,Kurunthancode,2025-02-28,33.7,24.7,28.3,1.5,1.5,0.0,7.0,17.4,44.3,56,18.94,4.7,43062.64,32350.04,85,46,22.3,20.5,2.8,30.2,36.5,26.4,0.0612,0.101,0.046
Kanniyakumari,Kurunthancode,2025-03-01,32.2,25.2,27.9,1.4,1.4,0.0,6.0,21.0,49.0,64,16.23,4.19,43089.19,35412.82,85,53,22.9,21.1,2.24,28.8208,33.0,26.0,0.0935,0.101,0.08
Kanniyakumari,Kurunthancode,2025-03-02,32.8,24.4,27.4,3.2,3.2,0.0,7.0,18.6,44.6,90,18.7,4.43,43115.78,39082.47,96,52,24.5,21.5,2.39,28.6208,34.6,25.5,0.0887,0.113,0.075
Kanniyakumari,Kurunthancode,2025-03-03,34.8,23.2,28.7,0.8,0.8,0.0,3.0,11.4,29.2,76,18.71,4.61,43142.4,39533.16,94,36,23.2,17.5,3.55,29.0,35.0,24.2,0.1037,0.113,0.097
Kanniyakumari,Kurunthancode,2025-03-04,36.8,22.8,28.8,0.3,0.3,0.0,3.0,11.5,33.1,352,22.79,5.33,43169.02,34628.59,94,20,25.0,10.0,4.91,29.8875,37.5,23.9,0.0872,0.098,0.073
Kanniyakumari,Kurunthancode,2025-03-05,35.0,22.8,28.6,0.0,0.0,0.0,0.0,10.0,29.9,234,24.83,5.55,43195.63,40751.66,97,34,24.8,16.8,3.69,30.5708,38.4,24.0,0.0673,0.073,0.061
