district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Kanniyakumari,Thiruvattar,2025-02-24,37.2,23.1,29.0,0.0,0.0,0.0,0.0,21.0,41.0,266,24.21,5.62,42946.15,40482.13,81,27,22.5,14.4,4.66,33.15,42.7,26.2,0.12,0.12,0.12
Kanniyakumari,Thiruvattar,2025-02-25,36.2,22.0,28.8,0.6,0.6,0.0,4.0,14.8,34.2,256,23.52,5.53,42972.75,40511.2,81,32,22.2,16.9,4.08,33.0542,42.0,26.1,0.1204,0.125,0.119
Kanniyakumari,Thiruvattar,2025-02-26,35.2,25.2,29.4,1.7,1.7,0.0,4.0,13.1,29.5,292,20.6,4.68,42999.5,39597.67,81,42,22.8,20.5,3.26,33.5333,41.4,28.0,0.1284,0.148,0.12
Kanniyakumari,Thiruvattar,2025-02-27,35.0,24.8,29.0,3.3,3.3,0.0,6.0,12.5,27.0,236,20.58,4.65,43026.35,40548.43,86,44,24.6,20.8,3.13,32.625,39.5,28.0,0.1456,0.169,0.129
Kanniyakumari,Thiruvattar,2025-02-28,34.1,25.7,28.6,13.1,13.1,0.0,6.0,6.7,22.0,108,18.69,4.07,43053.29,30678.02,95,49,25.7,21.9,2.73,31.0458,36.5,27.9,0.2088,0.304,0.157
Kanniyakumari,Thiruvattar,2025-03-01,32.8,25.3,27.7,4.6,4.6,0.0,9.0,10.2,26.3,261,15.58,3.4,43080.31,31614.11,96,55,25.1,22.4,2.22,29.4375,33.8,27.1,0.2749,0.315,0.249
Kanniyakumari,Thiruvattar,2025-03-02,33.3,25.0,28.0,0.7,0.7,0.0,5.0,11.6,24.8,99,16.77,3.76,43107.37,37898.65,94,52,24.9,22.0,2.46,29.4833,34.2,26.8,0.3043,0.315,0.282
Kanniyakumari,Thiruvattar,2025-03-03,33.0,24.1,28.4,0.2,0.2,0.0,2.0,15.6,32.0,280,19.23,4.39,43134.46,39792.69,93,53,24.5,22.1,2.38,29.1417,33.1,25.7,0.2914,0.309,0.273
Kanniyakumari,Thiruvattar,2025-03-04,34.8,24.1,28.2,0.0,0.0,0.0,0.0,20.4,41.0,252,23.07,5.1,43161.55,35306.62,90,44,25.0,20.7,3.13,29.5625,34.8,25.5,0.2542,0.275,0.232
Kanniyakumari,Thiruvattar,2025-03-05,34.7,23.5,28.3,0.0,0.0,0.0,0.0,21.5,42.5,235,24.37,5.29,43188.63,40743.78,91,43,24.6,19.9,3.12,30.0417,35.3,25.3,0.2135,0.232,0.193
Kanniyakumari,Thiruvattar,2025-03-06,35.0,23.9,28.4,0.0,0.0,0.0,0.0,20.6,42.8,284,22.2,4.94,43215.66,40772.5,92,41,24.4,19.9,3.29,30.5375,36.0,25.8,0.1768,0.196,0.155
Kanniyakumari,Thiruvattar,2025-03-07,35.2,23.2,28.3,0.2,0.2,0.0,2.0,24.3,47.2,214,22.7,5.13,43242.65,40801.05,94,37,23.9,18.5,3.56,31.5708,38.2,25.6,0.146,0.155,0.139
Kanniyakumari,Thiruvattar,2025-03-08,33.3,24.1,28.5,2.1,2.1,0.0,8.0,17.7,38.2,299,22.22,5.07,43269.57,40829.37,88,52,23.8,21.5,2.45,32.175,39.0,26.3,0.1404,0.148,0.127
Kanniyakumari,Thiruvattar,2025-03-09,34.9,24.2,29.3,0.0,0.0,0.0,0.0,19.2,42.8,268,23.56,5.51,43296.6,40857.49,90,43,24.2,19.0,3.2,32.7417,39.8,26.9,0.1418,0.147,0.137
Kanniyakumari,Thiruvattar,2025-03-10,36.8,21.9,29.2,0.1,0.1,0.0,1.0,15.1,26.3,55,24.89,6.07,43323.82,38662.77,81,33,23.7,14.9,4.13,32.8417,42.7,25.2,0.1377,0.14,0.135
Kanniyakumari,Thiruvattar,2025-03-11,31.2,25.1,28.0,4.6,4.6,0.0,15.0,7.9,22.0,346,10.87,2.55,43351.2,6833.79,96,62,25.6,22.3,1.74,30.95,35.2,27.4,0.1572,0.216,0.14
Kanniyakumari,Thiruvattar,2025-03-12,30.5,24.0,26.9,3.9,3.9,0.0,5.0,11.8,25.2,132,8.57,2.23,43378.73,205.9,96,59,24.4,21.6,1.8,27.9917,30.1,25.7,0.302,0.335,0.216
Kanniyakumari,Thiruvattar,2025-03-13,35.9,22.1,28.6,0.0,0.0,0.0,0.0,12.3,22.7,150,23.82,5.33,43406.37,40970.79,87,39,24.7,19.8,3.61,29.4458,35.3,24.3,0.2903,0.317,0.261
Kanniyakumari,Thiruvattar,2025-03-14,32.5,25.0,28.0,1.4,1.4,0.0,6.0,16.8,34.9,208,21.76,4.53,43434.13,40999.2,90,55,24.4,22.1,2.21,29.875,34.2,25.9,0.2462,0.261,0.223
Kanniyakumari,Thiruvattar,2025-03-15,33.8,23.3,27.9,1.8,1.8,0.0,5.0,16.9,34.2,217,21.51,4.69,43461.96,41027.62,92,48,24.5,21.1,2.75,29.9,34.7,25.5,0.209,0.223,0.195
Kanniyakumari,Thiruvattar,2025-03-16,30.8,24.8,26.9,6.7,6.7,0.0,9.0,8.4,20.2,272,15.69,3.29,43489.88,30369.46,95,66,25.0,22.5,1.52,28.875,32.7,26.0,0.2506,0.321,0.194
Kanniyakumari,Thiruvattar,2025-03-17,33.3,24.6,28.2,0.0,0.0,0.0,0.0,7.4,20.5,247,15.76,3.51,43517.84,30284.35,96,55,25.5,22.6,2.3,29.2417,33.7,25.8,0.3022,0.321,0.281
Kanniyakumari,Thiruvattar,2025-03-18,32.8,25.1,28.2,2.2,2.2,0.0,12.0,14.4,32.0,179,20.91,4.45,43545.82,41112.63,94,57,25.0,23.2,2.13,29.7583,34.1,26.4,0.2815,0.291,0.273
Kanniyakumari,Thiruvattar,2025-03-19,31.4,23.9,27.3,3.6,3.6,0.0,8.0,12.6,27.4,185,16.71,3.58,43573.82,30721.92,97,67,25.1,23.1,1.49,29.1583,32.8,25.7,0.2736,0.291,0.264
Kanniyakumari,Thiruvattar,2025-03-20,36.5,24.2,29.6,0.0,0.0,0.0,0.0,12.1,24.8,45,24.79,5.75,43601.82,41168.94,95,36,25.0,18.8,3.88,30.4583,36.0,25.7,0.2385,0.266,0.209
Kanniyakumari,Thiruvattar,2025-03-21,35.0,24.5,28.6,4.0,4.0,0.0,3.0,13.7,28.4,298,19.17,4.17,43629.79,40939.21,87,50,25.0,21.0,2.83,30.2125,35.4,26.0,0.2028,0.234,0.18
Kanniyakumari,Thiruvattar,2025-03-22,32.0,25.1,27.6,6.0,6.0,0.0,8.0,9.1,27.0,276,15.76,3.35,43657.71,31658.66,93,62,24.5,23.2,1.79,29.3333,32.8,26.8,0.2243,0.29,0.18
