district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Ramanathapuram,Paramakkudi,2025-02-24,34.2,23.2,27.7,0.0,0.0,0.0,0.0,27.2,50.0,57,24.09,6.23,42850.63,40378.19,97,32,23.5,15.0,3.68,30.5958,37.5,25.8,0.143,0.153,0.136
Ramanathapuram,Paramakkudi,2025-02-25,32.7,23.0,27.4,0.9,0.9,0.0,7.0,24.7,45.7,41,21.25,5.34,42881.18,39694.52,96,49,23.0,20.2,2.51,29.9333,35.2,25.8,0.1567,0.176,0.147
Ramanathapuram,Paramakkudi,2025-02-26,33.3,24.4,28.0,1.0,1.0,0.0,8.0,26.6,53.3,43,20.47,5.43,42911.89,39993.44,88,50,22.7,21.0,2.55,29.8917,34.5,26.4,0.1779,0.184,0.174
Ramanathapuram,Paramakkudi,2025-02-27,33.5,24.5,28.1,1.7,1.7,0.0,8.0,24.4,46.4,45,21.01,5.53,42942.72,38969.15,87,47,23.4,20.5,2.76,30.1917,35.2,26.5,0.1714,0.178,0.16
Ramanathapuram,Paramakkudi,2025-02-28,31.5,22.9,26.8,12.7,12.7,0.0,12.0,23.4,46.1,49,17.26,4.11,42973.65,32356.41,94,58,23.7,22.0,1.92,28.9708,32.7,25.2,0.1982,0.25,0.16
Ramanathapuram,Paramakkudi,2025-03-01,29.6,24.3,26.6,10.8,10.8,0.0,17.0,22.6,43.2,58,15.04,3.52,43004.66,25656.43,95,67,23.7,22.6,1.34,28.0083,31.2,25.9,0.26,0.346,0.234
Ramanathapuram,Paramakkudi,2025-03-02,31.3,23.1,27.0,1.7,1.7,0.0,9.0,14.3,33.1,65,18.08,4.01,43035.72,37161.86,97,60,24.2,22.1,1.82,28.5333,32.8,24.7,0.3066,0.345,0.273
Ramanathapuram,Paramakkudi,2025-03-03,33.2,24.6,27.6,1.7,1.7,0.0,7.0,17.5,34.2,69,21.68,4.87,43066.81,36832.44,97,49,24.3,21.0,2.61,29.4208,35.1,26.0,0.2733,0.288,0.258
Ramanathapuram,Paramakkudi,2025-03-04,33.7,23.7,27.7,0.0,0.0,0.0,0.0,14.6,29.9,64,21.14,4.91,43097.9,36957.2,100,44,24.9,19.7,2.94,29.8167,35.5,25.6,0.2432,0.259,0.228
Ramanathapuram,Paramakkudi,2025-03-05,35.1,23.2,28.2,0.0,0.0,0.0,0.0,11.3,24.5,81,24.27,5.54,43128.98,37089.61,99,31,24.9,15.4,3.89,30.7333,37.6,25.7,0.2144,0.229,0.198
Ramanathapuram,Paramakkudi,2025-03-06,35.5,21.5,27.9,0.0,0.0,0.0,0.0,16.7,32.0,107,24.64,5.7,43160.0,38470.84,100,31,24.0,15.6,4.0,30.8917,38.3,24.8,0.1872,0.202,0.172
Ramanathapuram,Paramakkudi,2025-03-07,35.0,22.9,28.3,0.0,0.0,0.0,0.0,19.1,34.6,107,24.26,5.65,43190.96,39776.91,100,37,24.0,18.0,3.5,31.975,39.5,25.8,0.1641,0.172,0.156
Ramanathapuram,Paramakkudi,2025-03-08,35.9,23.0,28.5,0.0,0.0,0.0,0.0,19.4,38.2,90,24.89,5.91,43221.84,38461.93,99,31,24.2,16.3,4.06,32.4375,40.7,26.3,0.1544,0.16,0.147
Ramanathapuram,Paramakkudi,2025-03-09,33.1,23.9,27.8,0.0,0.0,0.0,0.0,19.1,37.4,63,24.9,6.07,43252.86,38181.32,98,38,23.8,15.7,3.02,31.8625,38.8,27.0,0.1538,0.159,0.148
Ramanathapuram,Paramakkudi,2025-03-10,35.5,22.6,28.5,0.0,0.0,0.0,0.0,25.4,46.1,45,22.15,6.39,43284.07,37995.42,88,35,22.4,17.8,3.73,31.1917,37.6,26.0,0.1563,0.162,0.15
Ramanathapuram,Paramakkudi,2025-03-11,27.7,24.0,25.6,21.7,21.7,0.0,20.0,24.2,45.0,46,8.0,2.06,43315.48,0.0,96,77,24.0,22.5,0.84,27.425,29.4,25.2,0.2528,0.356,0.161
Ramanathapuram,Paramakkudi,2025-03-12,30.9,22.6,25.9,25.8,25.8,0.0,13.0,13.1,30.2,60,14.28,3.16,43347.04,17809.85,99,56,23.5,21.0,1.96,27.0458,30.9,24.6,0.383,0.432,0.316
Ramanathapuram,Paramakkudi,2025-03-13,32.7,22.7,27.1,0.0,0.0,0.0,0.0,14.3,27.4,62,24.11,5.19,43378.74,40935.24,98,53,24.0,21.9,2.31,29.0458,34.0,25.0,0.3422,0.366,0.321
Ramanathapuram,Paramakkudi,2025-03-14,32.5,23.4,27.6,0.1,0.1,0.0,1.0,12.7,26.3,85,23.35,5.15,43410.57,40967.75,98,52,24.9,21.3,2.35,29.5708,34.3,25.4,0.3085,0.323,0.289
Ramanathapuram,Paramakkudi,2025-03-15,32.9,23.9,28.0,0.0,0.0,0.0,0.0,12.8,23.0,89,25.02,5.57,43442.49,41000.26,97,47,24.5,19.1,2.62,30.0375,35.1,26.0,0.2763,0.29,0.261
Ramanathapuram,Paramakkudi,2025-03-16,32.8,24.6,27.9,5.4,5.4,0.0,10.0,17.9,36.0,117,20.6,4.4,43474.48,40667.1,96,58,25.0,23.0,2.07,30.0167,34.3,26.6,0.2556,0.289,0.236
Ramanathapuram,Paramakkudi,2025-03-17,33.5,24.6,28.6,3.0,3.0,0.0,2.0,10.9,23.8,115,22.03,4.9,43506.53,40700.45,91,55,24.5,23.0,2.31,30.8625,36.3,26.8,0.2315,0.252,0.219
Ramanathapuram,Paramakkudi,2025-03-18,33.7,25.1,28.8,0.0,0.0,0.0,0.0,15.1,30.2,114,23.66,5.34,43538.61,40724.77,93,51,24.9,21.6,2.54,31.1167,36.3,27.1,0.21,0.224,0.194
Ramanathapuram,Paramakkudi,2025-03-19,34.0,24.0,28.6,0.7,0.7,0.0,1.0,17.4,34.9,104,23.43,5.36,43570.7,39336.14,98,51,24.9,22.3,2.63,30.9,36.8,26.1,0.198,0.207,0.19
Ramanathapuram,Paramakkudi,2025-03-20,34.0,24.6,29.2,0.3,0.3,0.0,2.0,15.3,32.8,81,24.51,5.8,43602.79,41162.11,95,46,24.5,20.4,2.89,31.5375,37.2,26.8,0.1824,0.192,0.174
Ramanathapuram,Paramakkudi,2025-03-21,33.5,25.8,29.4,1.0,1.0,0.0,4.0,14.4,32.0,78,22.46,5.29,43634.84,41194.18,90,48,25.0,21.1,2.68,31.9583,37.2,27.6,0.166,0.178,0.152
Ramanathapuram,Paramakkudi,2025-03-22,33.6,25.0,28.7,2.5,2.5,0.0,11.0,15.5,33.1,86,20.71,4.8,43666.84,39500.84,97,52,25.0,21.7,2.49,31.7917,37.2,27.8,0.156,0.161,0.152
Ramanathapuram,Paramakkudi,2025-03-23,34.3,23.8,29.0,2.4,2.4,0.0,10.0,15.1,29.9,97,22.6,5.54,43698.75,40155.77,98,42,24.4,19.0,3.02,31.9833,38.5,26.1,0.1586,0.177,0.148
Ramanathapuram,Paramakkudi,2025-03-24,35.3,25.2,29.7,0.3,0.3,0.0,3.0,19.9,36.7,65,23.18,5.94,43730.58,41289.45,95,40,24.8,19.4,3.35,33.0542,39.5,28.0,0.1507,0.153,0.148
Ramanathapuram,Paramakkudi,2025-03-25,36.3,24.9,29.7,0.0,0.0,0.0,0.0,18.2,34.2,64,24.42,6.21,43762.29,41320.8,97,32,24.6,16.9,4.12,33.4667,41.2,27.9,0.1476,0.152,0.143
Ramanathapuram,Paramakkudi,2025-03-26,36.9,25.0,29.7,0.0,0.0,0.0,0.0,17.1,34.9,118,24.29,5.91,43793.85,41351.95,90,30,24.3,16.5,4.36,33.9042,42.5,27.9,0.145,0.152,0.139
Ramanathapuram,Paramakkudi,2025-03-27,37.6,24.8,30.3,0.0,0.0,0.0,0.0,18.6,35.3,119,24.04,6.17,43825.25,41156.18,96,23,24.7,12.7,5.01,33.9417,41.8,27.5,0.1493,0.155,0.143
Ramanathapuram,Paramakkudi,2025-03-28,37.4,25.3,30.4,0.0,0.0,0.0,0.0,15.5,32.0,102,25.27,6.29,43856.48,39257.45,98,27,26.0,14.9,4.63,34.0667,42.0,28.2,0.1533,0.162,0.145
Ramanathapuram,Paramakkudi,2025-03-29,37.7,24.1,30.0,0.0,0.0,0.0,0.0,20.0,37.8,74,26.64,6.96,43887.73,41443.6,100,21,25.2,11.8,5.12,33.5125,41.6,27.4,0.154,0.162,0.147
Ramanathapuram,Paramakkudi,2025-03-30,37.1,22.9,29.1,0.0,0.0,0.0,0.0,19.3,36.7,75,26.55,6.64,43919.07,41473.84,84,21,21.9,11.2,4.89,33.0958,41.7,26.5,0.1476,0.152,0.142
Ramanathapuram,Paramakkudi,2025-03-31,35.6,23.6,29.3,0.1,0.1,0.0,1.0,16.3,33.1,85,24.04,6.11,43950.49,41165.7,88,36,23.0,18.4,3.67,33.125,40.9,26.8,0.1445,0.157,0.136
Ramanathapuram,Paramakkudi,2025-04-01,34.0,24.8,29.1,1.7,1.7,0.0,5.0,11.9,27.4,110,21.76,5.21,43981.96,40534.22,87,44,23.9,19.5,3.0,32.2125,39.4,27.5,0.1647,0.203,0.147
Ramanathapuram,Paramakkudi,2025-04-02,33.8,25.5,28.9,7.8,7.8,0.0,10.0,14.9,32.8,122,21.93,5.04,44013.46,39420.21,93,53,24.6,22.2,2.5,31.65,37.0,27.6,0.2038,0.236,0.188
Ramanathapuram,Paramakkudi,2025-04-03,32.3,23.8,27.3,11.5,11.5,0.0,18.0,11.2,31.0,89,19.95,4.29,44044.97,38054.66,96,56,24.2,22.1,2.07,29.9417,35.3,26.1,0.3121,0.339,0.287
Ramanathapuram,Paramakkudi,2025-04-04,32.5,24.0,27.2,13.4,13.4,0.0,11.0,16.0,32.8,45,17.39,3.77,44076.46,26232.59,99,58,24.6,22.3,2.07,29.0583,33.8,26.2,0.3328,0.412,0.3
Ramanathapuram,Paramakkudi,2025-04-05,33.6,23.9,28.6,0.3,0.3,0.0,2.0,13.3,26.3,189,23.28,5.26,44107.93,41090.91,97,51,24.0,22.0,2.53,30.5542,36.3,26.0,0.2971,0.337,0.27
Ramanathapuram,Paramakkudi,2025-04-06,34.5,25.3,29.0,20.9,20.9,0.0,5.0,16.2,33.5,176,20.17,4.58,44139.35,38621.1,93,49,25.0,22.2,2.75,31.3125,36.7,27.4,0.2848,0.423,0.209
Ramanathapuram,Paramakkudi,2025-04-07,34.3,25.3,29.3,0.3,0.3,0.0,3.0,11.5,22.3,73,21.99,5.11,44170.69,41276.7,98,48,25.0,21.6,2.82,31.6333,36.8,27.5,0.2869,0.372,0.248
Ramanathapuram,Paramakkudi,2025-04-08,36.3,25.5,30.2,0.0,0.0,0.0,0.0,14.7,30.2,57,24.81,6.01,44201.94,41654.0,93,34,24.6,18.0,3.99,32.7458,39.0,28.0,0.2217,0.247,0.196
Ramanathapuram,Paramakkudi,2025-04-09,36.0,25.2,30.0,1.0,1.0,0.0,7.0,15.9,30.2,144,23.32,5.63,44233.07,40935.29,94,37,24.6,19.1,3.74,32.8375,39.5,27.5,0.1868,0.199,0.171
Ramanathapuram,Paramakkudi,2025-04-10,37.8,25.2,31.2,0.4,0.4,0.0,2.0,22.6,39.2,213,22.37,5.91,44264.05,38543.32,87,28,24.5,16.2,4.71,34.1667,41.3,28.3,0.1622,0.171,0.154
Ramanathapuram,Paramakkudi,2025-04-11,38.0,25.7,30.9,0.2,0.2,0.0,1.0,21.9,45.4,191,23.66,6.19,44294.88,41176.82,83,30,26.2,17.5,4.64,34.5292,42.5,28.8,0.1522,0.161,0.146
Ramanathapuram,Paramakkudi,2025-04-12,37.6,26.0,30.6,0.4,0.4,0.0,2.0,19.2,36.7,208,23.24,5.98,44325.52,39600.0,85,34,26.0,19.0,4.29,34.15,41.9,29.4,0.1464,0.15,0.143
Ramanathapuram,Paramakkudi,2025-04-13,39.2,26.5,31.5,1.2,1.2,0.0,2.0,17.3,36.7,162,23.34,5.84,44355.95,41058.95,79,30,24.8,18.6,4.92,35.175,42.8,29.1,0.1471,0.153,0.142
Ramanathapuram,Paramakkudi,2025-04-14,38.1,26.6,31.5,0.0,0.0,0.0,0.0,18.3,34.2,103,23.22,6.23,44386.14,41539.81,99,34,26.4,19.1,4.41,35.6208,43.2,29.9,0.139,0.144,0.136
Ramanathapuram,Paramakkudi,2025-04-15,38.5,23.8,30.5,1.0,1.0,0.0,2.0,16.5,40.0,98,23.22,5.91,44416.09,41181.23,95,31,25.5,18.2,4.71,34.8708,43.0,27.2,0.1459,0.149,0.139
Ramanathapuram,Paramakkudi,2025-04-16,38.0,26.2,30.8,2.5,2.5,0.0,4.0,16.0,37.4,137,23.22,5.71,44445.75,40822.45,91,33,25.2,18.9,4.38,35.2833,44.0,29.4,0.1515,0.168,0.143
Ramanathapuram,Paramakkudi,2025-04-17,38.2,26.2,31.0,1.6,1.6,0.0,3.0,17.9,37.4,121,23.05,5.84,44475.12,41183.98,92,35,25.9,19.5,4.35,35.2458,43.8,29.3,0.1562,0.164,0.147
Ramanathapuram,Paramakkudi,2025-04-18,38.5,27.0,31.8,0.7,0.7,0.0,2.0,20.9,40.7,163,23.95,6.35,44504.39,41305.67,95,31,26.5,18.2,4.69,36.0042,44.2,30.2,0.153,0.158,0.145
