district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Ramanathapuram,Tiruppullani,2025-02-24,34.7,23.0,27.8,0.0,0.0,0.0,0.0,26.0,47.5,57,23.86,6.29,42850.63,40378.2,98,31,23.4,14.9,3.81,30.6542,37.6,25.7,0.1441,0.155,0.135
Ramanathapuram,Tiruppullani,2025-02-25,32.9,22.9,27.4,1.3,1.3,0.0,7.0,23.9,45.0,41,21.34,5.33,42881.18,39692.14,96,48,23.1,20.2,2.58,29.8542,35.5,25.6,0.1607,0.18,0.153
Ramanathapuram,Tiruppullani,2025-02-26,33.6,24.5,28.1,0.8,0.8,0.0,6.0,27.4,52.2,43,20.15,5.43,42911.89,40009.85,88,49,22.9,20.5,2.63,29.9125,34.5,26.5,0.1804,0.186,0.176
Ramanathapuram,Tiruppullani,2025-02-27,33.8,24.5,28.2,1.0,1.0,0.0,6.0,24.1,45.7,44,20.76,5.56,42942.72,39174.43,86,46,23.4,20.2,2.84,30.2208,35.2,26.6,0.1731,0.179,0.165
Ramanathapuram,Tiruppullani,2025-02-28,31.8,22.9,26.8,15.5,15.5,0.0,14.0,26.1,45.7,49,17.05,4.03,42973.65,30500.65,94,57,23.8,22.0,2.03,28.9708,32.7,25.5,0.2058,0.304,0.163
Ramanathapuram,Tiruppullani,2025-03-01,30.3,23.9,26.6,8.3,8.3,0.0,18.0,22.6,43.2,58,14.78,3.46,43004.66,26830.78,95,66,23.8,22.6,1.48,27.9417,31.1,25.9,0.2726,0.355,0.225
Ramanathapuram,Tiruppullani,2025-03-02,31.4,23.1,26.9,1.0,1.0,0.0,8.0,17.2,33.5,62,16.72,3.72,43035.72,33713.82,97,62,23.9,22.2,1.74,28.4417,32.7,24.7,0.3081,0.353,0.273
Ramanathapuram,Tiruppullani,2025-03-03,33.8,24.4,27.7,0.8,0.8,0.0,7.0,18.7,34.6,66,21.46,4.91,43066.81,37730.73,97,46,24.6,20.5,2.84,29.4792,35.2,26.0,0.2617,0.275,0.245
Ramanathapuram,Tiruppullani,2025-03-04,34.1,23.9,27.9,0.0,0.0,0.0,0.0,16.3,31.0,63,21.24,5.0,43097.9,36830.2,100,41,25.0,19.0,3.16,29.9292,35.5,25.8,0.2337,0.249,0.218
Ramanathapuram,Tiruppullani,2025-03-05,35.3,23.2,28.3,0.0,0.0,0.0,0.0,12.6,24.8,79,24.23,5.6,43128.98,36714.05,99,30,24.6,14.6,3.96,30.8292,37.8,25.7,0.2062,0.22,0.191
Ramanathapuram,Tiruppullani,2025-03-06,36.0,21.2,28.1,0.0,0.0,0.0,0.0,16.6,33.1,103,24.79,5.77,43160.0,38363.77,100,28,24.0,14.4,4.32,31.1333,38.8,24.9,0.1798,0.195,0.162
Ramanathapuram,Tiruppullani,2025-03-07,36.0,22.9,28.7,0.0,0.0,0.0,0.0,19.1,36.0,105,24.49,5.81,43190.96,40056.73,100,32,24.2,16.0,4.03,32.5375,40.6,25.9,0.1564,0.162,0.151
Ramanathapuram,Tiruppullani,2025-03-08,36.8,22.9,28.9,0.0,0.0,0.0,0.0,20.3,36.7,89,25.19,6.01,43221.84,39666.03,100,28,24.2,15.2,4.49,33.0875,41.9,26.5,0.1501,0.155,0.144
Ramanathapuram,Tiruppullani,2025-03-09,33.8,23.7,28.0,0.0,0.0,0.0,0.0,19.5,37.4,62,24.95,6.2,43252.86,39138.93,99,37,23.9,15.6,3.15,32.4333,39.8,27.4,0.1504,0.157,0.145
