district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Ammapettai,2025-02-24,33.2,21.5,26.7,0.0,0.0,0.0,0.0,20.6,39.6,49,23.01,5.45,42737.61,34857.81,100,37,23.2,16.2,3.2,28.8042,34.4,24.2,0.1581,0.17,0.148
Thanjavur,Ammapettai,2025-02-25,31.5,23.1,27.0,0.9,0.9,0.0,4.0,21.5,43.9,36,19.07,4.69,42772.85,39842.06,97,52,23.0,19.9,2.2,28.6417,32.8,25.1,0.1668,0.206,0.149
Thanjavur,Ammapettai,2025-02-26,32.3,24.2,27.6,0.5,0.5,0.0,5.0,25.6,49.3,37,21.96,5.45,42808.25,40327.29,92,46,23.0,19.4,2.6,28.8958,33.2,25.8,0.2037,0.211,0.197
Thanjavur,Ammapettai,2025-02-27,32.5,24.0,27.5,0.3,0.3,0.0,3.0,22.7,43.9,39,22.15,5.46,42843.8,40015.34,93,49,23.2,20.0,2.5,29.3292,33.8,26.0,0.1916,0.199,0.182
Thanjavur,Ammapettai,2025-02-28,31.1,23.6,26.5,4.5,4.5,0.0,15.0,24.4,46.4,51,18.1,4.06,42879.46,38161.33,94,59,23.7,21.6,1.84,28.2292,32.2,25.5,0.2225,0.3,0.189
Thanjavur,Ammapettai,2025-03-01,30.5,23.5,26.8,2.0,2.0,0.0,9.0,18.0,36.4,58,16.57,3.84,42915.21,30939.41,96,63,23.4,22.2,1.62,28.1833,31.5,25.5,0.279,0.292,0.268
Thanjavur,Ammapettai,2025-03-02,32.0,23.5,27.5,0.5,0.5,0.0,5.0,14.4,28.8,76,20.19,4.51,42951.01,37412.12,97,58,24.5,22.0,1.97,29.3792,33.5,25.8,0.2547,0.267,0.239
Thanjavur,Ammapettai,2025-03-03,34.2,23.5,27.9,0.3,0.3,0.0,3.0,16.1,29.9,80,20.82,4.86,42986.84,36455.38,100,40,25.0,18.9,3.22,29.8583,35.2,26.0,0.2272,0.239,0.213
Thanjavur,Ammapettai,2025-03-04,34.2,23.9,27.9,0.0,0.0,0.0,0.0,15.0,27.4,80,23.23,5.24,43022.68,39423.45,100,41,24.5,19.0,3.17,30.2833,36.2,26.4,0.2092,0.219,0.196
Thanjavur,Ammapettai,2025-03-05,35.0,22.9,28.2,0.0,0.0,0.0,0.0,13.1,22.3,103,23.3,5.35,43058.48,37960.1,100,33,24.7,16.1,3.71,30.5208,36.7,25.6,0.1921,0.203,0.179
