district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Budalur,2025-02-24,33.6,21.6,26.9,0.0,0.0,0.0,0.0,20.8,38.2,53,22.99,5.61,42748.95,38695.33,100,34,23.0,15.3,3.39,29.1417,35.2,24.2,0.1544,0.16,0.151
Thanjavur,Budalur,2025-02-25,32.7,22.9,27.1,1.1,1.1,0.0,3.0,21.7,46.1,40,19.57,4.91,42783.71,39903.8,98,48,23.1,19.5,2.59,29.0042,34.2,24.9,0.1508,0.17,0.138
Thanjavur,Budalur,2025-02-26,33.0,24.0,27.8,0.6,0.6,0.0,4.0,26.2,49.7,42,21.92,5.79,42818.65,40101.4,86,42,22.5,18.1,2.93,29.3,34.2,25.6,0.1752,0.18,0.17
Thanjavur,Budalur,2025-02-27,33.7,23.5,27.8,0.1,0.1,0.0,1.0,22.3,41.0,42,21.94,5.75,42853.72,40195.28,92,42,22.8,18.2,2.98,29.7083,35.0,25.6,0.1715,0.175,0.164
Thanjavur,Budalur,2025-02-28,31.0,23.9,26.7,3.8,3.8,0.0,12.0,22.0,41.4,52,16.61,3.94,42888.91,33156.63,93,58,23.6,21.6,1.86,28.5042,32.2,26.0,0.2193,0.336,0.174
Thanjavur,Budalur,2025-03-01,30.3,23.5,26.6,2.6,2.6,0.0,9.0,19.6,36.4,59,14.97,3.5,42924.18,30895.12,94,62,23.4,22.0,1.62,28.0833,31.2,25.8,0.3163,0.331,0.299
Thanjavur,Budalur,2025-03-02,32.3,23.8,27.6,1.1,1.1,0.0,7.0,13.7,27.7,74,19.47,4.46,42959.5,39273.92,97,56,24.1,22.0,2.11,29.2583,33.7,25.6,0.2863,0.298,0.271
Thanjavur,Budalur,2025-03-03,34.2,23.6,28.1,0.2,0.2,0.0,2.0,12.9,22.7,76,20.5,4.85,42994.86,34635.57,100,40,25.0,18.4,3.25,29.9208,35.2,26.0,0.2583,0.271,0.245
Thanjavur,Budalur,2025-03-04,34.3,23.5,28.0,0.1,0.1,0.0,1.0,10.7,19.4,85,23.23,5.23,43030.22,38351.87,100,40,24.3,18.4,3.23,30.3125,36.0,26.6,0.2397,0.247,0.227
Thanjavur,Budalur,2025-03-05,35.0,22.4,28.0,0.1,0.1,0.0,1.0,9.7,18.7,111,23.09,5.18,43065.55,38581.14,100,33,24.6,16.5,3.73,30.2458,36.3,25.9,0.2263,0.235,0.214
Thanjavur,Budalur,2025-03-06,35.2,21.2,28.3,0.0,0.0,0.0,0.0,14.6,24.1,146,23.84,5.44,43100.83,38447.46,100,32,24.0,16.1,3.82,30.4042,36.8,24.9,0.2126,0.221,0.203
Thanjavur,Budalur,2025-03-07,34.7,22.6,28.0,0.0,0.0,0.0,0.0,13.6,23.4,92,24.81,5.53,43136.03,38035.56,100,30,24.1,14.4,3.88,30.8292,37.2,25.8,0.1915,0.203,0.18
Thanjavur,Budalur,2025-03-08,34.4,23.1,28.3,0.0,0.0,0.0,0.0,13.6,24.1,80,25.06,5.62,43171.13,40314.98,99,31,24.2,14.6,3.78,31.1,37.3,26.7,0.1862,0.197,0.173
Thanjavur,Budalur,2025-03-09,33.5,20.2,26.3,0.0,0.0,0.0,0.0,17.5,32.0,80,24.67,5.76,43206.39,38708.02,99,35,22.6,15.3,3.31,29.7,36.0,24.4,0.1897,0.197,0.177
Thanjavur,Budalur,2025-03-10,33.8,21.2,27.4,0.0,0.0,0.0,0.0,21.4,38.2,46,21.54,5.68,43241.88,40304.91,92,40,22.0,18.1,3.18,29.2583,34.7,24.5,0.1939,0.207,0.18
Thanjavur,Budalur,2025-03-11,27.1,23.9,25.3,25.8,25.8,0.0,22.0,21.1,42.5,45,8.57,1.99,43277.57,1280.45,98,78,23.9,21.9,0.78,26.8167,28.0,25.1,0.2981,0.435,0.206
Thanjavur,Budalur,2025-03-12,28.5,23.0,24.9,10.8,10.8,0.0,12.0,17.3,33.5,45,9.67,2.04,43313.45,10419.64,98,70,24.0,22.5,1.18,26.2042,28.6,24.5,0.3742,0.419,0.349
Thanjavur,Budalur,2025-03-13,33.3,22.4,27.2,0.0,0.0,0.0,0.0,11.8,24.8,92,24.25,5.29,43349.48,37167.94,100,46,24.0,20.2,2.75,28.6375,34.4,24.0,0.3374,0.366,0.316
Thanjavur,Budalur,2025-03-14,33.5,22.0,27.3,0.1,0.1,0.0,1.0,10.3,19.1,105,22.98,5.1,43385.64,36167.13,100,46,24.4,20.4,2.79,29.5667,35.3,24.6,0.2933,0.315,0.276
