district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Kumbakonam,2025-02-24,33.3,21.5,26.7,0.0,0.0,0.0,0.0,20.7,39.2,49,23.17,5.46,42737.61,34994.73,100,37,23.2,16.6,3.24,28.9917,34.8,24.3,0.1547,0.165,0.143
Thanjavur,Kumbakonam,2025-02-25,31.2,23.1,27.1,1.5,1.5,0.0,4.0,21.6,43.2,36,19.34,4.74,42772.85,39744.78,96,55,23.0,20.1,2.03,28.725,32.8,25.2,0.1645,0.192,0.15
Thanjavur,Kumbakonam,2025-02-26,32.4,24.2,27.6,0.7,0.7,0.0,6.0,25.3,50.4,37,21.95,5.43,42808.25,40227.45,92,47,23.1,19.5,2.58,28.9625,33.5,25.7,0.1908,0.198,0.184
Thanjavur,Kumbakonam,2025-02-27,32.4,24.0,27.5,0.5,0.5,0.0,5.0,22.6,43.9,39,22.21,5.4,42843.8,39917.2,94,50,23.4,20.6,2.42,29.4167,34.0,26.0,0.1826,0.186,0.173
Thanjavur,Kumbakonam,2025-02-28,30.5,23.4,26.3,9.3,9.3,0.0,15.0,24.4,46.8,50,18.29,4.03,42879.46,38228.25,94,60,23.8,21.6,1.75,28.1917,32.2,25.1,0.2298,0.341,0.18
Thanjavur,Kumbakonam,2025-03-01,30.6,23.5,26.7,2.5,2.5,0.0,10.0,17.6,36.4,56,17.33,3.93,42915.21,30565.72,97,62,23.5,22.2,1.65,28.1042,31.5,25.3,0.3065,0.325,0.289
Thanjavur,Kumbakonam,2025-03-02,31.9,23.2,27.4,0.4,0.4,0.0,4.0,14.9,29.2,75,20.28,4.49,42951.01,38508.03,97,58,24.5,22.1,1.95,29.2083,33.3,25.6,0.2721,0.288,0.253
Thanjavur,Kumbakonam,2025-03-03,34.0,23.5,27.7,0.0,0.0,0.0,0.0,15.2,30.2,79,21.06,4.83,42986.84,36991.96,100,42,24.9,19.2,3.09,29.6917,34.9,25.9,0.2393,0.253,0.223
Thanjavur,Kumbakonam,2025-03-04,34.2,23.6,27.7,0.0,0.0,0.0,0.0,14.4,26.6,78,23.19,5.18,43022.68,39270.74,100,42,24.5,19.1,3.06,29.9875,35.8,26.0,0.2191,0.229,0.205
Thanjavur,Kumbakonam,2025-03-05,35.0,22.6,28.0,0.1,0.1,0.0,1.0,15.1,25.9,97,23.36,5.33,43058.48,37930.07,100,34,25.2,16.4,3.6,30.2583,36.4,25.4,0.2004,0.211,0.186
Thanjavur,Kumbakonam,2025-03-06,35.2,22.2,27.7,0.1,0.1,0.0,1.0,13.7,24.1,124,22.94,5.23,43094.23,34513.13,100,31,24.9,15.3,3.93,30.1208,36.3,25.5,0.1876,0.197,0.177
Thanjavur,Kumbakonam,2025-03-07,34.4,22.4,27.5,0.0,0.0,0.0,0.0,16.8,29.5,94,24.95,5.64,43129.91,37940.98,100,31,24.1,15.0,3.73,30.4833,36.7,25.5,0.1756,0.184,0.166
Thanjavur,Kumbakonam,2025-03-08,34.2,23.0,27.7,0.1,0.1,0.0,1.0,16.2,29.9,98,24.6,5.55,43165.48,39551.01,100,34,24.2,15.9,3.57,30.5125,37.0,25.7,0.1673,0.172,0.155
Thanjavur,Kumbakonam,2025-03-09,32.6,20.4,26.0,0.0,0.0,0.0,0.0,17.5,36.0,82,24.94,5.6,43201.21,38189.97,99,39,22.8,16.6,2.99,29.3667,35.5,24.1,0.1635,0.172,0.153
Thanjavur,Kumbakonam,2025-03-10,33.2,22.0,27.5,0.0,0.0,0.0,0.0,20.9,40.7,37,20.75,5.47,43237.18,38825.9,90,45,22.3,19.3,2.8,29.3417,34.8,24.7,0.1562,0.161,0.149
Thanjavur,Kumbakonam,2025-03-11,27.4,24.0,25.4,23.8,23.8,0.0,19.0,22.7,45.7,49,8.32,1.94,43273.35,347.34,98,78,24.2,22.7,0.8,26.8958,28.3,25.2,0.2359,0.42,0.155
Thanjavur,Kumbakonam,2025-03-12,29.3,23.0,25.5,3.9,3.9,0.0,12.0,16.2,32.4,44,11.3,2.45,43309.71,7139.8,98,72,24.2,22.4,1.12,26.5333,29.0,24.4,0.3361,0.379,0.319
Thanjavur,Kumbakonam,2025-03-13,33.1,22.3,27.0,0.0,0.0,0.0,0.0,14.0,27.7,78,24.27,5.29,43346.22,38998.5,100,50,24.8,20.9,2.55,28.55,34.1,24.2,0.3188,0.352,0.293
Thanjavur,Kumbakonam,2025-03-14,33.3,22.2,27.2,0.0,0.0,0.0,0.0,13.5,27.0,107,23.34,5.12,43382.87,34746.08,100,50,24.7,21.5,2.54,29.3,34.9,24.7,0.276,0.292,0.26
Thanjavur,Kumbakonam,2025-03-15,33.0,22.0,27.4,0.0,0.0,0.0,0.0,13.7,24.8,102,23.05,5.12,43419.62,36177.89,99,49,24.4,21.0,2.54,29.5292,35.0,24.8,0.2511,0.263,0.238
Thanjavur,Kumbakonam,2025-03-16,33.2,24.0,28.2,0.8,0.8,0.0,5.0,13.8,29.2,121,21.19,4.7,43456.46,40473.33,99,56,25.5,22.7,2.24,30.0875,35.0,26.3,0.2302,0.239,0.22
Thanjavur,Kumbakonam,2025-03-17,34.3,24.1,28.8,0.0,0.0,0.0,0.0,13.0,25.6,126,23.91,5.42,43493.36,40402.97,100,49,26.0,22.0,2.74,31.1333,36.7,26.5,0.2097,0.221,0.197
Thanjavur,Kumbakonam,2025-03-18,34.0,24.2,28.6,0.0,0.0,0.0,0.0,15.5,32.0,115,23.93,5.45,43530.29,41006.94,98,48,25.9,21.4,2.75,31.1833,36.5,26.9,0.1903,0.2,0.179
Thanjavur,Kumbakonam,2025-03-19,33.8,24.4,28.6,1.2,1.2,0.0,5.0,18.7,36.4,118,22.5,5.21,43567.23,40928.28,97,50,25.5,22.0,2.62,30.8083,35.8,26.5,0.1749,0.182,0.167
Thanjavur,Kumbakonam,2025-03-20,34.5,24.6,29.1,0.1,0.1,0.0,1.0,16.4,34.2,94,24.18,5.75,43604.16,40964.93,95,42,25.0,20.0,3.15,31.425,37.0,26.9,0.159,0.168,0.15
Thanjavur,Kumbakonam,2025-03-21,33.5,25.2,28.9,0.8,0.8,0.0,5.0,16.2,32.8,96,22.57,5.2,43641.05,39054.63,95,53,24.7,22.5,2.41,31.5,36.8,27.6,0.1559,0.16,0.149
Thanjavur,Kumbakonam,2025-03-22,33.7,25.4,29.0,2.4,2.4,0.0,5.0,16.5,34.9,105,21.83,5.11,43677.88,40577.32,95,54,25.0,22.5,2.41,31.4833,36.0,27.5,0.1528,0.17,0.13
Thanjavur,Kumbakonam,2025-03-23,34.8,25.0,29.3,0.3,0.3,0.0,2.0,15.1,32.8,102,22.88,5.65,43714.61,40498.61,96,41,24.8,19.5,3.29,32.4292,38.8,27.2,0.1268,0.13,0.123
Thanjavur,Kumbakonam,2025-03-24,34.3,24.5,29.0,0.4,0.4,0.0,3.0,17.4,34.6,68,23.18,5.57,43751.23,40995.84,98,44,24.7,20.2,3.05,32.575,38.8,27.4,0.1294,0.135,0.126
Thanjavur,Kumbakonam,2025-03-25,35.1,24.5,28.8,0.0,0.0,0.0,0.0,17.0,32.8,62,23.93,5.68,43787.72,40529.85,99,37,24.9,18.0,3.58,32.7083,40.0,27.4,0.1288,0.134,0.122
