district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Madukkur,2025-02-24,33.1,22.0,26.8,0.0,0.0,0.0,0.0,21.1,41.8,45,23.54,5.53,42771.6,38610.01,100,37,23.4,16.4,3.2,28.7583,34.0,24.6,0.1673,0.173,0.156
Thanjavur,Madukkur,2025-02-25,31.0,23.1,26.8,3.4,3.4,0.0,6.0,23.8,46.4,38,20.52,4.71,42805.43,39531.29,95,57,22.8,21.1,1.91,28.375,31.6,25.2,0.185,0.201,0.172
Thanjavur,Madukkur,2025-02-26,31.9,24.3,27.5,1.1,1.1,0.0,6.0,25.4,51.1,40,20.83,5.13,42839.41,40236.27,91,50,23.0,20.2,2.35,28.7667,32.8,25.5,0.1876,0.205,0.178
Thanjavur,Madukkur,2025-02-27,31.8,24.0,27.5,1.2,1.2,0.0,8.0,24.2,47.5,39,21.85,5.21,42873.54,39816.04,90,56,23.3,21.8,2.05,29.225,33.2,26.2,0.179,0.182,0.176
Thanjavur,Madukkur,2025-02-28,30.0,23.5,26.3,11.7,11.7,0.0,13.0,21.6,42.5,47,16.69,3.67,42907.78,36570.4,94,68,23.8,22.4,1.34,27.6,30.0,25.4,0.2327,0.296,0.177
Thanjavur,Madukkur,2025-03-01,31.2,23.9,26.6,2.3,2.3,0.0,12.0,19.2,41.8,56,17.52,3.83,42942.1,34701.64,96,64,23.9,22.6,1.65,27.8417,31.7,25.0,0.2564,0.269,0.247
Thanjavur,Madukkur,2025-03-02,31.6,23.6,27.3,0.4,0.4,0.0,4.0,14.2,28.1,68,18.51,4.15,42976.48,39564.1,96,58,24.2,22.2,1.97,28.6625,32.2,25.6,0.2558,0.266,0.243
Thanjavur,Madukkur,2025-03-03,33.8,23.7,27.8,0.0,0.0,0.0,0.0,14.5,28.1,61,21.87,5.02,43010.88,36032.36,99,43,24.8,19.3,3.01,29.2625,34.0,25.5,0.2325,0.243,0.217
Thanjavur,Madukkur,2025-03-04,34.1,23.0,27.7,0.0,0.0,0.0,0.0,12.1,22.7,83,22.45,5.0,43045.29,37178.57,100,44,25.0,20.0,3.0,29.4708,34.6,25.5,0.2159,0.225,0.203
Thanjavur,Madukkur,2025-03-05,32.5,22.5,27.3,0.0,0.0,0.0,0.0,10.7,25.9,145,22.86,4.96,43079.67,37947.81,100,54,25.0,21.7,2.27,29.5292,34.5,25.4,0.2018,0.209,0.191
Thanjavur,Madukkur,2025-03-06,34.3,22.1,27.5,0.2,0.2,0.0,2.0,12.2,20.9,121,21.9,4.79,43114.0,33118.86,100,38,25.1,18.0,3.35,29.3958,35.1,24.9,0.1891,0.197,0.18
Thanjavur,Madukkur,2025-03-07,34.0,22.6,27.2,0.1,0.1,0.0,1.0,15.7,31.7,102,22.99,5.04,43148.26,33460.09,100,37,24.2,17.1,3.27,29.75,35.6,25.3,0.1735,0.181,0.165
Thanjavur,Madukkur,2025-03-08,33.8,23.1,27.6,0.0,0.0,0.0,0.0,15.8,30.6,100,24.91,5.62,43182.42,39156.89,100,38,24.8,17.5,3.26,30.2125,36.3,25.6,0.1594,0.165,0.149
Thanjavur,Madukkur,2025-03-09,32.9,20.7,26.2,0.0,0.0,0.0,0.0,16.2,33.5,70,25.6,5.75,43216.73,40762.17,100,37,22.8,14.9,3.09,28.8917,34.7,23.8,0.1594,0.164,0.15
Thanjavur,Madukkur,2025-03-10,33.0,22.9,27.6,0.0,0.0,0.0,0.0,22.4,43.2,36,21.31,5.56,43251.27,34784.33,86,45,22.8,19.5,2.77,29.0042,33.8,25.4,0.1637,0.172,0.154
Thanjavur,Madukkur,2025-03-11,27.9,23.8,25.3,29.1,29.1,0.0,18.0,21.9,48.2,51,9.11,2.04,43286.0,2037.37,97,78,24.1,22.6,0.82,26.5208,28.0,24.8,0.2971,0.42,0.172
Thanjavur,Madukkur,2025-03-12,29.9,23.1,25.5,22.7,22.7,0.0,10.0,14.6,30.6,43,11.43,2.45,43320.91,11835.51,98,66,24.4,22.5,1.43,26.1042,29.0,24.2,0.3792,0.427,0.359
Thanjavur,Madukkur,2025-03-13,32.5,22.2,26.6,0.0,0.0,0.0,0.0,11.1,22.0,64,22.92,4.89,43355.98,36052.04,100,52,24.5,21.5,2.34,27.7792,32.3,24.0,0.3377,0.363,0.317
Thanjavur,Madukkur,2025-03-14,32.6,22.6,27.1,0.3,0.3,0.0,3.0,10.2,22.0,113,22.59,4.82,43391.18,40941.02,100,53,25.2,21.8,2.31,28.5167,33.1,24.3,0.3032,0.317,0.288
Thanjavur,Madukkur,2025-03-15,32.2,23.4,27.4,0.2,0.2,0.0,2.0,13.6,26.6,114,23.02,4.95,43426.48,40783.12,99,53,24.9,21.5,2.23,28.9,33.3,25.0,0.2808,0.29,0.27
Thanjavur,Madukkur,2025-03-16,31.9,24.3,27.6,3.5,3.5,0.0,7.0,15.3,32.0,121,21.45,4.52,43461.86,40702.77,99,61,25.1,23.1,1.81,29.0417,33.0,25.9,0.2752,0.294,0.26
Thanjavur,Madukkur,2025-03-17,33.0,24.0,28.1,0.2,0.2,0.0,2.0,11.8,24.5,134,22.58,4.91,43497.3,40276.42,100,62,25.8,24.0,1.9,29.8125,34.3,26.0,0.2658,0.28,0.254
Thanjavur,Madukkur,2025-03-18,32.5,24.9,28.3,0.1,0.1,0.0,1.0,13.1,26.3,114,22.92,5.06,43532.77,41004.52,97,57,25.8,22.9,2.11,29.9167,33.8,26.5,0.2472,0.258,0.236
Thanjavur,Madukkur,2025-03-19,33.0,24.8,28.3,0.4,0.4,0.0,4.0,17.9,34.2,126,23.58,5.23,43568.25,40809.43,95,58,25.2,23.0,2.04,29.8875,34.3,26.3,0.2248,0.237,0.213
Thanjavur,Madukkur,2025-03-20,33.4,24.6,28.7,0.0,0.0,0.0,0.0,14.3,31.3,92,23.71,5.45,43603.72,40960.57,96,49,24.8,21.0,2.62,30.1208,34.3,26.5,0.2068,0.219,0.194
Thanjavur,Madukkur,2025-03-21,32.3,25.0,28.5,0.9,0.9,0.0,6.0,14.8,29.5,93,18.95,4.35,43639.16,40419.7,95,61,24.7,22.9,1.91,30.1083,33.5,27.0,0.1951,0.201,0.186
Thanjavur,Madukkur,2025-03-22,32.0,25.1,28.4,1.8,1.8,0.0,7.0,15.3,32.4,112,20.81,4.63,43674.53,40570.87,95,62,25.2,23.2,1.81,30.0958,34.0,26.9,0.1828,0.191,0.175
Thanjavur,Madukkur,2025-03-23,33.2,24.7,28.8,0.9,0.9,0.0,4.0,12.8,26.6,104,22.98,5.3,43709.82,40491.3,97,50,24.9,20.8,2.46,30.5625,35.2,26.6,0.1716,0.175,0.164
Thanjavur,Madukkur,2025-03-24,33.7,24.5,28.6,0.2,0.2,0.0,2.0,16.4,32.0,64,22.59,5.28,43744.99,40523.54,97,46,25.1,20.5,2.79,30.6542,35.3,26.6,0.1682,0.173,0.16
Thanjavur,Madukkur,2025-03-25,34.7,24.2,28.5,0.0,0.0,0.0,0.0,16.3,30.2,60,25.06,5.74,43780.04,41023.18,99,39,25.1,18.6,3.37,30.8875,36.5,26.5,0.1602,0.167,0.15
Thanjavur,Madukkur,2025-03-26,33.3,22.5,27.4,0.0,0.0,0.0,0.0,12.9,27.0,128,23.49,5.29,43814.93,37732.17,100,47,24.6,19.6,2.7,30.0833,35.8,25.2,0.1564,0.161,0.149
Thanjavur,Madukkur,2025-03-27,34.5,22.5,28.1,0.0,0.0,0.0,0.0,13.3,27.0,166,24.61,5.54,43849.63,39824.93,96,41,24.0,19.4,3.19,30.35,36.3,25.3,0.1565,0.161,0.149
Thanjavur,Madukkur,2025-03-28,33.8,24.2,28.4,0.0,0.0,0.0,0.0,14.1,30.2,186,22.23,5.02,43884.14,41011.59,98,48,25.4,21.3,2.71,30.625,35.6,26.7,0.1592,0.169,0.149
Thanjavur,Madukkur,2025-03-29,35.8,23.0,28.1,0.0,0.0,0.0,0.0,12.6,26.6,140,26.47,6.05,43918.68,41467.32,98,28,24.2,14.6,4.2,30.2667,36.2,25.6,0.1627,0.169,0.153
Thanjavur,Madukkur,2025-03-30,33.5,21.5,26.9,0.0,0.0,0.0,0.0,13.0,27.4,140,26.17,5.66,43953.31,41500.84,97,46,24.6,20.4,2.78,29.2917,35.6,23.8,0.1583,0.161,0.15
Thanjavur,Madukkur,2025-03-31,32.8,23.1,27.8,0.0,0.0,0.0,0.0,13.0,27.0,112,23.5,5.43,43988.02,41229.92,97,49,24.1,20.0,2.5,29.7,34.8,25.2,0.1607,0.17,0.151
Thanjavur,Madukkur,2025-04-01,32.3,24.1,28.0,0.3,0.3,0.0,3.0,12.8,29.2,136,24.26,5.5,44022.79,41149.39,92,45,23.8,18.3,2.65,29.9,34.5,26.0,0.1692,0.177,0.159
Thanjavur,Madukkur,2025-04-02,32.2,25.0,28.2,3.8,3.8,0.0,6.0,13.6,31.3,141,22.01,4.81,44057.6,39600.0,91,62,24.9,22.8,1.83,29.9,34.2,26.7,0.1861,0.207,0.175
Thanjavur,Madukkur,2025-04-03,31.0,23.6,26.4,11.6,11.6,0.0,16.0,11.8,30.6,107,15.67,3.33,44092.41,26765.48,99,65,24.5,23.0,1.58,28.3917,32.5,25.6,0.2938,0.348,0.255
Thanjavur,Madukkur,2025-04-04,31.9,24.0,27.4,1.5,1.5,0.0,3.0,13.7,31.0,80,21.15,4.42,44127.21,40351.98,99,57,25.1,22.0,2.02,28.9125,32.6,25.8,0.2996,0.33,0.267
Thanjavur,Madukkur,2025-04-05,32.2,24.1,28.1,6.6,6.6,0.0,4.0,11.1,23.4,201,22.38,4.81,44161.97,40230.94,95,58,24.5,22.7,1.97,29.6708,34.0,26.3,0.2641,0.326,0.243
Thanjavur,Madukkur,2025-04-06,33.5,24.0,28.6,8.7,8.7,0.0,5.0,15.5,36.4,191,22.17,4.9,44196.67,40346.79,97,57,25.0,22.9,2.22,30.2083,34.2,25.8,0.3082,0.413,0.263
Thanjavur,Madukkur,2025-04-07,33.7,24.2,28.5,0.0,0.0,0.0,0.0,11.1,20.2,49,22.27,4.98,44231.29,39886.39,96,52,24.5,22.1,2.48,30.2542,34.5,26.5,0.2629,0.282,0.251
Thanjavur,Madukkur,2025-04-08,34.8,24.8,29.0,0.4,0.4,0.0,3.0,12.0,22.3,43,23.76,5.41,44265.8,40924.38,96,47,25.5,21.5,2.96,30.6,35.2,26.8,0.2354,0.251,0.219
Thanjavur,Madukkur,2025-04-09,32.8,24.7,27.9,3.3,3.3,0.0,5.0,10.6,25.2,345,22.29,4.73,44300.18,40464.02,96,60,25.4,23.0,1.99,30.15,34.8,26.9,0.2141,0.23,0.204
Thanjavur,Madukkur,2025-04-10,35.4,24.9,29.7,0.5,0.5,0.0,2.0,20.2,36.0,208,23.82,5.66,44334.41,39600.0,95,39,26.0,19.2,3.52,30.675,35.5,26.6,0.201,0.209,0.188
Thanjavur,Madukkur,2025-04-11,36.1,24.9,29.7,15.4,15.4,0.0,3.0,23.4,43.6,214,23.87,5.91,44368.45,40696.19,92,40,25.5,20.2,3.61,31.2375,35.9,27.5,0.2115,0.378,0.176
Thanjavur,Madukkur,2025-04-12,35.4,24.9,29.2,0.0,0.0,0.0,0.0,21.7,40.3,210,24.54,5.69,44402.29,40466.27,96,44,26.2,21.4,3.21,30.6042,35.6,26.5,0.2316,0.364,0.182
Thanjavur,Madukkur,2025-04-13,35.1,25.5,30.0,0.0,0.0,0.0,0.0,14.0,28.4,197,23.87,5.4,44435.89,40928.91,95,49,26.7,22.6,2.9,31.8583,36.7,27.8,0.1819,0.19,0.17
Thanjavur,Madukkur,2025-04-14,34.0,26.1,29.7,0.7,0.7,0.0,1.0,14.5,27.0,151,23.51,5.38,44469.24,41161.07,98,54,26.5,23.2,2.47,31.7625,36.3,28.2,0.178,0.183,0.168
Thanjavur,Madukkur,2025-04-15,34.2,24.3,29.2,0.2,0.2,0.0,2.0,14.5,27.4,151,22.98,5.29,44502.3,39869.44,93,50,25.2,22.5,2.67,31.6208,36.4,27.5,0.172,0.181,0.162
Thanjavur,Madukkur,2025-04-16,33.4,26.0,29.3,1.3,1.3,0.0,5.0,14.6,28.4,146,24.05,5.46,44535.06,41048.21,93,58,25.0,23.3,2.16,31.4375,36.0,27.8,0.1734,0.182,0.164
Thanjavur,Madukkur,2025-04-17,33.3,23.8,28.9,2.3,2.3,0.0,2.0,14.9,29.9,173,24.49,5.43,44567.48,41049.7,97,56,26.0,23.1,2.25,31.1583,35.8,26.5,0.1835,0.209,0.172
Thanjavur,Madukkur,2025-04-18,33.4,26.9,30.1,0.7,0.7,0.0,1.0,17.7,33.5,173,22.49,5.28,44599.8,41051.24,88,57,26.4,23.7,2.2,31.5625,35.0,28.4,0.1727,0.175,0.167
Thanjavur,Madukkur,2025-04-19,35.0,26.6,30.5,0.0,0.0,0.0,0.0,18.1,34.6,188,23.55,5.53,44632.08,40820.68,94,48,26.8,22.5,2.92,32.3083,36.8,28.6,0.1704,0.175,0.16
Thanjavur,Madukkur,2025-04-20,34.8,26.8,30.5,0.1,0.1,0.0,1.0,15.3,28.8,186,23.46,5.47,44664.29,40938.3,95,56,26.5,24.7,2.42,32.4833,37.0,28.8,0.1683,0.174,0.163
Thanjavur,Madukkur,2025-04-21,34.3,26.5,30.3,0.3,0.3,0.0,3.0,14.5,27.0,161,23.7,5.56,44696.41,41056.27,97,47,26.4,21.5,2.84,32.4625,36.7,28.8,0.1625,0.166,0.156
Thanjavur,Madukkur,2025-04-22,33.3,26.4,29.7,0.3,0.3,0.0,3.0,12.8,25.6,155,23.16,5.34,44728.41,40941.55,92,54,25.4,22.5,2.3,31.9,36.2,28.4,0.161,0.165,0.154
Thanjavur,Madukkur,2025-04-23,34.0,25.9,30.2,0.2,0.2,0.0,2.0,15.3,28.4,175,24.0,5.69,44760.27,40593.21,94,53,25.5,22.8,2.51,32.2667,37.0,28.2,0.1559,0.162,0.147
Thanjavur,Madukkur,2025-04-24,35.7,26.8,30.9,0.0,0.0,0.0,0.0,16.8,32.0,176,23.08,5.57,44791.97,40945.04,94,46,26.5,22.2,3.16,32.9625,37.8,29.0,0.1475,0.159,0.14
