district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Orattanadu,2025-02-24,33.4,21.7,26.8,0.0,0.0,0.0,0.0,21.9,41.8,49,23.25,5.58,42760.28,34618.34,100,35,23.2,15.6,3.31,29.3292,35.0,24.7,0.1572,0.164,0.149
Thanjavur,Orattanadu,2025-02-25,31.2,23.1,27.0,1.3,1.3,0.0,4.0,22.3,45.0,37,20.08,4.84,42794.57,39732.16,96,53,22.9,20.5,2.13,28.9458,33.0,25.4,0.1652,0.183,0.156
Thanjavur,Orattanadu,2025-02-26,32.5,24.3,27.6,4.4,4.4,0.0,11.0,26.7,50.8,39,21.41,5.39,42829.03,38769.95,91,46,23.1,19.2,2.65,28.9542,33.5,25.1,0.1888,0.217,0.175
Thanjavur,Orattanadu,2025-02-27,32.5,24.0,27.5,0.6,0.6,0.0,5.0,24.0,43.9,39,22.02,5.41,42863.64,40133.98,91,51,23.3,21.0,2.35,29.675,34.2,26.2,0.1738,0.177,0.17
Thanjavur,Orattanadu,2025-02-28,30.6,23.7,26.4,2.4,2.4,0.0,14.0,21.8,41.8,48,16.25,3.78,42898.35,32715.63,93,61,23.9,21.9,1.71,28.3583,32.1,25.8,0.1885,0.229,0.171
Thanjavur,Orattanadu,2025-03-01,31.0,23.6,26.6,3.9,3.9,0.0,11.0,17.1,36.0,58,16.87,3.74,42933.14,32630.86,96,63,23.8,22.8,1.64,28.2125,31.5,25.6,0.2544,0.268,0.228
Thanjavur,Orattanadu,2025-03-02,31.6,23.5,27.3,0.2,0.2,0.0,2.0,14.1,29.2,71,19.25,4.31,42968.0,37799.93,96,58,24.2,22.1,1.91,29.2583,33.2,25.8,0.2521,0.265,0.238
Thanjavur,Orattanadu,2025-03-03,33.8,23.9,27.9,0.1,0.1,0.0,1.0,16.2,28.8,73,21.42,4.99,43002.88,36688.81,100,42,24.8,19.0,3.03,29.9875,35.2,26.0,0.2285,0.238,0.215
Thanjavur,Orattanadu,2025-03-04,34.1,23.3,27.8,0.0,0.0,0.0,0.0,15.1,27.0,81,22.98,5.17,43037.76,37789.92,100,42,24.5,19.4,3.1,30.3125,36.0,26.1,0.2091,0.219,0.197
Thanjavur,Orattanadu,2025-03-05,33.8,22.8,27.9,0.0,0.0,0.0,0.0,9.8,20.9,152,23.01,5.16,43072.61,37967.33,100,44,25.1,20.0,2.92,30.4917,36.3,25.8,0.1892,0.201,0.179
Thanjavur,Orattanadu,2025-03-06,34.7,21.9,27.9,0.1,0.1,0.0,1.0,14.6,24.5,121,22.27,5.15,43107.42,34372.42,100,30,24.5,14.7,3.86,30.3958,36.8,25.3,0.1734,0.181,0.165
Thanjavur,Orattanadu,2025-03-07,34.2,22.2,27.7,0.0,0.0,0.0,0.0,17.1,28.8,102,24.22,5.53,43142.14,36439.93,100,32,24.0,15.2,3.63,30.95,37.5,25.6,0.1577,0.165,0.151
Thanjavur,Orattanadu,2025-03-08,34.2,23.3,28.1,0.0,0.0,0.0,0.0,15.7,28.4,98,25.13,5.84,43176.78,39991.11,99,35,24.1,16.5,3.52,31.5458,38.4,26.2,0.1474,0.154,0.138
Thanjavur,Orattanadu,2025-03-09,32.8,20.5,26.2,0.0,0.0,0.0,0.0,17.3,34.9,78,25.08,5.7,43211.56,38501.48,100,39,22.6,15.9,3.01,30.0542,36.6,24.5,0.1502,0.155,0.142
Thanjavur,Orattanadu,2025-03-10,33.8,22.5,27.7,0.0,0.0,0.0,0.0,23.0,42.8,39,21.43,5.76,43246.57,37326.48,88,41,22.5,18.3,3.09,29.9125,35.5,25.3,0.1487,0.154,0.141
Thanjavur,Orattanadu,2025-03-11,27.0,24.0,25.4,26.9,26.9,0.0,19.0,22.2,45.0,55,8.56,1.99,43281.79,424.48,97,76,24.1,22.3,0.85,26.925,28.6,25.2,0.2646,0.429,0.151
Thanjavur,Orattanadu,2025-03-12,30.0,22.7,25.5,9.0,9.0,0.0,10.0,16.2,29.5,35,10.51,2.28,43317.18,5915.86,98,66,24.2,22.1,1.43,26.5208,29.6,24.4,0.3481,0.387,0.328
Thanjavur,Orattanadu,2025-03-13,33.2,22.2,27.0,0.0,0.0,0.0,0.0,14.0,27.4,73,23.8,5.17,43352.73,36165.7,100,45,24.1,19.8,2.76,28.6875,34.2,24.2,0.303,0.336,0.274
Thanjavur,Orattanadu,2025-03-14,33.0,22.9,27.4,0.0,0.0,0.0,0.0,10.5,20.5,101,23.57,5.16,43388.41,38612.57,99,50,24.9,21.0,2.51,29.5917,35.2,24.4,0.2552,0.274,0.239
Thanjavur,Orattanadu,2025-03-15,32.4,23.1,27.6,0.0,0.0,0.0,0.0,10.9,18.4,107,23.0,5.05,43424.19,39652.28,99,50,24.4,20.5,2.45,29.925,35.2,25.2,0.2279,0.239,0.216
Thanjavur,Orattanadu,2025-03-16,33.0,24.2,28.0,0.6,0.6,0.0,2.0,15.8,32.0,128,21.38,4.66,43460.06,40259.5,99,55,25.8,22.5,2.21,30.2625,35.5,26.4,0.2165,0.228,0.203
Thanjavur,Orattanadu,2025-03-17,33.7,24.4,28.8,0.1,0.1,0.0,1.0,13.7,25.2,139,23.51,5.26,43495.98,39415.01,99,54,26.0,23.0,2.4,31.2208,36.6,26.5,0.2144,0.228,0.202
Thanjavur,Orattanadu,2025-03-18,33.7,24.9,28.8,0.0,0.0,0.0,0.0,14.6,27.7,113,23.4,5.37,43531.94,41082.54,96,49,25.6,21.5,2.67,31.3417,36.5,27.0,0.194,0.203,0.184
Thanjavur,Orattanadu,2025-03-19,33.8,24.8,28.7,0.4,0.4,0.0,4.0,18.9,35.3,124,23.29,5.4,43567.91,40673.81,96,54,24.9,22.1,2.4,31.2125,36.8,26.9,0.1765,0.185,0.169
Thanjavur,Orattanadu,2025-03-20,34.4,24.7,29.1,0.0,0.0,0.0,0.0,16.6,32.0,92,23.93,5.74,43603.87,41058.14,96,42,24.9,19.7,3.14,31.6083,37.2,27.0,0.1613,0.17,0.153
Thanjavur,Orattanadu,2025-03-21,33.4,25.2,28.8,0.7,0.7,0.0,5.0,17.6,34.9,96,20.46,4.78,43639.79,40397.87,94,54,24.6,22.5,2.35,31.525,36.2,27.6,0.1556,0.16,0.148
Thanjavur,Orattanadu,2025-03-22,33.4,25.2,28.8,1.9,1.9,0.0,5.0,17.0,35.6,110,21.33,4.92,43675.64,40550.04,95,55,25.5,22.6,2.33,31.4667,36.4,27.5,0.1507,0.158,0.144
Thanjavur,Orattanadu,2025-03-23,33.9,24.9,29.2,0.9,0.9,0.0,8.0,14.5,28.1,106,22.58,5.48,43711.41,40121.92,96,46,24.8,20.1,2.86,31.8667,37.7,27.0,0.1532,0.156,0.149
Thanjavur,Orattanadu,2025-03-24,34.5,24.5,29.1,0.0,0.0,0.0,0.0,17.1,32.8,69,23.35,5.67,43747.07,40737.82,97,42,24.9,19.7,3.14,32.2917,38.5,27.2,0.1501,0.155,0.144
