district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Papanasam,2025-02-24,33.2,21.5,26.7,0.0,0.0,0.0,0.0,20.9,39.2,52,22.91,5.44,42743.28,34302.58,100,36,23.2,16.2,3.24,28.85,34.4,24.2,0.1612,0.172,0.152
Thanjavur,Papanasam,2025-02-25,31.7,23.0,27.0,0.6,0.6,0.0,4.0,22.7,43.6,37,18.81,4.64,42778.28,39831.19,97,52,23.0,19.9,2.26,28.7167,32.8,25.1,0.1628,0.186,0.151
Thanjavur,Papanasam,2025-02-26,32.6,24.1,27.6,0.6,0.6,0.0,6.0,26.5,48.6,38,21.87,5.49,42813.45,40292.36,92,46,23.0,19.3,2.67,29.0,33.5,25.8,0.184,0.188,0.178
Thanjavur,Papanasam,2025-02-27,32.7,23.9,27.6,0.1,0.1,0.0,1.0,22.7,42.1,39,22.02,5.5,42848.76,40119.44,93,48,23.1,20.0,2.56,29.5333,34.2,26.0,0.1767,0.181,0.169
Thanjavur,Papanasam,2025-02-28,31.4,23.9,26.6,3.2,3.2,0.0,12.0,21.3,47.5,50,17.53,4.0,42884.18,37653.35,92,60,23.7,21.7,1.82,28.4667,32.1,25.9,0.1951,0.223,0.176
Thanjavur,Papanasam,2025-03-01,30.5,23.6,26.8,3.0,3.0,0.0,8.0,17.3,36.0,59,15.88,3.72,42919.7,33118.96,94,62,23.5,22.2,1.64,28.2625,31.3,25.8,0.2252,0.235,0.22
Thanjavur,Papanasam,2025-03-02,32.1,23.8,27.6,0.3,0.3,0.0,3.0,14.6,28.1,77,20.04,4.52,42955.26,39573.59,96,57,24.4,21.9,2.04,29.6458,34.0,25.9,0.2128,0.22,0.204
Thanjavur,Papanasam,2025-03-03,34.2,23.6,28.0,0.1,0.1,0.0,1.0,15.5,29.2,78,20.66,4.9,42990.86,34759.11,100,40,25.0,18.5,3.2,30.2125,35.8,26.1,0.1966,0.204,0.185
Thanjavur,Papanasam,2025-03-04,34.5,23.5,28.0,0.0,0.0,0.0,0.0,14.7,26.6,86,23.18,5.31,43026.45,39177.62,100,39,24.4,18.6,3.33,30.5833,36.7,26.5,0.1887,0.194,0.177
Thanjavur,Papanasam,2025-03-05,34.4,22.8,28.2,0.0,0.0,0.0,0.0,11.4,19.8,124,23.23,5.24,43062.02,38514.85,100,38,24.8,17.9,3.36,30.6917,36.8,26.0,0.1797,0.188,0.169
Thanjavur,Papanasam,2025-03-06,35.2,21.8,27.9,0.0,0.0,0.0,0.0,15.5,25.9,138,23.19,5.32,43097.54,34373.53,100,32,24.5,16.1,3.82,30.6792,37.5,25.3,0.1678,0.177,0.159
Thanjavur,Papanasam,2025-03-07,34.5,22.5,27.7,0.0,0.0,0.0,0.0,16.8,27.7,107,24.84,5.65,43132.97,37978.75,100,31,24.0,14.7,3.78,30.9542,37.3,25.8,0.1647,0.173,0.159
Thanjavur,Papanasam,2025-03-08,33.8,22.9,27.9,0.0,0.0,0.0,0.0,16.7,31.0,104,24.82,5.63,43168.31,38644.61,100,38,23.8,17.3,3.24,31.15,37.7,26.5,0.1628,0.174,0.151
Thanjavur,Papanasam,2025-03-09,33.0,20.4,26.1,0.0,0.0,0.0,0.0,17.8,33.5,82,24.54,5.66,43203.8,36882.11,100,35,22.7,15.2,3.25,29.7417,36.0,24.5,0.1641,0.174,0.152
Thanjavur,Papanasam,2025-03-10,33.4,21.5,27.4,0.0,0.0,0.0,0.0,21.0,40.0,41,20.78,5.52,43239.53,38286.12,91,44,22.2,19.2,2.89,29.4958,34.8,24.8,0.1636,0.171,0.154
Thanjavur,Papanasam,2025-03-11,27.0,24.0,25.5,20.1,20.1,0.0,18.0,22.5,45.4,50,8.66,2.03,43275.46,504.33,98,77,24.0,22.5,0.83,27.0583,28.4,25.4,0.247,0.381,0.17
Thanjavur,Papanasam,2025-03-12,30.0,23.1,25.5,11.8,11.8,0.0,14.0,15.4,33.1,42,10.5,2.27,43311.58,12210.74,98,66,24.0,22.5,1.42,26.5708,29.2,24.5,0.3427,0.401,0.31
Thanjavur,Papanasam,2025-03-13,33.0,22.4,27.1,0.0,0.0,0.0,0.0,14.8,26.3,85,24.23,5.31,43347.84,38210.82,100,48,24.1,20.6,2.61,28.8917,34.5,24.5,0.2996,0.326,0.277
Thanjavur,Papanasam,2025-03-14,33.3,22.4,27.3,0.0,0.0,0.0,0.0,12.4,23.4,118,23.31,5.17,43384.25,35475.77,100,49,24.6,21.1,2.59,29.7208,35.5,24.9,0.2578,0.276,0.242
Thanjavur,Papanasam,2025-03-15,33.0,22.2,27.5,0.1,0.1,0.0,1.0,14.3,23.8,111,22.51,5.1,43420.76,34337.02,100,47,24.4,20.2,2.68,29.8625,35.4,24.9,0.2394,0.251,0.229
