district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Pattukkottai,2025-02-24,33.6,21.6,26.8,0.0,0.0,0.0,0.0,21.8,42.5,44,23.41,5.62,42777.26,39142.62,100,35,23.3,15.9,3.4,29.0625,35.1,24.4,0.1617,0.173,0.152
Thanjavur,Pattukkottai,2025-02-25,30.8,23.0,26.8,3.4,3.4,0.0,5.0,22.4,42.8,36,20.31,4.72,42810.85,39633.04,96,56,22.8,20.8,1.91,28.5292,32.9,25.0,0.1819,0.195,0.169
Thanjavur,Pattukkottai,2025-02-26,32.1,24.0,27.5,1.3,1.3,0.0,6.0,26.1,50.4,39,21.06,5.2,42844.6,40348.6,91,49,22.9,20.1,2.42,28.9875,33.4,25.5,0.1863,0.201,0.179
Thanjavur,Pattukkottai,2025-02-27,32.0,24.2,27.5,0.9,0.9,0.0,6.0,23.9,45.7,38,21.75,5.25,42878.49,39918.95,89,55,23.3,21.5,2.15,29.3875,33.8,26.1,0.1778,0.181,0.174
Thanjavur,Pattukkottai,2025-02-28,30.5,23.5,26.4,6.4,6.4,0.0,13.0,21.3,41.4,46,16.27,3.66,42912.5,36051.18,94,62,23.8,22.2,1.64,27.775,31.0,25.2,0.1997,0.225,0.174
Thanjavur,Pattukkottai,2025-03-01,30.9,23.8,26.6,3.7,3.7,0.0,10.0,19.6,41.0,57,17.04,3.74,42946.58,33686.76,96,66,23.7,22.8,1.52,27.7583,31.2,25.2,0.2498,0.278,0.224
Thanjavur,Pattukkottai,2025-03-02,31.3,23.4,27.1,2.7,2.7,0.0,4.0,13.5,27.0,71,18.45,4.11,42980.71,38287.35,97,58,24.1,22.0,1.88,28.4417,32.2,24.8,0.2716,0.299,0.254
Thanjavur,Pattukkottai,2025-03-03,33.8,23.2,27.8,0.2,0.2,0.0,2.0,12.0,26.6,66,22.33,5.04,43014.88,34979.84,100,43,25.0,19.1,2.97,29.2833,34.5,25.2,0.2449,0.255,0.229
Thanjavur,Pattukkottai,2025-03-04,33.5,23.0,27.3,0.1,0.1,0.0,1.0,13.8,29.5,94,22.57,4.87,43049.06,37327.97,100,48,25.0,21.1,2.67,29.4083,35.0,25.4,0.2287,0.238,0.216
Thanjavur,Pattukkottai,2025-03-05,32.3,22.2,27.1,0.0,0.0,0.0,0.0,11.0,26.3,139,22.81,4.91,43083.2,37966.6,100,53,25.0,20.6,2.21,29.45,35.0,25.1,0.2136,0.221,0.201
Thanjavur,Pattukkottai,2025-03-06,34.0,22.1,27.6,0.2,0.2,0.0,1.0,12.2,20.5,129,22.6,4.96,43117.29,34502.56,100,41,25.5,19.0,3.12,29.5917,35.5,25.0,0.2027,0.212,0.193
Thanjavur,Pattukkottai,2025-03-07,33.5,22.5,27.2,0.1,0.1,0.0,1.0,16.5,32.8,102,23.2,5.08,43151.31,34375.84,100,45,24.2,20.0,2.83,29.8833,36.1,25.2,0.1866,0.193,0.178
Thanjavur,Pattukkottai,2025-03-08,33.3,23.2,27.5,0.0,0.0,0.0,0.0,16.7,33.1,98,24.92,5.6,43185.24,40258.99,100,42,24.8,18.3,2.99,30.2875,36.7,25.9,0.1781,0.187,0.166
Thanjavur,Pattukkottai,2025-03-09,32.9,20.4,26.1,0.0,0.0,0.0,0.0,15.5,31.0,72,25.59,5.72,43219.31,40765.31,99,38,22.5,15.1,2.98,29.0125,35.4,23.6,0.1789,0.187,0.166
Thanjavur,Pattukkottai,2025-03-10,33.3,22.5,27.5,0.0,0.0,0.0,0.0,22.2,42.5,36,21.34,5.56,43253.61,39489.09,89,44,22.8,19.2,2.82,29.0042,34.1,25.1,0.1825,0.196,0.169
Thanjavur,Pattukkottai,2025-03-11,27.9,23.7,25.4,21.0,21.0,0.0,18.0,22.9,47.5,51,9.34,2.11,43288.11,2414.79,97,79,24.0,22.5,0.77,26.575,28.0,24.8,0.3232,0.421,0.195
Thanjavur,Pattukkottai,2025-03-12,29.3,23.0,25.4,20.9,20.9,0.0,10.0,16.3,29.9,44,11.47,2.42,43322.78,15086.18,98,70,24.2,22.5,1.22,26.1417,29.2,24.2,0.3901,0.439,0.368
Thanjavur,Pattukkottai,2025-03-13,32.2,21.9,26.4,0.1,0.1,0.0,1.0,14.5,28.1,79,23.1,4.84,43357.61,37075.36,100,54,24.7,21.9,2.19,27.8875,32.9,23.8,0.349,0.374,0.33
Thanjavur,Pattukkottai,2025-03-14,32.0,22.8,26.8,0.5,0.5,0.0,3.0,13.4,27.4,117,22.63,4.75,43392.56,40942.95,98,59,25.1,22.2,1.95,28.5917,33.5,24.2,0.3167,0.329,0.299
Thanjavur,Pattukkottai,2025-03-15,32.0,23.5,27.3,0.3,0.3,0.0,2.0,13.1,26.3,114,23.26,4.98,43427.62,40487.39,99,55,24.9,22.0,2.13,29.0083,33.8,25.0,0.2914,0.302,0.278
Thanjavur,Pattukkottai,2025-03-16,31.5,24.1,27.5,3.2,3.2,0.0,7.0,14.9,28.4,117,22.11,4.61,43462.76,40573.74,98,65,25.5,23.6,1.58,29.1208,33.0,26.0,0.2776,0.286,0.268
Thanjavur,Pattukkottai,2025-03-17,32.5,23.9,28.0,0.0,0.0,0.0,0.0,13.0,24.8,134,22.64,4.89,43497.95,40261.18,100,63,25.6,23.8,1.79,29.9292,34.8,26.0,0.2655,0.278,0.252
Thanjavur,Pattukkottai,2025-03-18,32.0,24.7,28.0,0.5,0.5,0.0,4.0,13.6,28.4,118,23.06,4.92,43533.18,41085.43,98,65,25.9,23.5,1.66,29.9875,34.3,26.4,0.2514,0.261,0.24
Thanjavur,Pattukkottai,2025-03-19,32.4,25.0,28.1,0.7,0.7,0.0,5.0,19.0,36.7,127,23.74,5.14,43568.43,40795.91,97,59,25.1,23.2,1.97,29.8667,34.6,26.0,0.232,0.244,0.22
Thanjavur,Pattukkottai,2025-03-20,32.8,24.2,28.5,0.1,0.1,0.0,1.0,15.1,31.7,97,23.58,5.31,43603.65,41063.25,97,53,24.8,21.7,2.35,30.1958,34.6,26.4,0.2161,0.226,0.203
Thanjavur,Pattukkottai,2025-03-21,32.3,25.0,28.2,2.9,2.9,0.0,2.0,14.3,27.7,101,19.2,4.31,43638.84,40403.94,97,61,24.8,23.4,1.88,29.95,33.8,27.0,0.2155,0.239,0.203
Thanjavur,Pattukkottai,2025-03-22,32.2,24.7,28.1,1.4,1.4,0.0,9.0,16.0,33.1,113,20.94,4.56,43673.97,40439.67,97,63,25.1,23.5,1.79,30.0917,34.2,26.7,0.2033,0.207,0.198
Thanjavur,Pattukkottai,2025-03-23,32.7,24.6,28.4,1.1,1.1,0.0,9.0,12.5,27.4,111,23.15,5.19,43709.02,40359.53,98,56,25.4,21.6,2.16,30.3708,35.1,26.5,0.2007,0.208,0.19
Thanjavur,Pattukkottai,2025-03-24,33.3,24.1,28.5,0.4,0.4,0.0,3.0,15.1,28.8,61,22.76,5.29,43743.96,39972.8,98,47,25.1,20.5,2.68,30.6792,35.5,26.4,0.1846,0.191,0.177
Thanjavur,Pattukkottai,2025-03-25,34.5,23.7,28.2,0.0,0.0,0.0,0.0,12.8,27.4,70,25.22,5.7,43778.76,41008.83,100,39,25.0,18.6,3.33,30.9042,37.0,26.3,0.176,0.182,0.164
