district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Peravurani,2025-02-24,33.6,21.9,27.0,0.0,0.0,0.0,0.0,21.3,39.6,46,23.13,5.6,42788.57,40198.93,100,34,23.3,15.6,3.42,29.0333,35.1,24.4,0.162,0.173,0.151
Thanjavur,Peravurani,2025-02-25,31.4,22.9,26.7,2.1,2.1,0.0,5.0,20.7,42.1,34,19.77,4.54,42821.69,39608.61,96,56,22.7,21.2,2.02,28.4125,32.7,24.9,0.176,0.196,0.163
Thanjavur,Peravurani,2025-02-26,32.3,23.6,27.6,1.6,1.6,0.0,6.0,26.3,48.6,37,21.41,5.27,42854.97,40381.45,94,48,22.8,19.6,2.51,28.9833,33.7,25.0,0.1887,0.205,0.182
Thanjavur,Peravurani,2025-02-27,32.2,24.4,27.6,1.1,1.1,0.0,5.0,23.2,42.8,38,21.15,5.13,42888.39,39780.18,91,54,23.2,21.3,2.23,29.375,33.6,26.1,0.1873,0.191,0.184
Thanjavur,Peravurani,2025-02-28,30.9,22.5,26.3,11.7,11.7,0.0,16.0,18.3,37.4,46,16.67,3.65,42921.92,33848.85,96,61,23.9,21.9,1.74,28.0417,31.2,25.0,0.2146,0.272,0.188
Thanjavur,Peravurani,2025-03-01,29.8,23.6,26.4,4.4,4.4,0.0,15.0,17.4,38.2,58,16.43,3.52,42955.53,34258.43,97,68,23.9,23.0,1.36,28.0542,31.1,25.5,0.2432,0.258,0.225
Thanjavur,Peravurani,2025-03-02,31.1,23.5,26.9,1.4,1.4,0.0,6.0,12.8,28.4,72,19.12,4.09,42989.19,40216.35,97,63,24.0,22.8,1.66,28.55,32.8,24.9,0.2531,0.26,0.242
Thanjavur,Peravurani,2025-03-03,33.2,23.2,27.2,0.7,0.7,0.0,4.0,16.5,32.0,95,21.83,4.7,43022.89,34972.91,100,48,25.4,20.8,2.63,29.2417,34.5,25.2,0.2527,0.264,0.243
Thanjavur,Peravurani,2025-03-04,33.0,23.6,27.2,0.0,0.0,0.0,0.0,14.9,30.2,79,23.13,4.89,43056.58,36981.0,100,53,24.9,22.0,2.38,29.475,35.2,25.5,0.2336,0.243,0.22
Thanjavur,Peravurani,2025-03-05,32.8,22.7,27.0,0.0,0.0,0.0,0.0,13.1,28.4,124,23.12,4.94,43090.25,38004.07,100,51,25.0,21.2,2.41,29.5375,35.2,25.1,0.22,0.228,0.21
Thanjavur,Peravurani,2025-03-06,34.0,23.1,27.9,0.0,0.0,0.0,0.0,12.2,22.3,139,23.46,5.14,43123.88,39541.42,100,42,25.6,19.3,3.08,29.8708,36.0,25.0,0.2052,0.213,0.196
Thanjavur,Peravurani,2025-03-07,33.2,23.0,27.5,0.0,0.0,0.0,0.0,14.1,29.2,136,23.9,5.25,43157.42,38012.84,100,49,24.7,20.0,2.59,30.2292,36.4,25.5,0.1909,0.198,0.182
Thanjavur,Peravurani,2025-03-08,32.7,23.8,27.5,0.1,0.1,0.0,1.0,15.8,32.4,108,24.19,5.26,43190.88,40736.85,99,48,24.8,20.1,2.57,30.45,36.4,25.9,0.1762,0.183,0.165
Thanjavur,Peravurani,2025-03-09,31.5,20.7,26.0,0.0,0.0,0.0,0.0,20.8,40.7,87,24.8,5.42,43224.48,40771.58,100,51,23.0,19.0,2.26,29.2208,34.9,24.5,0.1785,0.183,0.169
Thanjavur,Peravurani,2025-03-10,33.5,22.2,27.5,0.0,0.0,0.0,0.0,21.9,38.5,35,20.92,5.51,43258.3,40461.62,90,43,22.8,19.1,2.95,29.1125,34.2,24.8,0.1839,0.194,0.174
Thanjavur,Peravurani,2025-03-11,27.5,23.8,25.2,33.1,33.1,0.0,18.0,23.4,46.1,49,8.52,1.89,43292.32,3108.11,97,78,24.1,22.5,0.75,26.6333,27.9,24.9,0.314,0.439,0.193
Thanjavur,Peravurani,2025-03-12,29.3,23.2,25.5,8.0,8.0,0.0,11.0,12.9,28.1,44,12.08,2.58,43326.52,17706.87,98,68,24.5,22.4,1.31,26.425,29.6,24.5,0.3908,0.419,0.382
Thanjavur,Peravurani,2025-03-13,31.7,21.9,26.4,0.0,0.0,0.0,0.0,12.9,26.6,75,23.87,4.98,43360.86,35692.1,100,59,24.4,21.9,1.91,28.2958,33.3,24.0,0.3602,0.382,0.344
Thanjavur,Peravurani,2025-03-14,31.6,23.4,27.1,0.3,0.3,0.0,3.0,11.9,25.6,105,22.87,4.77,43395.33,40946.81,99,60,25.1,22.9,1.86,29.0167,33.8,24.9,0.3323,0.343,0.319
Thanjavur,Peravurani,2025-03-15,32.1,24.1,27.6,0.4,0.4,0.0,4.0,14.2,26.6,114,23.77,5.09,43429.91,40981.98,97,52,24.9,20.8,2.3,29.3583,34.2,25.5,0.3118,0.321,0.3
Thanjavur,Peravurani,2025-03-16,31.2,24.6,27.6,0.6,0.6,0.0,4.0,15.7,32.0,109,22.43,4.6,43464.56,40780.24,98,66,25.6,23.8,1.53,29.65,33.7,26.5,0.2922,0.301,0.284
Thanjavur,Peravurani,2025-03-17,32.3,24.4,28.1,0.8,0.8,0.0,4.0,12.2,25.9,129,23.0,4.93,43499.27,40399.5,100,61,25.4,23.2,1.84,30.2708,34.8,26.5,0.2743,0.285,0.265
Thanjavur,Peravurani,2025-03-18,31.9,25.0,28.1,0.2,0.2,0.0,2.0,15.2,30.6,116,24.06,5.08,43534.02,41087.34,97,63,25.2,23.2,1.74,30.2625,34.8,26.6,0.259,0.267,0.25
Thanjavur,Peravurani,2025-03-19,32.1,25.2,28.2,0.4,0.4,0.0,2.0,18.2,35.3,117,24.02,5.14,43568.77,41119.21,97,60,25.2,23.0,1.93,30.25,35.0,26.5,0.236,0.254,0.224
Thanjavur,Peravurani,2025-03-20,32.3,25.3,28.4,1.8,1.8,0.0,7.0,16.1,33.1,97,24.31,5.34,43603.51,41157.19,97,54,25.3,21.5,2.22,30.3708,35.0,26.4,0.2209,0.243,0.208
Thanjavur,Peravurani,2025-03-21,32.2,25.0,28.3,0.7,0.7,0.0,4.0,16.5,31.7,96,21.95,4.76,43638.22,40839.41,97,62,25.1,23.1,1.78,30.4042,34.8,26.9,0.2092,0.22,0.199
Thanjavur,Peravurani,2025-03-22,31.0,25.1,28.2,2.1,2.1,0.0,8.0,16.8,33.5,103,21.61,4.6,43672.87,40758.01,95,66,25.1,23.8,1.52,30.4667,34.5,27.0,0.1981,0.207,0.195
Thanjavur,Peravurani,2025-03-23,32.6,25.2,28.5,0.8,0.8,0.0,6.0,15.4,31.7,111,23.31,5.23,43707.43,40793.28,97,54,24.8,21.8,2.28,30.7,35.8,26.5,0.1875,0.198,0.18
Thanjavur,Peravurani,2025-03-24,33.3,24.1,28.5,0.4,0.4,0.0,4.0,15.4,29.2,69,22.89,5.31,43741.89,40382.9,99,48,25.1,21.0,2.64,31.0583,36.2,26.8,0.1772,0.182,0.17
Thanjavur,Peravurani,2025-03-25,34.2,24.0,28.3,0.0,0.0,0.0,0.0,17.9,33.5,74,25.27,5.74,43776.21,41096.57,100,42,25.0,19.3,3.12,31.0833,37.2,26.5,0.1758,0.182,0.167
Thanjavur,Peravurani,2025-03-26,32.8,23.0,27.5,0.4,0.4,0.0,4.0,13.2,27.7,109,23.68,5.21,43810.39,39741.12,100,53,24.5,21.0,2.34,30.55,36.5,26.0,0.1735,0.177,0.167
Thanjavur,Peravurani,2025-03-27,34.2,23.0,28.2,0.0,0.0,0.0,0.0,14.8,29.9,177,24.39,5.46,43844.38,39882.17,98,38,24.6,17.8,3.33,30.6292,36.7,25.6,0.1768,0.186,0.167
Thanjavur,Peravurani,2025-03-28,33.8,24.0,28.4,0.0,0.0,0.0,0.0,13.0,27.7,172,23.52,5.34,43878.19,41082.39,98,45,25.4,19.6,2.86,30.8083,36.6,26.5,0.1807,0.186,0.17
Thanjavur,Peravurani,2025-03-29,35.0,22.6,28.2,0.0,0.0,0.0,0.0,16.3,30.6,138,26.64,5.99,43912.02,41462.27,96,32,23.9,15.7,3.84,30.5083,37.0,25.3,0.1785,0.187,0.169
Thanjavur,Peravurani,2025-03-30,33.2,21.5,27.1,0.0,0.0,0.0,0.0,12.7,27.4,117,26.49,5.73,43945.95,41495.09,98,43,24.1,18.0,2.87,29.6458,36.4,24.2,0.1723,0.177,0.164
Thanjavur,Peravurani,2025-03-31,31.9,24.0,27.8,0.1,0.1,0.0,1.0,14.0,30.2,102,23.79,5.27,43979.95,41300.89,99,56,24.9,20.8,2.09,30.125,35.8,25.4,0.1718,0.183,0.162
Thanjavur,Peravurani,2025-04-01,32.0,23.8,28.2,0.2,0.2,0.0,2.0,14.0,29.5,112,23.88,5.38,44014.02,41102.0,94,47,24.1,19.0,2.48,30.2292,35.2,26.3,0.1954,0.218,0.182
Thanjavur,Peravurani,2025-04-02,31.3,25.5,28.2,7.0,7.0,0.0,5.0,14.5,29.2,134,22.41,4.82,44048.1,39578.72,89,66,25.3,22.5,1.57,30.4208,34.6,27.2,0.2125,0.243,0.183
Thanjavur,Peravurani,2025-04-03,31.6,23.1,26.3,22.0,22.0,0.0,15.0,11.9,26.6,72,18.67,3.91,44082.21,32400.0,98,66,24.5,22.4,1.56,28.8833,34.0,25.8,0.3432,0.387,0.273
Thanjavur,Peravurani,2025-04-04,32.0,24.3,27.6,1.6,1.6,0.0,5.0,13.1,33.8,102,22.1,4.63,44116.3,41158.63,98,59,25.1,22.8,1.97,29.5708,33.9,25.9,0.32,0.35,0.295
Thanjavur,Peravurani,2025-04-05,32.5,23.6,28.2,2.2,2.2,0.0,6.0,12.0,27.0,198,23.05,4.98,44150.35,40926.05,94,56,24.5,22.5,2.18,30.3042,35.1,26.1,0.282,0.295,0.264
Thanjavur,Peravurani,2025-04-06,34.0,24.5,28.7,11.6,11.6,0.0,6.0,16.8,34.9,164,21.81,4.93,44184.35,40110.81,97,53,25.0,22.6,2.48,30.975,36.3,26.3,0.2731,0.383,0.221
Thanjavur,Peravurani,2025-04-07,33.2,24.1,28.6,0.1,0.1,0.0,1.0,13.9,25.6,57,23.48,5.2,44218.26,40228.02,98,54,25.0,22.5,2.34,30.7458,35.8,26.5,0.2529,0.272,0.244
Thanjavur,Peravurani,2025-04-08,34.5,24.5,28.9,0.0,0.0,0.0,0.0,15.6,32.4,54,23.24,5.33,44252.07,41394.19,98,44,25.0,20.3,3.07,31.2292,36.4,27.0,0.2273,0.246,0.213
Thanjavur,Peravurani,2025-04-09,33.3,24.2,28.2,4.2,4.2,0.0,4.0,12.1,27.4,59,22.78,4.93,44285.75,40345.98,97,49,25.1,21.0,2.62,30.7333,36.0,26.7,0.2062,0.237,0.194
Thanjavur,Peravurani,2025-04-10,35.7,24.7,30.0,0.0,0.0,0.0,0.0,21.1,38.2,200,23.25,5.69,44319.28,39600.0,95,37,25.1,18.6,3.68,31.8042,37.8,26.8,0.188,0.202,0.175
Thanjavur,Peravurani,2025-04-11,37.2,25.0,30.2,17.7,17.7,0.0,4.0,22.7,41.4,210,24.07,6.23,44352.63,40930.51,94,34,25.3,18.8,4.16,32.2667,38.2,27.6,0.1963,0.403,0.166
Thanjavur,Peravurani,2025-04-12,36.6,24.8,29.6,0.1,0.1,0.0,1.0,20.4,39.2,216,24.72,5.87,44385.79,40348.26,95,38,25.6,19.9,3.82,31.65,38.2,27.0,0.227,0.384,0.173
Thanjavur,Peravurani,2025-04-13,35.8,25.2,30.2,0.0,0.0,0.0,0.0,14.9,30.6,170,23.67,5.43,44418.71,40582.42,96,43,26.2,21.4,3.31,32.875,39.0,27.9,0.1703,0.179,0.161
Thanjavur,Peravurani,2025-04-14,34.0,25.8,30.0,0.1,0.1,0.0,1.0,14.8,27.0,135,23.91,5.57,44451.38,41283.88,99,51,26.2,21.5,2.57,32.8708,38.5,28.4,0.1633,0.17,0.156
Thanjavur,Peravurani,2025-04-15,34.1,23.6,29.2,1.6,1.6,0.0,1.0,15.1,32.0,109,23.56,5.43,44483.77,41051.61,94,51,25.2,21.9,2.61,32.3792,38.1,27.1,0.1729,0.184,0.164
Thanjavur,Peravurani,2025-04-16,33.7,25.6,29.6,0.0,0.0,0.0,0.0,16.1,30.6,141,24.08,5.51,44515.86,41052.96,90,53,25.4,22.4,2.47,32.6,38.1,28.5,0.1688,0.172,0.163
Thanjavur,Peravurani,2025-04-17,33.8,24.0,29.0,4.1,4.1,0.0,2.0,14.2,28.1,150,25.15,5.56,44547.63,41288.46,99,52,26.6,22.6,2.5,31.9333,37.5,27.0,0.2082,0.225,0.172
Thanjavur,Peravurani,2025-04-18,34.3,26.6,30.3,0.3,0.3,0.0,1.0,17.7,33.1,173,23.85,5.65,44579.3,41173.06,92,50,26.5,22.5,2.68,32.4875,37.5,28.6,0.2033,0.219,0.188
Thanjavur,Peravurani,2025-04-19,35.2,26.0,30.3,0.6,0.6,0.0,1.0,19.0,34.9,177,23.41,5.44,44610.92,40940.21,96,47,26.4,22.1,3.02,32.6875,38.0,28.5,0.2077,0.219,0.198
Thanjavur,Peravurani,2025-04-20,35.1,26.5,30.4,0.0,0.0,0.0,0.0,15.3,28.1,172,24.0,5.48,44642.47,41176.5,98,51,26.5,23.5,2.77,33.0625,38.4,28.9,0.1919,0.204,0.18
Thanjavur,Peravurani,2025-04-21,34.7,26.5,30.4,0.0,0.0,0.0,0.0,14.9,28.8,141,24.57,5.7,44673.94,41295.87,98,46,26.5,21.1,2.99,33.1792,38.3,29.0,0.1821,0.19,0.172
Thanjavur,Peravurani,2025-04-22,33.5,26.5,29.8,0.2,0.2,0.0,2.0,14.2,27.7,148,24.01,5.49,44705.3,41180.25,91,54,25.2,22.8,2.39,32.6,37.8,28.7,0.183,0.187,0.175
Thanjavur,Peravurani,2025-04-23,34.2,25.6,30.1,0.0,0.0,0.0,0.0,15.3,28.4,162,24.16,5.65,44736.52,40946.56,94,51,25.5,22.2,2.65,32.9542,38.5,28.5,0.1806,0.187,0.17
Thanjavur,Peravurani,2025-04-24,35.8,26.4,30.8,0.8,0.8,0.0,2.0,16.9,30.6,169,23.93,5.65,44767.58,41066.29,96,45,26.9,22.0,3.24,33.4417,39.0,28.9,0.1765,0.181,0.17
Thanjavur,Peravurani,2025-04-25,34.0,27.2,30.5,0.5,0.5,0.0,3.0,19.2,36.0,164,22.1,5.35,44798.45,40713.75,94,60,26.5,24.4,2.07,33.1583,37.5,29.5,0.1651,0.175,0.16
Thanjavur,Peravurani,2025-04-26,33.2,26.1,29.9,1.4,1.4,0.0,4.0,17.8,35.6,159,22.42,5.21,44829.11,40833.58,90,60,25.7,24.2,2.0,32.6833,37.0,29.4,0.1545,0.161,0.147
Thanjavur,Peravurani,2025-04-27,34.0,25.1,29.5,2.6,2.6,0.0,5.0,18.2,35.6,155,22.92,5.29,44859.53,39649.88,94,57,26.0,23.5,2.3,32.5583,38.0,28.6,0.1578,0.169,0.147
Thanjavur,Peravurani,2025-04-28,32.0,26.2,29.2,5.3,5.3,0.0,6.0,15.9,33.5,162,19.3,4.47,44889.69,36724.54,88,62,25.2,23.9,1.78,31.75,35.2,28.5,0.1802,0.219,0.163
Thanjavur,Peravurani,2025-04-29,32.7,24.9,29.0,2.9,2.9,0.0,6.0,17.0,32.0,173,22.16,5.05,44919.56,39600.0,94,61,25.0,23.7,1.89,31.6417,36.0,27.2,0.1916,0.205,0.175
Thanjavur,Peravurani,2025-04-30,34.3,26.4,29.8,0.4,0.4,0.0,1.0,21.2,37.4,183,22.76,5.48,44949.11,41078.96,90,51,25.2,22.8,2.65,32.5458,37.9,28.5,0.1787,0.187,0.17
Thanjavur,Peravurani,2025-05-01,35.3,26.0,30.1,1.1,1.1,0.0,2.0,17.5,33.8,188,20.89,5.26,44978.32,39167.96,91,47,25.5,22.2,3.04,32.5542,37.2,28.4,0.1701,0.175,0.164
Thanjavur,Peravurani,2025-05-02,34.3,26.3,30.0,1.5,1.5,0.0,2.0,19.8,36.4,177,22.92,5.53,45007.15,40724.69,96,52,26.5,23.0,2.6,32.6583,37.3,28.8,0.1784,0.192,0.167
Thanjavur,Peravurani,2025-05-03,34.8,25.7,30.0,0.0,0.0,0.0,0.0,18.2,34.2,173,24.57,5.73,45035.58,40966.19,93,52,25.9,23.4,2.69,32.8375,38.3,28.4,0.185,0.191,0.174
Thanjavur,Peravurani,2025-05-04,36.8,25.9,30.6,4.1,4.1,0.0,2.0,18.7,34.6,175,23.06,5.53,45063.58,40487.63,95,40,26.5,21.0,3.74,33.0958,38.5,28.6,0.1863,0.249,0.17
Thanjavur,Peravurani,2025-05-05,35.0,25.4,29.7,0.2,0.2,0.0,1.0,17.1,32.4,180,23.28,5.38,45091.13,39093.14,97,51,27.4,23.4,2.76,31.3458,36.2,27.6,0.2887,0.328,0.25
Thanjavur,Peravurani,2025-05-06,34.9,27.1,30.4,2.7,2.7,0.0,1.0,17.1,31.3,182,22.92,5.29,45118.18,40489.86,95,53,27.4,24.0,2.61,32.2625,36.7,28.9,0.277,0.305,0.256
Thanjavur,Peravurani,2025-05-07,36.4,24.9,29.3,7.4,7.4,0.0,6.0,18.8,46.1,194,23.25,5.51,45144.72,40612.01,98,43,25.5,21.8,3.47,31.1458,36.2,27.5,0.2846,0.384,0.244
Thanjavur,Peravurani,2025-05-08,35.7,25.0,29.5,1.4,1.4,0.0,3.0,17.6,34.6,216,21.95,5.08,45170.95,39642.23,96,45,25.9,21.9,3.22,30.7292,35.5,27.0,0.2543,0.262,0.245
Thanjavur,Peravurani,2025-05-09,35.6,26.3,30.3,0.4,0.4,0.0,1.0,13.6,25.6,211,23.54,5.47,45196.92,40371.32,93,46,26.4,21.8,3.16,31.8333,36.4,28.3,0.2451,0.255,0.234
