district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Sethubhavachatram,2025-02-24,32.0,23.0,27.3,0.1,0.1,0.0,1.0,23.3,42.8,56,23.32,5.54,42794.21,40316.27,95,44,23.6,18.0,2.66,29.7542,36.7,24.5,0.0302,0.055,0.012
Thanjavur,Sethubhavachatram,2025-02-25,30.4,23.4,26.9,3.2,3.2,0.0,6.0,22.4,44.3,40,20.31,4.67,42827.11,39746.07,94,60,23.0,21.0,1.73,28.8458,34.0,24.5,0.0283,0.047,0.012
Thanjavur,Sethubhavachatram,2025-02-26,31.8,23.9,27.6,2.2,2.2,0.0,8.0,26.7,49.0,39,21.45,5.24,42860.15,40349.75,91,52,23.2,20.6,2.25,29.45,35.2,24.5,0.0492,0.055,0.04
Thanjavur,Sethubhavachatram,2025-02-27,31.7,24.5,27.7,1.5,1.5,0.0,10.0,23.9,43.6,42,20.97,5.18,42893.34,39801.88,89,56,23.5,21.8,2.06,29.8042,35.0,25.5,0.061,0.066,0.055
Thanjavur,Sethubhavachatram,2025-02-28,30.2,23.8,26.3,8.0,8.0,0.0,14.0,21.0,41.0,50,17.23,3.76,42926.63,36000.0,93,65,23.9,22.0,1.49,27.9375,31.5,24.7,0.1155,0.218,0.066
Thanjavur,Sethubhavachatram,2025-03-01,28.9,23.8,26.4,5.0,5.0,0.0,17.0,18.5,40.0,62,16.78,3.54,42960.0,35395.01,96,73,24.0,22.6,1.08,27.7667,31.4,24.9,0.2125,0.223,0.198
Thanjavur,Sethubhavachatram,2025-03-02,29.8,24.4,27.0,1.3,1.3,0.0,8.0,15.1,28.4,76,19.77,4.11,42993.43,40236.03,95,70,24.6,23.0,1.26,28.55,33.2,25.0,0.1996,0.212,0.185
Thanjavur,Sethubhavachatram,2025-03-03,30.8,24.0,27.2,2.0,2.0,0.0,7.0,19.7,35.6,95,21.77,4.48,43026.88,35597.54,96,64,25.0,23.2,1.57,29.1333,34.2,25.2,0.1885,0.204,0.173
Thanjavur,Sethubhavachatram,2025-03-04,30.5,23.9,27.3,0.0,0.0,0.0,0.0,15.9,31.3,87,23.18,4.69,43060.34,36864.65,96,68,25.0,23.2,1.35,29.3542,34.8,25.2,0.1661,0.175,0.153
Thanjavur,Sethubhavachatram,2025-03-05,30.5,23.2,27.0,0.0,0.0,0.0,0.0,13.5,29.5,121,23.58,4.7,43093.78,37984.84,99,68,25.0,22.6,1.4,29.4,35.0,25.0,0.1535,0.162,0.142
Thanjavur,Sethubhavachatram,2025-03-06,31.2,24.0,27.7,0.0,0.0,0.0,0.0,14.7,31.7,139,23.67,4.91,43127.16,40670.62,96,63,25.9,22.1,1.55,29.5125,35.5,24.4,0.1376,0.147,0.126
Thanjavur,Sethubhavachatram,2025-03-07,30.9,23.6,27.5,0.1,0.1,0.0,1.0,15.4,31.0,140,23.45,4.98,43160.47,37391.3,99,59,24.8,21.1,1.76,29.8417,35.8,25.2,0.1188,0.128,0.107
Thanjavur,Sethubhavachatram,2025-03-08,30.0,23.6,27.5,0.3,0.3,0.0,2.0,17.5,31.7,110,23.53,5.08,43193.69,40740.21,97,64,24.8,21.6,1.51,29.9417,35.4,25.4,0.1055,0.11,0.096
Thanjavur,Sethubhavachatram,2025-03-09,29.8,21.8,26.5,0.0,0.0,0.0,0.0,21.5,40.0,84,24.5,5.4,43227.06,40774.71,92,52,23.0,18.5,1.99,28.9792,34.5,23.9,0.1052,0.11,0.095
Thanjavur,Sethubhavachatram,2025-03-10,32.8,23.0,27.8,0.0,0.0,0.0,0.0,24.2,43.9,35,21.4,5.72,43260.65,40480.49,85,46,22.9,19.6,2.71,29.1083,34.5,24.5,0.1057,0.115,0.094
Thanjavur,Sethubhavachatram,2025-03-11,27.1,24.4,25.7,35.7,35.7,0.0,20.0,27.2,48.2,54,8.57,2.05,43294.43,2564.94,95,78,24.0,22.8,0.79,26.3625,27.7,24.9,0.2307,0.337,0.114
