district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Thanjavur,2025-02-24,33.3,21.6,26.7,0.0,0.0,0.0,0.0,21.1,40.7,53,22.89,5.49,42748.95,34648.33,100,37,23.1,16.1,3.24,28.8958,34.5,24.4,0.1587,0.169,0.149
Thanjavur,Thanjavur,2025-02-25,31.6,23.0,27.0,1.0,1.0,0.0,6.0,24.6,47.2,38,19.39,4.75,42783.71,39820.2,98,52,23.1,20.3,2.24,28.6125,32.7,25.1,0.1609,0.172,0.153
Thanjavur,Thanjavur,2025-02-26,32.7,24.0,27.5,0.8,0.8,0.0,7.0,26.0,50.0,39,21.83,5.53,42818.65,39910.04,92,45,22.8,18.9,2.71,28.9458,33.5,25.4,0.1752,0.18,0.171
Thanjavur,Thanjavur,2025-02-27,32.8,23.6,27.5,0.3,0.3,0.0,3.0,23.1,44.3,40,21.9,5.51,42853.72,40224.59,94,48,23.0,19.8,2.58,29.3958,34.2,25.9,0.1702,0.174,0.162
Thanjavur,Thanjavur,2025-02-28,30.5,23.9,26.4,5.6,5.6,0.0,11.0,24.1,47.2,49,16.93,3.83,42888.91,34152.38,94,61,23.6,21.6,1.71,28.1708,31.3,25.9,0.201,0.237,0.171
Thanjavur,Thanjavur,2025-03-01,30.9,23.6,26.6,2.7,2.7,0.0,9.0,17.2,36.7,59,15.18,3.58,42924.18,30872.05,94,62,23.4,22.2,1.71,28.0875,31.1,25.7,0.2415,0.251,0.236
Thanjavur,Thanjavur,2025-03-02,32.0,23.6,27.5,0.6,0.6,0.0,5.0,14.2,29.2,77,19.87,4.52,42959.5,39409.0,96,57,24.2,21.9,2.05,29.3292,33.4,25.5,0.2278,0.238,0.218
Thanjavur,Thanjavur,2025-03-03,34.2,23.6,28.0,0.6,0.6,0.0,3.0,14.5,27.4,76,20.87,4.95,42994.86,33598.63,100,40,25.0,18.5,3.2,29.825,34.9,26.1,0.214,0.223,0.205
Thanjavur,Thanjavur,2025-03-04,34.3,23.4,27.9,0.1,0.1,0.0,1.0,14.6,27.0,88,23.02,5.29,43030.22,38482.82,100,40,24.4,18.8,3.25,30.1875,35.8,26.5,0.2021,0.21,0.192
Thanjavur,Thanjavur,2025-03-05,34.4,22.6,28.1,0.0,0.0,0.0,0.0,8.4,20.9,121,23.26,5.22,43065.55,38403.46,100,37,24.8,17.5,3.39,30.2083,35.8,25.9,0.1946,0.203,0.185
