district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Thiruppanandal,2025-02-24,33.3,21.8,26.7,0.0,0.0,0.0,0.0,22.5,41.8,51,23.14,5.59,42760.28,35153.51,100,35,23.2,15.6,3.35,28.9833,35.0,24.2,0.1727,0.183,0.162
Thanjavur,Thiruppanandal,2025-02-25,31.6,23.0,26.9,1.8,1.8,0.0,3.0,21.0,44.3,38,20.3,4.81,42794.57,39830.47,97,52,22.9,20.5,2.25,28.6625,33.0,25.0,0.1812,0.199,0.164
Thanjavur,Thiruppanandal,2025-02-26,32.5,23.8,27.4,1.6,1.6,0.0,9.0,26.2,50.4,39,21.58,5.34,42829.03,39482.98,94,45,23.4,19.1,2.68,28.7625,33.6,24.9,0.1989,0.206,0.191
Thanjavur,Thiruppanandal,2025-02-27,32.6,23.7,27.5,0.5,0.5,0.0,3.0,23.5,43.2,39,21.92,5.43,42863.64,40349.65,93,50,23.2,20.5,2.46,29.4792,34.3,25.9,0.1879,0.192,0.183
Thanjavur,Thiruppanandal,2025-02-28,30.6,23.7,26.4,3.5,3.5,0.0,14.0,20.6,41.4,48,15.95,3.71,42898.35,32012.78,92,61,23.7,21.8,1.72,28.2208,32.0,25.6,0.2133,0.245,0.184
Thanjavur,Thiruppanandal,2025-03-01,31.0,23.5,26.4,4.3,4.3,0.0,10.0,19.0,36.7,57,15.82,3.52,42933.14,33093.41,96,62,23.8,22.5,1.7,28.0375,31.5,25.5,0.2638,0.28,0.243
Thanjavur,Thiruppanandal,2025-03-02,32.0,23.4,27.3,0.3,0.3,0.0,3.0,14.3,29.9,72,19.46,4.4,42968.0,38570.05,96,57,24.2,22.0,2.04,29.2958,33.5,25.6,0.2511,0.264,0.236
Thanjavur,Thiruppanandal,2025-03-03,34.0,23.8,27.9,0.3,0.3,0.0,3.0,15.9,28.1,73,21.62,5.07,43002.88,35175.71,100,41,25.0,18.6,3.11,29.975,35.7,25.8,0.2286,0.24,0.217
Thanjavur,Thiruppanandal,2025-03-04,34.2,23.5,27.8,0.0,0.0,0.0,0.0,13.8,24.5,85,22.98,5.17,43037.76,37678.2,100,40,24.4,18.6,3.24,30.3833,36.5,26.1,0.208,0.217,0.196
Thanjavur,Thiruppanandal,2025-03-05,34.2,22.6,27.8,0.0,0.0,0.0,0.0,10.4,22.3,142,23.15,5.24,43072.61,37986.39,100,40,25.0,18.4,3.22,30.625,37.2,25.5,0.1879,0.2,0.177
Thanjavur,Thiruppanandal,2025-03-06,35.2,21.7,28.0,0.1,0.1,0.0,1.0,14.2,25.9,117,22.99,5.46,43107.42,34391.49,100,29,24.5,14.6,4.03,30.6208,37.5,25.0,0.1739,0.181,0.165
Thanjavur,Thiruppanandal,2025-03-07,34.7,21.9,27.9,0.0,0.0,0.0,0.0,17.7,29.5,101,24.52,5.7,43142.14,37996.35,100,31,24.0,14.9,3.81,31.325,38.7,25.4,0.1583,0.165,0.152
Thanjavur,Thiruppanandal,2025-03-08,34.6,23.2,28.2,0.0,0.0,0.0,0.0,15.9,29.2,95,25.19,5.89,43176.78,39201.07,100,33,23.8,16.1,3.67,31.8625,39.3,26.2,0.1556,0.168,0.147
Thanjavur,Thiruppanandal,2025-03-09,33.0,20.5,26.2,0.0,0.0,0.0,0.0,17.1,34.9,78,25.09,5.73,43211.56,38524.37,100,38,22.2,15.6,3.07,29.9917,36.8,24.4,0.1672,0.174,0.159
Thanjavur,Thiruppanandal,2025-03-10,33.8,22.1,27.5,0.0,0.0,0.0,0.0,23.0,42.1,40,21.37,5.7,43246.57,40391.05,89,39,22.3,18.0,3.18,29.7042,35.5,25.0,0.1658,0.174,0.157
Thanjavur,Thiruppanandal,2025-03-11,26.7,23.9,25.3,19.6,19.6,0.0,19.0,21.1,45.0,53,8.52,1.94,43281.79,0.0,97,76,24.0,22.2,0.83,26.85,28.4,25.1,0.263,0.391,0.167
Thanjavur,Thiruppanandal,2025-03-12,29.8,22.6,25.2,10.4,10.4,0.0,11.0,14.5,31.7,32,10.15,2.14,43317.18,11156.53,99,66,24.4,22.0,1.41,26.2375,29.4,24.2,0.3657,0.412,0.341
Thanjavur,Thiruppanandal,2025-03-13,33.2,22.1,26.9,0.0,0.0,0.0,0.0,13.6,23.4,79,24.08,5.2,43352.73,36699.79,100,46,24.2,19.5,2.73,28.3958,34.0,23.9,0.319,0.353,0.291
Thanjavur,Thiruppanandal,2025-03-14,33.0,22.6,27.3,0.0,0.0,0.0,0.0,11.4,22.3,99,23.73,5.18,43388.41,38080.98,99,50,24.8,21.0,2.54,29.2667,34.9,24.0,0.2734,0.29,0.256
Thanjavur,Thiruppanandal,2025-03-15,32.3,23.0,27.6,0.0,0.0,0.0,0.0,10.4,22.7,102,22.98,5.1,43424.19,35346.4,99,50,24.5,20.5,2.39,29.5542,34.9,24.7,0.2467,0.255,0.231
Thanjavur,Thiruppanandal,2025-03-16,33.1,24.0,27.8,2.0,2.0,0.0,4.0,15.3,30.2,126,21.81,4.72,43460.06,39117.92,100,55,25.6,22.6,2.28,29.9,35.1,26.0,0.2364,0.244,0.221
Thanjavur,Thiruppanandal,2025-03-17,33.7,24.0,28.6,0.1,0.1,0.0,1.0,14.6,26.3,141,23.63,5.3,43495.98,39254.09,100,53,25.8,22.9,2.45,30.9292,36.5,26.1,0.2306,0.243,0.217
Thanjavur,Thiruppanandal,2025-03-18,34.0,24.5,28.7,0.0,0.0,0.0,0.0,14.3,28.8,114,23.31,5.36,43531.94,41082.54,97,47,25.7,21.1,2.81,31.0833,36.3,26.8,0.2112,0.221,0.2
Thanjavur,Thiruppanandal,2025-03-19,33.9,24.5,28.6,0.0,0.0,0.0,0.0,19.1,36.0,122,23.29,5.43,43567.91,40540.93,97,52,24.9,22.4,2.5,31.075,36.8,26.5,0.1927,0.2,0.183
Thanjavur,Thiruppanandal,2025-03-20,34.5,24.5,29.0,0.0,0.0,0.0,0.0,15.8,32.4,94,24.06,5.79,43603.87,41043.59,97,42,24.9,19.5,3.17,31.3792,37.0,26.7,0.18,0.188,0.171
Thanjavur,Thiruppanandal,2025-03-21,33.5,25.0,28.7,0.4,0.4,0.0,4.0,16.9,34.6,97,20.91,4.86,43639.79,40263.33,95,54,24.5,22.5,2.4,31.3667,36.3,27.4,0.174,0.18,0.165
Thanjavur,Thiruppanandal,2025-03-22,32.8,25.1,28.6,2.6,2.6,0.0,7.0,18.3,36.7,112,21.06,4.76,43675.64,40532.66,96,58,25.6,22.5,2.09,31.1375,35.5,27.1,0.1677,0.182,0.162
Thanjavur,Thiruppanandal,2025-03-23,34.2,24.6,29.0,0.8,0.8,0.0,6.0,14.1,29.2,109,22.65,5.46,43711.41,39985.75,98,45,25.1,20.0,2.88,31.8583,38.1,26.8,0.1617,0.165,0.157
Thanjavur,Thiruppanandal,2025-03-24,34.8,24.5,29.2,0.2,0.2,0.0,1.0,17.3,33.1,70,23.7,5.82,43747.07,40588.78,97,41,24.9,19.4,3.28,32.3625,39.0,27.0,0.1622,0.165,0.157
Thanjavur,Thiruppanandal,2025-03-25,35.6,24.2,29.1,0.0,0.0,0.0,0.0,17.2,31.3,66,24.83,6.08,43782.59,39046.36,99,31,25.0,15.9,3.97,32.7,40.1,27.1,0.1587,0.165,0.15
Thanjavur,Thiruppanandal,2025-03-26,35.2,22.6,28.4,0.0,0.0,0.0,0.0,13.5,25.6,114,24.24,5.74,43817.95,37789.73,100,35,24.2,17.3,3.68,32.1417,39.7,26.0,0.1617,0.172,0.152
Thanjavur,Thiruppanandal,2025-03-27,35.5,22.6,28.7,0.0,0.0,0.0,0.0,15.1,26.6,159,25.33,5.99,43853.13,40243.75,93,29,23.8,14.9,4.08,31.85,38.9,26.0,0.1685,0.176,0.158
