district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Thiruvaiyaru,2025-02-24,33.6,21.6,26.9,0.0,0.0,0.0,0.0,21.0,38.5,52,22.78,5.55,42743.28,36214.05,100,34,23.1,15.3,3.35,29.0708,34.8,24.4,0.1482,0.164,0.139
Thanjavur,Thiruvaiyaru,2025-02-25,31.9,23.0,27.2,1.1,1.1,0.0,4.0,22.6,46.1,40,19.0,4.8,42778.28,39798.85,97,50,23.4,19.9,2.32,28.7708,33.1,25.1,0.1466,0.173,0.132
Thanjavur,Thiruvaiyaru,2025-02-26,33.0,24.1,27.9,0.4,0.4,0.0,4.0,25.9,50.0,41,22.07,5.85,42813.45,40211.9,87,42,22.6,18.1,2.9,29.2375,33.9,25.8,0.1747,0.179,0.169
Thanjavur,Thiruvaiyaru,2025-02-27,33.5,23.6,27.8,0.2,0.2,0.0,2.0,23.2,43.2,42,21.99,5.73,42848.76,40205.13,92,43,22.9,18.4,2.91,29.5833,34.5,25.8,0.1723,0.175,0.164
Thanjavur,Thiruvaiyaru,2025-02-28,31.0,24.2,26.7,4.8,4.8,0.0,11.0,23.8,45.0,52,17.32,3.99,42884.18,33300.16,92,59,23.6,21.6,1.85,28.4042,31.9,26.1,0.22,0.324,0.174
Thanjavur,Thiruvaiyaru,2025-03-01,31.0,23.5,26.8,3.5,3.5,0.0,8.0,18.6,35.6,59,14.85,3.55,42919.7,30478.32,94,62,23.4,21.9,1.7,28.025,30.5,25.9,0.3047,0.321,0.284
Thanjavur,Thiruvaiyaru,2025-03-02,32.3,24.0,27.6,1.2,1.2,0.0,5.0,13.1,27.0,74,19.73,4.48,42955.26,39543.59,97,57,24.2,22.1,2.04,29.2417,33.5,25.5,0.2708,0.286,0.255
Thanjavur,Thiruvaiyaru,2025-03-03,34.3,23.5,28.1,0.5,0.5,0.0,5.0,14.2,24.5,77,20.5,4.86,42990.86,34499.25,100,39,25.2,18.5,3.29,30.0083,35.2,26.1,0.2407,0.254,0.226
Thanjavur,Thiruvaiyaru,2025-03-04,34.7,23.5,28.1,0.0,0.0,0.0,0.0,12.6,21.2,86,23.09,5.26,43026.45,39002.35,100,38,24.4,18.0,3.4,30.4667,36.2,26.8,0.2205,0.229,0.206
Thanjavur,Thiruvaiyaru,2025-03-05,34.8,22.7,28.1,0.0,0.0,0.0,0.0,9.1,18.7,116,23.1,5.17,43062.02,39484.92,100,35,24.1,17.2,3.59,30.375,36.2,26.1,0.2053,0.215,0.192
Thanjavur,Thiruvaiyaru,2025-03-06,35.2,21.5,28.2,0.0,0.0,0.0,0.0,14.4,24.5,132,23.66,5.47,43097.54,36363.54,100,33,24.3,16.2,3.82,30.475,36.7,24.9,0.1919,0.2,0.182
Thanjavur,Thiruvaiyaru,2025-03-07,34.5,22.6,27.9,0.0,0.0,0.0,0.0,14.3,24.8,108,24.74,5.64,43132.97,38016.98,100,33,24.0,15.5,3.66,30.7458,36.8,25.9,0.1805,0.186,0.171
Thanjavur,Thiruvaiyaru,2025-03-08,34.0,23.1,28.2,0.0,0.0,0.0,0.0,13.6,24.5,103,24.92,5.63,43168.31,38689.4,100,35,24.0,16.4,3.43,30.95,36.9,26.7,0.1808,0.188,0.17
Thanjavur,Thiruvaiyaru,2025-03-09,33.3,20.5,26.3,0.0,0.0,0.0,0.0,17.3,32.8,84,24.38,5.69,43203.8,37419.71,100,35,22.6,15.4,3.25,29.5958,35.5,24.6,0.179,0.188,0.166
Thanjavur,Thiruvaiyaru,2025-03-10,33.6,21.5,27.5,0.0,0.0,0.0,0.0,20.9,38.5,45,21.24,5.63,43239.53,40552.44,91,40,22.1,18.3,3.1,29.3417,34.5,24.7,0.1766,0.184,0.165
Thanjavur,Thiruvaiyaru,2025-03-11,27.4,24.0,25.5,20.0,20.0,0.0,20.0,22.6,45.7,45,9.08,2.14,43275.46,1240.23,98,77,24.0,22.0,0.82,26.9333,28.1,25.4,0.2686,0.409,0.184
Thanjavur,Thiruvaiyaru,2025-03-12,29.5,23.1,25.2,11.5,11.5,0.0,12.0,14.6,33.8,43,9.93,2.12,43311.58,12899.86,98,68,24.1,22.7,1.31,26.3,28.9,24.6,0.3579,0.39,0.329
Thanjavur,Thiruvaiyaru,2025-03-13,33.3,22.2,27.2,0.0,0.0,0.0,0.0,11.9,24.8,89,24.27,5.34,43347.84,38254.08,100,48,24.2,20.7,2.67,28.5792,34.0,24.2,0.3182,0.346,0.295
Thanjavur,Thiruvaiyaru,2025-03-14,33.5,22.1,27.2,0.0,0.0,0.0,0.0,12.2,21.2,108,22.94,5.1,43384.25,34847.02,100,48,24.5,21.0,2.69,29.3917,34.8,24.8,0.2775,0.295,0.263
Thanjavur,Thiruvaiyaru,2025-03-15,33.0,22.4,27.6,0.1,0.1,0.0,1.0,12.7,21.2,103,22.59,5.11,43420.76,35562.59,100,47,24.2,20.3,2.65,29.6625,35.0,25.0,0.2537,0.263,0.243
Thanjavur,Thiruvaiyaru,2025-03-16,33.8,23.6,28.2,0.2,0.2,0.0,2.0,14.7,30.6,121,21.52,4.81,43457.36,39537.82,99,54,25.2,22.8,2.43,30.2792,35.4,26.4,0.2352,0.243,0.225
