district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Thiruvonam,2025-02-24,33.2,22.0,26.8,0.0,0.0,0.0,0.0,22.5,41.8,51,23.2,5.59,42765.94,35235.8,99,35,23.2,15.5,3.33,29.075,35.1,24.4,0.1725,0.185,0.162
Thanjavur,Thiruvonam,2025-02-25,31.7,23.0,26.8,3.5,3.5,0.0,4.0,21.4,44.3,38,20.07,4.68,42800.0,39720.59,96,52,23.3,20.6,2.24,28.5542,32.7,25.0,0.1897,0.205,0.171
Thanjavur,Thiruvonam,2025-02-26,32.3,24.0,27.4,1.3,1.3,0.0,9.0,27.0,50.4,39,21.51,5.32,42834.22,38731.13,92,46,23.0,19.2,2.6,28.8125,33.5,25.0,0.2003,0.209,0.193
Thanjavur,Thiruvonam,2025-02-27,32.3,23.9,27.5,0.4,0.4,0.0,3.0,23.7,43.9,40,21.95,5.41,42868.59,40239.14,92,51,23.2,20.7,2.36,29.5333,34.2,26.0,0.1899,0.193,0.183
Thanjavur,Thiruvonam,2025-02-28,30.4,23.7,26.4,6.2,6.2,0.0,13.0,20.6,40.7,48,15.7,3.64,42903.07,32400.0,93,62,23.9,21.8,1.65,28.1083,31.2,25.5,0.2088,0.248,0.188
Thanjavur,Thiruvonam,2025-03-01,31.0,23.6,26.5,2.1,2.1,0.0,11.0,21.2,39.2,57,16.19,3.64,42937.62,33663.78,95,64,23.6,22.4,1.63,28.2792,32.3,25.6,0.2227,0.241,0.208
Thanjavur,Thiruvonam,2025-03-02,31.8,23.6,27.4,0.7,0.7,0.0,4.0,14.3,29.5,71,19.03,4.31,42972.24,38750.47,95,57,24.2,22.0,2.0,29.1875,33.2,25.6,0.2329,0.24,0.225
Thanjavur,Thiruvonam,2025-03-03,33.8,23.8,27.9,0.1,0.1,0.0,1.0,15.0,27.4,70,22.01,5.11,43006.88,36191.53,100,41,24.8,18.8,3.08,29.9,35.5,25.6,0.2183,0.228,0.206
Thanjavur,Thiruvonam,2025-03-04,34.2,23.5,27.7,0.0,0.0,0.0,0.0,13.0,27.0,88,22.92,5.11,43041.52,37445.83,100,41,24.3,19.0,3.17,30.2417,36.3,26.0,0.2023,0.21,0.19
Thanjavur,Thiruvonam,2025-03-05,33.7,22.6,27.6,0.0,0.0,0.0,0.0,10.3,22.0,144,22.87,5.12,43076.14,37986.13,100,46,25.0,20.2,2.83,30.2667,36.4,25.5,0.1938,0.203,0.185
Thanjavur,Thiruvonam,2025-03-06,35.0,22.0,27.9,0.2,0.2,0.0,2.0,14.1,25.6,124,22.89,5.32,43110.71,34391.11,100,31,24.8,14.9,3.86,30.3,36.8,25.2,0.1852,0.194,0.177
Thanjavur,Thiruvonam,2025-03-07,34.6,22.2,27.7,0.0,0.0,0.0,0.0,17.3,31.0,106,24.32,5.55,43145.2,36704.56,100,31,24.1,14.4,3.81,30.7833,37.7,25.4,0.1679,0.177,0.159
Thanjavur,Thiruvonam,2025-03-08,34.3,23.4,27.9,0.0,0.0,0.0,0.0,18.9,33.8,101,25.32,5.8,43179.6,40278.03,99,34,24.1,16.5,3.55,31.1333,38.0,26.1,0.1676,0.18,0.158
Thanjavur,Thiruvonam,2025-03-09,33.0,20.7,26.2,0.0,0.0,0.0,0.0,17.2,33.5,74,25.35,5.77,43214.14,40418.37,99,38,22.7,15.1,3.11,29.5,35.9,24.0,0.1775,0.185,0.167
Thanjavur,Thiruvonam,2025-03-10,33.5,22.4,27.6,0.0,0.0,0.0,0.0,24.0,43.6,39,21.45,5.72,43248.92,40580.64,88,41,22.5,18.5,3.04,29.3208,34.6,25.1,0.1803,0.186,0.17
Thanjavur,Thiruvonam,2025-03-11,26.8,24.1,25.3,14.8,14.8,0.0,19.0,21.7,45.7,52,8.82,1.95,43283.89,490.32,96,76,24.2,22.2,0.84,26.7292,28.1,25.0,0.2776,0.39,0.185
Thanjavur,Thiruvonam,2025-03-12,29.4,22.9,25.3,20.7,20.7,0.0,11.0,15.7,30.6,32,10.31,2.17,43319.05,11289.25,98,70,24.4,22.1,1.21,26.1958,29.0,24.2,0.3713,0.439,0.346
Thanjavur,Thiruvonam,2025-03-13,32.7,22.1,26.8,0.0,0.0,0.0,0.0,14.0,25.6,82,23.8,5.1,43354.36,36772.07,100,49,24.4,20.4,2.53,28.2875,33.8,23.8,0.3189,0.349,0.293
Thanjavur,Thiruvonam,2025-03-14,33.0,22.6,27.2,0.1,0.1,0.0,1.0,13.5,24.1,107,23.44,5.08,43389.79,38910.5,99,50,25.0,21.2,2.49,29.075,34.5,24.0,0.2808,0.296,0.265
Thanjavur,Thiruvonam,2025-03-15,32.2,23.0,27.5,0.0,0.0,0.0,0.0,13.6,23.4,103,23.08,5.08,43425.33,36545.49,100,51,24.5,20.8,2.31,29.425,34.5,24.9,0.2571,0.268,0.244
Thanjavur,Thiruvonam,2025-03-16,32.2,24.0,27.7,3.3,3.3,0.0,3.0,14.9,29.2,122,21.98,4.68,43460.96,40236.55,100,58,25.9,22.9,2.03,29.7583,34.7,26.0,0.2436,0.263,0.228
Thanjavur,Thiruvonam,2025-03-17,33.5,24.0,28.4,0.4,0.4,0.0,2.0,13.2,24.8,138,23.4,5.18,43496.64,39698.79,100,56,25.9,23.5,2.28,30.675,36.2,26.1,0.2284,0.24,0.218
Thanjavur,Thiruvonam,2025-03-18,33.3,24.6,28.5,0.0,0.0,0.0,0.0,14.4,29.9,118,23.22,5.23,43532.36,41083.51,98,52,25.8,22.0,2.47,30.7708,35.8,26.6,0.2117,0.221,0.201
Thanjavur,Thiruvonam,2025-03-19,33.3,24.5,28.4,0.2,0.2,0.0,2.0,19.7,36.4,123,23.46,5.35,43568.08,40543.1,97,56,24.9,22.8,2.27,30.7542,36.2,26.4,0.1945,0.202,0.185
Thanjavur,Thiruvonam,2025-03-20,34.1,24.6,28.9,0.1,0.1,0.0,1.0,15.9,32.0,95,23.71,5.62,43603.8,41045.32,96,44,24.8,20.1,3.0,31.075,36.2,26.7,0.1823,0.19,0.174
Thanjavur,Thiruvonam,2025-03-21,32.8,25.2,28.6,0.7,0.7,0.0,3.0,15.3,31.3,95,20.08,4.64,43639.47,40265.46,94,57,24.5,22.8,2.13,31.0083,35.5,27.2,0.1755,0.18,0.167
Thanjavur,Thiruvonam,2025-03-22,32.4,25.1,28.4,4.3,4.3,0.0,7.0,16.5,32.8,113,21.07,4.68,43675.08,40301.48,96,60,25.6,23.0,1.94,30.7083,34.8,27.1,0.1738,0.2,0.165
