district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thanjavur,Tiruvidaimarudur,2025-02-24,33.1,21.5,26.6,0.0,0.0,0.0,0.0,20.0,39.6,47,23.17,5.37,42731.94,34644.9,100,38,23.4,16.9,3.14,28.6542,34.1,24.1,0.1674,0.176,0.157
Thanjavur,Tiruvidaimarudur,2025-02-25,31.5,23.2,27.1,1.4,1.4,0.0,2.0,21.4,43.9,35,20.08,4.82,42767.41,39530.97,96,55,22.9,20.4,2.1,28.6167,32.6,25.2,0.178,0.206,0.164
Thanjavur,Tiruvidaimarudur,2025-02-26,32.1,24.2,27.6,1.0,1.0,0.0,6.0,25.3,50.8,36,22.23,5.4,42803.05,40236.44,92,49,23.1,20.0,2.41,28.8458,33.0,25.9,0.206,0.213,0.2
Thanjavur,Tiruvidaimarudur,2025-02-27,32.3,23.8,27.4,0.9,0.9,0.0,5.0,22.8,44.6,38,22.36,5.33,42838.84,39815.32,95,51,23.5,20.9,2.35,29.2125,33.6,26.1,0.2051,0.213,0.196
Thanjavur,Tiruvidaimarudur,2025-02-28,30.6,23.1,26.2,8.3,8.3,0.0,16.0,21.9,44.6,48,18.99,4.03,42874.73,37503.84,96,63,23.9,22.1,1.64,27.8792,31.4,24.8,0.2541,0.345,0.209
Thanjavur,Tiruvidaimarudur,2025-03-01,30.5,23.5,26.7,2.8,2.8,0.0,9.0,18.2,36.7,55,17.43,3.89,42910.71,33069.42,98,64,23.5,22.5,1.57,27.8917,31.4,24.8,0.3189,0.348,0.301
Thanjavur,Tiruvidaimarudur,2025-03-02,31.9,23.2,27.3,0.5,0.5,0.0,4.0,14.8,28.8,79,20.16,4.41,42946.76,40318.97,98,59,24.5,22.4,1.9,28.8667,32.8,25.5,0.294,0.31,0.278
Thanjavur,Tiruvidaimarudur,2025-03-03,33.8,23.5,27.6,0.1,0.1,0.0,1.0,15.4,30.2,83,21.4,4.82,42982.83,37703.89,100,44,25.0,19.8,2.92,29.2208,34.1,25.7,0.2653,0.278,0.251
Thanjavur,Tiruvidaimarudur,2025-03-04,33.6,23.6,27.4,0.1,0.1,0.0,1.0,14.4,28.1,87,22.82,5.01,43018.9,38850.89,100,46,24.6,20.5,2.79,29.4458,34.8,25.9,0.2471,0.256,0.235
Thanjavur,Tiruvidaimarudur,2025-03-05,34.5,22.5,27.6,0.0,0.0,0.0,0.0,12.6,22.3,110,23.42,5.2,43054.95,37911.14,100,40,25.0,18.8,3.24,29.6167,35.3,25.2,0.2298,0.239,0.216
Thanjavur,Tiruvidaimarudur,2025-03-06,34.3,22.4,27.4,0.0,0.0,0.0,0.0,14.7,26.6,134,22.79,5.05,43090.94,34316.82,100,33,24.4,15.6,3.65,29.5208,35.0,25.4,0.2192,0.227,0.209
Thanjavur,Tiruvidaimarudur,2025-03-07,33.8,22.1,27.2,0.0,0.0,0.0,0.0,18.0,32.0,107,24.69,5.44,43126.85,37922.29,100,36,24.4,16.7,3.33,29.8208,35.5,25.4,0.2049,0.212,0.195
Thanjavur,Tiruvidaimarudur,2025-03-08,33.5,22.7,27.2,0.6,0.6,0.0,3.0,16.2,29.9,96,24.46,5.42,43162.66,39260.37,100,36,24.5,16.5,3.28,29.6708,35.5,25.4,0.1928,0.2,0.181
Thanjavur,Tiruvidaimarudur,2025-03-09,32.0,20.2,25.8,0.0,0.0,0.0,0.0,17.1,35.6,87,25.12,5.47,43198.62,39124.6,99,45,23.2,18.6,2.6,28.7458,34.4,23.9,0.1858,0.193,0.174
Thanjavur,Tiruvidaimarudur,2025-03-10,32.8,21.8,27.3,0.0,0.0,0.0,0.0,20.7,40.0,36,21.25,5.42,43234.83,38841.3,93,47,22.5,19.7,2.64,28.7583,33.6,24.5,0.1836,0.188,0.174
Thanjavur,Tiruvidaimarudur,2025-03-11,27.0,24.1,25.4,26.5,26.5,0.0,18.0,21.7,44.3,49,7.88,1.82,43271.24,0.0,98,79,24.3,22.9,0.76,26.5333,27.9,25.2,0.2802,0.421,0.186
Thanjavur,Tiruvidaimarudur,2025-03-12,29.2,23.1,25.5,11.6,11.6,0.0,14.0,15.1,30.6,44,11.31,2.41,43307.84,9468.1,98,71,24.3,22.6,1.15,26.325,28.8,24.4,0.3767,0.411,0.355
Thanjavur,Tiruvidaimarudur,2025-03-13,32.8,22.4,26.8,0.0,0.0,0.0,0.0,14.0,27.4,88,24.38,5.24,43344.59,39674.92,100,52,25.0,21.4,2.36,28.2667,33.4,24.3,0.3508,0.376,0.331
Thanjavur,Tiruvidaimarudur,2025-03-14,32.8,22.1,26.9,0.0,0.0,0.0,0.0,13.8,27.0,115,22.92,4.97,43381.48,34347.83,100,53,24.9,22.0,2.34,28.8583,34.0,24.5,0.3175,0.331,0.304
Thanjavur,Tiruvidaimarudur,2025-03-15,32.3,22.0,27.1,0.0,0.0,0.0,0.0,13.5,24.1,116,23.11,4.99,43418.48,37436.11,99,53,24.2,21.6,2.27,29.0083,34.0,24.5,0.2984,0.309,0.288
Thanjavur,Tiruvidaimarudur,2025-03-16,32.9,24.0,28.1,0.3,0.3,0.0,3.0,14.9,29.9,118,21.77,4.79,43455.56,40143.23,99,58,25.5,23.0,2.09,29.65,34.2,26.0,0.2828,0.29,0.272
Thanjavur,Tiruvidaimarudur,2025-03-17,33.9,24.0,28.5,0.0,0.0,0.0,0.0,12.9,25.9,127,23.64,5.26,43492.7,40638.45,100,52,25.8,22.7,2.53,30.3917,35.2,26.2,0.2697,0.279,0.258
Thanjavur,Tiruvidaimarudur,2025-03-18,33.3,24.3,28.2,0.0,0.0,0.0,0.0,16.0,31.7,116,23.63,5.26,43529.88,40904.49,97,52,26.0,22.2,2.45,30.3625,35.0,26.6,0.2525,0.264,0.241
Thanjavur,Tiruvidaimarudur,2025-03-19,33.3,24.6,28.4,0.6,0.6,0.0,2.0,18.3,35.6,122,22.91,5.14,43567.07,40941.21,96,54,25.4,22.7,2.35,30.125,34.5,26.5,0.2369,0.244,0.23
Thanjavur,Tiruvidaimarudur,2025-03-20,33.8,24.6,28.7,0.1,0.1,0.0,1.0,16.2,33.5,98,24.49,5.61,43604.24,40978.03,94,46,25.0,20.5,2.86,30.3125,35.0,26.4,0.2223,0.233,0.21
Thanjavur,Tiruvidaimarudur,2025-03-21,33.2,25.0,28.6,1.0,1.0,0.0,3.0,16.1,32.4,100,22.87,5.07,43641.37,39745.65,97,57,25.0,23.2,2.16,30.4208,34.9,27.1,0.217,0.226,0.212
Thanjavur,Tiruvidaimarudur,2025-03-22,33.1,25.3,28.6,0.5,0.5,0.0,3.0,17.7,35.6,107,22.06,5.01,43678.44,40592.7,95,56,25.5,22.5,2.18,30.3,34.5,27.0,0.21,0.216,0.2
Thanjavur,Tiruvidaimarudur,2025-03-23,33.2,24.9,28.7,0.5,0.5,0.0,4.0,14.9,30.2,105,22.68,5.28,43715.42,40629.34,96,49,25.1,21.0,2.59,30.425,35.0,26.5,0.2078,0.216,0.197
Thanjavur,Tiruvidaimarudur,2025-03-24,33.5,24.4,28.5,0.5,0.5,0.0,4.0,17.5,33.8,74,23.3,5.32,43752.28,41010.02,97,50,25.0,21.5,2.57,30.6583,35.4,26.7,0.2009,0.205,0.191
Thanjavur,Tiruvidaimarudur,2025-03-25,34.1,24.1,28.2,0.0,0.0,0.0,0.0,16.4,31.0,70,24.09,5.45,43789.0,40381.05,99,44,25.3,20.1,2.98,30.6542,36.2,26.6,0.1946,0.205,0.18
Thanjavur,Tiruvidaimarudur,2025-03-26,33.7,22.6,27.9,0.0,0.0,0.0,0.0,15.3,28.8,116,22.98,5.19,43825.55,38315.1,99,45,24.7,20.0,2.87,30.2625,35.8,25.5,0.1868,0.194,0.176
Thanjavur,Tiruvidaimarudur,2025-03-27,35.5,22.6,28.6,0.0,0.0,0.0,0.0,15.3,27.7,145,25.34,5.81,43861.92,40888.15,97,34,24.1,17.5,3.79,30.7,36.7,25.5,0.1816,0.186,0.17
Thanjavur,Tiruvidaimarudur,2025-03-28,35.5,23.9,29.3,0.0,0.0,0.0,0.0,12.7,23.0,166,23.85,5.73,43898.08,40025.04,97,38,25.0,18.7,3.59,30.9583,36.5,26.4,0.1805,0.188,0.167
Thanjavur,Tiruvidaimarudur,2025-03-29,35.7,22.5,28.1,0.0,0.0,0.0,0.0,14.8,27.0,138,26.5,6.15,43934.27,41479.0,99,27,24.5,12.6,4.13,30.4,36.6,25.5,0.1804,0.189,0.17
Thanjavur,Tiruvidaimarudur,2025-03-30,34.6,20.2,27.2,0.0,0.0,0.0,0.0,12.7,24.8,127,25.42,5.71,43970.55,37955.54,99,40,24.5,19.2,3.27,29.4625,35.8,23.6,0.1752,0.179,0.166
Thanjavur,Tiruvidaimarudur,2025-03-31,33.4,23.2,27.8,0.0,0.0,0.0,0.0,16.7,31.0,106,24.78,5.71,44006.93,40799.23,98,44,24.5,18.1,2.88,29.9208,35.3,25.0,0.1752,0.18,0.164
Thanjavur,Tiruvidaimarudur,2025-04-01,33.3,23.2,28.2,0.0,0.0,0.0,0.0,19.8,37.1,115,22.61,5.26,44043.36,40805.91,93,43,23.7,19.0,2.91,29.9667,35.2,25.4,0.1821,0.199,0.168
Thanjavur,Tiruvidaimarudur,2025-04-02,33.0,24.5,28.5,3.0,3.0,0.0,6.0,16.1,32.0,133,20.69,4.72,44079.81,39600.0,93,57,25.0,22.7,2.13,29.9667,34.8,26.5,0.2056,0.25,0.191
Thanjavur,Tiruvidaimarudur,2025-04-03,31.6,23.7,26.9,9.5,9.5,0.0,15.0,12.0,23.8,88,17.05,3.68,44116.29,35532.42,97,61,24.9,23.1,1.8,28.825,33.0,25.6,0.3306,0.373,0.299
Thanjavur,Tiruvidaimarudur,2025-04-04,32.3,24.0,27.7,1.5,1.5,0.0,3.0,14.0,38.9,76,21.45,4.57,44152.74,40807.43,98,56,25.3,22.4,2.11,29.2958,33.3,26.0,0.3302,0.353,0.313
Thanjavur,Tiruvidaimarudur,2025-04-05,33.3,24.7,28.5,2.0,2.0,0.0,3.0,12.5,28.1,163,22.38,4.94,44189.16,40347.99,96,54,25.1,22.0,2.34,30.0292,34.7,26.2,0.3003,0.315,0.287
Thanjavur,Tiruvidaimarudur,2025-04-06,34.3,24.5,29.3,0.9,0.9,0.0,2.0,13.3,27.0,158,22.64,5.19,44225.52,40693.63,94,51,24.6,22.6,2.67,30.8708,35.4,26.5,0.2745,0.3,0.256
Thanjavur,Tiruvidaimarudur,2025-04-07,34.7,24.9,28.9,0.0,0.0,0.0,0.0,15.5,30.2,72,21.47,4.98,44261.78,37183.37,89,47,24.7,21.9,2.91,30.9375,35.4,27.5,0.2434,0.256,0.232
Thanjavur,Tiruvidaimarudur,2025-04-08,35.1,25.1,29.2,0.2,0.2,0.0,2.0,14.9,28.4,42,23.55,5.48,44297.93,41040.31,96,42,25.2,20.2,3.28,30.9375,35.5,27.4,0.2253,0.235,0.215
Thanjavur,Tiruvidaimarudur,2025-04-09,33.8,24.7,28.5,2.6,2.6,0.0,5.0,10.8,27.0,53,22.31,4.9,44333.95,40810.91,98,55,25.0,23.0,2.38,30.5708,35.5,27.1,0.2168,0.226,0.208
Thanjavur,Tiruvidaimarudur,2025-04-10,36.5,24.9,30.3,0.0,0.0,0.0,0.0,15.9,28.1,216,23.0,5.64,44369.8,39600.0,93,32,25.5,16.9,4.16,31.1542,35.9,27.0,0.1979,0.209,0.185
Thanjavur,Tiruvidaimarudur,2025-04-11,37.2,26.0,30.8,1.2,1.2,0.0,4.0,16.8,43.6,219,24.6,6.31,44405.46,40812.7,93,36,25.0,19.6,4.05,31.7292,36.8,28.0,0.193,0.2,0.182
Thanjavur,Tiruvidaimarudur,2025-04-12,36.8,24.8,30.3,0.0,0.0,0.0,0.0,20.1,34.6,215,24.72,6.26,44440.9,40237.05,92,38,25.7,20.1,3.81,31.125,36.1,26.8,0.1926,0.2,0.181
Thanjavur,Tiruvidaimarudur,2025-04-13,35.9,25.9,30.6,0.0,0.0,0.0,0.0,16.0,28.8,172,23.54,5.61,44476.11,40122.27,87,41,25.5,20.5,3.47,32.0208,36.7,28.0,0.1813,0.191,0.172
