district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thiruvarur,Nannilam,2025-02-24,31.8,22.0,26.5,0.0,0.0,0.0,0.0,20.8,38.9,51,23.88,5.27,42737.61,38162.46,100,46,23.7,18.8,2.52,28.6708,34.0,24.3,0.169,0.177,0.158
Thiruvarur,Nannilam,2025-02-25,30.5,23.4,27.0,1.1,1.1,0.0,4.0,22.7,44.6,39,20.05,4.77,42772.85,39237.09,91,58,22.8,20.7,1.78,28.5667,32.4,25.3,0.1842,0.211,0.173
Thiruvarur,Nannilam,2025-02-26,31.3,24.5,27.4,1.2,1.2,0.0,7.0,25.6,47.9,40,22.46,5.22,42808.25,39946.66,91,55,23.3,21.1,2.07,28.7667,33.0,25.5,0.2138,0.218,0.206
Thiruvarur,Nannilam,2025-02-27,31.1,23.6,27.2,1.9,1.9,0.0,9.0,24.4,45.7,40,22.53,5.09,42843.8,39405.95,94,59,23.2,22.2,1.84,28.9792,33.2,25.9,0.2189,0.233,0.21
Thiruvarur,Nannilam,2025-02-28,30.0,23.2,26.0,6.7,6.7,0.0,15.0,23.5,44.6,47,19.06,3.91,42879.46,36000.0,96,68,23.9,22.5,1.37,27.5125,31.2,24.6,0.2509,0.314,0.222
Thiruvarur,Nannilam,2025-03-01,30.1,23.8,26.6,4.6,4.6,0.0,12.0,17.6,36.7,59,18.29,3.85,42915.21,34652.61,97,68,24.0,23.0,1.32,27.7167,31.4,25.0,0.3132,0.328,0.299
Thiruvarur,Nannilam,2025-03-02,31.1,23.5,27.1,1.6,1.6,0.0,5.0,15.5,31.0,77,20.6,4.38,42951.01,39516.11,96,62,24.4,22.6,1.73,28.7333,32.7,25.0,0.29,0.305,0.268
Thiruvarur,Nannilam,2025-03-03,32.2,23.8,27.3,0.1,0.1,0.0,1.0,14.2,28.1,83,22.1,4.74,42986.84,38538.46,100,55,25.0,21.6,2.14,29.2458,34.0,25.7,0.2583,0.268,0.246
Thiruvarur,Nannilam,2025-03-04,32.4,23.2,26.9,0.1,0.1,0.0,1.0,13.5,26.3,83,22.35,4.73,43022.68,38504.72,100,52,25.1,21.3,2.33,29.2042,34.5,25.3,0.2428,0.251,0.233
Thiruvarur,Nannilam,2025-03-05,33.5,22.8,27.1,0.0,0.0,0.0,0.0,12.9,25.2,115,23.41,5.02,43058.48,37768.1,100,49,25.2,21.4,2.65,29.4125,35.0,25.0,0.2277,0.234,0.216
Thiruvarur,Nannilam,2025-03-06,33.6,22.8,26.9,0.0,0.0,0.0,0.0,14.2,25.9,151,22.58,4.81,43094.23,31181.35,100,44,24.5,19.5,2.94,29.35,35.0,25.3,0.2203,0.227,0.211
Thiruvarur,Nannilam,2025-03-07,32.9,22.5,26.9,0.0,0.0,0.0,0.0,14.7,27.7,102,24.6,5.3,43129.91,38807.68,100,43,24.5,18.5,2.86,29.5792,35.3,25.4,0.2098,0.217,0.2
Thiruvarur,Nannilam,2025-03-08,32.2,22.4,26.5,0.2,0.2,0.0,2.0,14.8,28.1,104,24.33,5.24,43165.48,36589.55,100,47,24.8,18.1,2.56,29.3375,35.3,25.2,0.2005,0.206,0.187
Thiruvarur,Nannilam,2025-03-09,30.8,20.5,25.6,0.0,0.0,0.0,0.0,16.4,33.8,86,25.58,5.4,43201.21,40743.23,100,50,23.0,19.0,2.23,28.3583,33.8,23.6,0.1991,0.206,0.187
Thiruvarur,Nannilam,2025-03-10,32.2,23.0,27.3,0.1,0.1,0.0,1.0,23.1,42.5,39,22.35,5.51,43237.18,38883.3,85,49,22.8,20.0,2.43,28.6875,33.3,24.9,0.1986,0.204,0.19
Thiruvarur,Nannilam,2025-03-11,26.8,23.6,25.1,28.2,28.2,0.0,20.0,21.7,42.5,56,7.66,1.74,43273.35,2187.87,99,79,23.9,22.8,0.73,26.3583,27.6,25.0,0.3223,0.421,0.199
Thiruvarur,Nannilam,2025-03-12,29.5,23.0,25.6,6.8,6.8,0.0,15.0,15.5,32.0,47,13.17,2.74,43309.71,16367.01,99,71,24.2,22.8,1.2,26.575,29.3,24.5,0.3815,0.404,0.368
Thiruvarur,Nannilam,2025-03-13,32.0,22.4,26.5,0.0,0.0,0.0,0.0,13.9,26.3,82,24.26,5.08,43346.22,38910.22,100,58,24.8,22.1,1.99,28.3792,33.3,24.6,0.3574,0.379,0.341
Thiruvarur,Nannilam,2025-03-14,32.2,22.2,26.7,0.0,0.0,0.0,0.0,13.9,28.1,113,22.96,4.86,43382.87,37882.5,100,58,25.2,22.1,2.01,28.8208,33.7,24.7,0.3305,0.341,0.319
Thiruvarur,Nannilam,2025-03-15,31.6,22.1,26.9,0.2,0.2,0.0,2.0,12.5,23.4,113,23.4,4.91,43419.62,40713.54,100,59,24.7,22.0,1.91,28.9,33.8,24.8,0.3135,0.324,0.303
Thiruvarur,Nannilam,2025-03-16,32.0,24.0,27.8,0.6,0.6,0.0,4.0,14.0,28.4,118,22.54,4.82,43456.46,40182.17,99,61,25.5,23.0,1.87,29.5542,33.8,26.0,0.2958,0.304,0.285
Thiruvarur,Nannilam,2025-03-17,33.0,23.9,28.0,0.0,0.0,0.0,0.0,13.0,26.6,129,23.31,5.03,43493.36,40785.82,100,59,25.7,23.4,2.04,30.175,34.8,26.0,0.2811,0.292,0.27
Thiruvarur,Nannilam,2025-03-18,32.6,24.0,27.9,0.0,0.0,0.0,0.0,15.5,31.7,116,23.84,5.14,43530.29,40822.28,99,56,26.0,22.5,2.13,30.1792,34.7,26.5,0.265,0.274,0.255
Thiruvarur,Nannilam,2025-03-19,32.2,24.8,28.3,0.4,0.4,0.0,3.0,18.5,35.6,121,23.34,5.06,43567.23,40972.36,97,61,25.5,23.5,1.9,30.0958,34.4,26.6,0.252,0.26,0.244
Thiruvarur,Nannilam,2025-03-20,32.9,24.8,28.7,0.1,0.1,0.0,1.0,16.2,33.1,98,24.79,5.52,43604.16,40895.55,93,51,24.6,21.3,2.44,30.3292,34.8,26.5,0.2363,0.247,0.225
Thiruvarur,Nannilam,2025-03-21,32.2,25.5,28.5,0.4,0.4,0.0,3.0,16.9,33.1,97,22.74,4.97,43641.05,40705.28,96,61,24.9,23.5,1.85,30.5958,34.8,27.3,0.2247,0.231,0.217
Thiruvarur,Nannilam,2025-03-22,32.0,25.3,28.4,1.8,1.8,0.0,4.0,18.0,33.8,107,21.78,4.82,43677.88,40855.38,95,62,24.9,22.8,1.8,30.3042,34.0,27.1,0.2193,0.231,0.209
