district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Thiruvarur,Valangaiman,2025-02-24,33.0,21.6,26.6,0.0,0.0,0.0,0.0,20.7,40.7,50,23.07,5.41,42743.28,34343.59,100,38,23.3,16.6,3.11,28.3042,33.2,24.1,0.1748,0.187,0.164
Thiruvarur,Valangaiman,2025-02-25,31.0,23.1,27.0,1.0,1.0,0.0,4.0,21.2,42.5,37,18.94,4.61,42778.28,39847.19,97,54,23.0,20.1,2.06,28.2167,31.7,25.0,0.178,0.202,0.165
Thiruvarur,Valangaiman,2025-02-26,32.4,24.2,27.6,1.1,1.1,0.0,7.0,25.7,49.7,37,21.78,5.38,42813.45,40332.3,93,47,23.2,19.6,2.58,28.5125,32.5,25.6,0.2034,0.212,0.198
Thiruvarur,Valangaiman,2025-02-27,32.4,24.1,27.5,0.3,0.3,0.0,3.0,22.4,44.3,39,22.1,5.39,42848.76,40020.21,94,50,23.3,20.6,2.41,29.05,33.2,26.0,0.1948,0.198,0.186
Thiruvarur,Valangaiman,2025-02-28,31.1,23.5,26.4,2.9,2.9,0.0,12.0,21.9,46.8,49,17.61,3.97,42884.18,38030.76,93,59,23.8,21.8,1.81,28.0292,31.4,25.5,0.2078,0.237,0.195
Thiruvarur,Valangaiman,2025-03-01,30.4,23.6,26.8,3.6,3.6,0.0,9.0,17.6,37.8,57,16.87,3.88,42919.7,32316.76,95,62,23.5,22.2,1.62,27.95,30.9,25.5,0.2401,0.256,0.231
Thiruvarur,Valangaiman,2025-03-02,31.9,23.5,27.5,0.4,0.4,0.0,4.0,14.5,29.5,74,20.12,4.49,42955.26,39647.47,96,58,24.4,22.0,1.94,29.0667,32.8,25.6,0.225,0.233,0.216
Thiruvarur,Valangaiman,2025-03-03,34.0,23.6,27.9,0.1,0.1,0.0,1.0,15.1,28.8,75,20.79,4.84,42990.86,36458.69,100,42,25.0,19.0,3.1,29.5083,34.3,25.9,0.2093,0.216,0.198
Thiruvarur,Valangaiman,2025-03-04,34.5,23.5,27.8,0.0,0.0,0.0,0.0,14.2,27.0,81,23.31,5.26,43026.45,39157.24,100,41,24.6,19.4,3.24,29.7583,35.2,26.0,0.1997,0.205,0.189
Thiruvarur,Valangaiman,2025-03-05,34.6,22.9,28.1,0.2,0.2,0.0,2.0,12.1,20.9,108,23.27,5.26,43062.02,37948.96,100,36,25.2,17.3,3.48,29.9,35.4,25.4,0.1896,0.197,0.179
Thiruvarur,Valangaiman,2025-03-06,35.1,21.9,27.7,0.0,0.0,0.0,0.0,13.5,23.8,139,22.91,5.15,43097.54,34354.41,100,33,24.5,15.8,3.72,29.7417,35.7,25.1,0.1795,0.186,0.172
