district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruchirappalli,Andanallur,2025-02-24,34.2,22.1,27.5,0.0,0.0,0.0,0.0,21.7,39.2,72,23.4,6.14,42743.28,38056.25,97,31,22.1,12.7,3.65,29.625,35.5,25.0,0.1142,0.124,0.105
Tiruchirappalli,Andanallur,2025-02-25,33.0,22.6,27.4,1.8,1.8,0.0,6.0,20.6,46.1,57,20.33,5.34,42778.28,37446.45,94,44,22.5,17.9,2.79,29.0917,34.1,25.1,0.1208,0.13,0.11
Tiruchirappalli,Andanallur,2025-02-26,34.3,24.0,28.4,0.2,0.2,0.0,2.0,25.5,47.2,52,22.24,6.52,42813.45,40335.24,81,36,21.4,16.0,3.46,29.8042,34.8,25.9,0.1318,0.136,0.129
Tiruchirappalli,Andanallur,2025-02-27,34.4,23.2,28.3,0.0,0.0,0.0,0.0,20.0,40.3,52,22.54,6.27,42848.76,40372.95,86,34,22.6,15.6,3.5,30.0625,35.3,25.6,0.1305,0.135,0.127
Tiruchirappalli,Andanallur,2025-02-28,31.5,24.4,27.3,5.0,5.0,0.0,6.0,21.2,42.8,60,17.23,4.36,42884.18,35202.87,89,55,23.4,20.5,2.1,29.2208,32.1,26.2,0.1395,0.175,0.121
Tiruchirappalli,Andanallur,2025-03-01,32.1,23.3,27.1,2.7,2.7,0.0,12.0,20.3,41.8,69,17.63,4.23,42919.7,32288.48,94,55,23.4,21.5,2.14,28.8667,32.2,25.6,0.1454,0.156,0.136
Tiruchirappalli,Andanallur,2025-03-02,33.2,24.3,28.2,1.8,1.8,0.0,7.0,14.5,30.2,83,20.69,4.97,42955.26,40308.21,94,51,23.6,21.3,2.48,30.0958,35.3,26.3,0.1394,0.146,0.134
Tiruchirappalli,Andanallur,2025-03-03,35.5,24.2,29.1,0.1,0.1,0.0,1.0,14.6,31.3,86,20.94,5.37,42990.86,36261.06,99,33,24.8,16.2,3.87,31.3917,37.5,27.1,0.134,0.141,0.129
Tiruchirappalli,Andanallur,2025-03-04,35.8,24.0,28.9,0.0,0.0,0.0,0.0,14.1,30.6,97,24.23,5.83,43026.45,38115.29,99,25,24.0,12.9,4.38,31.75,38.6,27.0,0.1323,0.14,0.124
Tiruchirappalli,Andanallur,2025-03-05,36.2,22.2,28.5,0.0,0.0,0.0,0.0,12.6,25.9,111,22.6,5.58,43062.02,35927.83,100,26,23.9,13.1,4.43,31.0375,37.8,25.6,0.1425,0.149,0.137
Tiruchirappalli,Andanallur,2025-03-06,37.0,21.8,29.1,0.0,0.0,0.0,0.0,13.5,28.1,105,24.17,5.98,43097.54,40635.89,96,25,22.5,13.6,4.59,31.3333,38.2,25.0,0.1531,0.162,0.147
Tiruchirappalli,Andanallur,2025-03-07,36.2,22.9,29.2,0.0,0.0,0.0,0.0,16.1,30.2,115,25.26,6.06,43132.97,40672.97,100,26,23.9,13.4,4.4,31.9833,39.1,26.1,0.1465,0.154,0.138
Tiruchirappalli,Andanallur,2025-03-08,36.2,23.0,29.3,0.0,0.0,0.0,0.0,17.3,31.3,102,24.77,5.86,43168.31,40709.77,97,29,23.1,14.4,4.2,32.2917,39.6,26.4,0.1471,0.156,0.138
Tiruchirappalli,Andanallur,2025-03-09,34.5,21.5,27.8,0.0,0.0,0.0,0.0,17.7,35.3,93,25.34,6.42,43203.8,40746.4,98,35,22.2,15.2,3.54,31.6583,38.6,25.8,0.1345,0.155,0.125
Tiruchirappalli,Andanallur,2025-03-10,36.0,22.0,28.5,0.0,0.0,0.0,0.0,22.6,41.8,60,23.14,6.62,43239.53,38650.95,87,30,21.5,15.6,4.17,31.3417,38.2,25.4,0.1231,0.131,0.116
Tiruchirappalli,Andanallur,2025-03-11,29.0,24.0,26.0,13.5,13.5,0.0,11.0,27.6,53.3,50,9.15,2.61,43275.46,12803.54,97,65,23.6,20.5,1.38,28.2125,31.0,25.6,0.1774,0.291,0.107
Tiruchirappalli,Andanallur,2025-03-12,29.5,23.2,25.2,12.6,12.6,0.0,9.0,19.9,41.4,69,12.54,2.49,43311.58,20204.89,99,69,23.9,22.6,1.27,26.7667,29.6,25.0,0.3048,0.387,0.272
Tiruchirappalli,Andanallur,2025-03-13,33.8,22.1,27.5,0.0,0.0,0.0,0.0,12.7,26.3,97,22.28,5.14,43347.84,34939.2,100,46,23.8,19.8,2.81,28.7,34.3,23.8,0.2629,0.294,0.236
Tiruchirappalli,Andanallur,2025-03-14,34.9,22.4,28.0,0.0,0.0,0.0,0.0,12.2,25.6,107,24.08,5.6,43384.25,36943.84,100,32,23.8,15.1,3.82,30.1417,36.2,25.1,0.216,0.236,0.195
Tiruchirappalli,Andanallur,2025-03-15,35.0,23.0,28.8,0.0,0.0,0.0,0.0,12.1,27.0,91,24.63,5.87,43420.76,38155.65,100,32,23.7,15.5,3.8,31.4625,38.0,26.5,0.1765,0.195,0.16
Tiruchirappalli,Andanallur,2025-03-16,35.5,23.8,28.7,5.2,5.2,0.0,3.0,20.0,41.0,118,21.14,4.95,43457.36,35035.53,97,43,24.5,20.9,3.29,31.4208,38.0,26.8,0.171,0.22,0.156
Tiruchirappalli,Andanallur,2025-03-17,36.7,24.5,29.9,6.8,6.8,0.0,3.0,13.6,32.0,145,22.66,5.54,43494.02,40340.77,97,37,24.9,19.4,3.91,32.85,40.1,27.1,0.1663,0.246,0.144
Tiruchirappalli,Andanallur,2025-03-18,37.0,24.0,30.1,0.4,0.4,0.0,3.0,17.1,33.8,113,23.32,6.16,43530.7,40715.35,96,31,25.0,17.1,4.29,32.7625,39.8,26.8,0.1674,0.246,0.133
Tiruchirappalli,Andanallur,2025-03-19,37.3,24.9,30.0,1.9,1.9,0.0,9.0,18.3,37.4,108,23.19,6.0,43567.4,38482.53,95,32,25.1,18.0,4.32,33.175,40.6,28.1,0.1342,0.141,0.131
Tiruchirappalli,Andanallur,2025-03-20,37.2,24.0,30.5,0.0,0.0,0.0,0.0,16.6,35.6,99,24.23,6.64,43604.09,41153.36,99,30,25.2,15.9,4.46,33.5,40.8,27.0,0.137,0.142,0.132
Tiruchirappalli,Andanallur,2025-03-21,35.3,25.5,30.0,1.3,1.3,0.0,8.0,16.0,33.8,105,22.23,5.69,43640.74,40003.86,91,45,24.0,21.1,3.14,33.3792,39.3,28.5,0.1348,0.138,0.132
Tiruchirappalli,Andanallur,2025-03-22,36.0,25.5,29.8,1.5,1.5,0.0,7.0,19.5,45.4,115,21.01,5.3,43677.32,40281.14,93,42,25.0,20.9,3.45,32.9458,38.8,28.5,0.1312,0.138,0.12
Tiruchirappalli,Andanallur,2025-03-23,34.9,25.0,29.0,5.3,5.3,0.0,9.0,11.7,27.7,99,15.39,3.87,43713.81,33722.23,97,41,25.0,19.3,3.29,31.0333,35.3,28.2,0.1742,0.206,0.12
Tiruchirappalli,Andanallur,2025-03-24,37.7,25.0,30.6,0.3,0.3,0.0,3.0,16.8,32.8,81,24.1,6.5,43750.19,41077.97,95,30,24.5,17.2,4.56,33.0042,40.2,27.2,0.158,0.182,0.142
Tiruchirappalli,Andanallur,2025-03-25,38.0,24.8,30.8,0.0,0.0,0.0,0.0,16.8,32.4,81,24.86,6.62,43786.43,39866.38,95,24,24.2,13.9,5.06,33.9833,41.6,28.0,0.1474,0.158,0.135
Tiruchirappalli,Andanallur,2025-03-26,38.0,24.0,30.3,0.0,0.0,0.0,0.0,13.5,29.5,110,25.78,6.56,43822.51,40295.62,98,20,23.8,10.9,5.25,34.0542,42.0,27.9,0.146,0.157,0.134
Tiruchirappalli,Andanallur,2025-03-27,39.0,24.0,31.1,0.0,0.0,0.0,0.0,14.4,30.6,89,24.92,6.3,43858.4,41405.97,87,19,22.7,11.3,5.66,34.5875,42.5,27.9,0.1428,0.152,0.132
Tiruchirappalli,Andanallur,2025-03-28,39.6,24.6,31.5,0.0,0.0,0.0,0.0,16.2,35.6,118,25.16,6.74,43894.09,39281.94,84,19,22.5,11.4,5.82,34.8833,43.3,28.0,0.1418,0.151,0.131
Tiruchirappalli,Andanallur,2025-03-29,39.7,24.2,31.3,0.0,0.0,0.0,0.0,17.0,32.8,93,26.56,7.18,43929.8,41475.68,76,14,20.4,7.1,6.25,34.7333,43.3,27.1,0.1361,0.147,0.129
Tiruchirappalli,Andanallur,2025-03-30,38.9,21.9,30.1,0.0,0.0,0.0,0.0,16.2,35.6,111,26.56,7.06,43965.62,41510.38,78,15,21.5,7.2,5.92,34.0292,42.9,25.9,0.1253,0.135,0.117
Tiruchirappalli,Andanallur,2025-03-31,38.2,22.5,30.1,0.0,0.0,0.0,0.0,17.3,33.1,106,24.65,6.47,44001.52,41445.93,93,22,24.0,12.6,5.08,34.3958,42.8,27.0,0.1252,0.139,0.113
Tiruchirappalli,Andanallur,2025-04-01,35.1,24.6,29.4,2.6,2.6,0.0,7.0,13.1,27.0,112,22.19,5.63,44037.47,39318.26,90,36,23.2,17.6,3.63,33.0708,40.0,28.5,0.142,0.16,0.13
Tiruchirappalli,Andanallur,2025-04-02,34.9,25.3,29.2,11.0,11.0,0.0,8.0,17.3,38.5,119,21.24,5.13,44073.46,37871.38,92,44,24.0,20.8,3.14,32.525,38.1,28.6,0.1742,0.251,0.147
Tiruchirappalli,Andanallur,2025-04-03,33.0,23.0,27.0,16.7,16.7,0.0,10.0,12.9,32.0,88,19.84,4.34,44109.45,31155.36,96,52,24.2,22.0,2.41,29.7375,35.3,26.5,0.2895,0.369,0.221
Tiruchirappalli,Andanallur,2025-04-04,35.0,24.0,29.0,2.6,2.6,0.0,4.0,20.2,40.0,107,23.77,5.66,44145.43,37547.61,96,41,23.8,19.6,3.26,31.3917,37.2,26.5,0.2276,0.257,0.191
Tiruchirappalli,Andanallur,2025-04-05,35.0,23.8,28.9,6.8,6.8,0.0,7.0,15.0,27.0,166,24.96,5.79,44181.38,40415.87,95,37,23.9,18.3,3.52,31.3458,37.2,25.8,0.2583,0.3,0.237
Tiruchirappalli,Andanallur,2025-04-06,36.5,24.4,29.9,8.0,8.0,0.0,3.0,12.2,27.7,81,22.81,5.6,44217.26,33968.03,95,37,24.0,18.7,3.79,32.4417,39.0,26.6,0.2258,0.297,0.172
Tiruchirappalli,Andanallur,2025-04-07,36.2,23.4,29.7,0.3,0.3,0.0,2.0,15.5,32.8,77,23.64,5.95,44253.06,38562.04,91,37,24.0,18.3,3.72,32.375,39.1,26.2,0.2017,0.279,0.164
Tiruchirappalli,Andanallur,2025-04-08,37.2,24.8,30.6,0.0,0.0,0.0,0.0,14.5,32.4,76,25.07,6.33,44288.74,41424.52,95,29,24.5,16.1,4.49,33.9542,41.0,27.9,0.1609,0.175,0.148
Tiruchirappalli,Andanallur,2025-04-09,37.0,24.4,30.3,0.0,0.0,0.0,0.0,22.7,40.7,102,24.65,6.07,44324.29,41667.53,96,27,24.1,15.2,4.55,34.45,41.8,28.0,0.1441,0.153,0.137
Tiruchirappalli,Andanallur,2025-04-10,39.0,25.0,32.2,0.0,0.0,0.0,0.0,15.4,34.9,296,23.08,6.56,44359.67,39600.0,90,21,23.5,12.1,5.48,35.0875,42.2,28.6,0.1324,0.139,0.126
Tiruchirappalli,Andanallur,2025-04-11,40.7,25.0,31.4,9.5,9.5,0.0,6.0,19.9,47.2,276,24.27,7.03,44394.87,39125.98,86,23,23.4,15.5,5.87,35.1292,44.2,29.5,0.1543,0.248,0.124
