district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruchirappalli,Lalgudi,2025-02-24,33.9,21.5,27.1,0.0,0.0,0.0,0.0,22.4,42.5,61,23.08,5.84,42743.28,38114.46,100,31,22.8,13.2,3.61,29.4375,35.6,24.5,0.1295,0.139,0.121
Tiruchirappalli,Lalgudi,2025-02-25,32.8,22.9,27.2,1.2,1.2,0.0,4.0,24.7,47.9,46,20.48,5.16,42778.28,40101.43,98,43,23.0,17.8,2.7,28.9417,33.6,25.0,0.1453,0.169,0.134
Tiruchirappalli,Lalgudi,2025-02-26,33.8,24.0,28.0,0.4,0.4,0.0,4.0,25.8,49.7,47,22.15,6.18,42813.45,40335.23,85,38,22.1,16.8,3.25,29.2833,34.0,25.8,0.1668,0.17,0.161
Tiruchirappalli,Lalgudi,2025-02-27,34.0,23.4,27.8,0.1,0.1,0.0,1.0,22.5,43.2,46,22.31,5.91,42848.76,40372.94,91,38,22.7,16.6,3.3,29.5,34.5,25.6,0.1641,0.167,0.156
Tiruchirappalli,Lalgudi,2025-02-28,31.5,24.1,26.9,3.0,3.0,0.0,9.0,18.5,45.0,57,16.91,4.04,42884.18,33273.66,92,56,23.5,21.0,2.04,28.3875,31.6,26.0,0.186,0.226,0.166
Tiruchirappalli,Lalgudi,2025-03-01,31.6,22.9,26.7,16.2,16.2,0.0,10.0,17.8,39.2,61,16.53,3.85,42919.7,30520.27,94,59,23.3,21.5,1.92,28.0,30.8,25.6,0.285,0.399,0.212
Tiruchirappalli,Lalgudi,2025-03-02,32.7,24.0,27.7,1.5,1.5,0.0,7.0,15.2,28.1,76,19.38,4.53,42955.26,37163.02,97,55,24.1,21.6,2.2,29.2333,33.8,25.8,0.2078,0.216,0.199
Tiruchirappalli,Lalgudi,2025-03-03,34.8,23.5,28.5,0.8,0.8,0.0,5.0,13.9,25.6,80,20.61,4.99,42990.86,36417.31,100,37,25.0,17.7,3.49,30.15,35.5,26.3,0.1904,0.199,0.181
Tiruchirappalli,Lalgudi,2025-03-04,34.6,24.0,28.3,0.0,0.0,0.0,0.0,14.3,26.6,86,23.76,5.48,43026.45,38237.54,100,33,24.2,16.2,3.66,30.7083,36.5,26.5,0.1755,0.182,0.164
Tiruchirappalli,Lalgudi,2025-03-05,35.1,22.4,28.0,0.0,0.0,0.0,0.0,9.8,21.6,103,22.94,5.27,43062.02,38496.54,100,32,23.8,15.6,3.79,30.3875,36.7,25.8,0.1684,0.173,0.158
Tiruchirappalli,Lalgudi,2025-03-06,35.5,21.1,28.4,0.0,0.0,0.0,0.0,13.9,26.6,126,23.98,5.72,43097.54,40635.9,97,31,23.6,15.8,3.99,30.5208,37.0,24.6,0.1636,0.17,0.156
Tiruchirappalli,Lalgudi,2025-03-07,34.9,22.9,28.4,0.0,0.0,0.0,0.0,13.1,27.0,108,24.98,5.91,43132.97,38074.32,100,28,24.0,13.9,4.0,31.1667,37.6,25.9,0.1511,0.158,0.143
Tiruchirappalli,Lalgudi,2025-03-08,34.9,23.5,28.6,0.0,0.0,0.0,0.0,15.0,29.2,96,25.1,5.97,43168.31,40709.77,98,33,23.7,15.9,3.74,31.5375,38.2,26.8,0.1488,0.158,0.139
Tiruchirappalli,Lalgudi,2025-03-09,33.8,20.6,26.8,0.0,0.0,0.0,0.0,17.9,34.6,88,24.77,6.0,43203.8,39822.28,100,35,22.4,14.9,3.34,30.3083,36.7,24.8,0.1504,0.158,0.139
Tiruchirappalli,Lalgudi,2025-03-10,35.4,21.5,27.8,0.0,0.0,0.0,0.0,22.4,43.6,55,22.22,6.07,43239.53,38389.36,91,33,21.8,16.6,3.85,30.0167,36.1,24.9,0.1492,0.157,0.138
Tiruchirappalli,Lalgudi,2025-03-11,28.5,24.0,25.7,20.2,20.2,0.0,14.0,23.4,47.9,45,9.94,2.54,43275.46,6806.38,97,73,23.8,20.6,1.01,27.5125,29.0,25.4,0.2384,0.389,0.157
