district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruchirappalli,Manapparai,2025-02-24,33.2,21.7,26.9,0.0,0.0,0.0,0.0,19.6,36.7,72,23.51,5.91,42765.94,40285.1,96,34,22.3,13.8,3.36,29.6167,35.6,25.2,0.2577,0.268,0.248
Tiruchirappalli,Manapparai,2025-02-25,31.8,22.1,26.3,7.1,7.1,0.0,7.0,22.6,41.4,52,20.34,4.8,42800.0,36189.34,98,47,23.0,18.6,2.45,28.5833,33.5,25.0,0.2725,0.332,0.248
Tiruchirappalli,Manapparai,2025-02-26,33.3,23.1,27.4,0.3,0.3,0.0,3.0,25.2,45.7,51,21.55,5.86,42834.22,40105.48,86,39,21.1,16.1,3.11,28.9292,33.8,25.1,0.2908,0.295,0.285
Tiruchirappalli,Manapparai,2025-02-27,33.0,22.4,27.3,0.2,0.2,0.0,2.0,19.7,38.5,50,21.34,5.6,42868.59,40395.14,89,40,22.3,16.8,3.02,29.1958,34.2,24.9,0.2812,0.285,0.278
Tiruchirappalli,Manapparai,2025-02-28,30.9,23.5,26.6,5.1,5.1,0.0,8.0,20.8,41.0,60,17.39,4.1,42903.07,34750.23,91,55,23.0,20.4,1.99,28.4542,31.7,25.6,0.3182,0.408,0.275
Tiruchirappalli,Manapparai,2025-03-01,30.4,23.0,26.2,8.7,8.7,0.0,13.0,18.9,38.2,67,16.07,3.62,42937.62,29027.21,97,62,23.0,21.8,1.6,27.4833,30.6,24.9,0.4289,0.464,0.396
Tiruchirappalli,Manapparai,2025-03-02,31.6,23.8,27.1,2.6,2.6,0.0,9.0,12.2,28.4,97,18.27,4.13,42972.24,36381.48,94,56,23.3,21.4,2.01,28.3417,32.9,24.9,0.397,0.411,0.388
Tiruchirappalli,Manapparai,2025-03-03,33.5,23.2,27.7,0.7,0.7,0.0,3.0,13.7,25.9,99,21.6,5.08,43006.88,33282.2,98,39,24.3,17.6,3.14,29.3667,34.2,25.8,0.3833,0.393,0.372
Tiruchirappalli,Manapparai,2025-03-04,34.2,22.5,27.6,0.0,0.0,0.0,0.0,8.9,22.3,129,24.41,5.37,43041.52,37830.38,97,32,23.2,14.6,3.66,29.7208,35.2,25.5,0.3648,0.376,0.351
Tiruchirappalli,Manapparai,2025-03-05,34.2,22.4,27.7,0.0,0.0,0.0,0.0,11.7,23.4,159,22.9,5.34,43076.14,35175.89,98,34,23.4,16.0,3.53,29.6375,35.2,25.1,0.3494,0.357,0.336
Tiruchirappalli,Manapparai,2025-03-06,35.3,20.6,28.2,0.0,0.0,0.0,0.0,16.0,26.3,142,24.07,5.79,43110.71,40651.38,86,30,23.0,14.9,3.93,30.0792,36.0,24.5,0.3331,0.346,0.322
Tiruchirappalli,Manapparai,2025-03-07,34.5,21.1,27.8,0.0,0.0,0.0,0.0,14.9,25.9,137,25.31,5.66,43145.2,39791.37,99,30,23.4,14.2,3.76,30.4,36.5,25.0,0.3111,0.322,0.3
Tiruchirappalli,Manapparai,2025-03-08,34.7,21.5,27.9,0.2,0.2,0.0,1.0,13.4,27.7,126,24.49,5.68,43179.6,40723.35,96,31,23.1,14.8,3.73,30.6,36.9,25.2,0.2965,0.306,0.285
Tiruchirappalli,Manapparai,2025-03-09,33.7,21.4,27.1,0.0,0.0,0.0,0.0,14.6,28.1,103,25.48,5.97,43214.14,38880.1,100,34,22.5,15.8,3.43,30.2833,36.0,25.4,0.2885,0.3,0.279
Tiruchirappalli,Manapparai,2025-03-10,33.9,20.8,27.3,0.0,0.0,0.0,0.0,19.6,34.2,63,23.06,6.07,43248.92,38961.18,92,35,21.4,16.1,3.42,29.6333,35.3,24.1,0.2693,0.279,0.257
Tiruchirappalli,Manapparai,2025-03-11,28.4,23.5,25.2,27.0,27.0,0.0,13.0,27.5,52.9,51,8.7,2.29,43283.89,7755.89,97,70,23.2,20.6,1.17,27.2333,29.1,25.0,0.3479,0.503,0.251
Tiruchirappalli,Manapparai,2025-03-12,29.0,22.5,24.7,26.8,26.8,0.0,10.0,17.8,35.3,51,11.21,2.3,43319.05,18667.23,98,70,23.4,22.1,1.21,26.1042,29.5,24.2,0.4552,0.52,0.413
Tiruchirappalli,Manapparai,2025-03-13,33.3,21.4,27.0,0.0,0.0,0.0,0.0,12.4,24.1,118,24.3,5.44,43354.36,40071.11,100,44,23.4,19.0,2.84,28.2167,34.2,23.0,0.4334,0.464,0.408
Tiruchirappalli,Manapparai,2025-03-14,33.8,21.8,27.5,0.0,0.0,0.0,0.0,10.7,19.8,150,24.62,5.4,43389.79,36554.07,98,38,23.8,17.6,3.23,29.675,35.5,24.4,0.3905,0.407,0.372
Tiruchirappalli,Manapparai,2025-03-15,33.2,23.4,28.0,0.0,0.0,0.0,0.0,10.5,21.6,152,24.69,5.58,43425.33,40343.36,97,40,23.5,18.0,3.04,30.5208,36.0,26.4,0.3567,0.372,0.342
Tiruchirappalli,Manapparai,2025-03-16,33.4,23.7,27.6,2.0,2.0,0.0,8.0,16.7,35.6,155,20.4,4.62,43460.96,33858.22,96,51,24.5,21.9,2.52,30.1708,35.7,26.4,0.3634,0.42,0.337
Tiruchirappalli,Manapparai,2025-03-17,34.4,23.2,28.5,7.7,7.7,0.0,3.0,11.2,32.0,159,23.0,5.28,43496.64,40298.11,95,47,23.5,21.0,2.82,30.9917,36.7,26.1,0.4061,0.476,0.375
Tiruchirappalli,Manapparai,2025-03-18,34.6,23.4,28.7,0.8,0.8,0.0,4.0,15.5,28.4,141,23.28,5.7,43532.36,40481.14,95,40,24.8,19.2,3.27,30.7583,36.0,26.2,0.3908,0.465,0.354
Tiruchirappalli,Manapparai,2025-03-19,34.8,24.5,29.1,0.4,0.4,0.0,2.0,18.7,33.5,136,23.66,5.93,43568.08,40069.39,96,44,24.5,19.8,3.12,31.4417,36.8,27.2,0.3447,0.354,0.332
Tiruchirappalli,Manapparai,2025-03-20,34.7,24.5,29.2,0.1,0.1,0.0,1.0,14.1,30.2,123,23.99,6.07,43603.8,41155.3,99,37,24.9,17.9,3.48,31.5,36.9,27.1,0.3277,0.338,0.316
Tiruchirappalli,Manapparai,2025-03-21,33.8,24.5,28.6,1.2,1.2,0.0,7.0,15.0,30.2,126,21.92,5.24,43639.47,38897.37,95,50,24.1,21.4,2.64,31.0875,36.2,27.2,0.3201,0.326,0.316
Tiruchirappalli,Manapparai,2025-03-22,34.2,24.6,28.5,2.7,2.7,0.0,10.0,15.8,40.0,132,21.42,5.06,43675.08,39399.57,96,47,24.8,21.4,2.84,30.925,36.1,27.1,0.315,0.323,0.305
Tiruchirappalli,Manapparai,2025-03-23,33.2,24.1,27.8,4.3,4.3,0.0,10.0,11.3,24.5,137,13.58,3.28,43710.61,25527.5,97,50,24.0,20.8,2.56,30.2417,34.0,27.0,0.3125,0.347,0.302
Tiruchirappalli,Manapparai,2025-03-24,36.2,24.6,29.7,0.9,0.9,0.0,5.0,18.7,34.6,93,24.0,6.24,43746.03,41036.5,95,31,24.8,16.5,4.13,32.225,38.9,27.2,0.2975,0.304,0.29
Tiruchirappalli,Manapparai,2025-03-25,36.5,24.4,29.9,0.0,0.0,0.0,0.0,13.4,25.9,100,24.87,6.28,43781.31,39914.38,96,23,24.0,12.1,4.72,33.3333,40.7,27.6,0.2832,0.293,0.272
Tiruchirappalli,Manapparai,2025-03-26,36.5,23.2,29.5,0.0,0.0,0.0,0.0,14.2,27.7,138,25.51,6.44,43816.44,41366.75,94,23,22.9,11.9,4.6,33.475,41.0,27.3,0.2773,0.285,0.267
Tiruchirappalli,Manapparai,2025-03-27,38.3,23.6,30.4,0.0,0.0,0.0,0.0,17.3,31.7,166,24.04,6.38,43851.38,40410.78,88,23,22.4,13.2,5.22,34.0667,42.0,27.6,0.2732,0.28,0.263
Tiruchirappalli,Manapparai,2025-03-28,37.8,24.0,30.7,0.0,0.0,0.0,0.0,16.6,31.0,146,24.74,6.9,43886.12,40079.48,76,21,21.8,11.7,5.12,34.3375,41.7,28.0,0.2724,0.279,0.262
Tiruchirappalli,Manapparai,2025-03-29,38.6,22.6,30.7,0.0,0.0,0.0,0.0,17.8,34.2,135,26.65,7.52,43920.89,41468.99,75,13,21.5,4.8,5.83,34.3708,42.4,27.5,0.2648,0.278,0.256
Tiruchirappalli,Manapparai,2025-03-30,37.5,21.2,29.3,0.0,0.0,0.0,0.0,14.5,29.9,146,26.86,7.09,43955.77,41502.75,72,17,18.5,8.8,5.32,33.725,42.2,26.4,0.2561,0.263,0.25
Tiruchirappalli,Manapparai,2025-03-31,36.3,22.1,29.1,0.0,0.0,0.0,0.0,18.5,31.7,135,23.75,6.18,43990.72,35000.06,87,27,23.3,13.4,4.4,33.675,42.0,26.6,0.254,0.266,0.246
Tiruchirappalli,Manapparai,2025-04-01,34.1,24.0,28.9,0.2,0.2,0.0,2.0,16.0,29.9,132,22.42,5.78,44025.73,41192.98,91,37,22.5,17.0,3.39,33.3792,40.2,28.0,0.2614,0.275,0.252
Tiruchirappalli,Manapparai,2025-04-02,34.6,24.8,28.7,8.6,8.6,0.0,7.0,18.2,38.9,149,22.0,5.52,44060.77,40131.16,89,45,23.0,20.4,3.01,32.8208,38.9,28.5,0.2835,0.349,0.264
Tiruchirappalli,Manapparai,2025-04-03,34.5,23.5,26.8,13.5,13.5,0.0,14.0,13.6,27.4,99,18.34,4.06,44095.82,26427.64,97,44,24.3,20.4,3.08,30.3458,37.7,26.1,0.3793,0.481,0.346
