district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruchirappalli,Marungapuri,2025-02-24,32.5,21.6,26.5,0.0,0.0,0.0,0.0,19.5,39.6,59,23.8,5.77,42777.26,40207.28,98,36,22.2,15.1,3.15,28.3083,33.2,24.4,0.2937,0.3,0.284
Tiruchirappalli,Marungapuri,2025-02-25,31.4,22.1,25.3,5.1,5.1,0.0,9.0,20.9,43.9,40,20.95,4.44,42810.85,35718.82,98,50,23.0,19.1,2.29,27.3375,32.3,24.8,0.303,0.326,0.288
Tiruchirappalli,Marungapuri,2025-02-26,32.5,23.0,26.8,0.9,0.9,0.0,6.0,24.2,48.6,42,20.99,5.5,42844.6,39983.66,90,42,21.5,16.5,2.82,28.0167,32.3,24.6,0.3123,0.321,0.305
Tiruchirappalli,Marungapuri,2025-02-27,32.3,22.6,26.9,0.3,0.3,0.0,3.0,20.6,42.5,39,21.31,5.43,42878.49,40406.2,90,43,22.3,17.4,2.71,28.4375,32.8,24.7,0.3003,0.305,0.295
Tiruchirappalli,Marungapuri,2025-02-28,30.6,23.2,25.8,3.2,3.2,0.0,11.0,20.5,43.2,50,16.86,3.73,42912.5,33990.61,97,56,23.4,20.7,1.93,27.4875,30.5,25.2,0.3375,0.459,0.293
Tiruchirappalli,Marungapuri,2025-03-01,30.0,22.7,25.6,8.0,8.0,0.0,14.0,17.1,36.4,60,15.71,3.46,42946.58,29019.45,98,61,23.0,21.5,1.66,26.575,30.0,24.1,0.4567,0.505,0.423
Tiruchirappalli,Marungapuri,2025-03-02,31.0,22.7,26.2,4.4,4.4,0.0,12.0,11.8,27.7,100,16.65,3.69,42980.71,28335.44,98,59,23.2,21.5,1.84,27.2,31.2,24.2,0.4214,0.442,0.406
Tiruchirappalli,Marungapuri,2025-03-03,32.9,22.6,27.1,0.9,0.9,0.0,5.0,12.2,26.3,89,21.19,4.85,43014.88,34363.69,96,39,23.8,17.1,3.03,28.4125,32.8,24.9,0.3982,0.408,0.385
Tiruchirappalli,Marungapuri,2025-03-04,33.2,22.5,27.2,0.0,0.0,0.0,0.0,10.4,21.6,129,24.22,5.33,43049.06,37343.71,97,37,23.0,16.1,3.21,28.975,34.2,25.0,0.3755,0.39,0.36
Tiruchirappalli,Marungapuri,2025-03-05,33.6,21.9,27.3,0.0,0.0,0.0,0.0,10.3,25.2,155,23.37,5.19,43083.2,35913.2,99,33,23.4,15.2,3.47,28.85,34.2,24.2,0.3541,0.365,0.34
Tiruchirappalli,Marungapuri,2025-03-06,34.2,20.4,27.7,0.0,0.0,0.0,0.0,13.2,23.8,142,24.69,5.59,43117.29,40659.09,86,31,22.2,13.9,3.61,29.2042,34.8,23.9,0.3386,0.348,0.328
Tiruchirappalli,Marungapuri,2025-03-07,33.7,20.9,27.3,0.0,0.0,0.0,0.0,16.5,28.1,156,25.53,5.63,43151.31,40694.74,98,32,22.9,14.4,3.58,29.6333,35.5,24.5,0.3148,0.328,0.302
Tiruchirappalli,Marungapuri,2025-03-08,33.8,21.5,27.4,0.1,0.1,0.0,1.0,17.1,29.5,130,24.39,5.45,43185.24,40730.1,96,36,22.4,15.9,3.38,29.8167,35.8,24.7,0.3005,0.309,0.288
Tiruchirappalli,Marungapuri,2025-03-09,32.8,21.4,26.5,0.1,0.1,0.0,1.0,15.1,30.2,102,25.23,5.8,43219.31,36174.19,100,34,22.9,15.1,3.26,29.4833,35.0,24.8,0.2935,0.304,0.284
Tiruchirappalli,Marungapuri,2025-03-10,33.2,20.7,26.7,0.0,0.0,0.0,0.0,19.3,36.4,49,22.19,5.69,43253.61,39334.57,94,37,21.4,16.4,3.24,28.6917,34.0,23.8,0.2833,0.289,0.275
Tiruchirappalli,Marungapuri,2025-03-11,26.5,23.0,24.5,24.4,24.4,0.0,16.0,20.5,43.9,43,7.5,1.8,43288.11,2905.71,99,76,24.0,20.9,0.81,26.2833,27.9,24.4,0.3765,0.502,0.28
Tiruchirappalli,Marungapuri,2025-03-12,29.0,22.6,24.3,21.0,21.0,0.0,11.0,19.2,36.4,32,9.59,1.94,43322.78,13113.55,99,70,23.7,22.3,1.2,25.3208,28.0,23.9,0.4803,0.513,0.453
Tiruchirappalli,Marungapuri,2025-03-13,32.3,21.5,26.4,0.0,0.0,0.0,0.0,11.6,24.1,89,24.72,5.33,43357.61,40907.29,98,45,23.5,18.2,2.62,27.1583,32.3,22.5,0.4558,0.483,0.43
Tiruchirappalli,Marungapuri,2025-03-14,32.7,21.8,26.9,0.0,0.0,0.0,0.0,11.7,20.2,156,24.61,5.27,43392.56,37948.66,98,45,23.6,18.9,2.73,28.5417,33.7,23.9,0.4159,0.431,0.402
Tiruchirappalli,Marungapuri,2025-03-15,32.1,23.2,27.2,0.0,0.0,0.0,0.0,11.9,22.3,143,24.75,5.44,43427.62,40746.1,98,45,23.6,18.1,2.65,29.175,33.8,25.6,0.3889,0.404,0.377
Tiruchirappalli,Marungapuri,2025-03-16,32.9,23.4,26.8,6.0,6.0,0.0,8.0,18.3,41.0,156,20.08,4.28,43462.76,31882.95,97,53,24.5,22.1,2.34,28.8417,33.5,25.6,0.3804,0.433,0.365
Tiruchirappalli,Marungapuri,2025-03-17,33.7,23.2,27.9,4.4,4.4,0.0,2.0,13.9,29.5,157,23.58,5.29,43497.95,39755.54,94,46,23.4,20.4,2.82,29.9667,35.2,25.5,0.357,0.404,0.335
Tiruchirappalli,Marungapuri,2025-03-18,33.7,23.2,28.0,0.6,0.6,0.0,3.0,13.8,28.4,139,23.33,5.46,43533.18,40341.12,96,44,24.8,19.7,2.92,29.7667,34.5,25.5,0.3522,0.404,0.324
Tiruchirappalli,Marungapuri,2025-03-19,33.9,24.0,28.3,0.2,0.2,0.0,2.0,17.8,33.5,132,23.89,5.69,43568.43,41120.89,98,47,24.6,19.9,2.83,30.3708,35.2,26.4,0.3151,0.324,0.306
Tiruchirappalli,Marungapuri,2025-03-20,33.7,24.0,28.3,0.9,0.9,0.0,5.0,13.3,30.6,117,24.12,5.78,43603.65,41156.25,99,40,24.9,17.9,3.12,30.2,35.0,26.0,0.3086,0.321,0.3
Tiruchirappalli,Marungapuri,2025-03-21,32.5,24.0,27.8,1.3,1.3,0.0,7.0,14.2,30.6,123,21.9,4.96,43638.84,40932.85,97,54,24.0,21.5,2.27,30.1167,34.5,26.4,0.3092,0.314,0.305
Tiruchirappalli,Marungapuri,2025-03-22,32.7,24.2,27.6,2.1,2.1,0.0,8.0,17.0,38.9,129,21.36,4.76,43673.97,37926.14,99,54,24.2,21.4,2.29,30.0292,34.4,26.5,0.3093,0.314,0.307
Tiruchirappalli,Marungapuri,2025-03-23,31.8,23.9,27.4,3.9,3.9,0.0,8.0,13.3,27.0,129,14.18,3.45,43709.02,27889.81,99,51,24.2,20.1,2.26,29.2958,32.8,26.5,0.3099,0.326,0.289
Tiruchirappalli,Marungapuri,2025-03-24,34.9,24.2,28.9,0.5,0.5,0.0,4.0,16.4,32.0,86,23.75,5.88,43743.96,40674.34,97,35,24.7,17.3,3.62,31.1458,37.0,26.4,0.2844,0.289,0.279
Tiruchirappalli,Marungapuri,2025-03-25,35.2,24.0,29.0,0.1,0.1,0.0,1.0,14.3,26.3,102,25.01,6.0,43778.76,38625.79,97,29,24.0,14.4,4.03,31.825,38.2,27.0,0.2763,0.282,0.267
Tiruchirappalli,Marungapuri,2025-03-26,35.0,23.0,28.6,0.0,0.0,0.0,0.0,16.1,27.7,144,25.55,6.09,43813.41,41364.82,94,26,22.5,11.9,4.1,31.875,38.3,26.5,0.2745,0.281,0.266
Tiruchirappalli,Marungapuri,2025-03-27,36.2,22.8,29.3,0.0,0.0,0.0,0.0,16.4,29.9,171,23.8,6.02,43847.88,40657.2,94,30,22.2,14.8,4.23,32.0792,38.6,26.6,0.2741,0.285,0.264
Tiruchirappalli,Marungapuri,2025-03-28,35.8,22.7,29.5,0.0,0.0,0.0,0.0,16.5,29.9,157,24.82,6.43,43882.15,39839.69,85,26,21.1,13.1,4.3,32.1958,38.3,26.8,0.2788,0.284,0.27
Tiruchirappalli,Marungapuri,2025-03-29,37.2,21.8,29.6,0.0,0.0,0.0,0.0,13.5,29.9,138,26.89,7.04,43916.45,41465.63,79,16,19.8,6.6,5.36,32.1625,38.9,26.5,0.2714,0.282,0.262
Tiruchirappalli,Marungapuri,2025-03-30,36.0,21.3,28.4,0.0,0.0,0.0,0.0,13.8,27.7,149,26.93,6.72,43950.86,41498.92,73,19,18.8,8.4,4.73,31.4458,38.5,25.1,0.2666,0.272,0.259
Tiruchirappalli,Marungapuri,2025-03-31,35.0,22.0,28.2,0.0,0.0,0.0,0.0,16.6,30.2,134,23.99,5.78,43985.33,35349.29,91,30,23.5,14.6,3.92,31.3042,38.2,25.0,0.2688,0.283,0.258
Tiruchirappalli,Marungapuri,2025-04-01,32.9,23.6,27.9,0.8,0.8,0.0,6.0,13.9,25.9,133,22.41,5.37,44019.87,41193.79,91,41,22.6,17.9,2.92,31.2,36.4,26.8,0.2821,0.299,0.272
Tiruchirappalli,Marungapuri,2025-04-02,32.7,23.8,27.6,7.1,7.1,0.0,11.0,17.6,36.4,156,21.78,4.98,44054.43,39814.96,94,53,23.2,20.2,2.29,30.6333,35.3,27.2,0.3037,0.361,0.288
Tiruchirappalli,Marungapuri,2025-04-03,34.2,22.6,26.3,10.4,10.4,0.0,11.0,10.7,27.7,107,19.68,4.2,44089.01,31555.85,99,44,24.0,20.0,3.02,29.1208,36.2,25.1,0.3503,0.399,0.301
Tiruchirappalli,Marungapuri,2025-04-04,33.0,23.4,27.4,1.1,1.1,0.0,4.0,21.7,41.8,195,22.6,5.14,44123.57,40811.86,98,48,23.8,20.4,2.62,30.1417,35.3,25.9,0.3581,0.38,0.329
Tiruchirappalli,Marungapuri,2025-04-05,34.8,22.9,28.3,7.0,7.0,0.0,4.0,8.4,24.5,192,24.6,5.52,44158.09,40238.47,98,41,23.3,19.2,3.29,30.95,37.6,25.2,0.3403,0.419,0.311
Tiruchirappalli,Marungapuri,2025-04-06,36.5,24.0,28.7,2.9,2.9,0.0,4.0,24.3,46.4,187,22.18,5.15,44192.56,29165.84,94,38,23.0,19.9,3.8,32.1625,39.0,27.0,0.2973,0.32,0.276
Tiruchirappalli,Marungapuri,2025-04-07,35.8,23.6,29.4,0.0,0.0,0.0,0.0,13.9,31.0,45,23.91,6.02,44226.95,41762.86,89,33,23.0,17.2,3.91,32.375,38.8,27.2,0.2787,0.283,0.274
Tiruchirappalli,Marungapuri,2025-04-08,36.1,24.7,29.8,0.0,0.0,0.0,0.0,14.1,32.4,84,25.24,6.22,44261.22,41427.39,93,28,24.1,14.9,4.28,33.1625,39.6,27.7,0.2756,0.282,0.27
Tiruchirappalli,Marungapuri,2025-04-09,36.2,23.8,29.5,0.2,0.2,0.0,2.0,16.9,32.4,121,24.34,6.04,44295.37,41784.8,96,30,24.1,15.6,4.22,33.2292,40.0,27.6,0.2692,0.272,0.264
Tiruchirappalli,Marungapuri,2025-04-10,37.0,24.4,30.7,0.0,0.0,0.0,0.0,17.3,30.6,265,22.78,6.09,44329.36,39600.0,90,26,23.1,13.2,4.62,33.6708,40.2,28.0,0.2703,0.284,0.261
Tiruchirappalli,Marungapuri,2025-04-11,37.8,24.6,29.9,4.2,4.2,0.0,4.0,21.0,40.0,275,24.33,6.61,44363.18,39600.0,81,28,21.0,16.1,4.72,33.1125,40.6,28.6,0.2971,0.363,0.269
Tiruchirappalli,Marungapuri,2025-04-12,36.3,24.1,29.3,0.0,0.0,0.0,0.0,19.6,38.9,246,24.87,5.96,44396.78,41188.28,79,33,21.5,17.5,4.03,31.9417,37.9,27.5,0.3753,0.408,0.361
Tiruchirappalli,Marungapuri,2025-04-13,35.5,26.4,30.3,0.0,0.0,0.0,0.0,15.9,28.4,299,19.11,5.25,44430.16,35964.24,74,34,21.6,17.0,3.78,31.9458,36.5,28.4,0.3483,0.362,0.332
Tiruchirappalli,Marungapuri,2025-04-14,35.8,22.6,30.1,1.7,1.7,0.0,1.0,25.5,47.9,77,24.26,5.98,44463.29,41434.78,95,34,22.6,17.2,3.82,32.6792,38.3,27.8,0.3262,0.341,0.31
Tiruchirappalli,Marungapuri,2025-04-15,34.3,22.9,28.6,2.4,2.4,0.0,3.0,14.0,44.6,126,25.51,5.84,44496.12,38185.09,99,36,24.1,17.0,3.37,30.9292,36.2,26.0,0.4105,0.461,0.352
Tiruchirappalli,Marungapuri,2025-04-16,34.5,24.3,29.4,0.6,0.6,0.0,2.0,13.7,30.6,148,25.04,5.86,44528.66,41560.21,96,42,23.7,19.5,3.19,31.9708,37.0,27.5,0.3901,0.413,0.368
Tiruchirappalli,Marungapuri,2025-04-17,34.3,24.0,29.4,0.0,0.0,0.0,0.0,16.0,28.1,148,24.31,5.63,44560.87,41439.89,96,45,24.5,20.3,2.99,31.8917,36.8,27.8,0.3665,0.38,0.352
Tiruchirappalli,Marungapuri,2025-04-18,35.3,25.4,30.2,0.0,0.0,0.0,0.0,15.6,29.5,164,24.26,5.74,44592.97,41564.16,92,39,24.1,18.3,3.47,32.6417,37.9,28.0,0.3387,0.353,0.321
Tiruchirappalli,Marungapuri,2025-04-19,36.7,25.5,30.7,0.0,0.0,0.0,0.0,12.0,26.6,239,23.82,5.61,44625.02,41443.77,90,34,24.3,18.2,4.06,33.175,38.7,28.4,0.3311,0.346,0.321
Tiruchirappalli,Marungapuri,2025-04-20,36.3,25.4,30.6,0.0,0.0,0.0,0.0,13.4,23.4,150,24.76,6.02,44657.02,41691.11,91,34,24.5,17.5,3.98,33.3417,38.8,28.8,0.3134,0.32,0.299
Tiruchirappalli,Marungapuri,2025-04-21,36.4,26.0,30.7,0.0,0.0,0.0,0.0,13.8,26.3,110,24.44,6.06,44688.91,41693.53,87,31,24.4,16.6,4.17,33.5917,39.0,29.0,0.3005,0.315,0.288
Tiruchirappalli,Marungapuri,2025-04-22,35.2,24.5,29.8,0.0,0.0,0.0,0.0,14.7,25.6,133,23.68,5.87,44720.7,41450.19,95,34,24.8,17.2,3.73,33.1167,38.4,28.5,0.2927,0.298,0.283
Tiruchirappalli,Marungapuri,2025-04-23,35.5,24.5,30.1,0.0,0.0,0.0,0.0,14.4,25.2,165,24.58,5.97,44752.35,41083.25,96,35,23.8,17.8,3.73,33.2833,39.0,28.3,0.2933,0.297,0.284
Tiruchirappalli,Marungapuri,2025-04-24,36.3,25.4,30.9,0.0,0.0,0.0,0.0,15.9,28.1,167,24.16,6.13,44783.83,41331.63,84,38,24.1,19.4,3.72,33.6833,39.2,28.6,0.2842,0.294,0.277
Tiruchirappalli,Marungapuri,2025-04-25,35.5,25.9,30.5,0.0,0.0,0.0,0.0,17.1,33.1,144,23.71,6.01,44815.13,40716.76,86,39,24.3,19.1,3.53,34.0625,39.8,29.4,0.264,0.277,0.254
Tiruchirappalli,Marungapuri,2025-04-26,34.6,25.3,29.9,0.5,0.5,0.0,3.0,13.2,26.6,152,22.03,5.47,44846.21,41336.28,92,45,24.3,20.7,3.02,33.7625,39.4,28.9,0.2482,0.254,0.242
Tiruchirappalli,Marungapuri,2025-04-27,34.4,25.5,28.9,3.5,3.5,0.0,6.0,17.4,37.4,155,21.81,5.09,44877.05,39632.14,92,43,24.2,20.1,3.07,33.2833,39.5,28.9,0.2522,0.276,0.24
