district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruchirappalli,Musiri,2025-02-24,34.8,21.7,28.0,0.0,0.0,0.0,0.0,22.3,39.2,73,24.42,6.74,42726.27,40241.19,88,25,20.0,11.9,4.12,31.3208,37.7,25.6,0.2525,0.253,0.252
Tiruchirappalli,Musiri,2025-02-25,33.5,21.5,28.0,1.6,1.6,0.0,4.0,23.7,44.3,57,20.78,6.03,42761.97,39905.62,93,37,21.4,16.0,3.15,30.4625,35.2,25.6,0.2612,0.278,0.252
Tiruchirappalli,Musiri,2025-02-26,35.0,23.1,28.9,0.0,0.0,0.0,0.0,25.6,47.5,52,22.89,6.99,42797.85,40317.81,77,32,19.8,14.8,3.71,30.8958,36.5,26.1,0.2755,0.283,0.269
Tiruchirappalli,Musiri,2025-02-27,35.5,22.8,28.8,0.0,0.0,0.0,0.0,20.4,38.2,59,23.62,6.68,42833.87,40356.23,87,33,21.1,15.4,3.85,31.3542,37.5,25.8,0.2664,0.282,0.257
Tiruchirappalli,Musiri,2025-02-28,33.3,23.9,27.9,2.0,2.0,0.0,3.0,23.5,43.9,67,18.24,4.76,42870.01,39205.01,84,48,23.1,19.9,2.69,30.8042,35.0,26.9,0.2616,0.272,0.25
Tiruchirappalli,Musiri,2025-03-01,33.6,23.6,28.3,1.1,1.1,0.0,5.0,19.4,40.0,73,20.47,5.27,42906.23,38943.77,93,48,23.1,21.0,2.7,30.9833,36.2,26.0,0.2688,0.277,0.265
Tiruchirappalli,Musiri,2025-03-02,34.0,24.5,29.1,0.5,0.5,0.0,5.0,15.5,32.8,78,21.12,5.47,42942.51,40471.54,89,44,23.0,20.0,2.94,31.9792,37.5,27.1,0.2622,0.267,0.259
Tiruchirappalli,Musiri,2025-03-03,37.0,24.0,29.9,0.0,0.0,0.0,0.0,17.8,36.0,71,20.9,5.73,42978.82,36845.01,94,27,23.5,14.6,4.53,33.2875,40.3,27.5,0.2492,0.262,0.242
Tiruchirappalli,Musiri,2025-03-04,38.2,23.8,29.8,0.0,0.0,0.0,0.0,19.0,38.2,92,23.88,6.21,43015.13,38848.34,98,17,23.9,9.3,5.54,33.8167,41.9,27.8,0.2498,0.26,0.244
Tiruchirappalli,Musiri,2025-03-05,37.6,22.4,29.6,0.0,0.0,0.0,0.0,15.1,31.3,120,22.89,5.93,43051.41,38591.87,98,22,22.9,12.4,5.03,33.4667,41.2,27.2,0.259,0.266,0.255
Tiruchirappalli,Musiri,2025-03-06,38.2,24.1,30.7,0.0,0.0,0.0,0.0,16.0,31.3,81,23.38,6.34,43087.64,40624.23,83,21,22.2,11.6,5.31,34.175,41.9,27.3,0.2572,0.265,0.254
Tiruchirappalli,Musiri,2025-03-07,37.6,23.9,30.1,0.0,0.0,0.0,0.0,17.9,32.4,94,25.24,6.54,43123.79,40662.03,98,16,24.2,7.3,5.37,34.6,42.7,28.0,0.2418,0.255,0.237
Tiruchirappalli,Musiri,2025-03-08,37.0,24.1,30.4,0.0,0.0,0.0,0.0,15.0,28.4,94,24.07,6.46,43159.84,40699.53,83,20,21.5,9.5,4.89,34.9292,42.9,28.6,0.232,0.248,0.221
