district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruchirappalli,Pullambadi,2025-02-24,33.7,21.3,26.9,0.0,0.0,0.0,0.0,22.8,42.5,58,23.04,5.78,42737.61,37979.04,99,32,23.0,13.5,3.49,28.8542,34.5,24.1,0.1258,0.135,0.118
Tiruchirappalli,Pullambadi,2025-02-25,32.6,23.0,27.1,2.2,2.2,0.0,4.0,24.8,46.1,44,20.46,5.14,42772.85,40111.09,97,45,23.0,18.1,2.55,28.5667,33.0,24.9,0.1385,0.164,0.12
Tiruchirappalli,Pullambadi,2025-02-26,33.7,23.9,27.9,0.3,0.3,0.0,3.0,26.1,49.7,44,22.35,6.21,42808.25,40329.44,86,38,22.2,16.8,3.2,29.0,33.5,25.6,0.1676,0.172,0.162
Tiruchirappalli,Pullambadi,2025-02-27,34.0,23.2,27.7,0.1,0.1,0.0,1.0,22.6,43.2,44,22.49,5.91,42843.8,40367.38,91,38,22.7,16.5,3.22,29.2083,34.0,25.5,0.1701,0.173,0.162
Tiruchirappalli,Pullambadi,2025-02-28,31.5,24.0,26.9,3.9,3.9,0.0,11.0,23.9,45.0,53,17.2,4.1,42879.46,33648.09,91,56,23.5,20.9,2.03,28.1042,31.2,25.9,0.2046,0.276,0.172
Tiruchirappalli,Pullambadi,2025-03-01,31.8,22.1,26.6,34.2,34.2,0.0,7.0,17.4,38.2,61,16.08,3.74,42915.21,26525.94,98,58,23.5,21.5,1.98,27.7792,30.4,25.5,0.3156,0.43,0.25
Tiruchirappalli,Pullambadi,2025-03-02,32.5,24.1,27.6,1.9,1.9,0.0,7.0,14.7,27.7,76,19.47,4.49,42951.01,36245.38,96,57,24.1,22.0,2.11,28.9292,33.2,25.5,0.2458,0.258,0.232
Tiruchirappalli,Pullambadi,2025-03-03,34.7,23.5,28.4,0.4,0.4,0.0,4.0,14.2,25.6,78,20.71,5.0,42986.84,36463.71,100,37,24.9,17.8,3.46,29.8042,34.8,26.0,0.2205,0.232,0.207
Tiruchirappalli,Pullambadi,2025-03-04,34.3,24.0,28.1,0.0,0.0,0.0,0.0,13.0,22.7,93,23.63,5.38,43022.68,38476.33,99,36,24.5,16.9,3.44,30.1875,35.6,26.5,0.2037,0.211,0.19
Tiruchirappalli,Pullambadi,2025-03-05,34.7,22.5,27.9,0.0,0.0,0.0,0.0,8.9,20.5,121,23.07,5.25,43058.48,39130.93,100,34,23.8,16.4,3.67,29.7167,35.2,25.6,0.1932,0.2,0.18
Tiruchirappalli,Pullambadi,2025-03-06,35.6,21.2,28.2,0.0,0.0,0.0,0.0,14.6,26.6,134,23.97,5.51,43094.23,40632.02,99,34,24.0,17.3,3.84,29.8458,35.8,24.4,0.1856,0.194,0.177
Tiruchirappalli,Pullambadi,2025-03-07,34.7,22.6,28.0,0.0,0.0,0.0,0.0,15.0,28.4,120,24.99,5.76,43129.91,38074.07,100,32,23.9,15.6,3.7,30.4083,36.3,25.5,0.1688,0.178,0.158
Tiruchirappalli,Pullambadi,2025-03-08,34.5,23.0,28.3,0.0,0.0,0.0,0.0,15.1,27.0,112,25.15,5.84,43165.48,40706.36,98,35,23.8,16.5,3.53,30.6958,36.6,26.5,0.166,0.172,0.156
Tiruchirappalli,Pullambadi,2025-03-09,33.6,20.6,26.6,0.0,0.0,0.0,0.0,17.9,34.9,93,24.58,5.82,43201.21,38733.88,100,39,22.5,16.1,3.16,29.6,35.5,24.5,0.1629,0.171,0.152
