district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruchirappalli,Turaiyur,2025-02-24,34.2,22.2,27.7,0.0,0.0,0.0,0.0,22.3,39.2,70,23.92,6.46,42731.94,39291.45,95,28,21.5,11.4,3.8,30.9667,37.0,25.9,0.2534,0.254,0.253
Tiruchirappalli,Turaiyur,2025-02-25,32.8,22.1,27.7,0.4,0.4,0.0,3.0,22.5,43.2,55,20.24,5.74,42767.41,39656.77,92,38,21.9,15.9,2.92,30.3958,35.3,25.9,0.2589,0.273,0.253
Tiruchirappalli,Turaiyur,2025-02-26,34.5,23.5,28.4,0.0,0.0,0.0,0.0,26.7,47.5,51,22.67,6.84,42803.05,40323.62,79,34,20.6,14.9,3.63,30.7208,36.1,26.4,0.2704,0.275,0.265
Tiruchirappalli,Turaiyur,2025-02-27,34.5,22.9,28.3,0.0,0.0,0.0,0.0,20.5,40.3,53,23.24,6.53,42838.84,40361.81,85,32,22.3,14.8,3.61,31.0167,36.8,26.1,0.2683,0.274,0.263
Tiruchirappalli,Turaiyur,2025-02-28,32.5,24.2,27.4,5.5,5.5,0.0,6.0,21.6,41.4,59,17.46,4.47,42874.73,34619.19,88,50,23.2,20.4,2.41,30.0875,33.8,26.9,0.2809,0.321,0.258
Tiruchirappalli,Turaiyur,2025-03-01,32.5,23.0,27.3,3.4,3.4,0.0,11.0,19.4,41.0,71,19.41,4.74,42910.71,38442.22,95,52,23.1,21.0,2.36,29.7583,34.2,25.6,0.3003,0.31,0.292
Tiruchirappalli,Turaiyur,2025-03-02,33.3,24.4,28.3,0.9,0.9,0.0,7.0,16.1,31.7,78,21.25,5.22,42946.76,40476.4,92,48,23.5,20.6,2.62,30.9833,36.5,26.6,0.2916,0.294,0.289
Tiruchirappalli,Turaiyur,2025-03-03,35.5,24.4,29.2,0.0,0.0,0.0,0.0,15.9,32.0,74,20.97,5.46,42982.83,36348.02,96,30,24.3,14.9,4.02,32.0833,38.2,27.3,0.2757,0.289,0.267
Tiruchirappalli,Turaiyur,2025-03-04,36.2,24.0,29.1,0.0,0.0,0.0,0.0,14.8,32.0,97,23.86,5.96,43018.9,38568.47,97,25,23.9,12.9,4.51,32.5417,39.3,27.5,0.2708,0.276,0.263
Tiruchirappalli,Turaiyur,2025-03-05,36.3,22.5,28.8,0.0,0.0,0.0,0.0,15.1,30.6,119,22.73,5.85,43054.95,38438.47,98,25,23.2,13.1,4.48,32.2375,39.0,26.6,0.2726,0.276,0.267
