district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruchirappalli,Vaiyampatti,2025-02-24,32.3,21.5,26.3,0.0,0.0,0.0,0.0,19.5,36.4,80,23.74,5.82,42765.94,40097.55,97,35,22.0,14.4,3.17,28.5875,34.0,24.5,0.2802,0.291,0.269
Tiruchirappalli,Vaiyampatti,2025-02-25,30.9,21.7,25.5,5.3,5.3,0.0,7.0,22.3,41.4,60,20.62,4.62,42800.0,35715.16,99,50,22.9,18.9,2.23,27.5625,32.3,24.4,0.2898,0.33,0.277
Tiruchirappalli,Vaiyampatti,2025-02-26,32.5,22.1,26.7,0.2,0.2,0.0,2.0,24.5,44.6,57,21.5,5.63,42834.22,40243.99,88,40,20.9,15.9,2.86,28.1208,33.0,24.1,0.2934,0.297,0.289
Tiruchirappalli,Vaiyampatti,2025-02-27,32.2,21.4,26.7,0.2,0.2,0.0,1.0,18.6,37.4,57,21.4,5.43,42868.59,40395.14,91,41,22.1,17.0,2.82,28.4625,33.3,24.1,0.2872,0.291,0.283
Tiruchirappalli,Vaiyampatti,2025-02-28,30.2,22.9,25.9,8.0,8.0,0.0,9.0,21.0,40.7,66,17.47,3.92,42903.07,35045.32,94,58,22.8,20.0,1.82,27.8292,31.0,24.8,0.3328,0.397,0.286
Tiruchirappalli,Vaiyampatti,2025-03-01,29.4,22.6,25.5,5.7,5.7,0.0,15.0,17.8,37.1,74,16.35,3.52,42937.62,31769.41,98,65,22.9,21.6,1.42,27.1083,30.2,24.6,0.4077,0.431,0.387
Tiruchirappalli,Vaiyampatti,2025-03-02,30.9,23.2,26.5,2.1,2.1,0.0,10.0,13.5,31.0,100,18.19,4.01,42972.24,35860.03,97,59,23.0,21.3,1.79,27.8292,32.3,24.5,0.3887,0.396,0.379
Tiruchirappalli,Vaiyampatti,2025-03-03,32.9,22.8,27.2,0.5,0.5,0.0,2.0,13.8,28.1,103,21.96,5.09,43006.88,34216.76,99,41,24.0,17.5,2.96,28.9,33.8,25.1,0.3814,0.39,0.369
Tiruchirappalli,Vaiyampatti,2025-03-04,33.5,21.9,27.1,0.0,0.0,0.0,0.0,11.5,26.3,124,24.66,5.49,43041.52,37833.41,96,32,22.8,14.1,3.47,29.2208,34.8,25.0,0.3618,0.375,0.347
Tiruchirappalli,Vaiyampatti,2025-03-05,33.7,21.7,27.3,0.0,0.0,0.0,0.0,11.9,25.2,146,23.24,5.43,43076.14,36282.43,100,31,23.0,13.7,3.55,29.15,34.7,24.5,0.3461,0.354,0.333
Tiruchirappalli,Vaiyampatti,2025-03-06,34.8,20.9,28.0,0.0,0.0,0.0,0.0,14.8,24.8,132,24.1,5.93,43110.71,40651.38,84,30,23.2,14.5,3.82,29.7583,35.6,24.2,0.3291,0.344,0.318
Tiruchirappalli,Vaiyampatti,2025-03-07,34.0,21.0,27.5,0.0,0.0,0.0,0.0,13.9,23.8,129,25.43,5.77,43145.2,39939.27,99,32,23.0,14.4,3.62,30.1083,36.3,24.5,0.3046,0.318,0.293
Tiruchirappalli,Vaiyampatti,2025-03-08,34.3,21.1,27.6,0.3,0.3,0.0,2.0,14.2,26.6,123,24.28,5.68,43179.6,40723.34,95,33,22.6,15.0,3.52,30.3583,36.8,24.8,0.2897,0.301,0.279
Tiruchirappalli,Vaiyampatti,2025-03-09,33.0,21.1,26.7,0.1,0.1,0.0,1.0,15.4,29.9,108,25.57,5.97,43214.14,38248.38,100,34,22.5,15.2,3.29,30.1083,36.0,25.2,0.283,0.294,0.276
Tiruchirappalli,Vaiyampatti,2025-03-10,33.2,20.8,26.8,0.0,0.0,0.0,0.0,19.2,36.0,71,23.18,6.0,43248.92,39061.22,94,36,21.1,15.8,3.28,29.3,35.0,23.7,0.271,0.276,0.266
Tiruchirappalli,Vaiyampatti,2025-03-11,27.9,23.0,24.7,16.1,16.1,0.0,13.0,26.3,52.9,56,9.02,2.18,43283.89,9541.32,98,71,23.0,20.5,1.05,26.9417,29.2,24.5,0.3233,0.423,0.256
