district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tirunelveli,Cheranmahadevi,2025-02-24,36.2,23.2,28.7,0.4,0.4,0.0,4.0,22.5,45.7,59,23.0,6.29,42918.1,38668.81,85,28,22.4,14.9,4.31,30.75,37.5,25.7,0.1348,0.149,0.126
Tirunelveli,Cheranmahadevi,2025-02-25,33.8,23.2,27.5,1.6,1.6,0.0,9.0,14.1,30.2,332,21.63,5.36,42945.87,39561.06,87,41,21.9,16.5,3.12,29.9042,36.2,25.4,0.1414,0.15,0.135
Tirunelveli,Cheranmahadevi,2025-02-26,31.9,23.2,25.6,18.4,18.4,0.0,21.0,15.8,43.9,301,15.83,3.41,42973.77,31649.9,93,55,23.0,21.6,2.14,26.925,31.0,24.7,0.259,0.375,0.156
Tirunelveli,Cheranmahadevi,2025-02-27,32.8,23.8,27.2,4.2,4.2,0.0,7.0,14.9,31.3,354,18.78,4.35,43001.79,36956.09,96,51,23.7,21.0,2.42,27.7917,32.4,24.6,0.2987,0.324,0.268
Tirunelveli,Cheranmahadevi,2025-02-28,31.2,23.4,25.6,38.3,38.3,0.0,20.0,13.7,32.0,299,13.58,2.96,43029.91,19146.48,97,60,23.7,22.0,1.84,26.8833,30.2,24.7,0.3378,0.43,0.274
Tirunelveli,Cheranmahadevi,2025-03-01,29.8,23.4,25.2,51.8,51.8,0.0,23.0,13.0,31.0,327,11.23,2.4,43058.09,17667.46,96,67,23.8,22.4,1.39,26.1125,29.0,25.0,0.3882,0.43,0.338
Tirunelveli,Cheranmahadevi,2025-03-02,29.4,23.5,25.7,9.0,9.0,0.0,18.0,7.4,22.3,345,14.51,2.96,43086.32,25081.17,96,72,24.0,22.8,1.16,26.7542,30.5,24.6,0.3716,0.408,0.352
Tirunelveli,Cheranmahadevi,2025-03-03,33.0,22.8,27.4,1.1,1.1,0.0,3.0,10.1,22.7,17,20.09,4.39,43114.59,33371.36,98,46,23.6,19.4,2.68,27.8417,32.0,24.2,0.3295,0.361,0.309
Tirunelveli,Cheranmahadevi,2025-03-04,33.8,23.6,27.9,0.0,0.0,0.0,0.0,7.4,18.4,330,23.03,4.9,43142.86,36000.0,92,41,23.5,18.5,3.12,28.8333,33.5,25.1,0.2916,0.309,0.276
Tirunelveli,Cheranmahadevi,2025-03-05,34.5,22.8,28.0,0.0,0.0,0.0,0.0,8.6,16.9,341,25.74,5.45,43171.11,40723.99,92,33,22.3,15.9,3.64,29.1167,34.4,24.8,0.2608,0.277,0.24
Tirunelveli,Cheranmahadevi,2025-03-06,34.5,21.8,27.9,0.0,0.0,0.0,0.0,17.9,32.0,230,25.32,5.52,43199.32,40753.88,81,39,21.9,18.2,3.32,29.2375,34.8,24.1,0.2242,0.242,0.207
Tirunelveli,Cheranmahadevi,2025-03-07,34.2,22.0,27.7,0.0,0.0,0.0,0.0,21.6,40.3,234,24.86,5.55,43227.46,40783.62,88,41,22.1,18.6,3.16,29.6792,35.4,24.5,0.1966,0.209,0.185
Tirunelveli,Cheranmahadevi,2025-03-08,34.0,22.0,28.0,0.0,0.0,0.0,0.0,18.9,33.8,206,23.81,5.35,43255.54,40813.1,96,43,23.6,19.5,3.01,30.3083,35.9,25.2,0.1828,0.189,0.173
Tirunelveli,Cheranmahadevi,2025-03-09,35.5,23.2,27.9,0.5,0.5,0.0,2.0,25.4,47.5,24,24.39,5.67,43283.75,40842.39,94,33,23.2,14.6,3.85,30.4125,36.5,26.0,0.1745,0.18,0.167
