district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tirunelveli,Kalakadu,2025-02-24,35.4,23.4,28.2,0.0,0.0,0.0,0.0,23.3,45.0,13,23.81,6.4,42929.33,39261.12,86,30,21.9,15.0,4.04,30.975,37.9,26.2,0.1307,0.139,0.126
Tirunelveli,Kalakadu,2025-02-25,33.5,23.6,27.5,1.4,1.4,0.0,7.0,19.3,37.8,337,22.31,6.03,42956.62,40493.68,78,41,20.9,16.5,3.06,30.1875,36.5,25.8,0.137,0.141,0.133
Tirunelveli,Kalakadu,2025-02-26,32.0,23.0,26.1,7.0,7.0,0.0,17.0,19.5,42.1,323,17.94,4.18,42984.06,33499.74,91,54,22.2,20.6,2.18,27.6167,33.2,24.8,0.1798,0.205,0.142
Tirunelveli,Kalakadu,2025-02-27,33.5,24.0,27.3,4.9,4.9,0.0,9.0,21.4,38.9,336,19.1,4.79,43011.62,39750.65,91,47,23.5,20.5,2.73,28.6208,34.2,25.1,0.1997,0.221,0.192
Tirunelveli,Kalakadu,2025-02-28,30.9,23.1,25.5,31.7,31.7,0.0,21.0,18.1,40.0,326,15.82,3.48,43039.26,25642.58,92,60,22.8,21.4,1.77,26.7958,31.5,24.4,0.3201,0.418,0.233
Tirunelveli,Kalakadu,2025-03-01,29.3,23.0,24.8,61.3,61.3,0.0,24.0,16.4,34.2,325,11.44,2.45,43066.98,18452.22,98,67,23.4,21.7,1.34,25.6542,29.0,24.2,0.3957,0.43,0.364
Tirunelveli,Kalakadu,2025-03-02,29.2,23.0,25.5,14.4,14.4,0.0,17.0,9.5,26.3,343,15.6,3.19,43094.74,26701.77,98,68,23.3,22.0,1.3,26.5667,30.3,24.1,0.3974,0.425,0.374
Tirunelveli,Kalakadu,2025-03-03,32.0,22.5,26.9,0.8,0.8,0.0,2.0,15.8,32.4,354,20.71,4.52,43122.54,37834.97,98,50,23.0,20.1,2.33,27.8083,32.0,24.1,0.3521,0.379,0.333
Tirunelveli,Kalakadu,2025-03-04,33.2,23.8,27.6,0.0,0.0,0.0,0.0,12.5,26.3,344,23.21,5.13,43150.34,36000.0,82,42,23.2,18.2,2.94,28.6,33.6,25.0,0.3148,0.333,0.299
Tirunelveli,Kalakadu,2025-03-05,33.6,22.9,27.8,0.0,0.0,0.0,0.0,8.3,21.2,339,26.23,5.69,43178.11,40731.93,83,34,21.7,15.6,3.43,28.875,34.6,24.4,0.286,0.301,0.272
Tirunelveli,Kalakadu,2025-03-06,34.0,23.3,27.9,0.0,0.0,0.0,0.0,15.4,28.1,94,25.85,5.63,43205.86,40761.34,77,38,21.1,16.2,3.31,29.0917,35.0,23.9,0.259,0.278,0.242
Tirunelveli,Kalakadu,2025-03-07,33.8,23.5,27.8,0.0,0.0,0.0,0.0,23.1,41.0,231,25.35,5.59,43233.54,40790.61,86,39,21.9,14.5,3.22,29.45,35.5,24.2,0.2311,0.243,0.218
Tirunelveli,Kalakadu,2025-03-08,34.0,22.7,27.7,0.0,0.0,0.0,0.0,19.3,34.6,73,23.74,5.26,43261.16,40819.62,86,39,22.6,17.9,3.25,29.8458,35.3,24.9,0.2255,0.232,0.217
Tirunelveli,Kalakadu,2025-03-09,34.1,23.5,27.6,0.1,0.1,0.0,1.0,21.9,41.8,358,24.59,5.77,43288.89,40848.44,85,38,23.0,12.8,3.29,29.85,35.5,25.9,0.2132,0.225,0.203
Tirunelveli,Kalakadu,2025-03-10,33.9,23.0,27.7,0.1,0.1,0.0,1.0,19.5,39.2,353,21.44,5.61,43316.82,38448.32,78,39,22.9,14.5,3.22,29.2125,34.2,25.2,0.1983,0.209,0.19
Tirunelveli,Kalakadu,2025-03-11,26.8,23.6,25.1,34.2,34.2,0.0,24.0,17.6,33.5,335,6.97,1.64,43344.9,614.6,97,76,23.7,21.9,0.81,26.2458,28.0,24.9,0.3269,0.429,0.196
Tirunelveli,Kalakadu,2025-03-12,28.0,22.5,24.8,12.9,12.9,0.0,13.0,10.5,25.6,326,8.38,1.95,43373.13,1893.7,96,71,22.9,19.9,1.11,26.0042,28.6,24.0,0.3839,0.424,0.354
Tirunelveli,Kalakadu,2025-03-13,32.8,22.2,27.0,0.0,0.0,0.0,0.0,11.0,24.1,1,23.57,5.07,43401.5,40964.59,85,47,23.8,18.2,2.64,28.0458,33.3,23.3,0.3311,0.353,0.315
Tirunelveli,Kalakadu,2025-03-14,32.7,23.2,27.5,0.2,0.2,0.0,2.0,11.5,26.3,355,24.0,5.23,43429.97,40993.73,88,48,23.5,19.9,2.56,28.9583,34.0,24.6,0.3141,0.337,0.284
Tirunelveli,Kalakadu,2025-03-15,32.2,23.0,27.5,0.4,0.4,0.0,4.0,9.9,23.8,16,23.14,5.02,43458.53,40927.45,83,51,22.4,19.2,2.31,29.2792,34.2,25.2,0.2714,0.286,0.253
Tirunelveli,Kalakadu,2025-03-16,31.8,24.1,27.3,4.2,4.2,0.0,3.0,11.5,25.6,16,19.88,4.23,43487.16,38379.23,86,58,23.1,20.1,1.98,29.6583,34.5,26.0,0.239,0.277,0.225
Tirunelveli,Kalakadu,2025-03-17,33.4,24.1,28.1,0.0,0.0,0.0,0.0,12.3,25.6,109,19.88,4.49,43515.83,37866.23,91,47,23.7,19.9,2.7,30.0625,35.5,26.0,0.2211,0.227,0.209
Tirunelveli,Kalakadu,2025-03-18,33.0,23.8,28.0,0.2,0.2,0.0,1.0,16.7,32.4,155,23.08,5.2,43544.54,41110.06,90,52,23.4,21.3,2.41,30.2083,35.5,26.1,0.21,0.227,0.184
Tirunelveli,Kalakadu,2025-03-19,32.9,23.2,27.8,3.1,3.1,0.0,5.0,13.1,26.6,88,20.71,4.63,43573.26,34436.82,91,54,24.1,21.0,2.3,30.0167,35.2,25.6,0.1829,0.203,0.175
Tirunelveli,Kalakadu,2025-03-20,33.7,23.4,28.4,1.4,1.4,0.0,7.0,12.5,29.5,12,24.44,5.53,43601.98,41167.8,95,39,23.8,16.5,3.16,30.1667,36.1,25.4,0.1848,0.194,0.179
Tirunelveli,Kalakadu,2025-03-21,33.5,24.2,28.3,1.6,1.6,0.0,12.0,12.2,26.3,329,21.69,4.83,43630.66,41196.51,88,51,23.3,19.2,2.55,30.1583,35.7,25.6,0.1723,0.184,0.153
Tirunelveli,Kalakadu,2025-03-22,33.3,24.0,27.8,4.1,4.1,0.0,12.0,17.4,34.6,346,20.88,4.61,43659.3,39837.37,94,51,23.0,21.6,2.51,30.1458,35.3,25.8,0.1631,0.183,0.153
Tirunelveli,Kalakadu,2025-03-23,35.0,23.0,28.7,1.2,1.2,0.0,3.0,13.2,27.7,41,24.66,5.75,43687.88,41253.48,94,38,22.5,17.4,3.46,31.0708,38.2,25.7,0.1524,0.164,0.138
Tirunelveli,Kalakadu,2025-03-24,34.8,24.3,29.2,2.0,2.0,0.0,8.0,10.9,25.9,346,23.21,5.52,43716.37,41281.71,85,42,22.7,18.8,3.25,31.8833,38.7,26.7,0.1325,0.142,0.122
Tirunelveli,Kalakadu,2025-03-25,36.0,25.1,29.6,1.0,1.0,0.0,6.0,16.1,28.8,307,23.55,5.82,43744.76,41309.75,82,37,22.9,18.5,3.72,32.975,40.7,27.5,0.1145,0.122,0.102
Tirunelveli,Kalakadu,2025-03-26,37.2,23.8,29.6,0.9,0.9,0.0,2.0,17.2,37.8,139,24.3,5.9,43773.02,41337.59,84,30,22.5,16.7,4.43,33.6333,43.0,26.9,0.0909,0.102,0.084
Tirunelveli,Kalakadu,2025-03-27,38.4,24.7,30.4,0.3,0.3,0.0,2.0,18.1,38.5,23,24.43,6.06,43801.14,41365.18,78,24,21.6,14.1,5.12,34.1,42.8,27.1,0.0917,0.099,0.089
Tirunelveli,Kalakadu,2025-03-28,38.5,25.4,30.7,1.5,1.5,0.0,3.0,23.8,47.2,169,24.75,6.1,43829.1,41357.29,73,25,22.9,15.1,5.11,34.2958,43.4,27.9,0.1047,0.117,0.099
Tirunelveli,Kalakadu,2025-03-29,39.7,24.9,31.0,0.0,0.0,0.0,0.0,23.9,46.4,89,27.07,7.1,43857.09,41419.42,68,16,20.3,8.9,6.1,34.6042,44.2,26.9,0.1114,0.118,0.108
Tirunelveli,Kalakadu,2025-03-30,38.8,24.0,30.0,0.0,0.0,0.0,0.0,24.5,48.2,186,26.41,6.72,43885.16,41446.39,82,19,22.7,11.2,5.57,34.7542,45.0,26.8,0.102,0.108,0.1
Tirunelveli,Kalakadu,2025-03-31,38.5,24.1,29.6,1.8,1.8,0.0,3.0,24.1,45.0,226,24.84,6.16,43913.3,41473.32,82,21,21.5,8.6,5.34,34.2958,44.5,26.6,0.09,0.101,0.083
Tirunelveli,Kalakadu,2025-04-01,37.4,24.2,30.0,0.0,0.0,0.0,0.0,21.5,43.9,149,22.07,5.64,43941.48,41354.73,74,25,22.4,14.4,4.78,34.6292,43.2,27.4,0.0908,0.098,0.088
Tirunelveli,Kalakadu,2025-04-02,34.9,24.2,29.2,0.5,0.5,0.0,4.0,20.5,38.9,157,21.11,5.2,43969.7,41135.1,80,44,22.8,20.0,3.12,33.65,41.2,28.3,0.099,0.102,0.096
Tirunelveli,Kalakadu,2025-04-03,33.2,24.0,27.2,15.8,15.8,0.0,14.0,11.5,29.9,34,17.59,3.91,43997.92,34611.08,95,47,23.8,20.5,2.68,31.125,37.5,27.4,0.149,0.232,0.102
Tirunelveli,Kalakadu,2025-04-04,32.7,23.5,26.9,11.1,11.1,0.0,5.0,14.0,29.5,37,15.16,3.44,44026.14,27803.16,99,51,24.0,21.2,2.43,29.7417,34.2,26.5,0.2812,0.355,0.228
Tirunelveli,Kalakadu,2025-04-05,33.8,24.0,28.0,1.5,1.5,0.0,3.0,15.7,32.8,161,21.61,4.75,44054.34,39852.01,92,49,23.2,21.2,2.66,30.5875,36.5,26.2,0.2893,0.335,0.26
Tirunelveli,Kalakadu,2025-04-06,33.7,24.6,29.2,0.4,0.4,0.0,1.0,12.5,27.7,15,19.5,4.55,44082.48,31766.19,84,47,23.0,20.9,2.74,31.9708,38.0,26.9,0.2341,0.259,0.21
Tirunelveli,Kalakadu,2025-04-07,34.9,25.0,29.4,0.6,0.6,0.0,5.0,12.7,27.4,35,19.78,4.78,44110.56,36586.27,93,43,24.0,20.4,3.19,32.1875,38.1,27.4,0.1995,0.213,0.189
Tirunelveli,Kalakadu,2025-04-08,36.8,24.8,29.7,0.6,0.6,0.0,2.0,21.8,40.7,229,24.85,5.99,44138.56,41447.93,85,33,23.3,17.4,4.19,33.5875,41.7,27.9,0.174,0.192,0.162
Tirunelveli,Kalakadu,2025-04-09,34.8,25.4,29.2,0.9,0.9,0.0,4.0,19.1,41.0,170,22.15,5.34,44166.45,40728.65,79,43,22.4,20.0,3.14,33.0375,40.5,27.6,0.1566,0.162,0.152
Tirunelveli,Kalakadu,2025-04-10,36.3,24.4,30.1,0.0,0.0,0.0,0.0,10.8,24.8,276,18.79,4.81,44194.23,38414.56,83,30,22.0,16.0,4.22,33.7792,40.2,27.6,0.1456,0.152,0.14
Tirunelveli,Kalakadu,2025-04-11,37.7,23.9,30.2,0.0,0.0,0.0,0.0,11.5,28.1,258,23.04,5.45,44221.85,41164.04,80,31,22.2,17.5,4.5,34.5583,42.5,28.0,0.136,0.144,0.123
Tirunelveli,Kalakadu,2025-04-12,37.2,25.5,30.6,0.9,0.9,0.0,1.0,8.7,25.6,266,24.01,5.51,44249.32,41788.28,83,38,22.5,20.4,3.95,35.3333,44.3,29.0,0.1249,0.131,0.122
Tirunelveli,Kalakadu,2025-04-13,37.5,25.7,30.9,0.5,0.5,0.0,2.0,14.8,34.2,348,22.74,5.43,44276.59,41813.33,78,35,22.4,18.8,4.17,35.1875,42.8,29.1,0.1333,0.148,0.126
Tirunelveli,Kalakadu,2025-04-14,38.7,26.6,31.3,2.2,2.2,0.0,3.0,17.7,40.0,39,22.93,5.92,44303.66,41838.11,71,28,22.9,17.1,4.92,34.9958,42.8,29.0,0.1449,0.159,0.136
Tirunelveli,Kalakadu,2025-04-15,38.1,26.2,30.9,0.7,0.7,0.0,2.0,23.1,46.8,68,24.61,6.44,44330.5,41862.61,76,27,23.1,15.9,4.83,34.8667,43.5,29.2,0.1421,0.145,0.137
Tirunelveli,Kalakadu,2025-04-16,39.1,25.9,31.7,1.1,1.1,0.0,2.0,19.1,41.0,4,24.33,6.21,44357.1,41886.81,77,25,22.9,15.6,5.26,35.7583,44.5,28.9,0.1371,0.144,0.128
Tirunelveli,Kalakadu,2025-04-17,37.1,26.4,31.0,0.7,0.7,0.0,2.0,21.2,41.4,334,21.04,5.21,44383.43,41822.83,72,37,22.2,19.9,3.99,35.4917,43.4,29.7,0.127,0.13,0.124
Tirunelveli,Kalakadu,2025-04-18,39.7,26.2,31.6,1.4,1.4,0.0,2.0,10.7,29.2,212,23.96,5.78,44409.67,41074.61,76,24,22.6,15.4,5.51,36.0292,45.2,29.4,0.1277,0.136,0.125
Tirunelveli,Kalakadu,2025-04-19,39.0,25.9,31.2,1.5,1.5,0.0,4.0,9.6,23.8,339,22.73,5.33,44435.88,41826.35,80,30,23.1,18.2,4.9,36.2625,45.0,29.8,0.1234,0.137,0.111
Tirunelveli,Kalakadu,2025-04-20,40.0,26.3,32.0,0.4,0.4,0.0,2.0,10.3,28.1,327,23.55,5.87,44462.04,41828.25,76,26,22.9,16.4,5.45,36.9417,45.8,30.2,0.1133,0.121,0.11
Tirunelveli,Kalakadu,2025-04-21,38.8,26.0,31.3,0.8,0.8,0.0,3.0,13.1,36.0,356,23.25,5.74,44488.12,41579.9,79,30,22.5,17.9,4.85,35.9792,44.2,30.2,0.1272,0.132,0.121
Tirunelveli,Kalakadu,2025-04-22,38.5,26.0,31.2,1.0,1.0,0.0,2.0,14.1,33.8,358,23.23,5.78,44514.12,39600.0,77,30,22.5,17.1,4.81,35.5583,44.5,29.8,0.1282,0.133,0.124
