district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tirunelveli,Radhapuram,2025-02-24,35.3,24.2,28.8,0.0,0.0,0.0,0.0,29.9,56.5,35,24.8,7.78,42951.75,40335.31,88,26,22.4,13.1,4.2,31.7583,38.3,27.2,0.1398,0.149,0.129
Tirunelveli,Radhapuram,2025-02-25,33.8,24.5,28.4,1.8,1.8,0.0,6.0,30.8,56.5,22,22.58,6.91,42978.13,40517.03,74,41,22.0,18.6,3.12,31.0917,35.9,27.0,0.1503,0.157,0.148
Tirunelveli,Radhapuram,2025-02-26,33.5,23.8,27.7,3.7,3.7,0.0,14.0,33.4,61.2,24,21.65,5.96,43004.64,39868.22,86,48,23.3,20.8,2.67,30.0917,35.0,26.7,0.1591,0.18,0.148
Tirunelveli,Radhapuram,2025-02-27,33.8,24.9,28.3,3.8,3.8,0.0,9.0,34.0,61.9,25,20.98,6.05,43031.26,40236.07,92,48,23.5,20.8,2.71,30.5167,35.5,27.1,0.1504,0.163,0.14
Tirunelveli,Radhapuram,2025-02-28,32.0,23.6,26.8,11.7,11.7,0.0,19.0,33.7,60.5,23,17.96,4.67,43057.97,36796.18,91,53,23.1,21.2,2.23,29.1167,34.2,25.4,0.1637,0.249,0.142
Tirunelveli,Radhapuram,2025-03-01,30.9,23.0,25.8,10.5,10.5,0.0,18.0,30.3,55.4,22,13.29,3.22,43084.75,19642.4,99,59,23.3,21.8,1.85,27.2958,31.2,25.4,0.2144,0.275,0.166
Tirunelveli,Radhapuram,2025-03-02,32.2,23.1,26.5,5.8,5.8,0.0,14.0,20.9,40.0,30,18.8,4.06,43111.57,37032.34,97,56,23.6,22.3,2.1,28.1292,33.5,24.6,0.2772,0.291,0.261
Tirunelveli,Radhapuram,2025-03-03,33.7,22.6,27.6,0.3,0.3,0.0,3.0,22.4,42.8,30,20.79,5.13,43138.43,40690.39,98,47,23.2,20.7,2.77,29.1167,34.5,24.5,0.2608,0.286,0.242
Tirunelveli,Radhapuram,2025-03-04,34.8,24.8,28.5,0.0,0.0,0.0,0.0,20.9,39.6,27,22.33,5.87,43165.29,34112.92,84,37,23.0,18.1,3.47,30.4167,36.5,26.4,0.2302,0.242,0.217
Tirunelveli,Radhapuram,2025-03-05,35.3,23.5,28.5,0.0,0.0,0.0,0.0,13.5,30.2,36,25.57,6.21,43192.13,40747.73,94,33,24.5,16.7,3.83,31.425,38.6,26.0,0.2038,0.217,0.19
Tirunelveli,Radhapuram,2025-03-06,35.3,21.6,28.4,0.0,0.0,0.0,0.0,16.3,33.8,190,25.03,5.82,43218.94,40776.2,98,30,24.2,15.2,3.98,31.9708,39.3,25.6,0.1783,0.189,0.164
Tirunelveli,Radhapuram,2025-03-07,34.9,22.4,28.0,0.0,0.0,0.0,0.0,19.2,40.7,199,24.55,5.79,43245.69,40804.53,96,37,23.1,17.7,3.5,32.2042,39.8,26.0,0.157,0.164,0.151
Tirunelveli,Radhapuram,2025-03-08,35.2,23.0,28.8,1.2,1.2,0.0,4.0,16.0,34.9,232,22.98,5.47,43272.37,40832.61,89,35,23.4,17.7,3.68,32.4917,39.3,26.7,0.1462,0.152,0.14
