district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tirunelveli,Valliyoor,2025-02-24,35.0,24.4,28.7,0.0,0.0,0.0,0.0,28.8,54.4,29,24.65,7.59,42946.15,40095.56,86,28,22.2,13.8,4.06,31.5708,38.0,27.2,0.1367,0.148,0.126
Tirunelveli,Valliyoor,2025-02-25,33.8,24.7,28.3,1.1,1.1,0.0,6.0,29.7,54.7,15,22.7,6.9,42972.75,40511.2,73,40,21.2,18.2,3.13,30.8667,36.2,26.9,0.1527,0.157,0.147
Tirunelveli,Valliyoor,2025-02-26,33.3,24.0,27.5,4.5,4.5,0.0,16.0,31.6,58.3,15,21.04,5.68,42999.5,39024.7,84,49,22.8,20.9,2.62,29.5208,34.2,26.5,0.1681,0.192,0.158
Tirunelveli,Valliyoor,2025-02-27,33.4,24.5,28.1,4.2,4.2,0.0,9.0,32.3,58.3,18,20.48,5.83,43026.35,40235.4,92,50,23.5,20.6,2.58,30.0542,34.5,27.0,0.1603,0.173,0.146
Tirunelveli,Valliyoor,2025-02-28,31.4,23.7,26.6,8.3,8.3,0.0,21.0,30.5,56.2,15,17.91,4.54,43053.29,34065.7,91,56,22.9,21.5,2.01,28.6417,33.5,25.2,0.1758,0.215,0.151
Tirunelveli,Valliyoor,2025-03-01,30.5,23.4,25.6,17.6,17.6,0.0,20.0,27.4,50.8,13,12.75,3.0,43080.31,18628.68,96,61,23.4,21.9,1.69,26.875,30.2,25.2,0.2778,0.376,0.192
Tirunelveli,Valliyoor,2025-03-02,31.5,23.2,26.3,6.5,6.5,0.0,17.0,19.9,38.2,17,17.79,3.76,43107.37,35669.56,98,59,23.6,22.4,1.88,27.5292,32.2,24.5,0.2805,0.298,0.272
Tirunelveli,Valliyoor,2025-03-03,33.3,22.8,27.5,0.2,0.2,0.0,2.0,22.2,42.1,23,20.99,5.03,43134.46,40685.98,98,49,23.2,20.8,2.63,28.6667,33.8,24.4,0.2597,0.281,0.244
Tirunelveli,Valliyoor,2025-03-04,34.5,24.5,28.4,0.0,0.0,0.0,0.0,19.6,38.2,18,22.78,5.8,43161.55,33713.72,84,39,23.0,18.1,3.32,29.85,35.5,26.0,0.2346,0.245,0.223
Tirunelveli,Valliyoor,2025-03-05,35.4,23.1,28.5,0.0,0.0,0.0,0.0,13.4,29.9,21,25.92,6.34,43188.63,40743.78,95,27,24.1,13.2,4.14,30.5333,37.0,25.5,0.2075,0.223,0.195
Tirunelveli,Valliyoor,2025-03-06,35.2,21.6,28.2,0.0,0.0,0.0,0.0,15.7,33.5,64,25.4,5.92,43215.66,40772.49,96,30,23.5,14.9,3.94,30.7333,37.5,24.8,0.18,0.195,0.165
