district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Arani,2025-02-24,35.7,21.4,27.9,0.0,0.0,0.0,0.0,22.6,43.6,52,22.56,6.38,42595.15,38354.09,93,23,22.6,10.9,4.51,31.625,39.7,25.5,0.1244,0.147,0.112
Tiruvannamalai,Arani,2025-02-25,35.4,23.2,28.1,0.0,0.0,0.0,0.0,21.8,43.6,38,22.83,6.46,42636.3,39871.3,98,27,23.0,12.6,4.14,31.4208,38.4,26.6,0.1226,0.138,0.113
Tiruvannamalai,Arani,2025-02-26,35.0,22.5,27.8,0.0,0.0,0.0,0.0,23.8,45.0,38,23.52,6.47,42677.64,39904.82,92,27,21.8,12.8,4.02,31.0458,38.1,25.9,0.1283,0.137,0.119
Tiruvannamalai,Arani,2025-02-27,34.7,21.5,27.4,0.0,0.0,0.0,0.0,21.3,40.0,35,24.01,6.29,42719.15,39601.89,95,30,22.2,13.2,3.87,31.0292,38.5,25.1,0.1262,0.135,0.117
Tiruvannamalai,Arani,2025-02-28,34.0,22.0,27.8,0.0,0.0,0.0,0.0,16.6,33.8,45,22.49,5.68,42760.79,39613.72,92,37,22.2,16.9,3.32,30.6667,36.8,25.5,0.1443,0.153,0.133
Tiruvannamalai,Arani,2025-03-01,34.0,23.4,27.9,3.8,3.8,0.0,11.0,15.8,30.6,75,21.46,5.24,42802.52,37937.21,96,43,23.2,19.8,3.02,30.7208,37.3,25.5,0.1407,0.17,0.128
Tiruvannamalai,Arani,2025-03-02,36.2,23.5,29.1,0.1,0.1,0.0,1.0,18.2,31.3,94,22.37,5.65,42844.32,39250.91,97,31,23.6,16.0,4.14,32.2208,40.0,26.5,0.1379,0.145,0.13
Tiruvannamalai,Arani,2025-03-03,37.8,24.2,29.5,0.0,0.0,0.0,0.0,17.5,31.3,120,23.1,5.84,42886.14,38296.3,94,18,23.5,9.2,5.21,33.0333,41.2,27.3,0.1379,0.145,0.13
Tiruvannamalai,Arani,2025-03-04,37.9,21.9,29.1,0.0,0.0,0.0,0.0,20.4,36.4,123,24.38,6.31,42927.97,39658.79,100,21,22.8,11.9,5.2,32.6083,41.0,25.8,0.1397,0.152,0.127
Tiruvannamalai,Arani,2025-03-05,38.2,22.2,29.0,0.0,0.0,0.0,0.0,16.1,30.6,148,23.73,5.94,42969.77,39443.63,98,17,22.2,8.8,5.58,32.25,40.5,26.0,0.1509,0.168,0.136
Tiruvannamalai,Arani,2025-03-06,38.0,20.7,29.0,0.0,0.0,0.0,0.0,17.7,33.5,80,24.76,6.33,43011.49,40533.28,88,18,20.7,8.0,5.37,32.3375,41.0,25.2,0.1537,0.167,0.138
Tiruvannamalai,Arani,2025-03-07,37.8,21.0,28.4,0.0,0.0,0.0,0.0,21.1,36.7,93,25.82,6.37,43053.11,40576.59,88,12,20.6,2.4,5.77,32.0833,41.3,24.6,0.1413,0.155,0.131
Tiruvannamalai,Arani,2025-03-08,36.8,21.7,28.3,0.0,0.0,0.0,0.0,17.2,30.6,164,25.4,6.19,43094.62,40619.61,84,21,20.5,10.6,4.91,32.4167,41.7,25.2,0.1214,0.136,0.115
Tiruvannamalai,Arani,2025-03-09,36.0,20.7,27.5,0.0,0.0,0.0,0.0,20.5,40.0,110,25.11,6.28,43136.31,40520.42,89,27,20.9,14.1,4.34,31.6375,39.7,24.8,0.1295,0.141,0.119
Tiruvannamalai,Arani,2025-03-10,35.8,21.5,28.2,0.0,0.0,0.0,0.0,21.2,38.9,49,23.07,6.33,43178.27,40019.95,95,28,21.0,14.1,4.23,31.9875,39.8,25.4,0.1238,0.14,0.117
Tiruvannamalai,Arani,2025-03-11,31.9,23.4,26.0,13.2,13.2,0.0,13.0,21.3,41.4,44,12.27,3.17,43220.47,19830.35,96,55,23.7,20.2,2.14,28.7375,32.7,26.3,0.1913,0.391,0.106
Tiruvannamalai,Arani,2025-03-12,32.4,23.0,27.0,1.9,1.9,0.0,5.0,15.0,31.7,86,17.77,4.02,43262.88,35899.75,98,54,23.4,21.9,2.24,28.8417,33.1,25.2,0.3181,0.345,0.294
Tiruvannamalai,Arani,2025-03-13,36.3,22.5,28.2,0.0,0.0,0.0,0.0,18.5,31.3,119,22.8,5.45,43305.47,39257.29,100,30,23.8,15.6,4.23,30.4292,36.5,25.5,0.283,0.314,0.257
Tiruvannamalai,Arani,2025-03-14,36.2,21.0,27.9,0.0,0.0,0.0,0.0,16.6,29.9,155,25.43,6.03,43348.21,40710.62,97,30,22.5,15.4,4.18,30.375,36.9,24.6,0.243,0.26,0.222
Tiruvannamalai,Arani,2025-03-15,35.5,22.5,28.3,0.0,0.0,0.0,0.0,14.9,27.7,178,25.77,6.09,43391.08,40865.55,97,27,23.0,13.7,4.2,30.6917,36.8,26.5,0.2205,0.232,0.204
Tiruvannamalai,Arani,2025-03-16,34.5,22.5,28.2,0.1,0.1,0.0,1.0,17.1,31.0,160,23.22,5.51,43434.03,40211.74,92,43,23.5,19.6,3.09,30.8125,36.8,25.3,0.1998,0.211,0.187
Tiruvannamalai,Arani,2025-03-17,36.4,24.0,29.5,0.0,0.0,0.0,0.0,18.2,33.1,170,23.53,5.81,43477.06,40598.34,95,33,24.2,17.4,4.03,31.9375,38.2,26.6,0.1793,0.192,0.164
Tiruvannamalai,Arani,2025-03-18,36.8,25.0,29.8,0.2,0.2,0.0,2.0,19.1,34.9,164,23.56,6.05,43520.13,38748.84,94,32,24.5,17.2,4.24,32.5917,38.9,28.0,0.163,0.177,0.151
Tiruvannamalai,Arani,2025-03-19,35.9,24.4,29.4,0.0,0.0,0.0,0.0,17.8,33.1,157,23.01,5.91,43563.2,40794.32,96,36,24.7,18.4,3.79,32.45,38.7,27.9,0.1506,0.157,0.141
Tiruvannamalai,Arani,2025-03-20,36.9,25.1,29.8,0.1,0.1,0.0,1.0,20.4,38.2,148,24.43,6.53,43606.25,39345.62,98,26,24.8,13.9,4.55,32.9083,40.2,27.8,0.1378,0.153,0.127
Tiruvannamalai,Arani,2025-03-21,36.2,24.2,29.3,1.0,1.0,0.0,5.0,17.6,32.8,144,21.77,5.7,43649.25,40990.94,95,33,24.5,17.4,3.98,32.4333,38.8,27.4,0.142,0.151,0.136
Tiruvannamalai,Arani,2025-03-22,35.5,25.0,29.5,1.3,1.3,0.0,3.0,18.4,44.3,150,19.97,5.27,43692.18,37730.1,95,40,24.2,19.5,3.45,32.9542,40.7,28.0,0.1318,0.16,0.112
Tiruvannamalai,Arani,2025-03-23,35.0,24.9,29.5,1.5,1.5,0.0,6.0,18.2,34.6,136,18.31,4.93,43735.0,34920.74,96,39,24.6,18.7,3.43,32.1375,37.8,27.8,0.1502,0.159,0.133
Tiruvannamalai,Arani,2025-03-24,36.2,25.6,30.0,0.7,0.7,0.0,2.0,18.8,33.8,113,21.61,5.52,43777.68,39245.24,89,36,23.9,18.6,3.85,33.7125,40.8,28.0,0.1268,0.133,0.121
Tiruvannamalai,Arani,2025-03-25,38.2,23.0,29.9,0.0,0.0,0.0,0.0,22.7,41.8,121,24.99,6.52,43820.2,37562.78,100,21,23.8,12.4,5.27,34.2333,42.9,27.4,0.1292,0.145,0.119
Tiruvannamalai,Arani,2025-03-26,37.6,23.8,29.7,0.0,0.0,0.0,0.0,18.4,32.4,156,24.9,6.52,43862.52,40415.04,92,24,23.1,13.3,4.96,33.7125,41.8,27.5,0.1393,0.144,0.13
Tiruvannamalai,Arani,2025-03-27,39.1,22.4,30.3,0.0,0.0,0.0,0.0,14.3,27.4,184,25.93,6.45,43904.61,41346.31,94,16,22.4,9.1,5.87,33.9333,43.0,26.6,0.1375,0.153,0.124
Tiruvannamalai,Arani,2025-03-28,39.5,23.6,31.1,0.0,0.0,0.0,0.0,16.7,31.0,172,25.77,7.0,43946.47,40684.46,88,19,23.1,11.1,5.82,34.4625,43.2,27.1,0.1403,0.151,0.127
Tiruvannamalai,Arani,2025-03-29,39.8,23.4,30.8,0.0,0.0,0.0,0.0,18.7,37.4,167,26.41,7.6,43988.36,41518.22,81,16,21.0,8.9,6.16,34.7917,44.0,27.0,0.125,0.146,0.116
Tiruvannamalai,Arani,2025-03-30,37.8,21.0,29.5,0.0,0.0,0.0,0.0,16.3,34.9,159,26.38,7.48,44030.36,41559.11,88,17,22.9,8.2,5.44,33.8,42.8,25.8,0.1195,0.136,0.111
Tiruvannamalai,Arani,2025-03-31,36.1,23.0,28.9,0.0,0.0,0.0,0.0,18.2,31.7,146,24.18,6.29,44072.46,41150.44,97,30,22.8,15.6,4.2,33.7542,41.9,27.0,0.1212,0.135,0.112
Tiruvannamalai,Arani,2025-04-01,35.7,23.0,29.1,0.0,0.0,0.0,0.0,20.7,41.0,157,22.6,5.89,44114.62,40933.94,91,27,22.2,13.2,4.22,33.775,41.6,27.0,0.1162,0.139,0.101
Tiruvannamalai,Arani,2025-04-02,36.6,24.5,30.1,0.0,0.0,0.0,0.0,19.6,34.9,155,24.1,6.42,44156.82,40348.2,84,34,24.0,18.2,4.03,34.1583,41.6,28.0,0.1295,0.138,0.123
Tiruvannamalai,Arani,2025-04-03,35.0,24.8,28.7,2.2,2.2,0.0,6.0,17.8,36.4,158,20.73,5.08,44199.02,33431.84,91,43,24.2,20.5,3.17,32.4625,39.3,27.7,0.1532,0.18,0.125
Tiruvannamalai,Arani,2025-04-04,34.9,24.9,28.7,4.0,4.0,0.0,6.0,18.1,45.4,75,19.78,4.74,44241.21,36892.82,89,42,24.6,19.8,3.25,31.7667,38.2,27.8,0.1768,0.195,0.161
Tiruvannamalai,Arani,2025-04-05,36.2,24.0,29.2,6.4,6.4,0.0,6.0,17.9,41.0,172,19.73,4.63,44283.34,30398.03,96,39,24.0,19.7,3.63,32.1,39.9,26.4,0.1817,0.242,0.164
Tiruvannamalai,Arani,2025-04-06,37.7,25.1,30.5,0.3,0.3,0.0,1.0,20.8,39.6,135,19.49,5.13,44325.41,36161.18,91,30,23.9,16.8,4.4,33.4042,40.3,28.0,0.156,0.168,0.148
Tiruvannamalai,Arani,2025-04-07,39.8,25.4,31.1,0.1,0.1,0.0,1.0,22.3,44.6,105,24.43,6.64,44367.36,40585.59,88,20,24.3,12.7,5.81,34.6417,42.5,28.4,0.1408,0.149,0.131
Tiruvannamalai,Arani,2025-04-08,38.9,26.1,31.4,0.0,0.0,0.0,0.0,20.7,40.7,54,23.86,6.94,44409.19,41176.03,90,22,24.4,12.9,5.43,34.7833,41.7,29.4,0.1398,0.143,0.132
Tiruvannamalai,Arani,2025-04-09,38.9,23.9,30.8,0.2,0.2,0.0,1.0,21.3,39.2,67,23.99,6.59,44450.86,41177.4,91,22,23.6,13.2,5.41,34.6125,42.0,28.1,0.1344,0.142,0.126
Tiruvannamalai,Arani,2025-04-10,40.0,24.8,31.8,0.0,0.0,0.0,0.0,15.0,28.8,196,21.99,5.96,44492.32,35617.11,94,21,24.3,13.5,5.74,35.3167,43.5,28.5,0.1317,0.147,0.12
Tiruvannamalai,Arani,2025-04-11,40.3,26.0,32.4,0.0,0.0,0.0,0.0,12.2,31.7,191,23.66,6.15,44533.57,40706.94,76,22,23.4,14.4,5.86,35.7208,44.2,29.2,0.141,0.161,0.125
Tiruvannamalai,Arani,2025-04-12,40.6,25.8,32.9,0.0,0.0,0.0,0.0,11.8,27.0,270,23.24,6.32,44574.57,38714.53,86,19,24.0,12.4,6.09,35.25,42.5,29.6,0.1559,0.16,0.144
Tiruvannamalai,Arani,2025-04-13,39.2,26.8,32.1,0.0,0.0,0.0,0.0,13.9,34.2,72,18.85,5.25,44615.29,32489.78,78,24,24.4,14.6,5.35,34.8083,41.5,29.9,0.1449,0.158,0.131
Tiruvannamalai,Arani,2025-04-14,37.7,25.5,30.0,7.1,7.1,0.0,2.0,27.5,51.1,166,22.69,5.45,44655.69,36000.0,90,35,24.9,19.7,4.19,34.2792,41.3,29.5,0.1932,0.334,0.133
Tiruvannamalai,Arani,2025-04-15,36.8,25.5,30.2,0.0,0.0,0.0,0.0,17.7,31.0,166,22.44,5.68,44695.74,31859.48,84,35,24.7,18.4,4.01,32.9708,38.7,29.0,0.2925,0.32,0.271
Tiruvannamalai,Arani,2025-04-16,36.3,26.2,30.0,0.0,0.0,0.0,0.0,20.1,40.7,180,22.74,5.53,44735.42,40593.12,92,41,24.8,21.0,3.56,32.9458,38.4,29.1,0.2495,0.271,0.232
Tiruvannamalai,Arani,2025-04-17,36.5,26.1,30.9,0.0,0.0,0.0,0.0,19.7,35.3,172,24.22,5.98,44774.7,40594.12,87,38,24.8,20.0,3.76,33.475,39.0,28.9,0.2195,0.236,0.203
Tiruvannamalai,Arani,2025-04-18,37.7,26.3,31.4,0.0,0.0,0.0,0.0,16.8,32.4,184,23.63,6.06,44813.84,40355.8,89,33,24.9,18.6,4.35,33.8333,39.7,29.1,0.1972,0.21,0.181
