district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Chengam,2025-02-24,33.1,19.3,26.0,0.0,0.0,0.0,0.0,17.5,36.0,59,24.16,5.94,42623.76,38851.77,82,26,19.7,10.6,3.67,27.4708,33.6,21.8,0.157,0.167,0.145
Tiruvannamalai,Chengam,2025-02-25,32.5,20.2,25.9,0.0,0.0,0.0,0.0,17.0,35.6,40,21.34,5.53,42663.72,36569.41,94,32,20.0,12.6,3.28,27.4583,32.9,23.0,0.155,0.171,0.14
Tiruvannamalai,Chengam,2025-02-26,32.6,20.5,26.1,0.0,0.0,0.0,0.0,19.1,38.5,38,23.46,5.92,42703.87,39721.42,86,36,19.1,13.8,3.12,27.6417,33.1,23.0,0.1608,0.171,0.151
Tiruvannamalai,Chengam,2025-02-27,32.2,19.4,25.6,0.0,0.0,0.0,0.0,14.8,32.8,35,24.66,5.74,42744.18,40101.84,89,34,19.4,14.4,3.15,27.65,33.7,22.3,0.1489,0.163,0.142
Tiruvannamalai,Chengam,2025-02-28,32.0,19.6,26.0,0.2,0.2,0.0,2.0,16.3,34.6,56,22.5,5.25,42784.62,39205.42,93,44,22.1,17.9,2.67,27.9625,33.4,22.9,0.141,0.145,0.135
Tiruvannamalai,Chengam,2025-03-01,31.7,22.5,26.5,1.7,1.7,0.0,12.0,14.6,33.1,69,20.63,4.68,42825.15,37889.27,96,51,22.4,19.9,2.29,28.2917,33.5,24.3,0.1308,0.144,0.121
Tiruvannamalai,Chengam,2025-03-02,33.8,21.9,27.2,0.2,0.2,0.0,2.0,10.9,24.5,57,22.27,5.14,42865.74,40054.9,97,38,22.0,17.0,3.23,29.2792,35.6,24.2,0.1311,0.137,0.125
Tiruvannamalai,Chengam,2025-03-03,35.0,20.1,27.4,0.0,0.0,0.0,0.0,17.2,34.9,51,21.85,5.2,42906.36,38923.36,100,25,21.9,11.4,4.22,29.6458,36.1,24.3,0.1375,0.144,0.132
Tiruvannamalai,Chengam,2025-03-04,35.8,21.5,27.9,0.0,0.0,0.0,0.0,16.4,35.6,66,24.83,5.92,42946.98,40468.52,86,22,20.0,10.9,4.59,29.5292,36.7,23.6,0.1471,0.154,0.14
Tiruvannamalai,Chengam,2025-03-05,36.0,21.5,28.1,0.0,0.0,0.0,0.0,14.4,31.7,62,23.65,5.51,42987.57,39370.29,74,20,19.0,9.3,4.77,29.1333,36.2,23.5,0.1495,0.157,0.139
Tiruvannamalai,Chengam,2025-03-06,35.0,22.0,28.1,0.0,0.0,0.0,0.0,15.1,32.4,68,24.66,6.01,43028.09,40553.29,77,25,19.3,11.9,4.21,29.0542,35.7,23.1,0.1574,0.164,0.149
Tiruvannamalai,Chengam,2025-03-07,34.2,20.9,26.7,0.0,0.0,0.0,0.0,12.7,27.0,28,26.02,5.89,43068.52,40595.4,84,18,19.2,6.5,4.42,28.4708,35.2,23.1,0.1635,0.168,0.156
Tiruvannamalai,Chengam,2025-03-08,34.5,20.1,26.5,0.0,0.0,0.0,0.0,13.8,29.5,35,25.59,5.61,43108.84,40637.21,73,26,18.2,11.8,4.07,28.2917,35.9,22.1,0.1512,0.165,0.14
