district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Kalasapakkam,2025-02-24,32.5,19.1,25.7,0.0,0.0,0.0,0.0,17.2,41.4,58,24.4,5.81,42612.32,39319.89,89,30,20.4,12.1,3.43,26.6292,32.4,21.3,0.16,0.172,0.152
Tiruvannamalai,Kalasapakkam,2025-02-25,32.4,20.5,25.7,0.0,0.0,0.0,0.0,16.5,40.7,41,22.28,5.49,42652.76,37083.03,98,36,21.4,13.2,3.12,26.9292,32.0,22.8,0.1561,0.167,0.148
Tiruvannamalai,Kalasapakkam,2025-02-26,32.1,21.0,25.9,0.0,0.0,0.0,0.0,18.1,43.9,40,23.97,5.75,42693.39,39957.91,91,36,20.6,14.2,2.94,27.2208,32.3,23.0,0.1585,0.167,0.151
Tiruvannamalai,Kalasapakkam,2025-02-27,31.7,20.0,25.5,0.0,0.0,0.0,0.0,14.7,38.2,36,24.85,5.71,42734.17,40243.46,95,37,20.4,15.1,2.92,27.1042,32.5,22.3,0.1454,0.154,0.131
Tiruvannamalai,Kalasapakkam,2025-02-28,31.4,20.1,25.9,0.0,0.0,0.0,0.0,14.1,36.7,49,23.33,5.23,42775.09,39446.61,95,47,22.4,18.1,2.4,27.4125,32.5,22.7,0.1402,0.15,0.131
Tiruvannamalai,Kalasapakkam,2025-03-01,30.8,22.8,26.3,1.4,1.4,0.0,10.0,13.5,35.6,68,21.17,4.58,42816.1,37834.44,98,57,22.6,20.7,1.89,27.75,32.3,24.6,0.1374,0.149,0.128
Tiruvannamalai,Kalasapakkam,2025-03-02,32.5,22.3,26.8,0.0,0.0,0.0,0.0,10.3,26.3,69,22.98,5.01,42857.18,39411.53,99,44,22.5,18.4,2.74,28.4667,34.0,24.3,0.1474,0.157,0.138
Tiruvannamalai,Kalasapakkam,2025-03-03,34.2,20.3,27.1,0.0,0.0,0.0,0.0,12.8,33.5,80,22.73,5.09,42898.28,39566.3,100,32,22.4,15.1,3.65,28.375,34.1,23.8,0.1536,0.157,0.147
Tiruvannamalai,Kalasapakkam,2025-03-04,34.7,21.6,27.7,0.0,0.0,0.0,0.0,12.4,33.8,71,25.06,5.75,42939.38,39475.42,87,27,20.6,12.7,3.94,28.3,34.5,23.0,0.1565,0.166,0.147
Tiruvannamalai,Kalasapakkam,2025-03-05,34.9,21.5,28.1,0.0,0.0,0.0,0.0,9.4,26.6,80,24.21,5.42,42980.45,40502.51,80,23,19.3,9.8,4.22,27.85,34.0,22.7,0.1641,0.174,0.152
Tiruvannamalai,Kalasapakkam,2025-03-06,35.2,22.5,28.3,0.0,0.0,0.0,0.0,14.1,37.1,60,24.8,5.93,43021.45,40545.3,80,26,20.2,11.6,4.18,28.1625,34.1,23.0,0.1676,0.177,0.154
Tiruvannamalai,Kalasapakkam,2025-03-07,33.7,21.1,26.7,0.0,0.0,0.0,0.0,12.1,30.2,77,26.28,5.91,43062.36,40587.89,82,21,19.9,7.8,4.13,27.2792,33.2,22.4,0.178,0.184,0.169
Tiruvannamalai,Kalasapakkam,2025-03-08,33.7,19.5,26.3,0.0,0.0,0.0,0.0,11.2,29.9,111,25.78,5.59,43103.16,40630.18,75,29,17.8,12.0,3.71,26.8333,33.3,21.4,0.1666,0.182,0.152
Tiruvannamalai,Kalasapakkam,2025-03-09,32.8,20.5,26.0,0.0,0.0,0.0,0.0,14.2,34.6,90,26.0,5.74,43144.13,40672.34,91,35,20.8,13.8,3.08,27.0125,33.2,21.2,0.1529,0.171,0.141
Tiruvannamalai,Kalasapakkam,2025-03-10,32.3,19.9,25.9,0.0,0.0,0.0,0.0,12.5,34.2,59,24.55,5.52,43185.36,40714.68,96,40,21.1,16.4,2.89,27.4083,32.8,22.4,0.1552,0.16,0.15
Tiruvannamalai,Kalasapakkam,2025-03-11,28.5,21.3,24.1,9.6,9.6,0.0,13.0,18.1,45.0,38,14.54,2.9,43226.83,23762.74,99,70,23.8,20.4,1.1,25.8833,29.5,23.7,0.2003,0.258,0.16
Tiruvannamalai,Kalasapakkam,2025-03-12,30.5,22.0,25.4,1.8,1.8,0.0,4.0,15.1,40.3,77,19.61,4.02,43268.51,35983.5,98,62,23.6,21.6,1.64,26.3625,30.4,23.0,0.2634,0.279,0.251
Tiruvannamalai,Kalasapakkam,2025-03-13,33.6,22.1,27.3,0.0,0.0,0.0,0.0,11.7,30.6,87,24.56,5.44,43310.36,40842.44,96,37,23.5,16.8,3.28,27.5083,33.0,22.8,0.2583,0.276,0.242
Tiruvannamalai,Kalasapakkam,2025-03-14,34.5,21.0,27.5,0.0,0.0,0.0,0.0,10.5,28.1,122,26.25,5.83,43352.37,40885.19,87,27,21.4,12.5,4.01,27.5375,33.4,22.0,0.2371,0.248,0.223
Tiruvannamalai,Kalasapakkam,2025-03-15,33.9,21.0,26.9,0.0,0.0,0.0,0.0,10.7,28.1,137,26.52,5.84,43394.5,40927.96,100,27,22.4,12.2,3.77,27.5792,33.4,23.1,0.2238,0.232,0.21
Tiruvannamalai,Kalasapakkam,2025-03-16,32.5,21.4,26.9,0.4,0.4,0.0,2.0,11.0,28.4,136,23.88,5.23,43436.72,40970.73,90,49,22.4,18.9,2.46,27.8542,33.2,22.5,0.2041,0.222,0.194
Tiruvannamalai,Kalasapakkam,2025-03-17,35.2,22.9,28.6,0.0,0.0,0.0,0.0,8.5,25.2,147,23.56,5.3,43479.01,40641.04,98,35,23.7,17.6,3.68,29.2667,34.8,25.4,0.1908,0.2,0.176
Tiruvannamalai,Kalasapakkam,2025-03-18,34.7,23.2,28.0,0.1,0.1,0.0,1.0,13.2,33.1,145,23.56,5.43,43521.33,41056.13,99,38,24.3,18.5,3.39,29.2542,34.4,25.0,0.1956,0.2,0.183
Tiruvannamalai,Kalasapakkam,2025-03-19,32.9,22.7,27.3,1.1,1.1,0.0,9.0,12.1,31.3,147,23.0,5.17,43563.66,37611.01,100,47,24.0,19.4,2.62,28.8083,33.2,24.9,0.2015,0.205,0.197
Tiruvannamalai,Kalasapakkam,2025-03-20,34.1,23.8,27.8,0.5,0.5,0.0,5.0,13.3,34.2,126,25.1,5.74,43605.98,39943.61,100,37,24.4,17.1,3.33,29.0208,34.0,25.5,0.2006,0.209,0.188
Tiruvannamalai,Kalasapakkam,2025-03-21,32.7,22.9,27.1,2.3,2.3,0.0,4.0,10.7,29.9,130,21.77,4.77,43648.24,39658.9,100,49,24.2,18.9,2.47,28.425,32.9,24.7,0.2034,0.208,0.194
Tiruvannamalai,Kalasapakkam,2025-03-22,33.3,22.7,26.9,2.3,2.3,0.0,7.0,11.8,31.3,145,21.09,4.54,43690.43,38187.2,100,51,23.7,21.1,2.5,28.4625,33.4,24.6,0.2104,0.232,0.194
Tiruvannamalai,Kalasapakkam,2025-03-23,32.3,23.6,27.2,0.6,0.6,0.0,5.0,14.2,34.9,127,16.6,3.81,43732.52,34540.07,99,50,23.6,19.8,2.39,28.3667,31.9,25.0,0.2276,0.234,0.219
Tiruvannamalai,Kalasapakkam,2025-03-24,32.9,23.2,27.6,0.7,0.7,0.0,5.0,12.1,32.8,98,24.37,5.42,43774.47,38540.53,99,39,24.1,16.9,3.03,29.0375,33.6,25.0,0.2183,0.229,0.209
Tiruvannamalai,Kalasapakkam,2025-03-25,34.3,23.1,27.9,0.2,0.2,0.0,2.0,9.6,25.9,95,26.1,5.83,43816.26,39799.11,100,29,24.2,13.2,3.81,29.1,34.0,25.2,0.2158,0.222,0.204
Tiruvannamalai,Kalasapakkam,2025-03-26,34.6,21.3,27.4,0.0,0.0,0.0,0.0,10.6,27.0,109,26.41,5.88,43857.86,41391.92,96,28,21.7,13.1,3.95,28.2833,33.8,23.3,0.2181,0.223,0.206
Tiruvannamalai,Kalasapakkam,2025-03-27,35.2,22.0,28.1,0.0,0.0,0.0,0.0,12.9,33.8,163,24.68,5.59,43899.23,41432.77,90,32,22.1,15.2,3.85,28.3125,33.6,23.5,0.2234,0.24,0.207
Tiruvannamalai,Kalasapakkam,2025-03-28,35.5,23.5,29.2,0.0,0.0,0.0,0.0,11.1,28.8,109,26.25,6.06,43940.37,41311.27,80,29,21.1,14.1,4.12,28.625,34.0,23.8,0.238,0.243,0.225
Tiruvannamalai,Kalasapakkam,2025-03-29,35.8,23.7,29.1,0.0,0.0,0.0,0.0,9.9,26.6,134,26.95,6.15,43981.54,41513.39,71,24,19.1,12.1,4.43,28.5042,34.0,23.7,0.2377,0.244,0.226
Tiruvannamalai,Kalasapakkam,2025-03-30,34.6,22.7,28.1,0.0,0.0,0.0,0.0,12.8,33.5,131,26.85,6.24,44022.83,41553.56,69,22,18.1,9.7,4.25,27.5375,33.0,22.3,0.2388,0.246,0.226
Tiruvannamalai,Kalasapakkam,2025-03-31,33.0,21.5,26.6,0.0,0.0,0.0,0.0,11.5,30.6,121,25.21,5.46,44064.21,41187.27,96,37,22.8,16.5,3.14,27.525,32.7,22.6,0.2435,0.252,0.23
Tiruvannamalai,Kalasapakkam,2025-04-01,32.1,21.6,26.6,0.0,0.0,0.0,0.0,9.7,24.8,114,24.55,5.31,44105.64,40747.23,96,40,21.6,16.7,2.86,27.8208,32.4,23.5,0.2583,0.283,0.24
Tiruvannamalai,Kalasapakkam,2025-04-02,33.5,23.3,27.5,0.6,0.6,0.0,3.0,13.9,36.0,155,24.92,5.58,44147.12,40546.1,99,43,24.0,19.0,2.95,28.4042,32.9,24.6,0.2904,0.302,0.281
Tiruvannamalai,Kalasapakkam,2025-04-03,32.1,23.7,26.7,1.2,1.2,0.0,7.0,14.0,34.6,152,21.6,4.65,44188.6,30953.0,100,57,24.1,21.6,2.05,28.1958,32.7,25.2,0.3133,0.349,0.293
Tiruvannamalai,Kalasapakkam,2025-04-04,32.2,23.5,26.6,15.3,15.3,0.0,8.0,11.2,31.7,45,17.72,3.9,44230.07,36556.33,97,54,23.9,21.4,2.16,27.8875,31.5,25.1,0.3381,0.403,0.313
Tiruvannamalai,Kalasapakkam,2025-04-05,33.4,23.1,27.4,0.8,0.8,0.0,4.0,8.3,23.8,94,21.68,4.71,44271.48,36094.16,98,49,24.3,21.4,2.59,28.2625,32.9,24.4,0.3521,0.387,0.333
Tiruvannamalai,Kalasapakkam,2025-04-06,34.9,23.9,28.5,0.0,0.0,0.0,0.0,12.0,30.6,89,20.57,4.76,44312.83,30017.14,94,42,23.7,19.2,3.1,28.8875,33.4,25.3,0.337,0.356,0.328
Tiruvannamalai,Kalasapakkam,2025-04-07,34.7,23.0,28.5,0.0,0.0,0.0,0.0,13.9,34.2,86,25.02,5.81,44354.07,41545.78,95,35,23.5,17.0,3.59,29.1583,33.5,25.1,0.3185,0.329,0.303
Tiruvannamalai,Kalasapakkam,2025-04-08,35.0,21.6,28.3,0.0,0.0,0.0,0.0,14.2,36.4,64,25.11,5.88,44395.18,41306.63,100,33,23.9,15.2,3.78,29.0375,33.4,25.0,0.2997,0.315,0.284
Tiruvannamalai,Kalasapakkam,2025-04-09,34.8,21.3,27.9,0.1,0.1,0.0,1.0,12.6,31.7,58,24.74,5.75,44436.14,41187.58,94,34,23.0,16.4,3.68,28.7583,33.3,24.3,0.283,0.294,0.266
Tiruvannamalai,Kalasapakkam,2025-04-10,36.8,23.1,29.4,0.0,0.0,0.0,0.0,9.1,25.9,244,21.82,5.18,44476.91,38322.97,98,29,23.9,15.6,4.42,29.3333,34.2,24.9,0.283,0.293,0.268
Tiruvannamalai,Kalasapakkam,2025-04-11,36.8,23.8,29.6,0.4,0.4,0.0,2.0,10.3,27.7,294,23.69,5.62,44517.45,41190.38,76,36,22.0,16.1,3.99,29.8875,34.9,25.8,0.2914,0.317,0.271
Tiruvannamalai,Kalasapakkam,2025-04-12,37.3,23.4,29.5,0.0,0.0,0.0,0.0,11.0,28.8,296,24.22,5.76,44557.75,41071.05,85,32,22.1,17.2,4.33,29.9792,34.8,26.0,0.3059,0.317,0.29
Tiruvannamalai,Kalasapakkam,2025-04-13,34.7,25.1,29.5,0.1,0.1,0.0,1.0,11.7,29.2,42,21.54,5.16,44597.77,34698.25,73,37,21.4,17.5,3.48,29.7167,33.7,26.5,0.2983,0.305,0.284
Tiruvannamalai,Kalasapakkam,2025-04-14,34.8,24.4,28.5,0.2,0.2,0.0,1.0,17.5,51.5,51,23.92,5.32,44637.48,36171.33,88,40,23.6,19.0,3.33,29.6792,34.3,25.8,0.3008,0.307,0.288
Tiruvannamalai,Kalasapakkam,2025-04-15,34.2,23.8,28.6,0.1,0.1,0.0,1.0,9.9,29.9,130,21.73,4.98,44676.86,40019.62,95,41,24.8,18.9,3.1,29.4792,33.4,25.8,0.2939,0.308,0.282
Tiruvannamalai,Kalasapakkam,2025-04-16,33.6,24.5,28.2,0.6,0.6,0.0,3.0,9.6,27.4,179,22.5,4.88,44715.86,41441.88,99,53,24.5,22.5,2.45,29.475,33.2,26.3,0.292,0.307,0.28
Tiruvannamalai,Kalasapakkam,2025-04-17,34.6,24.9,29.0,0.0,0.0,0.0,0.0,8.1,24.8,168,22.84,5.1,44754.46,40226.96,95,48,24.3,20.7,2.86,29.8417,33.9,26.7,0.3102,0.317,0.299
Tiruvannamalai,Kalasapakkam,2025-04-18,34.9,24.8,29.0,0.1,0.1,0.0,1.0,12.1,29.5,215,23.21,5.14,44792.94,41202.8,92,48,24.6,21.2,2.92,29.9,34.2,26.4,0.3153,0.332,0.297
Tiruvannamalai,Kalasapakkam,2025-04-19,35.9,24.7,30.0,0.0,0.0,0.0,0.0,9.0,22.3,176,20.85,4.73,44831.37,40716.26,93,39,24.3,19.7,3.6,30.1167,34.2,26.4,0.3231,0.331,0.307
Tiruvannamalai,Kalasapakkam,2025-04-20,35.8,24.9,30.3,0.0,0.0,0.0,0.0,10.2,28.1,131,24.38,5.61,44869.71,41574.13,93,39,25.3,19.3,3.55,30.4833,34.6,26.7,0.3213,0.328,0.303
Tiruvannamalai,Kalasapakkam,2025-04-21,34.7,25.1,29.5,0.0,0.0,0.0,0.0,10.3,28.1,104,24.93,5.63,44907.94,41577.03,95,39,25.5,18.2,3.38,30.0917,34.3,26.6,0.3225,0.33,0.308
Tiruvannamalai,Kalasapakkam,2025-04-22,34.1,23.5,28.6,0.0,0.0,0.0,0.0,9.3,24.5,151,25.09,5.56,44946.04,41580.02,92,40,24.1,18.7,3.19,29.3958,33.7,25.2,0.3293,0.336,0.318
Tiruvannamalai,Kalasapakkam,2025-04-23,35.1,23.4,29.0,0.0,0.0,0.0,0.0,9.5,27.0,145,25.7,5.79,44983.96,41706.16,90,34,24.0,16.8,3.72,29.5917,34.0,25.3,0.3347,0.341,0.323
Tiruvannamalai,Kalasapakkam,2025-04-24,35.3,24.3,29.5,0.0,0.0,0.0,0.0,9.3,26.6,114,24.99,5.67,45021.7,41709.57,94,34,24.8,17.3,3.75,29.9292,34.2,25.9,0.3339,0.34,0.32
Tiruvannamalai,Kalasapakkam,2025-04-25,35.1,24.8,29.6,0.1,0.1,0.0,1.0,7.7,22.0,136,24.93,5.62,45059.2,41713.05,97,43,25.8,19.8,3.23,30.225,34.4,26.4,0.3312,0.34,0.321
Tiruvannamalai,Kalasapakkam,2025-04-26,34.9,25.1,29.3,0.3,0.3,0.0,2.0,11.7,28.8,134,24.57,5.59,45096.44,41468.9,97,41,25.9,19.6,3.26,30.1792,34.2,26.6,0.3221,0.327,0.308
Tiruvannamalai,Kalasapakkam,2025-04-27,34.7,24.4,28.9,0.0,0.0,0.0,0.0,13.7,41.8,137,25.21,5.74,45133.39,40851.27,95,36,24.9,17.6,3.52,30.0042,34.2,25.9,0.3204,0.33,0.305
Tiruvannamalai,Kalasapakkam,2025-04-28,33.7,24.7,28.5,1.4,1.4,0.0,8.0,12.5,29.5,135,23.06,5.14,45170.02,39192.6,98,42,25.2,19.1,3.02,29.6875,33.5,26.4,0.321,0.329,0.313
Tiruvannamalai,Kalasapakkam,2025-04-29,34.6,25.0,29.2,0.0,0.0,0.0,0.0,7.0,23.0,143,24.15,5.31,45206.29,41478.45,96,45,24.7,20.3,3.04,30.1833,34.3,26.8,0.3092,0.318,0.293
Tiruvannamalai,Kalasapakkam,2025-04-30,35.0,25.1,29.7,0.0,0.0,0.0,0.0,9.3,27.7,122,24.06,5.37,45242.18,41106.66,96,34,24.9,16.9,3.69,30.1458,34.1,26.7,0.3155,0.33,0.297
Tiruvannamalai,Kalasapakkam,2025-05-01,35.4,24.7,29.7,0.0,0.0,0.0,0.0,8.8,24.8,160,22.52,5.07,45277.65,36794.05,95,45,25.2,21.3,3.11,30.1042,34.3,26.4,0.3298,0.354,0.309
Tiruvannamalai,Kalasapakkam,2025-05-02,35.0,25.2,29.7,4.9,4.9,0.0,3.0,10.6,23.8,103,23.13,5.17,45312.67,41237.24,90,45,25.0,21.0,3.05,30.1167,33.8,26.7,0.369,0.392,0.352
Tiruvannamalai,Kalasapakkam,2025-05-03,35.7,24.5,30.4,0.0,0.0,0.0,0.0,9.0,25.2,180,24.36,5.51,45347.19,41114.05,91,37,23.5,17.1,3.6,30.2,34.3,26.8,0.3675,0.378,0.355
