district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Pernamallur,2025-02-24,33.0,18.4,25.6,0.0,0.0,0.0,0.0,19.4,41.4,53,24.03,5.95,42618.05,38867.02,84,25,19.1,10.5,3.75,27.4083,34.0,21.5,0.135,0.151,0.123
Tiruvannamalai,Pernamallur,2025-02-25,32.2,20.2,25.7,0.0,0.0,0.0,0.0,17.1,38.2,37,21.66,5.64,42658.24,36673.1,94,31,20.3,12.2,3.3,27.3667,32.8,22.8,0.136,0.152,0.125
Tiruvannamalai,Pernamallur,2025-02-26,32.3,20.6,25.8,0.0,0.0,0.0,0.0,19.3,41.4,34,23.58,5.95,42698.63,39617.61,87,34,19.3,12.6,3.14,27.4833,33.0,22.8,0.143,0.151,0.135
Tiruvannamalai,Pernamallur,2025-02-27,31.9,19.5,25.4,0.0,0.0,0.0,0.0,15.8,34.6,32,24.57,5.8,42739.18,40111.59,91,34,19.4,13.9,3.13,27.5458,33.7,22.1,0.1293,0.144,0.122
Tiruvannamalai,Pernamallur,2025-02-28,31.5,19.5,25.7,0.2,0.2,0.0,2.0,15.8,37.1,49,22.77,5.28,42779.85,39220.17,92,43,21.3,17.3,2.62,27.8083,33.4,22.5,0.1228,0.126,0.121
Tiruvannamalai,Pernamallur,2025-03-01,31.2,22.2,26.0,1.9,1.9,0.0,13.0,14.1,34.6,63,20.69,4.62,42820.62,37868.55,96,51,21.6,19.3,2.22,27.8958,32.8,24.1,0.1231,0.13,0.115
Tiruvannamalai,Pernamallur,2025-03-02,33.1,21.8,26.8,0.1,0.1,0.0,1.0,11.7,27.0,50,22.54,5.1,42861.46,39551.57,97,39,21.7,16.3,3.11,28.8958,34.9,24.2,0.1258,0.133,0.12
Tiruvannamalai,Pernamallur,2025-03-03,34.3,19.6,27.0,0.0,0.0,0.0,0.0,13.4,32.4,53,22.29,5.06,42902.32,39307.47,100,25,21.6,11.8,4.03,29.1,35.6,23.7,0.1331,0.138,0.128
Tiruvannamalai,Pernamallur,2025-03-04,35.1,20.6,27.4,0.0,0.0,0.0,0.0,13.4,33.1,61,24.87,5.81,42943.18,40254.61,87,23,19.7,10.8,4.25,29.1208,36.4,23.1,0.1393,0.147,0.133
Tiruvannamalai,Pernamallur,2025-03-05,35.3,20.7,27.6,0.0,0.0,0.0,0.0,11.4,29.5,58,23.88,5.4,42984.01,39743.39,76,20,17.8,9.0,4.57,28.625,35.7,22.9,0.1459,0.157,0.136
Tiruvannamalai,Pernamallur,2025-03-06,34.8,20.9,27.6,0.0,0.0,0.0,0.0,15.4,36.0,61,24.88,6.02,43024.77,40549.3,77,24,19.1,11.1,4.19,28.6042,35.2,22.7,0.1561,0.163,0.146
Tiruvannamalai,Pernamallur,2025-03-07,33.6,19.9,26.2,0.0,0.0,0.0,0.0,11.4,25.9,38,26.11,5.81,43065.44,40591.64,84,17,19.0,5.2,4.3,27.925,34.6,22.5,0.1589,0.163,0.149
Tiruvannamalai,Pernamallur,2025-03-08,33.9,18.6,25.9,0.0,0.0,0.0,0.0,10.6,24.5,35,25.64,5.56,43106.0,40633.7,74,24,18.1,9.9,4.01,27.7,35.2,21.6,0.1421,0.159,0.131
Tiruvannamalai,Pernamallur,2025-03-09,33.3,19.4,25.8,0.0,0.0,0.0,0.0,15.7,34.2,74,25.79,5.89,43146.73,40675.6,86,33,19.7,12.8,3.43,28.0167,35.2,21.4,0.1192,0.141,0.108
Tiruvannamalai,Pernamallur,2025-03-10,32.7,18.6,25.9,0.0,0.0,0.0,0.0,16.8,34.2,47,24.5,5.83,43187.72,40717.7,98,34,19.7,14.0,3.21,28.5375,34.8,22.6,0.1102,0.115,0.108
Tiruvannamalai,Pernamallur,2025-03-11,27.8,21.1,23.7,12.6,12.6,0.0,12.0,18.9,47.2,28,13.88,2.89,43228.95,24811.22,98,67,22.5,19.2,1.19,25.9583,29.3,23.7,0.1588,0.252,0.115
Tiruvannamalai,Pernamallur,2025-03-12,30.2,21.3,24.9,4.4,4.4,0.0,4.0,15.4,37.1,71,18.14,3.8,43270.38,36081.26,98,59,22.5,20.5,1.77,26.1167,30.2,22.6,0.2298,0.264,0.203
Tiruvannamalai,Pernamallur,2025-03-13,33.6,21.0,26.7,0.0,0.0,0.0,0.0,10.8,28.4,70,24.13,5.33,43312.0,40844.74,95,35,21.9,16.1,3.38,27.6125,33.7,22.4,0.2239,0.238,0.208
Tiruvannamalai,Pernamallur,2025-03-14,34.6,20.3,26.9,0.0,0.0,0.0,0.0,11.8,28.4,90,26.0,5.82,43353.76,40887.24,89,24,20.8,11.3,4.17,27.9125,34.6,21.8,0.2051,0.215,0.191
Tiruvannamalai,Pernamallur,2025-03-15,34.1,20.8,26.5,0.1,0.1,0.0,1.0,10.3,25.2,102,26.16,5.73,43395.64,40929.76,99,25,21.6,11.2,3.97,28.125,34.6,23.2,0.1935,0.201,0.181
