district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Polur,2025-02-24,33.8,21.2,26.7,0.0,0.0,0.0,0.0,19.0,35.3,49,22.94,5.8,42600.88,37474.4,90,28,21.7,12.6,3.79,28.075,33.8,23.0,0.1847,0.19,0.173
Tiruvannamalai,Polur,2025-02-25,33.6,22.2,26.8,0.0,0.0,0.0,0.0,19.2,37.1,28,21.55,5.63,42641.79,39418.02,97,33,22.5,14.1,3.47,28.2375,32.9,25.0,0.1867,0.195,0.174
Tiruvannamalai,Polur,2025-02-26,33.2,22.0,26.7,0.0,0.0,0.0,0.0,21.1,39.6,27,23.43,5.94,42682.89,39539.55,90,32,21.3,13.4,3.4,28.2708,33.4,24.2,0.1845,0.195,0.171
Tiruvannamalai,Polur,2025-02-27,32.8,21.0,26.3,0.0,0.0,0.0,0.0,17.6,32.4,24,24.06,5.77,42724.16,39799.41,93,35,21.3,14.5,3.21,28.2542,33.6,23.7,0.1846,0.191,0.173
Tiruvannamalai,Polur,2025-02-28,32.3,21.2,26.6,0.0,0.0,0.0,0.0,13.7,29.5,33,22.44,5.13,42765.55,39605.46,93,44,22.1,18.1,2.69,28.2417,33.1,24.0,0.2029,0.216,0.19
Tiruvannamalai,Polur,2025-03-01,32.0,23.1,26.9,1.4,1.4,0.0,13.0,12.5,26.6,60,21.43,4.76,42807.05,38400.27,96,53,22.6,20.2,2.24,28.5083,33.2,25.0,0.1996,0.209,0.192
Tiruvannamalai,Polur,2025-03-02,33.5,23.0,27.6,0.0,0.0,0.0,0.0,10.7,19.1,103,22.41,4.89,42848.61,39672.9,96,41,23.3,18.3,3.0,29.2917,34.6,25.0,0.1927,0.199,0.183
Tiruvannamalai,Polur,2025-03-03,35.2,22.2,27.7,0.0,0.0,0.0,0.0,9.5,18.7,153,22.86,5.09,42890.19,40279.96,95,27,22.5,13.2,4.14,29.525,35.2,24.9,0.1872,0.191,0.176
Tiruvannamalai,Polur,2025-03-04,35.9,21.8,27.9,0.0,0.0,0.0,0.0,13.4,27.4,140,24.63,5.58,42931.78,39282.18,82,26,20.4,13.2,4.39,29.0458,35.3,23.8,0.1885,0.195,0.175
Tiruvannamalai,Polur,2025-03-05,35.9,20.6,27.6,0.0,0.0,0.0,0.0,10.1,19.4,176,23.89,5.32,42973.33,39661.25,84,23,20.0,11.8,4.53,28.6708,34.8,23.6,0.1924,0.2,0.179
Tiruvannamalai,Polur,2025-03-06,35.5,19.5,27.5,0.0,0.0,0.0,0.0,10.7,22.7,120,24.57,5.43,43014.81,40537.29,78,28,20.6,13.9,4.17,28.5375,34.5,23.4,0.2033,0.211,0.194
