district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Pudupalayam,2025-02-24,34.7,20.3,27.2,0.0,0.0,0.0,0.0,19.9,41.0,66,23.78,6.3,42629.48,37437.57,85,23,21.4,9.6,4.17,29.6333,36.5,23.4,0.116,0.128,0.105
Tiruvannamalai,Pudupalayam,2025-02-25,34.3,21.6,27.2,0.0,0.0,0.0,0.0,18.3,37.8,46,20.7,5.92,42669.2,36556.68,93,28,20.7,11.6,3.89,29.4583,35.2,24.7,0.1172,0.135,0.103
Tiruvannamalai,Pudupalayam,2025-02-26,34.4,21.4,27.4,0.0,0.0,0.0,0.0,20.9,41.0,43,23.04,6.36,42709.11,39379.3,84,31,19.6,13.2,3.71,29.6042,35.7,24.3,0.1223,0.135,0.114
Tiruvannamalai,Pudupalayam,2025-02-27,33.8,19.8,26.9,0.0,0.0,0.0,0.0,15.7,34.6,42,24.29,6.08,42749.18,39874.8,89,31,20.0,14.0,3.62,29.725,36.2,23.6,0.1143,0.126,0.109
Tiruvannamalai,Pudupalayam,2025-02-28,33.5,20.5,27.0,0.2,0.2,0.0,2.0,16.6,36.0,61,21.78,5.45,42789.37,38977.82,90,41,22.3,18.0,3.06,29.8083,35.7,24.4,0.1053,0.113,0.102
Tiruvannamalai,Pudupalayam,2025-03-01,32.8,23.1,27.3,2.2,2.2,0.0,12.0,15.5,33.1,74,20.2,4.88,42829.66,37794.04,97,47,22.5,19.9,2.66,29.7083,35.0,25.3,0.0984,0.111,0.088
Tiruvannamalai,Pudupalayam,2025-03-02,35.2,22.9,28.3,0.1,0.1,0.0,1.0,13.0,25.9,74,21.77,5.36,42870.02,40194.3,95,34,22.3,16.1,3.75,30.9917,37.7,25.8,0.0979,0.102,0.093
Tiruvannamalai,Pudupalayam,2025-03-03,36.8,21.6,28.7,0.0,0.0,0.0,0.0,17.8,37.4,53,21.43,5.44,42910.4,38664.61,98,19,22.4,9.2,4.99,31.5708,38.3,25.5,0.1016,0.11,0.097
Tiruvannamalai,Pudupalayam,2025-03-04,37.3,22.0,28.9,0.0,0.0,0.0,0.0,15.9,35.6,90,24.62,6.19,42950.78,40472.99,86,20,20.5,10.6,5.11,31.5792,39.5,24.9,0.1177,0.131,0.11
Tiruvannamalai,Pudupalayam,2025-03-05,37.7,22.0,28.9,0.0,0.0,0.0,0.0,14.8,33.5,89,23.3,5.78,42991.12,38717.32,92,17,21.6,8.2,5.43,31.0833,38.8,25.0,0.1318,0.144,0.124
Tiruvannamalai,Pudupalayam,2025-03-06,36.5,21.8,29.0,0.0,0.0,0.0,0.0,15.1,33.1,46,24.62,6.37,43031.41,40557.27,77,21,20.1,10.6,4.8,31.0375,38.3,24.4,0.1384,0.143,0.132
Tiruvannamalai,Pudupalayam,2025-03-07,36.7,21.5,28.0,0.0,0.0,0.0,0.0,16.6,33.5,18,25.83,6.3,43071.6,40599.14,85,13,20.0,3.9,5.37,30.6292,38.3,24.4,0.1372,0.14,0.132
Tiruvannamalai,Pudupalayam,2025-03-08,36.8,20.6,27.8,0.0,0.0,0.0,0.0,12.8,29.2,37,25.44,5.91,43111.68,40640.71,73,18,18.9,7.9,5.03,30.7375,39.4,23.6,0.1207,0.138,0.112
Tiruvannamalai,Pudupalayam,2025-03-09,35.6,20.6,27.5,0.0,0.0,0.0,0.0,17.6,35.3,88,25.48,6.31,43151.93,40682.14,82,25,20.4,12.8,4.32,30.5125,38.1,23.6,0.124,0.131,0.121
Tiruvannamalai,Pudupalayam,2025-03-10,34.5,20.2,27.6,0.0,0.0,0.0,0.0,21.3,39.2,49,24.43,6.36,43192.45,40486.1,96,32,20.4,14.5,3.72,30.7917,37.7,24.6,0.1135,0.13,0.105
Tiruvannamalai,Pudupalayam,2025-03-11,29.9,22.0,25.0,5.9,5.9,0.0,11.0,20.4,49.3,41,13.45,3.0,43233.19,28013.7,97,62,23.5,19.8,1.6,27.7625,31.1,25.3,0.1764,0.339,0.114
Tiruvannamalai,Pudupalayam,2025-03-12,30.4,22.6,25.7,1.9,1.9,0.0,3.0,15.9,36.7,88,15.73,3.39,43274.13,35039.6,100,60,23.5,21.6,1.73,27.4625,31.2,24.5,0.3051,0.324,0.286
Tiruvannamalai,Pudupalayam,2025-03-13,35.3,22.2,28.0,0.0,0.0,0.0,0.0,12.7,29.2,75,23.51,5.54,43315.26,40849.32,95,34,22.7,16.5,3.74,29.15,35.0,24.0,0.2788,0.309,0.257
Tiruvannamalai,Pudupalayam,2025-03-14,36.0,21.1,27.8,0.0,0.0,0.0,0.0,13.8,29.2,98,25.62,5.96,43356.54,40891.32,91,27,21.8,13.6,4.27,29.5833,36.2,23.6,0.2377,0.257,0.22
Tiruvannamalai,Pudupalayam,2025-03-15,35.2,21.6,27.7,0.0,0.0,0.0,0.0,11.6,28.4,107,25.67,5.84,43397.93,40933.36,99,23,22.6,10.8,4.37,29.9208,36.2,25.2,0.2123,0.224,0.198
Tiruvannamalai,Pudupalayam,2025-03-16,34.1,22.1,28.2,0.0,0.0,0.0,0.0,12.1,27.0,116,23.64,5.51,43439.41,40830.48,86,43,22.7,19.4,3.05,30.4125,36.3,24.6,0.1877,0.204,0.173
Tiruvannamalai,Pudupalayam,2025-03-17,36.8,24.0,29.6,0.0,0.0,0.0,0.0,13.4,29.5,125,23.59,5.61,43480.95,40275.72,92,29,23.6,16.0,4.4,31.8708,38.6,26.3,0.1644,0.173,0.151
Tiruvannamalai,Pudupalayam,2025-03-18,35.5,23.9,29.3,0.2,0.2,0.0,2.0,13.9,30.2,126,23.04,5.73,43522.54,39803.52,98,33,24.8,17.0,3.85,31.7667,37.7,26.8,0.1588,0.168,0.15
Tiruvannamalai,Pudupalayam,2025-03-19,34.8,23.6,28.8,0.5,0.5,0.0,4.0,14.9,28.1,123,23.3,5.63,43564.14,40948.03,96,39,24.6,18.1,3.38,31.7292,37.8,26.9,0.1525,0.157,0.145
Tiruvannamalai,Pudupalayam,2025-03-20,35.8,24.6,29.2,1.0,1.0,0.0,9.0,15.2,33.1,114,24.79,6.19,43605.71,41106.38,99,30,24.8,14.9,4.09,31.4167,37.9,26.4,0.149,0.164,0.14
Tiruvannamalai,Pudupalayam,2025-03-21,34.8,23.6,28.6,1.7,1.7,0.0,8.0,14.3,29.5,109,21.55,5.24,43647.24,40344.02,98,41,24.4,17.5,3.24,31.125,36.6,26.2,0.149,0.155,0.145
Tiruvannamalai,Pudupalayam,2025-03-22,35.1,23.7,28.1,8.6,8.6,0.0,12.0,10.3,28.1,105,20.01,4.6,43688.69,37276.82,99,42,24.2,20.2,3.26,30.9333,37.2,26.3,0.1607,0.222,0.134
Tiruvannamalai,Pudupalayam,2025-03-23,33.5,24.0,28.4,1.4,1.4,0.0,11.0,15.6,32.0,106,15.78,3.99,43730.05,33769.45,96,42,24.0,18.9,3.0,30.2958,34.2,26.2,0.1925,0.207,0.174
Tiruvannamalai,Pudupalayam,2025-03-24,35.5,24.2,29.3,0.5,0.5,0.0,2.0,15.8,35.6,69,24.41,5.96,43771.27,37990.07,93,32,23.6,16.0,3.89,31.8458,38.2,26.7,0.1682,0.174,0.159
