district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Thandrampet,2025-02-24,34.5,21.1,27.0,0.0,0.0,0.0,0.0,23.1,43.6,91,23.75,6.19,42640.9,39213.45,92,23,22.0,10.0,4.2,29.7042,36.5,24.4,0.142,0.153,0.133
Tiruvannamalai,Thandrampet,2025-02-25,34.7,22.0,27.4,0.1,0.1,0.0,1.0,20.2,41.0,61,21.02,5.98,42680.14,37248.3,96,28,22.5,11.4,3.95,29.4125,35.6,24.7,0.1396,0.158,0.127
Tiruvannamalai,Thandrampet,2025-02-26,34.4,22.1,27.6,0.0,0.0,0.0,0.0,20.4,39.6,58,22.76,6.24,42719.58,39505.28,88,30,20.5,12.8,3.73,29.5458,35.6,24.5,0.1505,0.157,0.141
Tiruvannamalai,Thandrampet,2025-02-27,34.2,21.0,27.2,0.0,0.0,0.0,0.0,16.3,32.4,58,23.71,5.95,42759.17,38180.78,93,32,21.1,14.3,3.66,29.85,36.4,24.1,0.1455,0.154,0.138
Tiruvannamalai,Thandrampet,2025-02-28,33.1,21.5,27.0,1.0,1.0,0.0,6.0,16.8,36.0,74,21.1,5.21,42798.89,39243.14,89,42,22.5,18.3,2.92,29.4208,35.3,24.8,0.1402,0.144,0.135
Tiruvannamalai,Thandrampet,2025-03-01,32.3,23.0,27.0,3.4,3.4,0.0,16.0,14.6,32.8,82,20.16,4.75,42838.7,37654.64,95,51,22.6,20.4,2.38,28.8583,34.5,24.6,0.1585,0.178,0.145
Tiruvannamalai,Thandrampet,2025-03-02,33.5,22.9,27.7,0.8,0.8,0.0,6.0,16.4,29.2,102,21.1,5.11,42878.57,40100.39,97,41,23.2,18.2,3.03,29.7083,35.6,25.4,0.1745,0.179,0.168
Tiruvannamalai,Thandrampet,2025-03-03,35.2,23.4,28.5,0.0,0.0,0.0,0.0,15.0,27.4,128,21.15,5.24,42918.47,37664.45,98,29,23.8,14.4,4.04,31.0375,37.0,25.8,0.1636,0.169,0.154
Tiruvannamalai,Thandrampet,2025-03-04,36.0,20.9,28.2,0.0,0.0,0.0,0.0,16.8,35.3,134,24.58,6.21,42958.37,40481.91,94,22,21.5,11.1,4.61,30.9042,38.0,24.9,0.1607,0.164,0.151
Tiruvannamalai,Thandrampet,2025-03-05,36.7,20.5,28.2,0.0,0.0,0.0,0.0,15.9,34.6,135,23.35,6.2,42998.23,39759.64,98,19,21.3,8.7,4.97,30.6667,37.8,24.6,0.1593,0.163,0.15
