district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Thellar,2025-02-24,34.5,21.6,27.1,0.0,0.0,0.0,0.0,21.9,41.0,65,23.18,5.84,42618.05,39674.67,100,30,23.0,13.6,3.76,30.4583,36.9,25.4,0.1639,0.17,0.155
Tiruvannamalai,Thellar,2025-02-25,34.5,22.7,27.7,0.0,0.0,0.0,0.0,21.9,42.8,43,23.56,6.37,42658.24,39811.76,99,25,22.9,11.5,4.05,30.3333,36.5,25.9,0.1687,0.185,0.153
Tiruvannamalai,Thellar,2025-02-26,34.3,22.9,27.8,0.0,0.0,0.0,0.0,23.6,43.9,43,23.49,6.36,42698.63,39955.25,96,29,22.8,12.9,3.81,30.3583,36.2,26.0,0.1705,0.184,0.159
Tiruvannamalai,Thellar,2025-02-27,34.2,22.3,27.4,0.0,0.0,0.0,0.0,21.3,38.2,41,23.43,5.99,42739.18,40099.77,97,29,22.8,12.6,3.79,30.4417,36.8,25.5,0.162,0.171,0.15
Tiruvannamalai,Thellar,2025-02-28,34.0,22.7,27.7,0.1,0.1,0.0,1.0,19.5,38.5,49,21.66,5.53,42779.85,39354.95,93,41,23.0,18.9,3.12,30.4792,36.3,26.0,0.1615,0.17,0.149
Tiruvannamalai,Thellar,2025-03-01,32.8,22.9,27.4,2.9,2.9,0.0,11.0,19.0,36.4,80,19.78,4.81,42820.62,38335.15,97,51,23.5,21.0,2.42,30.2333,35.7,25.2,0.1604,0.189,0.151
Tiruvannamalai,Thellar,2025-03-02,34.3,23.2,28.0,0.2,0.2,0.0,2.0,16.5,30.2,90,21.32,5.14,42861.46,39644.18,99,40,24.2,18.8,3.25,30.9833,37.7,26.1,0.1527,0.158,0.145
Tiruvannamalai,Thellar,2025-03-03,35.7,24.1,28.5,0.0,0.0,0.0,0.0,19.0,36.7,132,21.28,5.17,42902.32,36906.75,99,32,24.3,16.4,3.98,32.1333,39.4,27.4,0.1504,0.156,0.142
Tiruvannamalai,Thellar,2025-03-04,36.1,23.4,28.2,0.0,0.0,0.0,0.0,15.3,29.9,138,24.3,5.85,42943.18,37919.8,100,30,24.0,15.4,4.14,32.1042,40.0,26.7,0.15,0.161,0.139
Tiruvannamalai,Thellar,2025-03-05,36.7,22.8,28.1,0.0,0.0,0.0,0.0,20.2,35.6,161,23.48,5.73,42984.01,39590.18,100,21,23.5,10.9,4.81,31.4333,39.1,26.2,0.1612,0.173,0.148
Tiruvannamalai,Thellar,2025-03-06,37.3,21.4,28.2,0.0,0.0,0.0,0.0,21.1,42.8,120,24.96,6.07,43024.77,40456.54,99,22,23.0,11.5,4.92,31.4875,39.2,25.2,0.1666,0.174,0.157
Tiruvannamalai,Thellar,2025-03-07,36.1,21.0,27.5,0.0,0.0,0.0,0.0,20.9,41.8,108,25.69,6.11,43065.44,40591.64,95,18,22.4,8.4,4.87,31.2042,39.0,25.1,0.1512,0.161,0.142
Tiruvannamalai,Thellar,2025-03-08,34.7,21.7,27.3,0.0,0.0,0.0,0.0,19.5,34.6,149,25.3,5.91,43106.0,40633.7,100,26,22.2,12.2,4.09,31.0,38.4,25.5,0.1479,0.151,0.141
Tiruvannamalai,Thellar,2025-03-09,34.0,21.0,26.7,0.0,0.0,0.0,0.0,19.0,38.5,108,24.77,5.75,43146.73,38953.51,98,41,22.2,18.1,3.14,30.6667,38.0,24.6,0.1396,0.151,0.132
Tiruvannamalai,Thellar,2025-03-10,34.8,22.8,27.9,0.0,0.0,0.0,0.0,24.0,43.2,50,23.08,6.13,43187.72,40145.94,87,33,21.2,16.1,3.65,30.875,37.8,25.7,0.1368,0.143,0.131
Tiruvannamalai,Thellar,2025-03-11,30.5,23.7,26.1,15.8,15.8,0.0,14.0,24.9,48.6,49,13.53,3.4,43228.95,23513.38,98,64,24.0,20.4,1.56,28.4917,32.3,25.9,0.1892,0.302,0.143
Tiruvannamalai,Thellar,2025-03-12,32.2,23.0,26.6,3.2,3.2,0.0,7.0,15.5,36.0,79,17.59,3.93,43270.38,39354.14,99,56,23.5,22.3,2.13,28.4208,33.0,25.0,0.2685,0.283,0.26
Tiruvannamalai,Thellar,2025-03-13,35.3,22.8,27.5,0.0,0.0,0.0,0.0,18.9,35.6,115,22.55,5.23,43312.0,34063.79,100,38,24.2,18.7,3.58,30.2792,36.5,25.5,0.251,0.268,0.234
