district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Thurinjapuram,2025-02-24,34.9,21.6,27.5,0.0,0.0,0.0,0.0,23.5,43.6,73,22.92,6.33,42623.76,39026.64,92,24,22.6,11.1,4.26,31.6375,39.3,25.6,0.135,0.146,0.127
Tiruvannamalai,Thurinjapuram,2025-02-25,35.3,23.1,28.0,0.0,0.0,0.0,0.0,22.6,43.6,45,21.64,6.47,42663.72,38984.86,96,24,22.5,10.6,4.15,31.3833,38.0,26.5,0.1353,0.158,0.119
Tiruvannamalai,Thurinjapuram,2025-02-26,35.0,22.8,27.9,0.0,0.0,0.0,0.0,24.0,44.6,41,23.1,6.65,42703.87,39314.8,88,28,21.0,12.1,4.01,31.2458,38.2,26.0,0.145,0.157,0.135
Tiruvannamalai,Thurinjapuram,2025-02-27,34.5,21.8,27.5,0.0,0.0,0.0,0.0,20.5,36.7,43,23.5,6.24,42744.18,39917.27,94,28,21.8,12.6,3.87,31.4542,39.0,25.4,0.1338,0.146,0.124
Tiruvannamalai,Thurinjapuram,2025-02-28,33.8,22.4,27.5,0.2,0.2,0.0,2.0,18.0,36.7,51,21.97,5.61,42784.62,38920.71,90,40,22.5,18.0,3.14,31.0167,37.5,26.0,0.1463,0.154,0.139
Tiruvannamalai,Thurinjapuram,2025-03-01,33.2,22.2,27.2,5.4,5.4,0.0,16.0,16.3,33.8,73,20.4,4.92,42825.15,38124.7,98,47,22.8,20.3,2.7,30.1792,36.5,25.1,0.1574,0.2,0.15
Tiruvannamalai,Thurinjapuram,2025-03-02,34.8,23.9,28.2,0.5,0.5,0.0,4.0,19.2,32.8,75,21.79,5.42,42865.74,38969.91,99,35,23.6,16.8,3.59,31.4458,38.5,26.4,0.1523,0.159,0.145
Tiruvannamalai,Thurinjapuram,2025-03-03,36.1,23.5,29.0,0.0,0.0,0.0,0.0,19.2,32.8,102,21.93,5.51,42906.36,40167.55,99,26,23.8,13.2,4.45,32.7333,40.0,27.0,0.1443,0.151,0.136
Tiruvannamalai,Thurinjapuram,2025-03-04,36.8,21.6,28.8,0.0,0.0,0.0,0.0,17.2,34.6,119,24.31,6.22,42946.98,38969.8,99,23,22.5,11.9,4.77,32.4917,40.7,25.8,0.1488,0.162,0.139
Tiruvannamalai,Thurinjapuram,2025-03-05,37.2,22.1,28.9,0.0,0.0,0.0,0.0,17.4,31.3,144,23.7,6.22,42987.57,38245.96,100,18,22.4,8.1,5.17,32.3083,40.4,26.1,0.1573,0.167,0.144
Tiruvannamalai,Thurinjapuram,2025-03-06,36.9,21.3,29.1,0.0,0.0,0.0,0.0,18.3,38.5,36,25.09,6.53,43028.09,40553.29,89,20,20.4,9.7,5.01,32.4875,40.5,25.6,0.1575,0.166,0.146
Tiruvannamalai,Thurinjapuram,2025-03-07,36.5,20.9,28.2,0.0,0.0,0.0,0.0,15.5,31.3,49,25.9,6.3,43068.52,40595.39,91,12,19.7,2.8,5.29,32.15,40.5,25.3,0.1507,0.157,0.141
Tiruvannamalai,Thurinjapuram,2025-03-08,37.0,20.7,28.2,0.0,0.0,0.0,0.0,18.2,31.3,86,25.49,6.27,43108.84,40637.2,76,15,19.7,5.8,5.3,32.5833,42.0,25.6,0.1321,0.151,0.121
Tiruvannamalai,Thurinjapuram,2025-03-09,35.2,21.0,27.3,0.0,0.0,0.0,0.0,19.6,37.8,96,25.35,6.22,43149.33,40678.88,83,30,20.8,15.2,3.96,32.0125,40.6,24.9,0.1273,0.134,0.121
Tiruvannamalai,Thurinjapuram,2025-03-10,35.0,20.7,27.9,0.0,0.0,0.0,0.0,23.8,42.5,54,23.81,6.53,43190.09,40179.59,95,30,20.8,14.6,3.92,32.125,40.0,25.4,0.1177,0.131,0.109
Tiruvannamalai,Thurinjapuram,2025-03-11,29.6,23.0,25.2,12.1,12.1,0.0,15.0,26.3,46.8,40,11.61,2.84,43231.07,16824.37,97,64,23.9,20.0,1.51,28.4292,31.7,25.5,0.1762,0.274,0.119
Tiruvannamalai,Thurinjapuram,2025-03-12,32.0,23.0,26.5,3.0,3.0,0.0,6.0,18.3,36.4,83,16.21,3.66,43272.26,32965.69,98,54,23.5,21.5,2.14,28.4417,33.1,25.0,0.2618,0.272,0.247
