district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Tiruvannamalai,2025-02-24,34.8,21.6,27.5,0.0,0.0,0.0,0.0,23.6,49.3,75,23.33,6.28,42635.19,39245.44,91,25,22.6,11.1,4.16,31.7167,39.8,25.6,0.0653,0.08,0.053
Tiruvannamalai,Tiruvannamalai,2025-02-25,35.2,22.6,27.9,0.0,0.0,0.0,0.0,22.6,47.2,50,21.43,6.4,42674.67,40038.71,98,25,22.6,11.0,4.13,31.3583,37.8,26.0,0.0713,0.097,0.054
Tiruvannamalai,Tiruvannamalai,2025-02-26,35.0,22.6,28.0,0.0,0.0,0.0,0.0,22.9,46.4,48,22.96,6.65,42714.35,39764.41,89,28,21.0,11.9,4.01,31.5417,38.7,26.0,0.0812,0.097,0.073
Tiruvannamalai,Tiruvannamalai,2025-02-27,34.5,22.0,27.6,0.0,0.0,0.0,0.0,18.9,37.4,46,23.44,6.22,42754.18,39680.95,94,30,21.6,13.0,3.8,31.7417,39.5,25.4,0.0685,0.082,0.062
Tiruvannamalai,Tiruvannamalai,2025-02-28,33.7,22.6,27.6,0.3,0.3,0.0,2.0,17.6,39.2,54,21.53,5.59,42794.13,39024.2,89,40,22.5,18.0,3.15,31.3542,38.2,26.0,0.0729,0.076,0.068
Tiruvannamalai,Tiruvannamalai,2025-03-01,33.0,22.5,27.3,3.8,3.8,0.0,13.0,15.4,34.6,73,20.13,4.91,42834.18,38406.07,96,48,22.4,20.0,2.6,30.5625,36.5,25.9,0.0818,0.097,0.07
Tiruvannamalai,Tiruvannamalai,2025-03-02,34.5,23.6,28.2,0.6,0.6,0.0,3.0,17.0,33.8,81,21.41,5.38,42874.29,39214.14,94,38,23.0,17.7,3.39,31.7958,39.2,26.5,0.0887,0.095,0.082
Tiruvannamalai,Tiruvannamalai,2025-03-03,36.4,24.1,29.1,0.0,0.0,0.0,0.0,17.1,34.9,113,21.31,5.41,42914.43,39677.89,91,24,23.2,12.5,4.54,33.1458,40.5,27.2,0.089,0.095,0.084
Tiruvannamalai,Tiruvannamalai,2025-03-04,36.7,22.1,28.7,0.0,0.0,0.0,0.0,16.5,37.4,124,24.21,6.28,42954.57,39810.14,98,21,22.3,10.4,4.83,32.9458,41.3,26.0,0.0918,0.104,0.085
Tiruvannamalai,Tiruvannamalai,2025-03-05,37.5,22.1,28.9,0.0,0.0,0.0,0.0,16.0,33.8,133,23.47,6.28,42994.68,38408.71,100,17,22.6,8.4,5.35,32.9458,41.5,26.3,0.1061,0.123,0.099
Tiruvannamalai,Tiruvannamalai,2025-03-06,38.2,21.9,29.5,0.0,0.0,0.0,0.0,19.5,41.8,38,24.99,6.71,43034.73,40561.25,91,17,20.9,8.6,5.55,33.3958,42.3,25.9,0.116,0.122,0.111
Tiruvannamalai,Tiruvannamalai,2025-03-07,37.4,21.5,28.8,0.0,0.0,0.0,0.0,15.9,29.2,84,25.81,6.39,43074.68,40602.88,88,11,19.8,1.6,5.69,33.25,42.3,26.0,0.115,0.12,0.11
Tiruvannamalai,Tiruvannamalai,2025-03-08,36.5,21.2,28.2,0.0,0.0,0.0,0.0,16.1,32.0,131,25.34,6.33,43114.52,40644.21,76,22,20.0,10.8,4.67,32.875,41.7,26.0,0.0978,0.119,0.085
Tiruvannamalai,Tiruvannamalai,2025-03-09,35.0,21.1,27.3,0.0,0.0,0.0,0.0,18.5,38.5,102,25.29,6.19,43154.54,40685.39,90,30,20.5,14.6,3.97,32.0875,40.3,25.2,0.0933,0.102,0.077
Tiruvannamalai,Tiruvannamalai,2025-03-10,35.2,21.6,28.0,0.0,0.0,0.0,0.0,21.2,41.8,60,23.85,6.46,43194.8,40169.52,92,30,20.5,14.7,3.95,32.0667,40.0,25.4,0.076,0.079,0.074
Tiruvannamalai,Tiruvannamalai,2025-03-11,30.1,23.2,25.6,7.2,7.2,0.0,14.0,22.6,49.3,43,11.91,3.12,43235.3,15620.71,98,61,23.5,20.0,1.66,28.7417,32.6,25.7,0.1285,0.268,0.069
Tiruvannamalai,Tiruvannamalai,2025-03-12,30.6,23.0,26.0,5.1,5.1,0.0,8.0,14.3,34.9,80,15.0,3.3,43276.01,27991.28,97,60,23.5,22.0,1.75,27.9458,31.8,25.2,0.2886,0.333,0.257
Tiruvannamalai,Tiruvannamalai,2025-03-13,35.0,22.4,27.9,0.0,0.0,0.0,0.0,13.7,28.1,98,23.56,5.62,43316.89,40851.6,100,36,23.0,17.5,3.58,29.9125,36.0,25.0,0.2816,0.314,0.256
Tiruvannamalai,Tiruvannamalai,2025-03-14,35.3,20.9,27.6,0.0,0.0,0.0,0.0,13.1,27.0,144,25.52,5.94,43357.92,40893.36,99,32,22.2,15.4,3.9,30.1083,36.8,24.3,0.2379,0.256,0.218
Tiruvannamalai,Tiruvannamalai,2025-03-15,34.5,22.8,27.8,0.1,0.1,0.0,1.0,14.2,25.9,154,25.41,5.96,43399.07,40767.92,99,28,23.0,13.0,3.85,30.5708,36.8,26.1,0.2105,0.224,0.193
Tiruvannamalai,Tiruvannamalai,2025-03-16,34.2,23.1,28.2,0.0,0.0,0.0,0.0,15.0,29.5,141,22.84,5.46,43440.3,40510.54,97,44,23.4,20.0,3.02,30.9083,36.9,25.3,0.1849,0.201,0.171
Tiruvannamalai,Tiruvannamalai,2025-03-17,35.7,24.0,29.4,0.0,0.0,0.0,0.0,14.9,32.0,156,23.3,5.76,43481.61,40666.79,97,34,24.0,17.4,3.85,32.0875,38.3,26.8,0.162,0.17,0.149
Tiruvannamalai,Tiruvannamalai,2025-03-18,35.7,24.6,29.3,0.0,0.0,0.0,0.0,16.7,33.5,144,22.93,5.79,43522.95,40823.39,96,35,24.2,17.6,3.8,32.4958,38.8,27.5,0.1495,0.163,0.139
Tiruvannamalai,Tiruvannamalai,2025-03-19,34.9,24.1,28.9,0.2,0.2,0.0,2.0,16.7,34.2,140,22.87,5.72,43564.29,40862.56,97,39,24.5,18.6,3.38,32.2542,38.5,27.5,0.1454,0.15,0.138
Tiruvannamalai,Tiruvannamalai,2025-03-20,35.9,24.9,29.3,1.1,1.1,0.0,9.0,17.5,36.0,127,24.62,6.31,43605.62,41137.3,98,30,24.6,14.9,4.13,32.4583,39.5,27.0,0.1358,0.154,0.126
Tiruvannamalai,Tiruvannamalai,2025-03-21,35.0,24.2,28.7,0.7,0.7,0.0,5.0,16.4,33.1,125,22.04,5.47,43646.91,40941.09,96,39,23.9,18.5,3.45,32.35,38.9,27.3,0.1263,0.132,0.12
Tiruvannamalai,Tiruvannamalai,2025-03-22,35.0,24.6,28.8,6.2,6.2,0.0,5.0,13.7,35.6,129,20.58,5.07,43688.12,38449.69,96,43,24.1,20.2,3.22,32.4667,39.0,27.5,0.1187,0.175,0.101
Tiruvannamalai,Tiruvannamalai,2025-03-23,34.0,24.5,28.7,1.9,1.9,0.0,6.0,16.1,32.0,124,17.82,4.65,43729.23,40138.09,96,41,24.0,19.0,3.14,32.1625,37.5,27.6,0.1165,0.123,0.108
Tiruvannamalai,Tiruvannamalai,2025-03-24,35.5,24.7,29.3,1.0,1.0,0.0,4.0,16.5,34.2,94,23.23,5.78,43770.2,40468.4,92,37,24.1,17.5,3.67,33.2917,40.9,27.6,0.1163,0.137,0.106
Tiruvannamalai,Tiruvannamalai,2025-03-25,36.2,24.5,29.3,0.0,0.0,0.0,0.0,17.1,37.8,111,24.65,6.32,43811.02,39922.4,96,27,24.1,14.1,4.41,33.1583,40.6,27.6,0.1339,0.145,0.124
