district,block,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_max,relative_humidity_2m_min,dewpoint_2m_max,dewpoint_2m_min,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_temperature_0_to_7cm_max,soil_temperature_0_to_7cm_min,soil_moisture_0_to_7cm_mean,soil_moisture_0_to_7cm_max,soil_moisture_0_to_7cm_min
Tiruvannamalai,Vandavasi,2025-02-24,34.5,21.6,27.1,0.0,0.0,0.0,0.0,22.3,41.4,63,22.97,5.77,42612.32,38540.93,100,29,23.1,13.4,3.8,30.0417,36.5,25.0,0.1657,0.17,0.155
Tiruvannamalai,Vandavasi,2025-02-25,34.5,22.8,27.7,0.0,0.0,0.0,0.0,21.8,42.8,44,23.65,6.35,42652.76,39712.15,98,25,22.9,11.2,4.1,30.2042,36.7,25.5,0.1589,0.174,0.141
Tiruvannamalai,Vandavasi,2025-02-26,34.4,22.8,27.8,0.0,0.0,0.0,0.0,24.0,44.3,42,23.61,6.36,42693.39,39964.95,98,29,23.0,13.0,3.85,30.275,36.2,25.8,0.1613,0.173,0.151
Tiruvannamalai,Vandavasi,2025-02-27,34.5,22.2,27.4,0.0,0.0,0.0,0.0,21.2,38.5,41,23.38,5.98,42734.17,39998.72,97,28,22.9,12.6,3.85,30.3625,36.8,25.4,0.1582,0.17,0.148
Tiruvannamalai,Vandavasi,2025-02-28,33.8,22.6,27.8,0.0,0.0,0.0,0.0,19.5,38.2,48,21.71,5.52,42775.09,39147.75,94,41,23.0,18.9,3.08,30.3375,36.0,25.9,0.1702,0.175,0.161
Tiruvannamalai,Vandavasi,2025-03-01,33.1,23.4,27.6,1.9,1.9,0.0,8.0,19.6,37.1,80,19.92,4.88,42816.1,38491.89,96,49,23.6,20.5,2.57,30.3625,35.8,25.9,0.1662,0.188,0.154
Tiruvannamalai,Vandavasi,2025-03-02,34.6,23.3,28.2,0.4,0.4,0.0,3.0,16.8,31.3,90,21.88,5.3,42857.18,39435.04,99,39,24.4,18.3,3.36,30.9458,37.6,26.0,0.164,0.172,0.154
Tiruvannamalai,Vandavasi,2025-03-03,36.0,24.1,28.6,0.0,0.0,0.0,0.0,18.6,36.0,129,21.43,5.19,42898.28,36761.03,99,31,24.4,16.2,4.12,32.0542,39.3,27.2,0.1614,0.166,0.152
Tiruvannamalai,Vandavasi,2025-03-04,36.2,23.0,28.2,0.0,0.0,0.0,0.0,15.2,29.9,137,24.21,5.86,42939.38,38518.83,100,30,24.2,15.5,4.15,32.0167,39.6,26.5,0.1615,0.166,0.15
Tiruvannamalai,Vandavasi,2025-03-05,37.2,22.7,28.3,0.0,0.0,0.0,0.0,21.9,39.2,158,23.38,5.74,42980.45,39745.55,100,21,23.9,11.1,4.98,31.7625,39.7,26.3,0.1663,0.179,0.151
Tiruvannamalai,Vandavasi,2025-03-06,37.8,21.4,28.3,0.0,0.0,0.0,0.0,21.5,43.9,114,24.96,6.11,43021.45,40466.88,100,20,23.4,10.9,5.25,31.8417,40.0,25.2,0.1735,0.186,0.163
Tiruvannamalai,Vandavasi,2025-03-07,36.5,20.9,27.6,0.0,0.0,0.0,0.0,18.4,40.0,100,25.67,6.14,43062.36,40587.89,94,17,22.5,7.8,5.04,31.7917,40.6,25.0,0.148,0.163,0.138
Tiruvannamalai,Vandavasi,2025-03-08,35.2,21.9,27.6,0.0,0.0,0.0,0.0,19.5,35.3,151,25.24,6.02,43103.16,40538.31,100,25,22.1,12.5,4.25,31.9125,40.2,25.8,0.1335,0.142,0.128
Tiruvannamalai,Vandavasi,2025-03-09,34.5,20.8,27.0,0.0,0.0,0.0,0.0,19.2,39.2,107,24.61,5.83,43144.13,37770.66,100,38,22.6,18.1,3.37,31.5625,39.7,25.0,0.118,0.131,0.11
Tiruvannamalai,Vandavasi,2025-03-10,35.1,22.8,28.0,0.0,0.0,0.0,0.0,23.6,43.6,51,22.5,6.09,43185.36,39781.09,88,32,21.5,15.6,3.81,31.7208,39.3,26.0,0.1087,0.121,0.103
Tiruvannamalai,Vandavasi,2025-03-11,31.5,23.8,26.4,14.0,14.0,0.0,13.0,24.2,49.3,50,14.14,3.6,43226.83,25838.69,98,59,24.2,20.4,1.89,29.2917,34.2,26.2,0.1464,0.237,0.1
Tiruvannamalai,Vandavasi,2025-03-12,32.5,23.0,26.7,5.5,5.5,0.0,7.0,17.4,37.4,84,17.55,3.99,43268.51,34656.11,99,54,23.5,22.0,2.24,28.7708,34.0,25.1,0.2333,0.237,0.227
